date,return
2006-03-18T22:00:00,-0.08
2006-03-19T22:00:00,1.18
2006-03-20T22:00:00,1.2
2006-03-21T22:00:00,0.69
2006-03-22T22:00:00,1.03
2006-03-23T22:00:00,3.85
2006-03-24T22:00:00,3.85
2006-03-25T22:00:00,3.78
2006-03-26T22:00:00,5.45
2006-03-27T22:00:00,4.91
2006-03-28T22:00:00,6.48
2006-03-29T22:00:00,7.86
2006-03-30T22:00:00,6.77
2006-04-01T22:00:00,6.83
2006-04-02T21:00:00,7.62
2006-04-03T21:00:00,6.79
2006-04-04T21:00:00,6.01
2006-04-05T21:00:00,6.79
2006-04-06T21:00:00,6.37
2006-04-08T21:00:00,6.33
2006-04-09T21:00:00,7.64
2006-04-10T21:00:00,6.05
2006-04-11T21:00:00,7.01
2006-04-12T21:00:00,7.33
2006-04-13T21:00:00,7.35
2006-04-15T21:00:00,7.6
2006-04-16T21:00:00,8.82
2006-04-17T21:00:00,9.4
2006-04-18T21:00:00,11.79
2006-04-19T21:00:00,8.65
2006-04-20T21:00:00,11.23
2006-04-22T21:00:00,10.87
2006-04-23T21:00:00,9.13
2006-04-24T21:00:00,10.35
2006-04-25T21:00:00,10.78
2006-04-26T21:00:00,9.53
2006-04-27T21:00:00,12.45
2006-04-28T21:00:00,12.45
2006-04-29T21:00:00,12.55
2006-04-30T21:00:00,12.53
2006-05-01T21:00:00,14.3
2006-05-02T21:00:00,12.91
2006-05-03T21:00:00,14.61
2006-05-04T21:00:00,15.11
2006-05-05T21:00:00,15.09
2006-05-06T21:00:00,15.13
2006-05-07T21:00:00,14.97
2006-05-08T21:00:00,17.48
2006-05-09T21:00:00,18.49
2006-05-10T21:00:00,19.19
2006-05-11T21:00:00,19.69
2006-05-12T21:00:00,19.69
2006-05-13T21:00:00,19.59
2006-05-14T21:00:00,16.08
2006-05-15T21:00:00,17.02
2006-05-16T21:00:00,17.76
2006-05-17T21:00:00,16.35
2006-05-18T21:00:00,13.56
2006-05-20T21:00:00,13.76
2006-05-21T21:00:00,13.74
2006-05-22T21:00:00,15.58
2006-05-23T21:00:00,11.64
2006-05-24T21:00:00,12.25
2006-05-25T21:00:00,13.02
2006-05-27T21:00:00,12.85
2006-05-28T21:00:00,12.26
2006-05-29T21:00:00,12.14
2006-05-30T21:00:00,12.34
2006-05-31T21:00:00,10.62
2006-06-01T21:00:00,11.27
2006-06-02T21:00:00,11.27
2006-06-03T21:00:00,11.18
2006-06-04T21:00:00,11.43
2006-06-05T21:00:00,11.5
2006-06-06T21:00:00,10.84
2006-06-07T21:00:00,8.53
2006-06-08T21:00:00,6.81
2006-06-10T21:00:00,6.84
2006-06-11T21:00:00,6.46
2006-06-12T21:00:00,0.69
2006-06-13T21:00:00,0.21
2006-06-14T21:00:00,2.38
2006-06-15T21:00:00,3.78
2006-06-17T21:00:00,3.7
2006-06-18T21:00:00,1.33
2006-06-19T21:00:00,3.03
2006-06-20T21:00:00,4.76
2006-06-21T21:00:00,4.45
2006-06-22T21:00:00,5.12
2006-06-24T21:00:00,5.22
2006-06-25T21:00:00,5.38
2006-06-26T21:00:00,4.36
2006-06-27T21:00:00,5.06
2006-06-28T21:00:00,7.06
2006-06-29T21:00:00,9.18
