date,return
2006-03-19T22:00:00,0.36
2006-03-20T22:00:00,0.14
2006-03-21T22:00:00,0.05
2006-03-22T22:00:00,-0.3
2006-03-23T22:00:00,1.88
2006-03-25T22:00:00,1.92
2006-03-26T22:00:00,3.2
2006-03-27T22:00:00,2.77
2006-03-28T22:00:00,4.59
2006-03-29T22:00:00,6.1
2006-03-30T22:00:00,6.05
2006-04-01T22:00:00,6.06
2006-04-02T21:00:00,7.0
2006-04-03T21:00:00,6.16
2006-04-04T21:00:00,6.29
2006-04-05T21:00:00,6.71
2006-04-06T21:00:00,5.29
2006-04-08T21:00:00,5.23
2006-04-09T21:00:00,7.0
2006-04-10T21:00:00,5.5
2006-04-11T21:00:00,6.67
2006-04-12T21:00:00,6.7
2006-04-13T21:00:00,6.78
2006-04-15T21:00:00,6.92
2006-04-16T21:00:00,9.03
2006-04-17T21:00:00,9.78
2006-04-18T21:00:00,12.38
2006-04-19T21:00:00,8.41
2006-04-20T21:00:00,11.71
2006-04-22T21:00:00,11.57
2006-04-23T21:00:00,9.65
2006-04-24T21:00:00,10.6
2006-04-25T21:00:00,11.67
2006-04-26T21:00:00,10.41
2006-04-27T21:00:00,13.23
2006-04-28T21:00:00,13.23
2006-04-29T21:00:00,13.2
2006-04-30T21:00:00,12.99
2006-05-01T21:00:00,14.36
2006-05-02T21:00:00,14.37
2006-05-03T21:00:00,16.06
2006-05-04T21:00:00,16.52
2006-05-05T21:00:00,16.52
2006-05-06T21:00:00,16.65
2006-05-07T21:00:00,16.43
2006-05-08T21:00:00,18.49
2006-05-09T21:00:00,19.66
2006-05-10T21:00:00,20.76
2006-05-11T21:00:00,21.46
2006-05-12T21:00:00,21.46
2006-05-13T21:00:00,21.44
2006-05-14T21:00:00,16.53
2006-05-15T21:00:00,17.86
2006-05-16T21:00:00,18.12
2006-05-17T21:00:00,17.99
2006-05-18T21:00:00,14.24
2006-05-20T21:00:00,14.45
2006-05-21T21:00:00,13.57
2006-05-22T21:00:00,16.03
2006-05-23T21:00:00,11.78
2006-05-24T21:00:00,12.26
2006-05-25T21:00:00,12.54
2006-05-27T21:00:00,12.32
2006-05-28T21:00:00,11.93
2006-05-29T21:00:00,11.66
2006-05-30T21:00:00,10.75
2006-05-31T21:00:00,8.44
2006-06-01T21:00:00,9.66
2006-06-02T21:00:00,9.68
2006-06-03T21:00:00,9.62
2006-06-04T21:00:00,10.03
2006-06-05T21:00:00,9.56
2006-06-06T21:00:00,8.93
2006-06-07T21:00:00,7.55
2006-06-08T21:00:00,5.28
2006-06-10T21:00:00,5.25
2006-06-11T21:00:00,4.04
2006-06-12T21:00:00,-1.69
2006-06-13T21:00:00,-2.2
2006-06-14T21:00:00,0.51
2006-06-15T21:00:00,2.41
2006-06-17T21:00:00,2.33
2006-06-18T21:00:00,-0.51
2006-06-19T21:00:00,1.18
2006-06-20T21:00:00,2.36
2006-06-21T21:00:00,1.99
2006-06-22T21:00:00,2.85
2006-06-24T21:00:00,2.51
2006-06-25T21:00:00,3.28
2006-06-26T21:00:00,2.24
2006-06-27T21:00:00,2.51
2006-06-28T21:00:00,4.64
2006-06-29T21:00:00,7.89
2006-07-01T21:00:00,7.66
2006-07-02T21:00:00,8.74
2006-07-03T21:00:00,7.96
2006-07-04T21:00:00,9.51
2006-07-05T21:00:00,10.35
2006-07-06T21:00:00,9.83
2006-07-08T21:00:00,10.04
2006-07-09T21:00:00,9.89
2006-07-10T21:00:00,13.34
2006-07-11T21:00:00,15.2
2006-07-12T21:00:00,16.16
2006-07-13T21:00:00,16.52
2006-07-15T21:00:00,16.71
2006-07-16T21:00:00,14.03
2006-07-17T21:00:00,12.46
2006-07-18T21:00:00,13.84
2006-07-19T21:00:00,11.52
2006-07-20T21:00:00,10.41
2006-07-22T21:00:00,10.45
2006-07-23T21:00:00,9.96
2006-07-24T21:00:00,10.65
2006-07-25T21:00:00,10.93
2006-07-26T21:00:00,12.55
2006-07-27T21:00:00,12.28
2006-07-29T21:00:00,12.17
2006-07-30T21:00:00,12.5
2006-07-31T21:00:00,14.07
2006-08-01T21:00:00,14.36
2006-08-02T21:00:00,13.29
2006-08-03T21:00:00,13.68
2006-08-05T21:00:00,13.66
2006-08-06T21:00:00,13.47
2006-08-07T21:00:00,12.87
2006-08-08T21:00:00,13.77
2006-08-09T21:00:00,12.29
2006-08-10T21:00:00,11.46
2006-08-11T21:00:00,11.46
2006-08-12T21:00:00,11.43
2006-08-13T21:00:00,10.71
2006-08-14T21:00:00,9.93
2006-08-15T21:00:00,10.37
2006-08-16T21:00:00,8.24
2006-08-17T21:00:00,8.69
2006-08-19T21:00:00,8.58
2006-08-20T21:00:00,10.19
2006-08-21T21:00:00,9.52
2006-08-22T21:00:00,8.83
2006-08-23T21:00:00,8.52
2006-08-24T21:00:00,8.59
2006-08-25T21:00:00,8.59
2006-08-26T21:00:00,8.58
2006-08-27T21:00:00,7.61
2006-08-28T21:00:00,7.29
2006-08-29T21:00:00,8.07
2006-08-30T21:00:00,8.84
2006-08-31T21:00:00,8.76
2006-09-02T21:00:00,8.78
2006-09-03T21:00:00,9.09
2006-09-04T21:00:00,11.43
2006-09-05T21:00:00,10.17
2006-09-06T21:00:00,7.85
