date,return
2006-03-18T22:00:00,0.1
2006-03-19T22:00:00,0.31
2006-03-20T22:00:00,0.56
2006-03-21T22:00:00,0.62
2006-03-22T22:00:00,1.32
2006-03-23T22:00:00,2.83
2006-03-25T22:00:00,2.75
2006-03-26T22:00:00,3.87
2006-03-27T22:00:00,3.3
2006-03-28T22:00:00,5.09
2006-03-29T22:00:00,6.61
2006-03-30T22:00:00,6.34
2006-04-01T22:00:00,6.36
2006-04-02T21:00:00,7.07
2006-04-03T21:00:00,5.83
2006-04-04T21:00:00,5.55
2006-04-05T21:00:00,7.24
2006-04-06T21:00:00,7.01
2006-04-07T21:00:00,7.01
2006-04-08T21:00:00,6.96
2006-04-09T21:00:00,8.92
2006-04-10T21:00:00,7.53
2006-04-11T21:00:00,8.45
2006-04-12T21:00:00,8.05
2006-04-13T21:00:00,8.11
2006-04-15T21:00:00,8.3
2006-04-16T21:00:00,9.48
2006-04-17T21:00:00,9.83
2006-04-18T21:00:00,12.76
2006-04-19T21:00:00,9.37
2006-04-20T21:00:00,12.6
2006-04-22T21:00:00,12.32
2006-04-23T21:00:00,9.99
2006-04-24T21:00:00,11.45
2006-04-25T21:00:00,13.0
2006-04-26T21:00:00,11.33
2006-04-27T21:00:00,13.02
2006-04-29T21:00:00,13.02
2006-04-30T21:00:00,13.27
2006-05-01T21:00:00,15.04
2006-05-02T21:00:00,14.73
2006-05-03T21:00:00,15.93
2006-05-04T21:00:00,16.32
2006-05-05T21:00:00,16.32
2006-05-06T21:00:00,16.28
2006-05-07T21:00:00,15.79
2006-05-08T21:00:00,18.38
2006-05-09T21:00:00,19.29
2006-05-10T21:00:00,19.74
2006-05-11T21:00:00,18.53
2006-05-12T21:00:00,18.53
2006-05-13T21:00:00,18.39
2006-05-14T21:00:00,14.34
2006-05-15T21:00:00,15.84
2006-05-16T21:00:00,16.04
2006-05-17T21:00:00,14.66
2006-05-18T21:00:00,11.94
2006-05-20T21:00:00,11.99
2006-05-21T21:00:00,10.56
2006-05-22T21:00:00,12.54
2006-05-23T21:00:00,9.35
2006-05-24T21:00:00,10.98
2006-05-25T21:00:00,12.03
2006-05-27T21:00:00,11.85
2006-05-28T21:00:00,11.4
2006-05-29T21:00:00,10.71
2006-05-30T21:00:00,10.18
2006-05-31T21:00:00,7.88
2006-06-01T21:00:00,8.16
2006-06-03T21:00:00,7.95
2006-06-04T21:00:00,7.87
2006-06-05T21:00:00,7.51
2006-06-06T21:00:00,7.43
2006-06-07T21:00:00,6.03
2006-06-08T21:00:00,5.14
2006-06-10T21:00:00,5.32
2006-06-11T21:00:00,4.78
2006-06-12T21:00:00,-1.67
2006-06-13T21:00:00,-2.9
2006-06-14T21:00:00,0.0
2006-06-15T21:00:00,0.91
2006-06-17T21:00:00,0.83
2006-06-18T21:00:00,-1.07
2006-06-19T21:00:00,0.7
2006-06-20T21:00:00,2.35
2006-06-21T21:00:00,1.97
2006-06-22T21:00:00,2.85
2006-06-24T21:00:00,2.76
2006-06-25T21:00:00,2.66
2006-06-26T21:00:00,1.66
2006-06-27T21:00:00,2.09
2006-06-28T21:00:00,4.63
2006-06-29T21:00:00,6.19
2006-06-30T21:00:00,6.19
2006-07-01T21:00:00,6.17
2006-07-02T21:00:00,7.58
2006-07-03T21:00:00,7.3
2006-07-04T21:00:00,8.93
2006-07-05T21:00:00,9.3
2006-07-06T21:00:00,8.34
2006-07-07T21:00:00,8.34
2006-07-08T21:00:00,8.44
2006-07-09T21:00:00,8.09
2006-07-10T21:00:00,10.35
2006-07-11T21:00:00,12.66
2006-07-12T21:00:00,13.58
2006-07-13T21:00:00,14.59
2006-07-15T21:00:00,14.71
2006-07-16T21:00:00,12.47
2006-07-17T21:00:00,11.27
2006-07-18T21:00:00,12.49
2006-07-19T21:00:00,10.03
2006-07-20T21:00:00,7.91
2006-07-22T21:00:00,7.94
2006-07-23T21:00:00,7.88
2006-07-24T21:00:00,9.18
2006-07-25T21:00:00,9.01
2006-07-26T21:00:00,10.42
2006-07-27T21:00:00,9.99
2006-07-29T21:00:00,9.93
2006-07-30T21:00:00,10.13
2006-07-31T21:00:00,11.34
2006-08-01T21:00:00,12.4
2006-08-02T21:00:00,11.51
2006-08-03T21:00:00,11.09
2006-08-05T21:00:00,11.05
2006-08-06T21:00:00,11.77
2006-08-07T21:00:00,10.83
2006-08-08T21:00:00,12.08
2006-08-09T21:00:00,10.57
2006-08-10T21:00:00,10.68
2006-08-11T21:00:00,10.69
2006-08-12T21:00:00,10.55
2006-08-13T21:00:00,9.74
2006-08-14T21:00:00,9.03
2006-08-15T21:00:00,9.09
2006-08-16T21:00:00,6.97
2006-08-17T21:00:00,7.15
2006-08-18T21:00:00,7.15
2006-08-19T21:00:00,7.03
2006-08-20T21:00:00,8.64
2006-08-21T21:00:00,8.93
2006-08-22T21:00:00,8.6
2006-08-23T21:00:00,8.86
2006-08-24T21:00:00,9.04
2006-08-25T21:00:00,9.04
2006-08-26T21:00:00,9.06
2006-08-27T21:00:00,7.66
2006-08-28T21:00:00,7.05
2006-08-29T21:00:00,7.58
2006-08-30T21:00:00,9.17
2006-08-31T21:00:00,9.03
2006-09-01T21:00:00,9.03
2006-09-02T21:00:00,8.99
2006-09-03T21:00:00,8.91
2006-09-04T21:00:00,11.28
2006-09-05T21:00:00,10.7
2006-09-06T21:00:00,8.59
2006-09-07T21:00:00,8.06
2006-09-09T21:00:00,7.98
2006-09-10T21:00:00,4.21
2006-09-11T21:00:00,4.4
2006-09-12T21:00:00,4.94
2006-09-13T21:00:00,2.53
2006-09-14T21:00:00,3.58
2006-09-15T21:00:00,3.6
2006-09-16T21:00:00,3.65
2006-09-17T21:00:00,4.43
2006-09-18T21:00:00,2.18
2006-09-19T21:00:00,2.75
2006-09-20T21:00:00,3.28
2006-09-21T21:00:00,3.66
2006-09-22T21:00:00,3.66
2006-09-23T21:00:00,3.66
2006-09-24T21:00:00,4.1
2006-09-25T21:00:00,4.63
2006-09-26T21:00:00,6.63
2006-09-27T21:00:00,6.53
2006-09-28T21:00:00,6.33
2006-09-29T21:00:00,6.33
2006-09-30T21:00:00,6.38
2006-10-01T21:00:00,5.53
2006-10-02T21:00:00,2.06
2006-10-03T21:00:00,0.95
2006-10-04T21:00:00,2.51
2006-10-05T21:00:00,3.14
2006-10-06T21:00:00,3.14
2006-10-07T21:00:00,3.14
2006-10-08T21:00:00,3.8
2006-10-09T21:00:00,3.67
2006-10-10T21:00:00,3.97
2006-10-11T21:00:00,4.66
2006-10-12T21:00:00,6.96
2006-10-14T21:00:00,6.94
2006-10-15T21:00:00,7.66
2006-10-16T21:00:00,6.52
2006-10-17T21:00:00,6.68
2006-10-18T21:00:00,7.21
2006-10-19T21:00:00,5.99
2006-10-20T21:00:00,5.99
2006-10-21T21:00:00,5.95
2006-10-22T21:00:00,5.05
2006-10-23T21:00:00,5.79
2006-10-24T21:00:00,6.43
2006-10-25T21:00:00,6.57
2006-10-26T21:00:00,6.66
2006-10-27T21:00:00,6.66
2006-10-28T21:00:00,6.71
2006-10-29T22:00:00,7.37
2006-10-30T22:00:00,7.48
2006-10-31T22:00:00,9.35
2006-11-01T22:00:00,10.45
2006-11-02T22:00:00,11.62
2006-11-04T22:00:00,11.62
2006-11-05T22:00:00,11.09
2006-11-06T22:00:00,10.86
2006-11-07T22:00:00,9.53
2006-11-08T22:00:00,11.72
2006-11-09T22:00:00,10.84
2006-11-11T22:00:00,10.71
2006-11-12T22:00:00,10.65
2006-11-13T22:00:00,9.85
2006-11-14T22:00:00,10.29
2006-11-15T22:00:00,9.76
2006-11-16T22:00:00,10.04
2006-11-18T22:00:00,10.03
2006-11-19T22:00:00,10.15
2006-11-20T22:00:00,10.7
2006-11-21T22:00:00,9.91
2006-11-22T22:00:00,9.92
2006-11-23T22:00:00,9.76
2006-11-24T22:00:00,9.76
2006-11-25T22:00:00,9.4
2006-11-26T22:00:00,9.95
2006-11-27T22:00:00,9.56
2006-11-28T22:00:00,9.57
2006-11-29T22:00:00,10.39
2006-11-30T22:00:00,9.62
2006-12-01T22:00:00,9.64
2006-12-02T22:00:00,9.64
2006-12-03T22:00:00,9.71
2006-12-04T22:00:00,9.16
2006-12-05T22:00:00,7.51
2006-12-06T22:00:00,7.87
2006-12-07T22:00:00,7.31
2006-12-08T22:00:00,7.31
2006-12-09T22:00:00,7.36
2006-12-10T22:00:00,7.96
2006-12-11T22:00:00,7.62
2006-12-12T22:00:00,7.9
2006-12-13T22:00:00,8.18
2006-12-14T22:00:00,7.06
2006-12-15T22:00:00,7.06
2006-12-16T22:00:00,7.04
2006-12-17T22:00:00,7.24
2006-12-18T22:00:00,7.65
2006-12-19T22:00:00,7.62
2006-12-20T22:00:00,7.16
2006-12-21T22:00:00,7.91
2006-12-23T22:00:00,7.94
2006-12-24T22:00:00,7.7
2006-12-25T22:00:00,8.72
2006-12-26T22:00:00,9.37
2006-12-27T22:00:00,10.21
2006-12-28T22:00:00,10.27
2006-12-31T22:00:00,10.2
2007-01-01T22:00:00,10.33
2007-01-02T22:00:00,9.37
2007-01-03T22:00:00,9.04
2007-01-04T22:00:00,7.05
2007-01-05T22:00:00,6.93
2007-01-06T22:00:00,6.89
2007-01-07T22:00:00,7.47
2007-01-08T22:00:00,8.43
2007-01-09T22:00:00,8.44
2007-01-10T22:00:00,8.71
2007-01-11T22:00:00,11.08
2007-01-12T22:00:00,11.08
2007-01-13T22:00:00,11.11
2007-01-14T22:00:00,11.1
2007-01-15T22:00:00,10.77
2007-01-16T22:00:00,11.9
2007-01-17T22:00:00,11.11
2007-01-18T22:00:00,12.53
2007-01-19T22:00:00,12.53
2007-01-20T22:00:00,12.54
2007-01-21T22:00:00,12.27
2007-01-22T22:00:00,13.87
2007-01-23T22:00:00,14.58
2007-01-24T22:00:00,14.28
2007-01-25T22:00:00,14.66
2007-01-26T22:00:00,14.66
2007-01-27T22:00:00,14.65
2007-01-28T22:00:00,14.32
2007-01-29T22:00:00,14.65
2007-01-30T22:00:00,14.95
2007-01-31T22:00:00,15.61
2007-02-01T22:00:00,14.5
2007-02-02T22:00:00,14.5
2007-02-03T22:00:00,14.46
2007-02-04T22:00:00,14.6
2007-02-05T22:00:00,14.67
2007-02-06T22:00:00,14.51
2007-02-07T22:00:00,16.2
2007-02-08T22:00:00,17.32
2007-02-09T22:00:00,17.3
2007-02-10T22:00:00,17.37
2007-02-11T22:00:00,16.88
2007-02-12T22:00:00,16.81
2007-02-13T22:00:00,16.98
2007-02-14T22:00:00,16.6
2007-02-15T22:00:00,16.6
2007-02-17T22:00:00,16.49
2007-02-18T22:00:00,16.7
2007-02-19T22:00:00,15.02
2007-02-20T22:00:00,18.41
2007-02-21T22:00:00,18.19
2007-02-22T22:00:00,18.52
2007-02-24T22:00:00,18.52
2007-02-25T22:00:00,18.87
2007-02-26T22:00:00,14.52
2007-02-27T22:00:00,15.6
2007-02-28T22:00:00,15.04
2007-03-01T22:00:00,11.31
2007-03-02T22:00:00,11.31
2007-03-03T22:00:00,11.33
2007-03-04T22:00:00,10.75
2007-03-05T22:00:00,12.53
2007-03-06T22:00:00,12.43
2007-03-07T22:00:00,13.7
2007-03-08T22:00:00,13.91
2007-03-10T22:00:00,13.65
2007-03-11T21:00:00,13.29
2007-03-12T21:00:00,11.69
2007-03-13T21:00:00,11.71
2007-03-14T21:00:00,12.1
2007-03-15T21:00:00,12.3
2007-03-16T21:00:00,12.3
