date,return
2006-03-18T22:00:00,0.0
2006-03-19T22:00:00,0.17
2006-03-20T22:00:00,0.15
2006-03-21T22:00:00,-0.06
2006-03-22T22:00:00,0.45
2006-03-23T22:00:00,1.97
2006-03-25T22:00:00,1.91
2006-03-26T22:00:00,2.93
2006-03-27T22:00:00,2.53
2006-03-28T22:00:00,4.8
2006-03-29T22:00:00,6.64
2006-03-30T22:00:00,6.35
2006-04-01T22:00:00,6.37
2006-04-02T21:00:00,6.95
2006-04-03T21:00:00,5.86
2006-04-04T21:00:00,6.2
2006-04-05T21:00:00,7.43
2006-04-06T21:00:00,6.96
2006-04-08T21:00:00,6.98
2006-04-09T21:00:00,8.82
2006-04-10T21:00:00,7.43
2006-04-11T21:00:00,8.24
2006-04-12T21:00:00,7.75
2006-04-13T21:00:00,7.87
2006-04-15T21:00:00,8.01
2006-04-16T21:00:00,9.64
2006-04-17T21:00:00,10.04
2006-04-18T21:00:00,12.54
2006-04-19T21:00:00,9.03
2006-04-20T21:00:00,12.29
2006-04-22T21:00:00,12.09
2006-04-23T21:00:00,9.98
2006-04-24T21:00:00,11.43
2006-04-25T21:00:00,13.0
2006-04-26T21:00:00,11.27
2006-04-27T21:00:00,13.26
2006-04-29T21:00:00,13.34
2006-04-30T21:00:00,13.32
2006-05-01T21:00:00,14.66
2006-05-02T21:00:00,14.3
2006-05-03T21:00:00,15.6
2006-05-04T21:00:00,15.8
2006-05-05T21:00:00,15.8
2006-05-06T21:00:00,15.74
2006-05-07T21:00:00,15.16
2006-05-08T21:00:00,17.94
2006-05-09T21:00:00,19.19
2006-05-10T21:00:00,19.03
2006-05-11T21:00:00,18.51
2006-05-12T21:00:00,18.52
2006-05-13T21:00:00,18.46
2006-05-14T21:00:00,13.98
2006-05-15T21:00:00,15.42
2006-05-16T21:00:00,15.24
2006-05-17T21:00:00,14.04
2006-05-18T21:00:00,11.19
2006-05-20T21:00:00,11.34
2006-05-21T21:00:00,10.39
2006-05-22T21:00:00,12.35
2006-05-23T21:00:00,9.08
2006-05-24T21:00:00,10.49
2006-05-25T21:00:00,11.62
2006-05-27T21:00:00,11.37
2006-05-28T21:00:00,10.97
2006-05-29T21:00:00,10.13
2006-05-30T21:00:00,9.69
2006-05-31T21:00:00,7.46
2006-06-01T21:00:00,8.0
2006-06-03T21:00:00,7.85
2006-06-04T21:00:00,8.25
2006-06-05T21:00:00,7.92
2006-06-06T21:00:00,7.61
2006-06-07T21:00:00,6.03
2006-06-08T21:00:00,5.33
2006-06-10T21:00:00,5.44
2006-06-11T21:00:00,4.74
2006-06-12T21:00:00,-1.65
2006-06-13T21:00:00,-2.75
2006-06-14T21:00:00,-0.2
2006-06-15T21:00:00,0.59
2006-06-17T21:00:00,0.49
2006-06-18T21:00:00,-1.62
2006-06-19T21:00:00,0.2
2006-06-20T21:00:00,2.09
2006-06-21T21:00:00,1.87
2006-06-22T21:00:00,2.82
2006-06-24T21:00:00,2.82
2006-06-25T21:00:00,2.9
2006-06-26T21:00:00,1.98
2006-06-27T21:00:00,2.41
2006-06-28T21:00:00,5.2
2006-06-29T21:00:00,6.76
2006-07-01T21:00:00,6.66
2006-07-02T21:00:00,8.39
2006-07-03T21:00:00,7.86
2006-07-04T21:00:00,9.52
2006-07-05T21:00:00,10.14
2006-07-06T21:00:00,8.83
2006-07-08T21:00:00,9.02
2006-07-09T21:00:00,8.53
2006-07-10T21:00:00,10.9
2006-07-11T21:00:00,13.22
2006-07-12T21:00:00,13.93
2006-07-13T21:00:00,14.88
2006-07-15T21:00:00,15.09
2006-07-16T21:00:00,12.75
2006-07-17T21:00:00,10.78
2006-07-18T21:00:00,11.45
2006-07-19T21:00:00,8.97
2006-07-20T21:00:00,6.93
2006-07-22T21:00:00,6.97
2006-07-23T21:00:00,6.57
2006-07-24T21:00:00,7.86
2006-07-25T21:00:00,7.92
2006-07-26T21:00:00,9.34
2006-07-27T21:00:00,9.05
2006-07-28T21:00:00,9.05
2006-07-29T21:00:00,9.08
2006-07-30T21:00:00,9.08
2006-07-31T21:00:00,10.27
2006-08-01T21:00:00,10.86
2006-08-02T21:00:00,9.35
2006-08-03T21:00:00,8.51
2006-08-04T21:00:00,8.51
2006-08-05T21:00:00,8.53
2006-08-06T21:00:00,9.06
2006-08-07T21:00:00,8.06
2006-08-08T21:00:00,9.41
2006-08-09T21:00:00,7.9
2006-08-10T21:00:00,7.47
2006-08-12T21:00:00,7.45
2006-08-13T21:00:00,6.71
2006-08-14T21:00:00,6.09
2006-08-15T21:00:00,6.64
2006-08-16T21:00:00,4.81
2006-08-17T21:00:00,5.13
2006-08-19T21:00:00,5.06
2006-08-20T21:00:00,6.67
2006-08-21T21:00:00,6.5
2006-08-22T21:00:00,5.77
2006-08-23T21:00:00,6.12
2006-08-24T21:00:00,6.22
2006-08-25T21:00:00,6.22
2006-08-26T21:00:00,6.22
2006-08-27T21:00:00,4.73
2006-08-28T21:00:00,4.5
2006-08-29T21:00:00,4.79
2006-08-30T21:00:00,6.09
2006-08-31T21:00:00,5.92
2006-09-01T21:00:00,5.92
2006-09-02T21:00:00,5.91
2006-09-03T21:00:00,5.87
2006-09-04T21:00:00,8.45
2006-09-05T21:00:00,8.26
2006-09-06T21:00:00,5.99
2006-09-07T21:00:00,5.61
2006-09-09T21:00:00,5.56
2006-09-10T21:00:00,2.02
2006-09-11T21:00:00,1.27
2006-09-12T21:00:00,1.67
2006-09-13T21:00:00,-1.39
2006-09-14T21:00:00,-0.33
2006-09-15T21:00:00,-0.31
2006-09-16T21:00:00,-0.23
2006-09-17T21:00:00,0.98
2006-09-18T21:00:00,-1.45
2006-09-19T21:00:00,-1.22
2006-09-20T21:00:00,-0.66
2006-09-21T21:00:00,0.38
2006-09-23T21:00:00,0.43
2006-09-24T21:00:00,0.6
2006-09-25T21:00:00,1.07
2006-09-26T21:00:00,3.24
2006-09-27T21:00:00,3.51
2006-09-28T21:00:00,3.29
2006-09-29T21:00:00,3.29
2006-09-30T21:00:00,3.08
2006-10-01T21:00:00,2.27
2006-10-02T21:00:00,-1.45
2006-10-03T21:00:00,-2.75
2006-10-04T21:00:00,-1.08
2006-10-05T21:00:00,-0.66
2006-10-07T21:00:00,-0.6
2006-10-08T21:00:00,0.1
2006-10-09T21:00:00,0.05
2006-10-10T21:00:00,0.16
2006-10-11T21:00:00,0.86
2006-10-12T21:00:00,3.0
2006-10-13T21:00:00,3.0
2006-10-14T21:00:00,3.01
2006-10-15T21:00:00,3.6
2006-10-16T21:00:00,2.18
2006-10-17T21:00:00,2.31
2006-10-18T21:00:00,3.35
2006-10-19T21:00:00,1.74
2006-10-20T21:00:00,1.74
2006-10-21T21:00:00,1.71
2006-10-22T21:00:00,0.62
2006-10-23T21:00:00,1.38
2006-10-24T21:00:00,1.92
2006-10-25T21:00:00,2.27
2006-10-26T21:00:00,2.36
2006-10-27T21:00:00,2.36
2006-10-28T21:00:00,2.47
2006-10-29T22:00:00,2.87
2006-10-30T22:00:00,2.99
2006-10-31T22:00:00,4.64
2006-11-01T22:00:00,5.79
2006-11-02T22:00:00,6.67
2006-11-04T22:00:00,6.62
2006-11-05T22:00:00,6.17
2006-11-06T22:00:00,5.98
2006-11-07T22:00:00,4.58
2006-11-08T22:00:00,7.43
2006-11-09T22:00:00,6.3
2006-11-10T22:00:00,6.29
2006-11-11T22:00:00,6.32
2006-11-12T22:00:00,6.34
2006-11-13T22:00:00,5.92
2006-11-14T22:00:00,6.54
2006-11-15T22:00:00,5.86
2006-11-16T22:00:00,6.12
2006-11-17T22:00:00,6.12
2006-11-18T22:00:00,6.09
2006-11-19T22:00:00,6.07
2006-11-20T22:00:00,6.76
2006-11-21T22:00:00,6.36
2006-11-22T22:00:00,6.46
2006-11-23T22:00:00,6.69
2006-11-25T22:00:00,6.16
2006-11-26T22:00:00,6.81
2006-11-27T22:00:00,6.04
2006-11-28T22:00:00,5.74
2006-11-29T22:00:00,6.55
2006-11-30T22:00:00,5.42
2006-12-01T22:00:00,5.42
2006-12-02T22:00:00,5.63
2006-12-03T22:00:00,5.46
2006-12-04T22:00:00,5.38
2006-12-05T22:00:00,3.8
2006-12-06T22:00:00,4.38
2006-12-07T22:00:00,3.43
2006-12-08T22:00:00,3.46
2006-12-09T22:00:00,3.61
2006-12-10T22:00:00,4.21
2006-12-11T22:00:00,3.49
2006-12-12T22:00:00,3.44
2006-12-13T22:00:00,3.36
2006-12-14T22:00:00,2.1
2006-12-16T22:00:00,2.05
2006-12-17T22:00:00,2.46
2006-12-18T22:00:00,2.4
2006-12-19T22:00:00,2.28
2006-12-20T22:00:00,2.08
2006-12-21T22:00:00,2.68
2006-12-24T22:00:00,2.38
2006-12-25T22:00:00,3.47
2006-12-26T22:00:00,3.7
2006-12-27T22:00:00,4.58
2006-12-28T22:00:00,5.11
2006-12-31T22:00:00,5.06
2007-01-01T22:00:00,4.87
2007-01-02T22:00:00,4.03
2007-01-03T22:00:00,3.53
2007-01-04T22:00:00,1.96
2007-01-06T22:00:00,1.88
2007-01-07T22:00:00,2.0
2007-01-08T22:00:00,2.43
2007-01-09T22:00:00,2.45
2007-01-10T22:00:00,1.83
2007-01-11T22:00:00,3.67
2007-01-12T22:00:00,3.67
2007-01-13T22:00:00,3.65
2007-01-14T22:00:00,3.3
2007-01-15T22:00:00,3.17
2007-01-16T22:00:00,3.93
2007-01-17T22:00:00,2.93
2007-01-18T22:00:00,4.23
2007-01-19T22:00:00,4.23
2007-01-20T22:00:00,4.21
2007-01-21T22:00:00,3.76
2007-01-22T22:00:00,5.63
2007-01-23T22:00:00,6.51
2007-01-24T22:00:00,6.42
2007-01-25T22:00:00,6.64
2007-01-26T22:00:00,6.64
2007-01-27T22:00:00,6.61
2007-01-28T22:00:00,6.22
2007-01-29T22:00:00,6.64
2007-01-30T22:00:00,7.39
2007-01-31T22:00:00,7.99
2007-02-01T22:00:00,6.58
2007-02-02T22:00:00,6.58
2007-02-03T22:00:00,6.56
2007-02-04T22:00:00,6.97
2007-02-05T22:00:00,7.18
2007-02-06T22:00:00,6.9
2007-02-07T22:00:00,8.85
2007-02-08T22:00:00,10.34
2007-02-10T22:00:00,10.36
2007-02-11T22:00:00,9.56
2007-02-12T22:00:00,10.04
2007-02-13T22:00:00,9.93
2007-02-14T22:00:00,10.57
2007-02-15T22:00:00,10.6
2007-02-17T22:00:00,10.37
2007-02-18T22:00:00,10.75
2007-02-19T22:00:00,8.56
2007-02-20T22:00:00,11.9
2007-02-21T22:00:00,11.56
2007-02-22T22:00:00,11.99
2007-02-24T22:00:00,12.0
2007-02-25T22:00:00,12.57
2007-02-26T22:00:00,9.28
2007-02-27T22:00:00,10.09
2007-02-28T22:00:00,9.63
2007-03-01T22:00:00,7.04
2007-03-02T22:00:00,7.04
2007-03-03T22:00:00,7.04
2007-03-04T22:00:00,7.32
2007-03-05T22:00:00,8.31
2007-03-06T22:00:00,8.59
2007-03-07T22:00:00,9.27
2007-03-08T22:00:00,8.69
2007-03-10T22:00:00,8.7
2007-03-11T21:00:00,9.12
2007-03-12T21:00:00,8.25
2007-03-13T21:00:00,7.97
2007-03-14T21:00:00,8.21
2007-03-15T21:00:00,9.01
2007-03-17T21:00:00,8.99
2007-03-18T21:00:00,8.94
2007-03-19T21:00:00,8.74
2007-03-20T21:00:00,9.26
2007-03-21T21:00:00,9.36
2007-03-22T21:00:00,8.57
2007-03-24T21:00:00,8.55
2007-03-25T21:00:00,9.14
2007-03-26T21:00:00,9.45
2007-03-27T21:00:00,9.81
2007-03-28T21:00:00,9.22
2007-03-29T21:00:00,9.23
2007-03-31T21:00:00,9.19
2007-04-01T21:00:00,8.75
2007-04-02T21:00:00,8.97
2007-04-03T21:00:00,10.32
2007-04-04T21:00:00,10.71
2007-04-05T21:00:00,10.77
2007-04-06T21:00:00,10.88
2007-04-07T21:00:00,10.92
2007-04-08T21:00:00,10.7
2007-04-09T21:00:00,11.14
2007-04-10T21:00:00,10.95
2007-04-11T21:00:00,10.5
2007-04-12T21:00:00,11.51
2007-04-13T21:00:00,11.51
2007-04-14T21:00:00,11.51
2007-04-15T21:00:00,12.07
2007-04-16T21:00:00,10.7
2007-04-17T21:00:00,11.09
2007-04-18T21:00:00,10.31
2007-04-19T21:00:00,11.68
2007-04-21T21:00:00,11.54
2007-04-22T21:00:00,11.38
2007-04-23T21:00:00,10.59
2007-04-24T21:00:00,10.89
2007-04-25T21:00:00,9.76
2007-04-26T21:00:00,10.43
2007-04-27T21:00:00,10.43
2007-04-28T21:00:00,10.44
2007-04-29T21:00:00,9.93
2007-04-30T21:00:00,9.23
2007-05-01T21:00:00,9.61
2007-05-02T21:00:00,11.09
2007-05-03T21:00:00,11.81
2007-05-05T21:00:00,11.71
2007-05-06T21:00:00,11.77
2007-05-07T21:00:00,11.5
2007-05-08T21:00:00,10.55
2007-05-09T21:00:00,9.09
2007-05-10T21:00:00,9.79
2007-05-12T21:00:00,9.83
2007-05-13T21:00:00,9.8
2007-05-14T21:00:00,9.82
2007-05-15T21:00:00,8.75
2007-05-16T21:00:00,8.21
2007-05-17T21:00:00,8.83
2007-05-19T21:00:00,8.83
2007-05-20T21:00:00,9.22
2007-05-21T21:00:00,8.48
2007-05-22T21:00:00,8.25
2007-05-23T21:00:00,7.25
2007-05-24T21:00:00,7.55
2007-05-26T21:00:00,7.52
2007-05-27T21:00:00,7.46
2007-05-28T21:00:00,7.77
2007-05-29T21:00:00,7.53
2007-05-30T21:00:00,8.43
2007-05-31T21:00:00,9.95
2007-06-01T21:00:00,9.95
2007-06-02T21:00:00,9.98
2007-06-03T21:00:00,9.44
2007-06-04T21:00:00,9.17
2007-06-05T21:00:00,9.32
2007-06-06T21:00:00,8.32
2007-06-07T21:00:00,7.14
2007-06-09T21:00:00,7.15
2007-06-10T21:00:00,7.97
2007-06-11T21:00:00,6.72
2007-06-12T21:00:00,7.44
2007-06-13T21:00:00,7.68
2007-06-14T21:00:00,7.87
2007-06-15T21:00:00,7.87
2007-06-16T21:00:00,7.85
2007-06-17T21:00:00,7.62
2007-06-18T21:00:00,8.14
2007-06-19T21:00:00,6.89
2007-06-20T21:00:00,6.52
2007-06-21T21:00:00,6.53
2007-06-23T21:00:00,6.56
2007-06-24T21:00:00,6.12
2007-06-25T21:00:00,4.59
2007-06-26T21:00:00,4.91
2007-06-27T21:00:00,5.54
2007-06-28T21:00:00,5.38
2007-06-29T21:00:00,5.37
2007-06-30T21:00:00,5.34
2007-07-01T21:00:00,6.09
2007-07-02T21:00:00,5.54
