date,return
2008-06-07T21:00:00,0.06
2008-06-08T21:00:00,-0.97
2008-06-09T21:00:00,-3.86
2008-06-10T21:00:00,-2.32
2008-06-11T21:00:00,-3.62
2008-06-12T21:00:00,-3.3
2008-06-13T21:00:00,-3.33
2008-06-14T21:00:00,-3.33
2008-06-15T21:00:00,-2.12
2008-06-16T21:00:00,-2.08
2008-06-17T21:00:00,-0.83
2008-06-18T21:00:00,-0.38
2008-06-19T21:00:00,0.03
2008-06-22T21:00:00,-2.07
2008-06-23T21:00:00,-1.44
2008-06-24T21:00:00,-1.78
2008-06-25T21:00:00,1.62
2008-06-26T21:00:00,2.75
2008-06-29T21:00:00,2.34
2008-06-30T21:00:00,3.92
2008-07-01T21:00:00,4.48
2008-07-02T21:00:00,3.34
2008-07-03T21:00:00,3.32
2008-07-05T21:00:00,3.32
2008-07-06T21:00:00,2.48
2008-07-07T21:00:00,1.8
2008-07-08T21:00:00,2.77
2008-07-09T21:00:00,4.84
2008-07-10T21:00:00,6.61
2008-07-12T21:00:00,6.67
2008-07-13T21:00:00,7.47
2008-07-14T21:00:00,7.9
2008-07-15T21:00:00,6.15
2008-07-16T21:00:00,5.85
2008-07-17T21:00:00,5.59
2008-07-18T21:00:00,5.59
2008-07-19T21:00:00,5.57
2008-07-20T21:00:00,6.69
2008-07-21T21:00:00,4.68
2008-07-22T21:00:00,2.01
2008-07-23T21:00:00,2.79
2008-07-24T21:00:00,2.98
2008-07-26T21:00:00,2.98
2008-07-27T21:00:00,3.03
2008-07-28T21:00:00,1.83
2008-07-29T21:00:00,0.45
2008-07-30T21:00:00,1.32
2008-07-31T21:00:00,0.99
2008-08-02T21:00:00,0.97
2008-08-03T21:00:00,-0.8
2008-08-04T21:00:00,-3.09
2008-08-05T21:00:00,-2.46
2008-08-06T21:00:00,-3.24
2008-08-07T21:00:00,-5.04
2008-08-09T21:00:00,-5.04
2008-08-10T21:00:00,-8.92
2008-08-11T21:00:00,-10.33
2008-08-12T21:00:00,-8.55
2008-08-13T21:00:00,-10.94
2008-08-14T21:00:00,-13.27
2008-08-16T21:00:00,-13.27
2008-08-17T21:00:00,-11.74
2008-08-18T21:00:00,-9.97
2008-08-19T21:00:00,-10.02
2008-08-20T21:00:00,-7.23
2008-08-21T21:00:00,-8.91
2008-08-23T21:00:00,-8.9
2008-08-24T21:00:00,-9.06
2008-08-25T21:00:00,-8.72
2008-08-26T21:00:00,-8.47
2008-08-27T21:00:00,-7.61
2008-08-28T21:00:00,-7.97
2008-08-30T21:00:00,-7.97
2008-08-31T21:00:00,-9.58
2008-09-01T21:00:00,-11.08
2008-09-02T21:00:00,-11.56
2008-09-03T21:00:00,-12.19
2008-09-04T21:00:00,-11.3
2008-09-06T21:00:00,-11.27
2008-09-07T21:00:00,-11.56
2008-09-08T21:00:00,-14.68
2008-09-09T21:00:00,-17.9
2008-09-10T21:00:00,-18.64
2008-09-11T21:00:00,-16.15
2008-09-13T21:00:00,-15.78
2008-09-14T21:00:00,-13.51
2008-09-15T21:00:00,-14.57
2008-09-16T21:00:00,-3.65
2008-09-17T21:00:00,-4.96
2008-09-18T21:00:00,-2.57
2008-09-20T21:00:00,-2.66
2008-09-21T21:00:00,-0.11
2008-09-22T21:00:00,-0.83
2008-09-23T21:00:00,-1.73
2008-09-24T21:00:00,-2.18
2008-09-25T21:00:00,-2.07
2008-09-27T21:00:00,-2.07
2008-09-28T21:00:00,1.24
2008-09-29T21:00:00,-2.92
2008-09-30T21:00:00,-2.85
2008-10-01T21:00:00,-6.76
2008-10-02T21:00:00,-6.93
2008-10-03T21:00:00,-6.93
2008-10-04T21:00:00,-7.23
2008-10-05T21:00:00,-4.01
2008-10-06T21:00:00,-0.76
2008-10-07T21:00:00,1.5
2008-10-08T21:00:00,2.0
2008-10-09T21:00:00,-4.79
2008-10-11T21:00:00,-4.67
2008-10-12T21:00:00,-6.72
2008-10-13T21:00:00,-6.3
2008-10-14T21:00:00,-5.15
2008-10-15T21:00:00,-10.14
2008-10-16T21:00:00,-12.75
2008-10-18T21:00:00,-12.75
2008-10-19T21:00:00,-11.03
2008-10-20T21:00:00,-14.22
2008-10-21T21:00:00,-19.53
2008-10-22T21:00:00,-20.78
2008-10-23T21:00:00,-18.95
2008-10-25T21:00:00,-18.95
2008-10-26T21:00:00,-19.45
2008-10-27T21:00:00,-17.39
2008-10-28T21:00:00,-16.32
2008-10-29T21:00:00,-18.47
2008-10-30T21:00:00,-20.4
2008-11-01T21:00:00,-20.38
2008-11-02T22:00:00,-20.53
2008-11-03T22:00:00,-15.1
2008-11-04T22:00:00,-18.05
2008-11-05T22:00:00,-19.06
2008-11-06T22:00:00,-18.5
2008-11-08T22:00:00,-18.5
2008-11-09T22:00:00,-17.22
2008-11-10T22:00:00,-19.17
2008-11-11T22:00:00,-21.82
2008-11-12T22:00:00,-18.43
2008-11-13T22:00:00,-17.63
2008-11-15T22:00:00,-17.63
2008-11-16T22:00:00,-18.18
2008-11-17T22:00:00,-18.17
2008-11-18T22:00:00,-18.64
2008-11-19T22:00:00,-17.02
2008-11-20T22:00:00,-9.82
2008-11-21T22:00:00,-9.82
2008-11-22T22:00:00,-9.81
2008-11-23T22:00:00,-7.27
2008-11-24T22:00:00,-7.18
2008-11-25T22:00:00,-8.22
2008-11-26T22:00:00,-7.88
2008-11-27T22:00:00,-7.64
2008-11-28T22:00:00,-7.64
2008-11-29T22:00:00,-7.6
2008-11-30T22:00:00,-13.6
2008-12-01T22:00:00,-11.87
2008-12-02T22:00:00,-12.92
2008-12-03T22:00:00,-13.83
2008-12-04T22:00:00,-15.24
2008-12-05T22:00:00,-15.24
2008-12-06T22:00:00,-15.21
2008-12-07T22:00:00,-13.07
2008-12-08T22:00:00,-12.47
2008-12-09T22:00:00,-8.16
2008-12-10T22:00:00,-6.85
2008-12-11T22:00:00,-6.71
2008-12-13T22:00:00,-6.71
2008-12-14T22:00:00,-4.75
2008-12-15T22:00:00,-2.45
2008-12-16T22:00:00,-1.3
2008-12-17T22:00:00,-2.99
2008-12-18T22:00:00,-4.72
2008-12-20T22:00:00,-4.72
2008-12-21T22:00:00,-3.53
2008-12-22T22:00:00,-4.43
2008-12-23T22:00:00,-3.49
2008-12-24T22:00:00,-3.5
2008-12-25T22:00:00,-0.99
2008-12-27T22:00:00,-0.86
2008-12-28T22:00:00,0.28
2008-12-29T22:00:00,-0.47
2008-12-30T22:00:00,0.44
2008-12-31T22:00:00,0.3
2009-01-01T22:00:00,-0.31
2009-01-03T22:00:00,-0.33
2009-01-04T22:00:00,-2.0
2009-01-05T22:00:00,-1.48
2009-01-06T22:00:00,-3.93
2009-01-07T22:00:00,-2.23
2009-01-08T22:00:00,-2.53
2009-01-10T22:00:00,-2.53
2009-01-11T22:00:00,-6.62
2009-01-12T22:00:00,-6.45
2009-01-13T22:00:00,-7.7
2009-01-14T22:00:00,-6.88
2009-01-15T22:00:00,-3.82
2009-01-17T22:00:00,-3.81
2009-01-18T22:00:00,-4.67
2009-01-19T22:00:00,-2.1
2009-01-20T22:00:00,-2.48
2009-01-21T22:00:00,-2.16
2009-01-22T22:00:00,2.79
2009-01-24T22:00:00,2.8
2009-01-25T22:00:00,3.4
2009-01-26T22:00:00,2.93
2009-01-27T22:00:00,1.62
2009-01-28T22:00:00,3.99
2009-01-29T22:00:00,6.06
2009-01-31T22:00:00,6.06
2009-02-01T22:00:00,3.61
2009-02-02T22:00:00,3.07
2009-02-03T22:00:00,3.66
2009-02-04T22:00:00,4.68
2009-02-05T22:00:00,4.28
2009-02-07T22:00:00,4.29
2009-02-08T22:00:00,2.47
2009-02-09T22:00:00,4.78
2009-02-10T22:00:00,7.35
2009-02-11T22:00:00,8.14
2009-02-12T22:00:00,7.63
2009-02-14T22:00:00,7.63
2009-02-15T22:00:00,7.64
2009-02-16T22:00:00,10.68
2009-02-17T22:00:00,12.18
2009-02-18T22:00:00,11.16
2009-02-19T22:00:00,13.05
2009-02-21T22:00:00,13.04
2009-02-22T22:00:00,12.93
2009-02-23T22:00:00,9.96
2009-02-24T22:00:00,9.08
2009-02-25T22:00:00,8.23
2009-02-26T22:00:00,7.91
2009-02-27T22:00:00,7.91
2009-02-28T22:00:00,7.92
2009-03-01T22:00:00,6.41
2009-03-02T22:00:00,5.35
2009-03-03T22:00:00,4.32
2009-03-04T22:00:00,7.1
2009-03-05T22:00:00,7.85
2009-03-07T22:00:00,7.85
2009-03-08T21:00:00,6.15
2009-03-09T21:00:00,3.51
2009-03-10T21:00:00,4.77
2009-03-11T21:00:00,6.71
2009-03-12T21:00:00,6.98
2009-03-14T21:00:00,6.76
2009-03-15T21:00:00,6.45
2009-03-16T21:00:00,5.51
2009-03-17T21:00:00,8.36
2009-03-18T21:00:00,10.33
2009-03-19T21:00:00,9.59
2009-03-20T21:00:00,9.59
2009-03-21T21:00:00,9.45
2009-03-22T21:00:00,8.07
2009-03-23T21:00:00,6.54
2009-03-24T21:00:00,7.4
2009-03-25T21:00:00,7.45
2009-03-26T21:00:00,6.25
2009-03-27T21:00:00,6.25
2009-03-28T21:00:00,6.4
2009-03-29T21:00:00,5.79
2009-03-30T21:00:00,6.01
2009-03-31T21:00:00,6.84
2009-04-01T21:00:00,4.4
2009-04-02T21:00:00,3.16
2009-04-03T21:00:00,3.12
2009-04-04T21:00:00,3.25
2009-04-05T21:00:00,0.41
2009-04-06T21:00:00,1.78
2009-04-07T21:00:00,1.73
2009-04-08T21:00:00,1.61
2009-04-09T21:00:00,1.94
2009-04-11T21:00:00,1.61
2009-04-12T21:00:00,3.26
2009-04-13T21:00:00,2.9
2009-04-14T21:00:00,2.96
2009-04-15T21:00:00,1.23
2009-04-16T21:00:00,0.43
2009-04-18T21:00:00,0.46
2009-04-19T21:00:00,2.24
2009-04-20T21:00:00,2.2
2009-04-21T21:00:00,2.85
2009-04-22T21:00:00,4.5
2009-04-23T21:00:00,5.45
2009-04-25T21:00:00,5.45
2009-04-26T21:00:00,4.7
2009-04-27T21:00:00,3.29
2009-04-28T21:00:00,3.79
2009-04-29T21:00:00,2.68
2009-04-30T21:00:00,2.52
2009-05-02T21:00:00,2.52
2009-05-03T21:00:00,4.38
2009-05-04T21:00:00,3.85
2009-05-05T21:00:00,5.39
2009-05-06T21:00:00,5.34
2009-05-07T21:00:00,6.01
2009-05-09T21:00:00,6.01
2009-05-10T21:00:00,5.67
2009-05-11T21:00:00,6.73
2009-05-12T21:00:00,7.06
2009-05-13T21:00:00,7.08
2009-05-14T21:00:00,7.67
2009-05-16T21:00:00,7.64
2009-05-17T21:00:00,6.25
2009-05-18T21:00:00,6.95
2009-05-19T21:00:00,8.43
2009-05-20T21:00:00,10.06
2009-05-21T21:00:00,10.4
2009-05-23T21:00:00,10.4
2009-05-24T21:00:00,10.57
2009-05-25T21:00:00,9.84
2009-05-26T21:00:00,9.64
2009-05-27T21:00:00,10.65
2009-05-28T21:00:00,12.69
2009-05-29T21:00:00,12.69
2009-05-30T21:00:00,12.72
2009-05-31T21:00:00,12.26
2009-06-01T21:00:00,12.96
2009-06-02T21:00:00,11.06
2009-06-03T21:00:00,12.84
2009-06-04T21:00:00,10.33
2009-06-06T21:00:00,10.33
2009-06-07T21:00:00,9.98
2009-06-08T21:00:00,10.27
2009-06-09T21:00:00,10.22
2009-06-10T21:00:00,10.26
2009-06-11T21:00:00,8.64
2009-06-13T21:00:00,8.64
2009-06-14T21:00:00,7.48
2009-06-15T21:00:00,8.17
2009-06-16T21:00:00,8.59
2009-06-17T21:00:00,8.04
2009-06-18T21:00:00,8.1
2009-06-21T21:00:00,6.88
2009-06-22T21:00:00,7.22
2009-06-23T21:00:00,7.84
2009-06-24T21:00:00,8.67
2009-06-25T21:00:00,8.73
2009-06-26T21:00:00,8.73
2009-06-27T21:00:00,8.73
2009-06-28T21:00:00,8.61
2009-06-29T21:00:00,7.38
2009-06-30T21:00:00,8.93
2009-07-01T21:00:00,7.77
2009-07-02T21:00:00,8.08
2009-07-04T21:00:00,8.08
2009-07-05T21:00:00,7.27
2009-07-06T21:00:00,7.21
2009-07-07T21:00:00,5.6
2009-07-08T21:00:00,5.89
