date,return
2006-03-18T22:00:00,0.07
2006-03-19T22:00:00,0.59
2006-03-20T22:00:00,0.82
2006-03-21T22:00:00,0.36
2006-03-22T22:00:00,0.9
2006-03-23T22:00:00,2.51
2006-03-25T22:00:00,2.58
2006-03-26T22:00:00,3.1
2006-03-27T22:00:00,3.52
2006-03-28T22:00:00,5.14
2006-03-29T22:00:00,7.29
2006-03-30T22:00:00,6.87
2006-04-01T22:00:00,6.94
2006-04-02T21:00:00,7.58
2006-04-03T21:00:00,7.26
2006-04-04T21:00:00,7.46
2006-04-05T21:00:00,8.91
2006-04-06T21:00:00,8.27
2006-04-08T21:00:00,8.14
2006-04-09T21:00:00,10.17
2006-04-10T21:00:00,9.06
2006-04-11T21:00:00,10.13
2006-04-12T21:00:00,9.83
2006-04-13T21:00:00,10.01
2006-04-15T21:00:00,10.18
2006-04-16T21:00:00,12.06
2006-04-17T21:00:00,12.66
2006-04-18T21:00:00,15.9
2006-04-19T21:00:00,11.84
2006-04-20T21:00:00,14.47
2006-04-22T21:00:00,13.6
2006-04-23T21:00:00,10.77
2006-04-24T21:00:00,12.4
2006-04-25T21:00:00,13.67
2006-04-26T21:00:00,12.34
2006-04-27T21:00:00,15.46
2006-04-29T21:00:00,15.33
2006-04-30T21:00:00,15.13
2006-05-01T21:00:00,17.18
2006-05-02T21:00:00,17.18
2006-05-03T21:00:00,19.05
2006-05-04T21:00:00,18.72
2006-05-05T21:00:00,18.72
2006-05-06T21:00:00,18.27
2006-05-07T21:00:00,17.24
2006-05-08T21:00:00,19.89
2006-05-09T21:00:00,20.48
2006-05-10T21:00:00,21.55
2006-05-11T21:00:00,21.02
2006-05-13T21:00:00,20.63
2006-05-14T21:00:00,16.14
2006-05-15T21:00:00,17.35
2006-05-16T21:00:00,18.0
2006-05-17T21:00:00,17.23
2006-05-18T21:00:00,14.42
2006-05-20T21:00:00,14.48
2006-05-21T21:00:00,13.92
2006-05-22T21:00:00,15.89
2006-05-23T21:00:00,12.88
2006-05-24T21:00:00,13.51
2006-05-25T21:00:00,14.68
2006-05-27T21:00:00,14.34
2006-05-28T21:00:00,13.9
2006-05-29T21:00:00,14.05
2006-05-30T21:00:00,13.3
2006-05-31T21:00:00,10.92
2006-06-01T21:00:00,11.44
2006-06-03T21:00:00,11.41
2006-06-04T21:00:00,11.72
2006-06-05T21:00:00,11.7
2006-06-06T21:00:00,11.31
2006-06-07T21:00:00,9.65
2006-06-08T21:00:00,8.61
2006-06-10T21:00:00,8.8
2006-06-11T21:00:00,8.42
2006-06-12T21:00:00,2.37
2006-06-13T21:00:00,1.48
2006-06-14T21:00:00,4.17
2006-06-15T21:00:00,5.4
2006-06-17T21:00:00,5.34
2006-06-18T21:00:00,3.03
2006-06-19T21:00:00,4.38
2006-06-20T21:00:00,6.38
2006-06-21T21:00:00,6.29
2006-06-22T21:00:00,7.06
2006-06-23T21:00:00,7.06
2006-06-24T21:00:00,7.08
2006-06-25T21:00:00,7.18
2006-06-26T21:00:00,6.18
2006-06-27T21:00:00,6.59
2006-06-28T21:00:00,8.77
2006-06-29T21:00:00,10.79
2006-07-01T21:00:00,10.58
2006-07-02T21:00:00,12.31
2006-07-03T21:00:00,12.11
2006-07-04T21:00:00,13.92
2006-07-05T21:00:00,14.16
2006-07-06T21:00:00,12.62
2006-07-07T21:00:00,12.62
2006-07-08T21:00:00,12.8
2006-07-09T21:00:00,12.03
2006-07-10T21:00:00,14.67
2006-07-11T21:00:00,17.47
2006-07-12T21:00:00,18.57
2006-07-13T21:00:00,19.86
2006-07-15T21:00:00,20.11
2006-07-16T21:00:00,17.6
2006-07-17T21:00:00,16.1
2006-07-18T21:00:00,17.24
2006-07-19T21:00:00,15.27
2006-07-20T21:00:00,13.0
2006-07-22T21:00:00,13.07
2006-07-23T21:00:00,12.7
2006-07-24T21:00:00,13.82
2006-07-25T21:00:00,13.89
2006-07-26T21:00:00,15.02
2006-07-27T21:00:00,14.1
2006-07-28T21:00:00,14.12
2006-07-29T21:00:00,14.19
2006-07-30T21:00:00,14.42
2006-07-31T21:00:00,15.98
2006-08-01T21:00:00,16.7
2006-08-02T21:00:00,16.05
2006-08-03T21:00:00,15.76
2006-08-05T21:00:00,15.57
2006-08-06T21:00:00,16.89
2006-08-07T21:00:00,16.07
2006-08-08T21:00:00,17.27
2006-08-09T21:00:00,15.11
2006-08-10T21:00:00,15.39
