date,return
2006-03-19T22:00:00,1.96
2006-03-20T22:00:00,1.71
2006-03-21T22:00:00,1.14
2006-03-22T22:00:00,1.2
2006-03-23T22:00:00,5.72
2006-03-25T22:00:00,5.39
2006-03-26T22:00:00,7.22
2006-03-27T22:00:00,7.09
2006-03-28T22:00:00,8.6
2006-03-29T22:00:00,9.86
2006-03-30T22:00:00,8.71
2006-04-01T22:00:00,8.63
2006-04-02T21:00:00,10.47
2006-04-03T21:00:00,10.28
2006-04-04T21:00:00,9.45
2006-04-05T21:00:00,11.07
2006-04-06T21:00:00,10.82
2006-04-08T21:00:00,10.78
2006-04-09T21:00:00,12.27
2006-04-10T21:00:00,11.07
2006-04-11T21:00:00,11.05
2006-04-12T21:00:00,10.39
2006-04-13T21:00:00,10.49
2006-04-15T21:00:00,10.69
2006-04-16T21:00:00,12.28
2006-04-17T21:00:00,12.42
2006-04-18T21:00:00,14.8
2006-04-19T21:00:00,11.66
2006-04-20T21:00:00,14.08
2006-04-22T21:00:00,13.92
2006-04-23T21:00:00,12.93
2006-04-24T21:00:00,14.9
2006-04-25T21:00:00,14.92
2006-04-26T21:00:00,14.2
2006-04-27T21:00:00,16.65
2006-04-29T21:00:00,16.76
2006-04-30T21:00:00,16.93
2006-05-01T21:00:00,18.42
2006-05-02T21:00:00,17.81
2006-05-03T21:00:00,19.8
2006-05-04T21:00:00,20.4
2006-05-06T21:00:00,20.31
2006-05-07T21:00:00,21.12
2006-05-08T21:00:00,24.71
2006-05-09T21:00:00,26.57
2006-05-10T21:00:00,26.66
2006-05-11T21:00:00,27.18
2006-05-12T21:00:00,27.19
2006-05-13T21:00:00,26.92
2006-05-14T21:00:00,23.13
2006-05-15T21:00:00,23.79
2006-05-16T21:00:00,24.36
2006-05-17T21:00:00,23.45
2006-05-18T21:00:00,20.27
2006-05-19T21:00:00,20.27
2006-05-20T21:00:00,20.55
2006-05-21T21:00:00,19.58
2006-05-22T21:00:00,20.72
2006-05-23T21:00:00,15.6
2006-05-24T21:00:00,16.01
2006-05-25T21:00:00,17.42
2006-05-27T21:00:00,17.2
2006-05-28T21:00:00,16.78
2006-05-29T21:00:00,16.27
2006-05-30T21:00:00,16.03
2006-05-31T21:00:00,14.53
2006-06-01T21:00:00,15.61
2006-06-03T21:00:00,15.51
2006-06-04T21:00:00,15.25
2006-06-05T21:00:00,14.94
2006-06-06T21:00:00,14.41
2006-06-07T21:00:00,12.37
2006-06-08T21:00:00,10.29
2006-06-10T21:00:00,10.43
2006-06-11T21:00:00,10.49
2006-06-12T21:00:00,4.86
2006-06-13T21:00:00,4.07
2006-06-14T21:00:00,6.84
2006-06-15T21:00:00,8.47
