date,return
2008-06-07T21:00:00,0.05
2008-06-08T21:00:00,-0.92
2008-06-09T21:00:00,-3.26
2008-06-10T21:00:00,-1.9
2008-06-11T21:00:00,-2.74
2008-06-12T21:00:00,-2.25
2008-06-13T21:00:00,-2.31
2008-06-14T21:00:00,-2.39
2008-06-15T21:00:00,-1.68
2008-06-16T21:00:00,-1.98
2008-06-17T21:00:00,-0.51
2008-06-18T21:00:00,-0.06
2008-06-19T21:00:00,0.05
2008-06-22T21:00:00,-1.73
2008-06-23T21:00:00,-1.23
2008-06-24T21:00:00,-1.72
2008-06-25T21:00:00,1.65
2008-06-26T21:00:00,2.65
2008-06-28T21:00:00,2.65
2008-06-29T21:00:00,2.18
2008-06-30T21:00:00,3.83
2008-07-01T21:00:00,4.29
2008-07-02T21:00:00,3.35
2008-07-03T21:00:00,3.31
2008-07-05T21:00:00,3.32
2008-07-06T21:00:00,2.42
2008-07-07T21:00:00,1.8
2008-07-08T21:00:00,2.44
2008-07-09T21:00:00,4.57
2008-07-10T21:00:00,5.99
2008-07-12T21:00:00,6.01
2008-07-13T21:00:00,6.61
2008-07-14T21:00:00,6.78
2008-07-15T21:00:00,5.0
2008-07-16T21:00:00,5.0
2008-07-17T21:00:00,4.79
2008-07-18T21:00:00,4.79
2008-07-19T21:00:00,4.79
2008-07-20T21:00:00,5.75
2008-07-21T21:00:00,4.31
2008-07-22T21:00:00,2.08
2008-07-23T21:00:00,2.61
2008-07-24T21:00:00,2.7
2008-07-26T21:00:00,2.72
2008-07-27T21:00:00,2.95
2008-07-28T21:00:00,2.09
2008-07-29T21:00:00,0.69
2008-07-30T21:00:00,1.51
2008-07-31T21:00:00,1.5
2008-08-02T21:00:00,1.5
2008-08-03T21:00:00,-0.24
2008-08-04T21:00:00,-1.92
2008-08-05T21:00:00,-1.16
2008-08-06T21:00:00,-1.4
2008-08-07T21:00:00,-2.22
2008-08-09T21:00:00,-2.2
2008-08-10T21:00:00,-5.54
2008-08-11T21:00:00,-7.27
2008-08-12T21:00:00,-5.8
2008-08-13T21:00:00,-7.73
2008-08-14T21:00:00,-9.59
2008-08-17T21:00:00,-9.23
2008-08-18T21:00:00,-7.53
2008-08-19T21:00:00,-7.49
2008-08-20T21:00:00,-5.25
2008-08-21T21:00:00,-6.36
2008-08-23T21:00:00,-6.42
2008-08-24T21:00:00,-6.08
2008-08-25T21:00:00,-5.18
2008-08-26T21:00:00,-5.56
2008-08-27T21:00:00,-4.77
2008-08-28T21:00:00,-5.19
2008-08-30T21:00:00,-5.13
2008-08-31T21:00:00,-6.27
2008-09-01T21:00:00,-7.24
2008-09-02T21:00:00,-7.51
2008-09-03T21:00:00,-7.97
2008-09-04T21:00:00,-7.19
2008-09-06T21:00:00,-7.53
2008-09-07T21:00:00,-7.56
2008-09-08T21:00:00,-10.53
2008-09-09T21:00:00,-13.46
2008-09-10T21:00:00,-14.38
2008-09-11T21:00:00,-12.11
2008-09-13T21:00:00,-11.76
2008-09-14T21:00:00,-9.95
2008-09-15T21:00:00,-10.01
2008-09-16T21:00:00,0.27
2008-09-17T21:00:00,-0.89
2008-09-18T21:00:00,1.26
2008-09-20T21:00:00,0.89
2008-09-21T21:00:00,2.41
2008-09-22T21:00:00,2.47
2008-09-23T21:00:00,1.88
2008-09-24T21:00:00,1.24
2008-09-25T21:00:00,1.73
2008-09-27T21:00:00,1.79
2008-09-28T21:00:00,5.59
2008-09-29T21:00:00,1.61
2008-09-30T21:00:00,1.78
2008-10-01T21:00:00,-1.35
2008-10-02T21:00:00,-1.49
2008-10-03T21:00:00,-1.49
2008-10-04T21:00:00,-1.84
2008-10-05T21:00:00,2.53
2008-10-06T21:00:00,5.8
2008-10-07T21:00:00,8.21
2008-10-08T21:00:00,9.2
2008-10-09T21:00:00,3.0
2008-10-11T21:00:00,2.77
2008-10-12T21:00:00,-0.43
2008-10-13T21:00:00,0.17
2008-10-14T21:00:00,2.28
2008-10-15T21:00:00,-2.63
2008-10-16T21:00:00,-5.14
2008-10-18T21:00:00,-5.14
2008-10-19T21:00:00,-3.58
2008-10-20T21:00:00,-6.26
2008-10-21T21:00:00,-10.55
2008-10-22T21:00:00,-11.64
2008-10-23T21:00:00,-9.41
2008-10-25T21:00:00,-9.41
2008-10-26T21:00:00,-9.64
2008-10-27T21:00:00,-9.18
2008-10-28T21:00:00,-8.1
2008-10-29T21:00:00,-11.8
2008-10-30T21:00:00,-12.47
2008-11-01T21:00:00,-12.42
2008-11-02T22:00:00,-12.76
2008-11-03T22:00:00,-7.64
2008-11-04T22:00:00,-10.25
2008-11-05T22:00:00,-9.78
2008-11-06T22:00:00,-9.64
2008-11-08T22:00:00,-9.83
2008-11-09T22:00:00,-8.87
2008-11-10T22:00:00,-9.8
2008-11-11T22:00:00,-12.13
2008-11-12T22:00:00,-8.74
2008-11-13T22:00:00,-7.34
2008-11-15T22:00:00,-7.34
2008-11-16T22:00:00,-7.59
2008-11-17T22:00:00,-7.39
2008-11-18T22:00:00,-7.55
2008-11-19T22:00:00,-5.96
2008-11-20T22:00:00,1.13
2008-11-21T22:00:00,1.13
2008-11-22T22:00:00,1.05
2008-11-23T22:00:00,2.34
2008-11-24T22:00:00,2.28
2008-11-25T22:00:00,1.43
2008-11-26T22:00:00,1.76
2008-11-27T22:00:00,2.26
2008-11-28T22:00:00,2.26
2008-11-29T22:00:00,2.21
2008-11-30T22:00:00,-2.66
2008-12-01T22:00:00,-1.06
2008-12-02T22:00:00,-2.44
2008-12-03T22:00:00,-3.12
2008-12-04T22:00:00,-4.73
2008-12-05T22:00:00,-4.73
2008-12-06T22:00:00,-4.82
2008-12-07T22:00:00,-4.18
2008-12-08T22:00:00,-3.31
2008-12-09T22:00:00,0.54
2008-12-10T22:00:00,1.05
2008-12-11T22:00:00,1.32
2008-12-13T22:00:00,1.24
2008-12-14T22:00:00,2.16
2008-12-15T22:00:00,3.41
2008-12-16T22:00:00,2.75
2008-12-17T22:00:00,1.62
2008-12-18T22:00:00,1.04
2008-12-20T22:00:00,1.04
2008-12-21T22:00:00,1.32
2008-12-22T22:00:00,0.79
2008-12-23T22:00:00,1.38
2008-12-24T22:00:00,1.22
2008-12-25T22:00:00,4.07
2008-12-27T22:00:00,4.19
2008-12-28T22:00:00,4.23
2008-12-29T22:00:00,2.72
2008-12-30T22:00:00,3.27
2008-12-31T22:00:00,3.35
2009-01-01T22:00:00,4.24
2009-01-03T22:00:00,3.85
2009-01-04T22:00:00,3.65
2009-01-05T22:00:00,3.85
2009-01-06T22:00:00,1.52
2009-01-07T22:00:00,3.61
2009-01-08T22:00:00,3.77
2009-01-10T22:00:00,3.77
2009-01-11T22:00:00,0.2
2009-01-12T22:00:00,0.28
2009-01-13T22:00:00,-0.69
2009-01-14T22:00:00,0.18
2009-01-15T22:00:00,2.92
2009-01-17T22:00:00,2.71
2009-01-18T22:00:00,2.58
2009-01-19T22:00:00,5.86
2009-01-20T22:00:00,4.82
2009-01-21T22:00:00,5.17
2009-01-22T22:00:00,10.55
2009-01-24T22:00:00,10.55
2009-01-25T22:00:00,10.88
2009-01-26T22:00:00,10.77
2009-01-27T22:00:00,9.23
2009-01-28T22:00:00,12.03
2009-01-29T22:00:00,14.32
2009-01-31T22:00:00,14.35
2009-02-01T22:00:00,12.11
2009-02-02T22:00:00,11.02
2009-02-03T22:00:00,11.88
2009-02-04T22:00:00,12.65
2009-02-05T22:00:00,11.59
2009-02-07T22:00:00,11.64
2009-02-08T22:00:00,9.75
2009-02-09T22:00:00,12.92
2009-02-10T22:00:00,15.36
2009-02-11T22:00:00,16.42
2009-02-12T22:00:00,15.9
2009-02-14T22:00:00,15.93
2009-02-15T22:00:00,16.22
2009-02-16T22:00:00,20.26
2009-02-17T22:00:00,21.9
2009-02-18T22:00:00,20.62
2009-02-19T22:00:00,22.69
2009-02-21T22:00:00,22.71
2009-02-22T22:00:00,22.58
2009-02-23T22:00:00,18.98
2009-02-24T22:00:00,18.63
2009-02-25T22:00:00,18.39
2009-02-26T22:00:00,18.51
2009-02-27T22:00:00,18.51
2009-02-28T22:00:00,17.96
2009-03-01T22:00:00,16.67
2009-03-02T22:00:00,15.45
2009-03-03T22:00:00,13.85
2009-03-04T22:00:00,17.38
2009-03-05T22:00:00,17.51
2009-03-07T22:00:00,17.51
2009-03-08T21:00:00,16.03
2009-03-09T21:00:00,12.47
2009-03-10T21:00:00,13.32
2009-03-11T21:00:00,15.38
2009-03-12T21:00:00,16.45
2009-03-14T21:00:00,16.32
2009-03-15T21:00:00,15.42
2009-03-16T21:00:00,14.24
2009-03-17T21:00:00,16.07
2009-03-18T21:00:00,17.86
2009-03-19T21:00:00,17.36
2009-03-20T21:00:00,17.36
2009-03-21T21:00:00,17.23
2009-03-22T21:00:00,15.47
2009-03-23T21:00:00,14.32
2009-03-24T21:00:00,14.85
2009-03-25T21:00:00,14.83
2009-03-26T21:00:00,14.04
2009-03-27T21:00:00,14.04
2009-03-28T21:00:00,14.11
2009-03-29T21:00:00,14.14
2009-03-30T21:00:00,14.34
2009-03-31T21:00:00,14.92
2009-04-01T21:00:00,11.33
2009-04-02T21:00:00,10.36
2009-04-03T21:00:00,10.31
2009-04-04T21:00:00,10.46
2009-04-05T21:00:00,7.73
2009-04-06T21:00:00,9.55
2009-04-07T21:00:00,9.79
2009-04-08T21:00:00,9.4
2009-04-09T21:00:00,9.86
2009-04-11T21:00:00,9.55
2009-04-12T21:00:00,11.03
2009-04-13T21:00:00,9.61
2009-04-14T21:00:00,9.84
2009-04-15T21:00:00,7.94
2009-04-16T21:00:00,7.4
2009-04-18T21:00:00,7.46
2009-04-19T21:00:00,9.84
2009-04-20T21:00:00,9.51
2009-04-21T21:00:00,10.24
2009-04-22T21:00:00,11.26
2009-04-23T21:00:00,11.71
2009-04-25T21:00:00,11.69
2009-04-26T21:00:00,11.46
2009-04-27T21:00:00,9.96
2009-04-28T21:00:00,9.72
2009-04-29T21:00:00,8.31
2009-04-30T21:00:00,8.18
2009-05-03T21:00:00,9.33
2009-05-04T21:00:00,8.93
2009-05-05T21:00:00,10.4
2009-05-06T21:00:00,10.34
2009-05-07T21:00:00,10.13
2009-05-09T21:00:00,10.31
2009-05-10T21:00:00,10.26
2009-05-11T21:00:00,10.98
2009-05-12T21:00:00,11.62
2009-05-13T21:00:00,11.54
2009-05-14T21:00:00,12.64
2009-05-16T21:00:00,12.59
2009-05-17T21:00:00,10.59
2009-05-18T21:00:00,11.27
2009-05-19T21:00:00,12.41
2009-05-20T21:00:00,13.76
2009-05-21T21:00:00,13.23
2009-05-23T21:00:00,13.29
2009-05-24T21:00:00,13.7
2009-05-25T21:00:00,13.15
2009-05-26T21:00:00,13.24
2009-05-27T21:00:00,14.17
2009-05-28T21:00:00,15.64
2009-05-29T21:00:00,15.64
2009-05-30T21:00:00,15.89
2009-05-31T21:00:00,15.28
2009-06-01T21:00:00,15.6
2009-06-02T21:00:00,14.36
2009-06-03T21:00:00,16.29
2009-06-04T21:00:00,14.31
2009-06-06T21:00:00,14.41
2009-06-07T21:00:00,13.95
2009-06-08T21:00:00,14.08
2009-06-09T21:00:00,14.14
2009-06-10T21:00:00,13.73
2009-06-11T21:00:00,12.21
2009-06-14T21:00:00,11.58
2009-06-15T21:00:00,12.5
2009-06-16T21:00:00,12.36
2009-06-17T21:00:00,11.87
2009-06-18T21:00:00,11.83
2009-06-20T21:00:00,11.91
2009-06-21T21:00:00,10.99
2009-06-22T21:00:00,10.82
2009-06-23T21:00:00,11.78
2009-06-24T21:00:00,12.46
2009-06-25T21:00:00,12.47
2009-06-26T21:00:00,12.47
2009-06-27T21:00:00,12.43
2009-06-28T21:00:00,12.1
2009-06-29T21:00:00,10.61
2009-06-30T21:00:00,11.9
2009-07-01T21:00:00,11.38
2009-07-02T21:00:00,11.68
2009-07-04T21:00:00,11.73
2009-07-05T21:00:00,10.87
2009-07-06T21:00:00,11.17
2009-07-07T21:00:00,9.86
2009-07-08T21:00:00,9.77
2009-07-09T21:00:00,10.1
2009-07-11T21:00:00,10.08
2009-07-12T21:00:00,10.8
2009-07-13T21:00:00,11.33
2009-07-14T21:00:00,12.19
2009-07-15T21:00:00,11.95
2009-07-16T21:00:00,11.96
2009-07-18T21:00:00,11.93
2009-07-19T21:00:00,12.41
2009-07-20T21:00:00,12.46
2009-07-21T21:00:00,12.78
2009-07-22T21:00:00,12.62
2009-07-23T21:00:00,12.67
2009-07-25T21:00:00,12.66
2009-07-26T21:00:00,12.94
2009-07-27T21:00:00,11.33
2009-07-28T21:00:00,10.91
2009-07-29T21:00:00,11.17
2009-07-30T21:00:00,12.91
2009-08-01T21:00:00,13.03
2009-08-02T21:00:00,12.7
2009-08-03T21:00:00,13.76
2009-08-04T21:00:00,13.45
2009-08-05T21:00:00,13.69
2009-08-06T21:00:00,13.06
2009-08-07T21:00:00,13.06
2009-08-08T21:00:00,13.08
2009-08-09T21:00:00,12.47
2009-08-10T21:00:00,12.69
2009-08-11T21:00:00,12.49
2009-08-12T21:00:00,13.18
2009-08-13T21:00:00,12.6
2009-08-14T21:00:00,12.6
2009-08-15T21:00:00,12.69
2009-08-16T21:00:00,11.77
2009-08-17T21:00:00,11.89
2009-08-18T21:00:00,12.31
2009-08-19T21:00:00,11.63
2009-08-20T21:00:00,13.03
2009-08-22T21:00:00,13.01
2009-08-23T21:00:00,11.89
2009-08-24T21:00:00,12.15
2009-08-25T21:00:00,12.39
2009-08-26T21:00:00,12.46
2009-08-27T21:00:00,13.2
2009-08-29T21:00:00,13.2
2009-08-30T21:00:00,12.63
2009-08-31T21:00:00,13.38
2009-09-01T21:00:00,15.57
2009-09-02T21:00:00,16.81
2009-09-03T21:00:00,16.85
2009-09-05T21:00:00,16.83
2009-09-06T21:00:00,16.59
2009-09-07T21:00:00,16.1
2009-09-08T21:00:00,15.62
2009-09-09T21:00:00,16.11
2009-09-10T21:00:00,16.74
2009-09-12T21:00:00,16.74
2009-09-13T21:00:00,16.27
2009-09-14T21:00:00,16.79
2009-09-15T21:00:00,17.21
2009-09-16T21:00:00,17.02
2009-09-17T21:00:00,16.48
2009-09-18T21:00:00,16.48
2009-09-19T21:00:00,16.52
2009-09-20T21:00:00,16.27
2009-09-21T21:00:00,16.9
2009-09-22T21:00:00,16.39
2009-09-23T21:00:00,15.34
2009-09-24T21:00:00,14.83
2009-09-26T21:00:00,14.88
2009-09-27T21:00:00,14.96
2009-09-28T21:00:00,15.08
2009-09-29T21:00:00,16.04
2009-09-30T21:00:00,15.49
2009-10-01T21:00:00,16.01
2009-10-02T21:00:00,16.01
2009-10-03T21:00:00,15.9
2009-10-04T21:00:00,16.93
2009-10-05T21:00:00,18.84
2009-10-06T21:00:00,18.89
2009-10-07T21:00:00,19.18
2009-10-08T21:00:00,19.13
2009-10-10T21:00:00,19.13
2009-10-11T21:00:00,20.1
2009-10-12T21:00:00,20.58
2009-10-13T21:00:00,20.0
2009-10-14T21:00:00,18.85
2009-10-15T21:00:00,19.33
2009-10-16T21:00:00,19.33
2009-10-17T21:00:00,19.35
2009-10-18T21:00:00,20.04
2009-10-19T21:00:00,19.64
2009-10-20T21:00:00,19.63
2009-10-21T21:00:00,19.82
2009-10-22T21:00:00,19.56
2009-10-24T21:00:00,19.63
2009-10-25T21:00:00,18.21
2009-10-26T21:00:00,18.3
2009-10-27T21:00:00,17.6
2009-10-28T21:00:00,18.99
2009-10-29T21:00:00,19.13
2009-10-31T21:00:00,19.2
2009-11-01T22:00:00,20.41
2009-11-02T22:00:00,22.67
2009-11-03T22:00:00,23.12
2009-11-04T22:00:00,22.94
2009-11-05T22:00:00,23.18
2009-11-06T22:00:00,23.18
2009-11-07T22:00:00,23.25
2009-11-08T22:00:00,23.54
2009-11-09T22:00:00,23.83
2009-11-10T22:00:00,24.81
2009-11-11T22:00:00,23.81
2009-11-12T22:00:00,24.86
2009-11-13T22:00:00,24.86
2009-11-14T22:00:00,24.86
2009-11-15T22:00:00,26.59
2009-11-16T22:00:00,26.88
2009-11-17T22:00:00,27.09
2009-11-18T22:00:00,27.35
2009-11-19T22:00:00,27.92
2009-11-20T22:00:00,27.92
2009-11-21T22:00:00,27.94
2009-11-22T22:00:00,29.02
2009-11-23T22:00:00,29.26
2009-11-24T22:00:00,30.76
2009-11-25T22:00:00,31.15
2009-11-26T22:00:00,30.18
2009-11-27T22:00:00,30.17
2009-11-28T22:00:00,29.92
2009-11-29T22:00:00,30.04
2009-11-30T22:00:00,31.22
2009-12-01T22:00:00,32.81
2009-12-02T22:00:00,32.26
2009-12-03T22:00:00,28.9
2009-12-04T22:00:00,28.9
2009-12-05T22:00:00,28.98
2009-12-06T22:00:00,28.68
2009-12-07T22:00:00,26.43
2009-12-08T22:00:00,26.29
2009-12-09T22:00:00,26.34
2009-12-10T22:00:00,25.05
2009-12-11T22:00:00,25.05
2009-12-12T22:00:00,25.16
2009-12-13T22:00:00,26.08
2009-12-14T22:00:00,26.33
2009-12-15T22:00:00,27.6
2009-12-16T22:00:00,24.58
2009-12-17T22:00:00,25.84
2009-12-18T22:00:00,25.84
2009-12-19T22:00:00,25.73
2009-12-20T22:00:00,24.26
2009-12-21T22:00:00,23.44
2009-12-22T22:00:00,23.85
2009-12-23T22:00:00,25.48
2009-12-24T22:00:00,25.56
2009-12-26T22:00:00,25.58
2009-12-27T22:00:00,25.51
2009-12-28T22:00:00,24.57
2009-12-29T22:00:00,24.19
2009-12-30T22:00:00,24.55
2009-12-31T22:00:00,24.54
2010-01-02T22:00:00,24.57
2010-01-03T22:00:00,26.35
2010-01-04T22:00:00,25.97
2010-01-05T22:00:00,27.63
2010-01-06T22:00:00,27.29
2010-01-07T22:00:00,27.57
2010-01-08T22:00:00,27.56
2010-01-09T22:00:00,27.47
2010-01-10T22:00:00,28.34
2010-01-11T22:00:00,26.57
2010-01-12T22:00:00,27.33
2010-01-13T22:00:00,27.62
2010-01-14T22:00:00,26.82
2010-01-15T22:00:00,26.82
2010-01-16T22:00:00,26.88
2010-01-17T22:00:00,26.97
2010-01-18T22:00:00,27.46
2010-01-19T22:00:00,25.72
2010-01-20T22:00:00,24.44
2010-01-21T22:00:00,24.36
2010-01-23T22:00:00,24.38
2010-01-24T22:00:00,24.44
2010-01-25T22:00:00,24.75
2010-01-26T22:00:00,23.94
2010-01-27T22:00:00,23.84
2010-01-28T22:00:00,23.49
2010-01-29T22:00:00,23.49
2010-01-30T22:00:00,23.46
2010-01-31T22:00:00,25.87
2010-02-01T22:00:00,26.6
2010-02-02T22:00:00,26.48
2010-02-03T22:00:00,22.91
2010-02-04T22:00:00,23.18
2010-02-05T22:00:00,23.18
2010-02-06T22:00:00,23.0
2010-02-07T22:00:00,22.94
2010-02-08T22:00:00,23.88
2010-02-09T22:00:00,23.38
2010-02-10T22:00:00,25.13
2010-02-11T22:00:00,24.93
2010-02-12T22:00:00,24.97
2010-02-13T22:00:00,25.15
2010-02-14T22:00:00,25.8
2010-02-15T22:00:00,26.82
2010-02-16T22:00:00,25.93
2010-02-17T22:00:00,26.36
2010-02-18T22:00:00,27.42
2010-02-19T22:00:00,27.42
2010-02-20T22:00:00,27.38
2010-02-21T22:00:00,26.87
2010-02-22T22:00:00,25.95
2010-02-23T22:00:00,25.44
2010-02-24T22:00:00,26.15
2010-02-25T22:00:00,26.94
2010-02-26T22:00:00,26.94
2010-02-27T22:00:00,26.94
2010-02-28T22:00:00,27.0
2010-03-01T22:00:00,28.22
2010-03-02T22:00:00,28.41
2010-03-03T22:00:00,27.87
2010-03-04T22:00:00,28.11
2010-03-06T22:00:00,28.06
2010-03-07T22:00:00,27.06
2010-03-08T22:00:00,26.92
2010-03-09T22:00:00,25.63
2010-03-10T22:00:00,25.67
2010-03-11T22:00:00,24.72
2010-03-12T22:00:00,24.72
2010-03-13T22:00:00,24.73
2010-03-14T21:00:00,25.54
2010-03-15T21:00:00,27.13
2010-03-16T21:00:00,26.31
2010-03-17T21:00:00,27.12
2010-03-18T21:00:00,25.53
2010-03-20T21:00:00,25.54
2010-03-21T21:00:00,25.42
2010-03-22T21:00:00,25.62
2010-03-23T21:00:00,24.39
2010-03-24T21:00:00,24.88
2010-03-25T21:00:00,26.14
2010-03-26T21:00:00,26.13
2010-03-27T21:00:00,25.99
2010-03-28T21:00:00,25.99
2010-03-29T21:00:00,25.49
2010-03-30T21:00:00,26.28
2010-03-31T21:00:00,27.37
2010-04-01T21:00:00,27.24
2010-04-02T21:00:00,27.24
2010-04-03T21:00:00,27.14
2010-04-04T21:00:00,27.82
2010-04-05T21:00:00,27.95
2010-04-06T21:00:00,29.25
2010-04-07T21:00:00,29.28
2010-04-08T21:00:00,29.93
2010-04-09T21:00:00,29.93
2010-04-10T21:00:00,29.76
2010-04-11T21:00:00,29.43
2010-04-12T21:00:00,29.07
2010-04-13T21:00:00,28.08
2010-04-14T21:00:00,28.45
2010-04-15T21:00:00,26.69
2010-04-17T21:00:00,26.81
2010-04-18T21:00:00,26.73
2010-04-19T21:00:00,26.94
2010-04-20T21:00:00,27.28
2010-04-21T21:00:00,26.84
2010-04-22T21:00:00,28.11
2010-04-23T21:00:00,28.11
2010-04-24T21:00:00,27.99
2010-04-25T21:00:00,27.4
2010-04-26T21:00:00,29.13
2010-04-27T21:00:00,28.92
2010-04-28T21:00:00,28.73
2010-04-29T21:00:00,29.83
2010-04-30T21:00:00,29.83
2010-05-01T21:00:00,29.86
2010-05-02T21:00:00,30.11
2010-05-03T21:00:00,29.92
2010-05-04T21:00:00,31.06
2010-05-05T21:00:00,34.72
2010-05-06T21:00:00,34.16
2010-05-07T21:00:00,34.16
2010-05-08T21:00:00,33.9
2010-05-09T21:00:00,33.13
2010-05-10T21:00:00,35.49
2010-05-11T21:00:00,36.01
2010-05-12T21:00:00,35.77
2010-05-13T21:00:00,36.08
2010-05-15T21:00:00,36.11
2010-05-16T21:00:00,35.38
2010-05-17T21:00:00,36.03
2010-05-18T21:00:00,33.65
2010-05-19T21:00:00,33.39
2010-05-20T21:00:00,32.78
2010-05-22T21:00:00,33.05
2010-05-23T21:00:00,34.39
2010-05-24T21:00:00,35.79
2010-05-25T21:00:00,36.25
2010-05-26T21:00:00,35.58
2010-05-27T21:00:00,36.26
2010-05-28T21:00:00,36.3
2010-05-29T21:00:00,36.26
2010-05-30T21:00:00,35.88
2010-05-31T21:00:00,37.61
2010-06-01T21:00:00,36.74
2010-06-02T21:00:00,35.63
2010-06-03T21:00:00,37.2
2010-06-04T21:00:00,37.2
2010-06-05T21:00:00,37.25
2010-06-06T21:00:00,39.21
2010-06-07T21:00:00,38.64
2010-06-08T21:00:00,38.47
2010-06-09T21:00:00,36.2
2010-06-10T21:00:00,36.99
2010-06-12T21:00:00,36.85
