date,return
2006-03-19T22:00:00,0.17
2006-03-20T22:00:00,-0.33
2006-03-21T22:00:00,-0.57
2006-03-22T22:00:00,-0.76
2006-03-23T22:00:00,1.15
2006-03-25T22:00:00,1.15
2006-03-26T22:00:00,2.37
2006-03-27T22:00:00,1.79
2006-03-28T22:00:00,3.53
2006-03-29T22:00:00,6.12
2006-03-30T22:00:00,5.34
2006-04-02T21:00:00,6.05
2006-04-03T21:00:00,5.86
2006-04-04T21:00:00,6.1
2006-04-05T21:00:00,7.3
2006-04-06T21:00:00,6.2
2006-04-09T21:00:00,8.05
2006-04-10T21:00:00,7.01
2006-04-11T21:00:00,7.83
2006-04-12T21:00:00,7.52
2006-04-13T21:00:00,7.55
2006-04-15T21:00:00,7.55
2006-04-16T21:00:00,9.94
2006-04-17T21:00:00,11.12
2006-04-18T21:00:00,14.16
2006-04-19T21:00:00,9.88
2006-04-20T21:00:00,13.3
2006-04-23T21:00:00,11.27
2006-04-24T21:00:00,12.72
2006-04-25T21:00:00,14.07
2006-04-26T21:00:00,13.24
2006-04-27T21:00:00,16.59
2006-04-29T21:00:00,16.59
2006-04-30T21:00:00,16.68
2006-05-01T21:00:00,18.72
2006-05-02T21:00:00,18.51
2006-05-03T21:00:00,20.32
2006-05-04T21:00:00,20.95
2006-05-05T21:00:00,20.95
2006-05-06T21:00:00,20.96
2006-05-07T21:00:00,20.3
2006-05-08T21:00:00,23.39
2006-05-09T21:00:00,24.49
2006-05-10T21:00:00,25.33
2006-05-11T21:00:00,25.44
2006-05-14T21:00:00,20.24
2006-05-15T21:00:00,22.11
2006-05-16T21:00:00,21.64
2006-05-17T21:00:00,20.97
2006-05-18T21:00:00,17.4
2006-05-20T21:00:00,17.4
2006-05-21T21:00:00,16.98
2006-05-22T21:00:00,18.48
2006-05-23T21:00:00,14.65
2006-05-24T21:00:00,16.28
2006-05-25T21:00:00,16.66
2006-05-27T21:00:00,16.49
2006-05-28T21:00:00,16.13
2006-05-29T21:00:00,16.38
2006-05-30T21:00:00,15.22
2006-05-31T21:00:00,12.79
2006-06-01T21:00:00,14.16
2006-06-03T21:00:00,14.16
2006-06-04T21:00:00,13.91
2006-06-05T21:00:00,12.92
2006-06-06T21:00:00,12.31
2006-06-07T21:00:00,10.07
2006-06-08T21:00:00,9.28
2006-06-11T21:00:00,8.81
2006-06-12T21:00:00,1.92
2006-06-13T21:00:00,1.48
2006-06-14T21:00:00,4.43
2006-06-15T21:00:00,5.19
2006-06-17T21:00:00,5.16
2006-06-18T21:00:00,2.53
2006-06-19T21:00:00,4.4
2006-06-20T21:00:00,6.5
2006-06-21T21:00:00,5.27
2006-06-22T21:00:00,5.66
2006-06-24T21:00:00,5.69
2006-06-25T21:00:00,5.97
2006-06-26T21:00:00,4.94
2006-06-27T21:00:00,5.22
2006-06-28T21:00:00,8.49
2006-06-29T21:00:00,11.22
2006-07-01T21:00:00,11.06
2006-07-02T21:00:00,12.35
2006-07-03T21:00:00,12.04
2006-07-04T21:00:00,13.06
2006-07-05T21:00:00,13.83
2006-07-06T21:00:00,13.16
2006-07-08T21:00:00,13.36
2006-07-09T21:00:00,12.32
2006-07-10T21:00:00,15.02
2006-07-11T21:00:00,16.71
2006-07-12T21:00:00,17.97
2006-07-13T21:00:00,18.58
2006-07-15T21:00:00,18.78
2006-07-16T21:00:00,15.35
2006-07-17T21:00:00,13.76
2006-07-18T21:00:00,15.42
2006-07-19T21:00:00,13.26
2006-07-20T21:00:00,11.77
2006-07-22T21:00:00,11.87
2006-07-23T21:00:00,10.84
2006-07-24T21:00:00,11.51
2006-07-25T21:00:00,12.43
2006-07-26T21:00:00,14.03
2006-07-27T21:00:00,14.05
2006-07-29T21:00:00,14.08
2006-07-30T21:00:00,14.23
2006-07-31T21:00:00,15.95
2006-08-01T21:00:00,16.56
2006-08-02T21:00:00,15.6
2006-08-03T21:00:00,15.84
2006-08-05T21:00:00,15.84
2006-08-06T21:00:00,16.19
2006-08-07T21:00:00,15.31
2006-08-08T21:00:00,16.43
2006-08-09T21:00:00,14.27
2006-08-10T21:00:00,13.67
2006-08-13T21:00:00,13.42
2006-08-14T21:00:00,13.01
2006-08-15T21:00:00,13.63
2006-08-16T21:00:00,11.25
2006-08-17T21:00:00,11.35
2006-08-19T21:00:00,11.25
2006-08-20T21:00:00,13.51
2006-08-21T21:00:00,13.04
2006-08-22T21:00:00,12.59
2006-08-23T21:00:00,12.53
2006-08-24T21:00:00,12.63
2006-08-25T21:00:00,12.63
2006-08-27T21:00:00,11.37
2006-08-28T21:00:00,11.44
2006-08-29T21:00:00,12.06
2006-08-30T21:00:00,13.36
2006-08-31T21:00:00,13.29
2006-09-03T21:00:00,13.32
2006-09-04T21:00:00,15.18
2006-09-05T21:00:00,14.39
2006-09-06T21:00:00,11.69
2006-09-07T21:00:00,10.69
2006-09-09T21:00:00,10.69
2006-09-10T21:00:00,7.15
2006-09-11T21:00:00,6.74
2006-09-12T21:00:00,7.24
2006-09-13T21:00:00,4.59
2006-09-14T21:00:00,5.34
2006-09-15T21:00:00,5.34
2006-09-16T21:00:00,5.34
2006-09-17T21:00:00,6.66
2006-09-18T21:00:00,4.33
2006-09-19T21:00:00,5.03
2006-09-20T21:00:00,6.31
2006-09-21T21:00:00,7.21
2006-09-24T21:00:00,7.32
2006-09-25T21:00:00,7.54
2006-09-26T21:00:00,9.43
2006-09-27T21:00:00,9.05
2006-09-28T21:00:00,8.51
2006-10-01T21:00:00,8.22
2006-10-02T21:00:00,4.65
2006-10-03T21:00:00,3.22
2006-10-04T21:00:00,4.58
2006-10-05T21:00:00,4.54
2006-10-08T21:00:00,5.16
2006-10-09T21:00:00,4.5
2006-10-10T21:00:00,4.57
2006-10-11T21:00:00,5.58
2006-10-12T21:00:00,7.54
2006-10-15T21:00:00,8.22
2006-10-16T21:00:00,7.28
2006-10-17T21:00:00,7.28
2006-10-18T21:00:00,8.84
2006-10-19T21:00:00,7.52
2006-10-22T21:00:00,5.75
2006-10-23T21:00:00,6.46
2006-10-24T21:00:00,7.26
2006-10-25T21:00:00,8.29
2006-10-26T21:00:00,8.77
2006-10-29T22:00:00,9.54
2006-10-30T22:00:00,9.97
2006-10-31T22:00:00,11.7
2006-11-01T22:00:00,12.75
2006-11-02T22:00:00,13.26
2006-11-05T22:00:00,12.61
2006-11-06T22:00:00,12.84
2006-11-07T22:00:00,11.4
2006-11-08T22:00:00,14.24
2006-11-09T22:00:00,13.41
2006-11-12T22:00:00,13.07
2006-11-13T22:00:00,12.35
2006-11-14T22:00:00,12.61
2006-11-15T22:00:00,11.92
2006-11-16T22:00:00,12.49
2006-11-19T22:00:00,12.61
2006-11-20T22:00:00,13.36
2006-11-21T22:00:00,13.8
2006-11-22T22:00:00,13.94
2006-11-23T22:00:00,15.01
2006-11-25T22:00:00,15.09
2006-11-26T22:00:00,15.17
2006-11-27T22:00:00,15.06
2006-11-28T22:00:00,14.5
2006-11-29T22:00:00,16.29
2006-11-30T22:00:00,15.87
2006-12-01T22:00:00,15.87
2006-12-03T22:00:00,15.91
2006-12-04T22:00:00,15.41
2006-12-05T22:00:00,13.5
2006-12-06T22:00:00,13.91
2006-12-07T22:00:00,12.53
2006-12-08T22:00:00,12.53
2006-12-10T22:00:00,12.31
2006-12-11T22:00:00,12.22
2006-12-12T22:00:00,11.96
2006-12-13T22:00:00,11.55
2006-12-14T22:00:00,9.88
2006-12-17T22:00:00,9.98
2006-12-18T22:00:00,11.03
2006-12-19T22:00:00,10.65
2006-12-20T22:00:00,10.32
2006-12-21T22:00:00,10.75
2006-12-24T22:00:00,10.75
2006-12-25T22:00:00,11.41
2006-12-26T22:00:00,11.76
2006-12-27T22:00:00,12.99
2006-12-28T22:00:00,13.29
2007-01-01T22:00:00,13.85
2007-01-02T22:00:00,11.89
2007-01-03T22:00:00,10.95
2007-01-04T22:00:00,8.69
2007-01-07T22:00:00,9.24
2007-01-08T22:00:00,9.78
2007-01-09T22:00:00,9.41
2007-01-10T22:00:00,9.42
2007-01-11T22:00:00,11.98
2007-01-12T22:00:00,11.98
2007-01-14T22:00:00,11.91
2007-01-15T22:00:00,11.62
2007-01-16T22:00:00,12.8
2007-01-17T22:00:00,12.03
2007-01-18T22:00:00,13.3
2007-01-19T22:00:00,13.3
2007-01-21T22:00:00,12.91
2007-01-22T22:00:00,15.03
2007-01-23T22:00:00,15.33
2007-01-24T22:00:00,14.94
2007-01-25T22:00:00,14.92
2007-01-28T22:00:00,14.58
2007-01-29T22:00:00,15.08
2007-01-30T22:00:00,15.98
2007-01-31T22:00:00,16.65
2007-02-01T22:00:00,15.18
2007-02-02T22:00:00,15.18
2007-02-04T22:00:00,15.28
2007-02-05T22:00:00,16.03
2007-02-06T22:00:00,15.73
2007-02-07T22:00:00,17.08
2007-02-08T22:00:00,18.08
2007-02-11T22:00:00,17.03
2007-02-12T22:00:00,17.5
2007-02-13T22:00:00,18.21
2007-02-14T22:00:00,18.21
2007-02-15T22:00:00,18.16
2007-02-18T22:00:00,18.39
2007-02-19T22:00:00,16.39
2007-02-20T22:00:00,19.66
2007-02-21T22:00:00,19.42
2007-02-22T22:00:00,20.2
2007-02-25T22:00:00,20.97
2007-02-26T22:00:00,17.62
2007-02-27T22:00:00,18.52
2007-02-28T22:00:00,17.78
2007-03-01T22:00:00,14.46
2007-03-03T22:00:00,14.46
2007-03-04T22:00:00,13.33
2007-03-05T22:00:00,14.89
2007-03-06T22:00:00,15.24
2007-03-07T22:00:00,15.67
2007-03-08T22:00:00,15.29
2007-03-11T21:00:00,15.42
2007-03-12T21:00:00,14.34
2007-03-13T21:00:00,14.44
2007-03-14T21:00:00,14.74
2007-03-15T21:00:00,15.8
2007-03-18T21:00:00,15.91
2007-03-19T21:00:00,16.59
2007-03-20T21:00:00,17.41
2007-03-21T21:00:00,17.32
2007-03-22T21:00:00,16.36
2007-03-25T21:00:00,17.31
2007-03-26T21:00:00,17.44
2007-03-27T21:00:00,17.59
2007-03-28T21:00:00,17.02
2007-03-29T21:00:00,17.34
2007-04-01T21:00:00,17.09
2007-04-02T21:00:00,17.13
2007-04-03T21:00:00,18.57
2007-04-04T21:00:00,18.67
2007-04-05T21:00:00,18.45
2007-04-06T21:00:00,18.45
2007-04-08T21:00:00,18.19
2007-04-09T21:00:00,19.13
2007-04-10T21:00:00,19.03
2007-04-11T21:00:00,18.84
2007-04-12T21:00:00,20.23
2007-04-13T21:00:00,20.23
2007-04-15T21:00:00,21.12
2007-04-16T21:00:00,20.6
2007-04-17T21:00:00,21.11
2007-04-18T21:00:00,20.08
2007-04-19T21:00:00,21.39
2007-04-22T21:00:00,20.84
2007-04-23T21:00:00,20.1
2007-04-24T21:00:00,20.38
2007-04-25T21:00:00,18.74
2007-04-26T21:00:00,19.74
2007-04-28T21:00:00,19.71
2007-04-29T21:00:00,19.41
2007-04-30T21:00:00,18.68
2007-05-01T21:00:00,18.6
2007-05-02T21:00:00,19.89
2007-05-03T21:00:00,20.91
2007-05-06T21:00:00,20.94
2007-05-07T21:00:00,20.48
2007-05-08T21:00:00,19.76
2007-05-09T21:00:00,17.6
2007-05-10T21:00:00,18.32
2007-05-13T21:00:00,18.22
2007-05-14T21:00:00,18.57
2007-05-15T21:00:00,17.05
2007-05-16T21:00:00,16.4
2007-05-17T21:00:00,17.01
2007-05-20T21:00:00,17.05
2007-05-21T21:00:00,16.47
2007-05-22T21:00:00,16.83
2007-05-23T21:00:00,15.74
2007-05-24T21:00:00,15.97
2007-05-27T21:00:00,15.95
2007-05-28T21:00:00,16.13
2007-05-29T21:00:00,15.62
2007-05-30T21:00:00,16.72
2007-05-31T21:00:00,18.38
2007-06-02T21:00:00,18.38
2007-06-03T21:00:00,18.31
2007-06-04T21:00:00,18.15
2007-06-05T21:00:00,18.25
2007-06-06T21:00:00,16.49
2007-06-07T21:00:00,14.89
2007-06-10T21:00:00,15.53
2007-06-11T21:00:00,14.55
2007-06-12T21:00:00,15.18
2007-06-13T21:00:00,15.23
2007-06-14T21:00:00,15.77
2007-06-17T21:00:00,15.9
2007-06-18T21:00:00,16.71
2007-06-19T21:00:00,15.67
2007-06-20T21:00:00,15.28
2007-06-21T21:00:00,15.62
2007-06-24T21:00:00,15.12
2007-06-25T21:00:00,13.65
2007-06-26T21:00:00,13.98
2007-06-27T21:00:00,14.78
2007-06-28T21:00:00,14.9
2007-06-29T21:00:00,14.9
2007-07-01T21:00:00,15.88
2007-07-02T21:00:00,15.28
2007-07-03T21:00:00,15.47
2007-07-04T21:00:00,14.72
2007-07-05T21:00:00,15.68
2007-07-08T21:00:00,16.31
2007-07-09T21:00:00,16.7
2007-07-10T21:00:00,16.34
2007-07-11T21:00:00,17.23
2007-07-12T21:00:00,17.26
