date,return
2006-03-19T22:00:00,0.54
2006-03-20T22:00:00,-1.58
2006-03-21T22:00:00,-1.81
2006-03-22T22:00:00,-3.85
2006-03-23T22:00:00,-2.51
2006-03-26T22:00:00,-2.52
2006-03-27T22:00:00,-2.61
2006-03-28T22:00:00,-3.87
2006-03-29T22:00:00,-6.07
2006-03-30T22:00:00,-5.24
2006-04-02T21:00:00,-6.42
2006-04-03T21:00:00,-6.23
2006-04-04T21:00:00,-6.04
2006-04-05T21:00:00,-8.21
2006-04-06T21:00:00,-9.05
2006-04-09T21:00:00,-12.66
2006-04-10T21:00:00,-11.94
2006-04-11T21:00:00,-13.34
2006-04-12T21:00:00,-14.35
2006-04-13T21:00:00,-14.52
2006-04-15T21:00:00,-14.52
2006-04-16T21:00:00,-17.44
2006-04-17T21:00:00,-19.38
2006-04-18T21:00:00,-20.49
2006-04-19T21:00:00,-2.97
2006-04-20T21:00:00,-8.25
2006-04-23T21:00:00,0.2
2006-04-24T21:00:00,-2.82
2006-04-25T21:00:00,-4.09
2006-04-26T21:00:00,-3.0
2006-04-27T21:00:00,-7.77
2006-04-29T21:00:00,-8.05
2006-04-30T21:00:00,-8.35
2006-05-01T21:00:00,-9.67
2006-05-02T21:00:00,-6.35
2006-05-03T21:00:00,-5.74
2006-05-04T21:00:00,-5.39
2006-05-06T21:00:00,-5.38
2006-05-07T21:00:00,-5.55
2006-05-08T21:00:00,-6.2
2006-05-09T21:00:00,-5.76
2006-05-10T21:00:00,-6.81
2006-05-11T21:00:00,-3.62
2006-05-14T21:00:00,-0.1
2006-05-15T21:00:00,-1.67
2006-05-16T21:00:00,0.99
2006-05-17T21:00:00,4.4
2006-05-18T21:00:00,1.59
2006-05-20T21:00:00,1.59
2006-05-21T21:00:00,1.59
2006-05-22T21:00:00,-0.54
2006-05-23T21:00:00,-0.64
2006-05-24T21:00:00,-0.77
2006-05-25T21:00:00,-0.54
2006-05-27T21:00:00,-0.71
2006-05-28T21:00:00,-1.3
2006-05-29T21:00:00,-3.06
2006-05-30T21:00:00,-0.31
2006-05-31T21:00:00,1.3
2006-06-01T21:00:00,1.71
2006-06-03T21:00:00,1.71
2006-06-04T21:00:00,1.79
2006-06-05T21:00:00,2.8
2006-06-06T21:00:00,2.39
2006-06-07T21:00:00,5.67
2006-06-08T21:00:00,5.28
2006-06-11T21:00:00,6.84
2006-06-12T21:00:00,13.58
2006-06-13T21:00:00,12.41
2006-06-14T21:00:00,9.33
2006-06-15T21:00:00,9.85
2006-06-17T21:00:00,10.22
2006-06-18T21:00:00,10.57
2006-06-19T21:00:00,9.15
2006-06-20T21:00:00,9.31
2006-06-21T21:00:00,10.3
2006-06-22T21:00:00,9.77
2006-06-24T21:00:00,9.8
2006-06-25T21:00:00,10.46
2006-06-26T21:00:00,11.05
2006-06-27T21:00:00,10.44
2006-06-28T21:00:00,8.91
2006-06-29T21:00:00,8.31
2006-07-01T21:00:00,8.15
2006-07-02T21:00:00,7.48
2006-07-03T21:00:00,7.47
2006-07-04T21:00:00,7.24
2006-07-05T21:00:00,6.67
2006-07-06T21:00:00,8.02
2006-07-08T21:00:00,8.22
2006-07-09T21:00:00,9.55
2006-07-10T21:00:00,8.27
2006-07-11T21:00:00,9.64
2006-07-12T21:00:00,10.12
2006-07-13T21:00:00,12.31
2006-07-15T21:00:00,12.51
2006-07-16T21:00:00,13.94
2006-07-17T21:00:00,15.5
2006-07-18T21:00:00,12.19
2006-07-19T21:00:00,11.96
2006-07-20T21:00:00,11.3
2006-07-22T21:00:00,11.4
2006-07-23T21:00:00,9.51
2006-07-24T21:00:00,9.92
2006-07-25T21:00:00,9.24
2006-07-26T21:00:00,8.57
2006-07-27T21:00:00,8.82
2006-07-29T21:00:00,8.84
2006-07-30T21:00:00,8.24
2006-07-31T21:00:00,7.15
2006-08-01T21:00:00,4.44
2006-08-02T21:00:00,3.89
2006-08-03T21:00:00,1.86
2006-08-05T21:00:00,1.86
2006-08-06T21:00:00,3.03
2006-08-07T21:00:00,2.96
2006-08-08T21:00:00,1.49
2006-08-09T21:00:00,1.95
2006-08-10T21:00:00,3.35
2006-08-13T21:00:00,0.55
2006-08-14T21:00:00,-0.56
2006-08-15T21:00:00,-1.14
2006-08-16T21:00:00,-0.55
2006-08-17T21:00:00,-1.23
2006-08-19T21:00:00,-1.33
2006-08-20T21:00:00,-1.9
2006-08-21T21:00:00,-1.36
2006-08-22T21:00:00,-3.45
2006-08-23T21:00:00,-2.42
2006-08-24T21:00:00,-2.88
