date,trend,signal,trend+signal,return
2018-08-01T21:00:00,0.0,0.0,0.0,-0.27
2018-08-02T21:00:00,0.0,0.33,0.0,0.16
2018-08-05T21:00:00,0.03,0.33,0.0,0.29
2018-08-06T21:00:00,0.36,0.33,0.0,0.72
2018-08-07T21:00:00,0.36,0.36,0.0,0.59
2018-08-08T21:00:00,0.92,0.92,1.22,-0.07
2018-08-09T21:00:00,1.68,0.92,1.22,-0.93
2018-08-12T21:00:00,1.75,0.65,1.22,-1.1
2018-08-13T21:00:00,2.09,0.99,2.0,-1.54
2018-08-14T21:00:00,2.06,0.82,2.0,-1.61
2018-08-15T21:00:00,2.53,1.29,3.04,-1.04
2018-08-16T21:00:00,3.09,1.29,3.04,-0.38
2018-08-19T21:00:00,2.85,1.33,3.04,-0.52
2018-08-20T21:00:00,2.85,1.52,3.04,-0.81
2018-08-21T21:00:00,3.12,1.52,3.04,-1.18
2018-08-22T21:00:00,4.08,1.52,3.04,-2.24
2018-08-23T21:00:00,3.17,2.23,3.04,-1.43
2018-08-26T21:00:00,3.18,2.24,3.16,-1.54
2018-08-27T21:00:00,3.56,2.62,4.02,-2.02
2018-08-28T21:00:00,4.37,3.43,5.74,-2.93
2018-08-29T21:00:00,5.03,3.43,5.74,-3.69
2018-08-30T21:00:00,6.03,2.23,5.74,-4.79
2018-09-02T21:00:00,5.73,2.33,5.74,-4.59
2018-09-03T21:00:00,5.6,2.33,5.74,-4.56
2018-09-04T21:00:00,5.52,2.25,5.68,-4.58
2018-09-05T21:00:00,6.05,2.78,6.84,-5.21
2018-09-06T21:00:00,6.78,2.78,6.84,-6.04
2018-09-09T21:00:00,6.78,3.47,6.84,-5.25
2018-09-10T21:00:00,6.78,3.47,6.84,-5.53
2018-09-11T21:00:00,6.78,3.47,6.84,-5.04
2018-09-12T21:00:00,6.78,3.58,6.84,-5.25
2018-09-13T21:00:00,6.78,3.58,6.84,-5.63
2018-09-16T21:00:00,6.78,3.26,6.84,-5.85
2018-09-17T21:00:00,6.78,3.9,6.84,-5.11
2018-09-18T21:00:00,7.49,4.61,8.36,-4.3
2018-09-19T21:00:00,6.98,4.92,8.36,-4.71
2018-09-20T21:00:00,6.98,4.8,8.36,-4.73
2018-09-23T21:00:00,7.24,4.8,8.36,-4.37
2018-09-24T21:00:00,7.2,4.8,8.36,-4.31
2018-09-25T21:00:00,7.2,4.8,8.36,-4.1
2018-09-26T21:00:00,7.51,4.8,8.36,-3.69
2018-09-27T21:00:00,8.02,4.8,8.36,-3.08
2018-09-30T21:00:00,8.02,4.4,8.36,-2.78
2018-10-01T21:00:00,8.02,4.83,8.36,-3.31
2018-10-02T21:00:00,8.02,4.83,8.36,-3.58
2018-10-03T21:00:00,8.02,4.83,8.36,-3.99
2018-10-04T21:00:00,8.02,4.44,8.36,-4.28
2018-10-07T21:00:00,8.02,4.61,8.36,-4.01
2018-10-08T21:00:00,8.02,4.24,8.36,-3.74
