date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.14
2021-11-29T07:00:00,0.0,0.0,0.0,0.11
2021-11-29T08:00:00,0.02,0.0,0.0,-0.01
2021-11-29T09:00:00,-0.11,-0.07,0.0,0.02
2021-11-29T10:00:00,-0.11,-0.12,0.0,0.07
2021-11-29T11:00:00,-0.11,-0.22,0.0,0.07
2021-11-29T12:00:00,-0.11,-0.22,0.0,0.04
2021-11-29T13:00:00,-0.11,-0.22,0.0,0.09
2021-11-29T14:00:00,-0.07,-0.18,0.18,-0.05
2021-11-29T15:00:00,0.02,-0.18,0.18,-0.24
2021-11-29T16:00:00,0.02,-0.2,0.18,-0.16
2021-11-29T17:00:00,0.02,-0.2,0.18,-0.08
2021-11-29T18:00:00,-0.03,-0.35,0.18,-0.03
2021-11-29T19:00:00,-0.17,-0.41,0.18,-0.07
2021-11-29T20:00:00,-0.3,-0.54,0.02,-0.1
2021-11-29T21:00:00,-0.3,-0.54,0.12,0.0
2021-11-29T22:00:00,-0.41,-0.63,0.12,-0.01
2021-11-29T23:00:00,-0.45,-0.63,0.12,0.05
2021-11-30T00:00:00,-0.45,-0.68,0.12,0.0
2021-11-30T01:00:00,-0.45,-0.74,0.12,0.04
2021-11-30T02:00:00,-0.48,-0.77,0.16,0.11
2021-11-30T03:00:00,-0.48,-0.77,0.16,0.06
2021-11-30T04:00:00,-0.48,-0.84,0.16,0.03
2021-11-30T05:00:00,-0.48,-0.84,0.16,-0.35
2021-11-30T06:00:00,-0.48,-0.84,0.16,-0.35
2021-11-30T07:00:00,-0.63,-0.84,0.16,-0.3
2021-11-30T08:00:00,-0.63,-0.84,0.16,-0.4
2021-11-30T09:00:00,-0.63,-0.89,0.16,-0.35
2021-11-30T10:00:00,-0.63,-0.89,0.16,-0.3
2021-11-30T11:00:00,-0.66,-0.92,0.2,-0.23
2021-11-30T12:00:00,-0.68,-0.94,0.26,-0.15
2021-11-30T13:00:00,-0.68,-0.94,0.26,-0.05
2021-11-30T14:00:00,-0.68,-1.0,0.26,-0.09
2021-11-30T15:00:00,-0.37,-0.69,0.98,-0.5
2021-11-30T16:00:00,-0.28,-0.98,0.98,-0.69
2021-11-30T17:00:00,-0.44,-1.02,0.98,-0.63
2021-11-30T18:00:00,-0.62,-1.04,0.98,-0.55
2021-11-30T19:00:00,-0.62,-1.04,0.98,-0.49
2021-11-30T20:00:00,-0.62,-1.16,0.98,-0.47
2021-11-30T21:00:00,-0.62,-1.24,0.98,-0.49
2021-11-30T22:00:00,-0.62,-1.24,0.98,-0.59
2021-11-30T23:00:00,-0.62,-1.27,0.98,-0.52
2021-12-01T00:00:00,-0.62,-1.27,0.98,-0.49
2021-12-01T01:00:00,-0.64,-1.29,1.04,-0.41
2021-12-01T02:00:00,-0.49,-1.14,1.44,-0.16
2021-12-01T03:00:00,-0.59,-1.24,1.44,-0.16
2021-12-01T04:00:00,-0.55,-1.2,1.62,-0.02
2021-12-01T05:00:00,-0.55,-1.22,1.62,-0.1
2021-12-01T06:00:00,-0.59,-1.22,1.62,-0.16
