date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.1
2021-11-29T07:00:00,0.0,0.0,0.0,0.13
2021-11-29T08:00:00,0.0,0.0,0.0,0.06
2021-11-29T09:00:00,0.0,-0.01,0.0,0.15
2021-11-29T10:00:00,-0.09,-0.01,0.0,0.16
2021-11-29T11:00:00,-0.18,-0.01,0.0,0.17
2021-11-29T12:00:00,-0.18,-0.01,0.0,0.1
2021-11-29T13:00:00,-0.18,-0.01,0.0,0.11
2021-11-29T14:00:00,-0.11,0.06,0.24,-0.06
2021-11-29T15:00:00,0.03,0.06,0.24,-0.3
2021-11-29T16:00:00,-0.1,-0.01,0.24,-0.27
2021-11-29T17:00:00,-0.34,0.03,0.24,-0.13
2021-11-29T18:00:00,-0.39,-0.12,0.24,-0.08
2021-11-29T19:00:00,-0.53,-0.18,0.24,-0.12
2021-11-29T20:00:00,-0.6,-0.25,0.2,-0.09
2021-11-29T21:00:00,-0.53,-0.18,0.44,0.08
2021-11-29T22:00:00,-0.68,-0.23,0.44,0.03
2021-11-29T23:00:00,-0.7,-0.25,0.5,0.11
2021-11-30T00:00:00,-0.85,-0.3,0.5,0.06
2021-11-30T01:00:00,-0.85,-0.3,0.6,0.16
2021-11-30T02:00:00,-0.87,-0.3,0.6,0.24
2021-11-30T03:00:00,-0.87,-0.28,0.6,0.12
2021-11-30T04:00:00,-0.93,-0.34,0.58,0.08
2021-11-30T05:00:00,-0.49,0.1,1.56,-0.46
2021-11-30T06:00:00,-0.67,0.08,1.56,-0.38
2021-11-30T07:00:00,-0.67,0.12,1.56,-0.24
2021-11-30T08:00:00,-0.67,0.12,1.56,-0.27
2021-11-30T09:00:00,-0.65,0.12,1.56,-0.15
2021-11-30T10:00:00,-0.66,0.12,1.56,-0.06
2021-11-30T11:00:00,-0.76,0.12,1.56,-0.06
2021-11-30T12:00:00,-0.73,0.15,1.72,0.07
2021-11-30T13:00:00,-0.68,0.2,1.92,0.22
2021-11-30T14:00:00,-0.68,-0.02,1.92,0.34
2021-11-30T15:00:00,0.16,0.82,3.7,-0.6
2021-11-30T16:00:00,0.1,0.68,3.7,-0.64
2021-11-30T17:00:00,-0.18,0.76,3.7,-0.46
2021-11-30T18:00:00,-0.18,0.76,3.7,-0.32
2021-11-30T19:00:00,-0.16,0.54,3.7,-0.2
2021-11-30T20:00:00,-0.17,0.35,3.7,-0.11
2021-11-30T21:00:00,-0.25,0.23,3.7,-0.09
2021-11-30T22:00:00,-0.39,0.23,3.7,-0.13
2021-11-30T23:00:00,-0.39,0.23,3.7,-0.12
2021-12-01T00:00:00,-0.39,0.22,3.7,-0.03
2021-12-01T01:00:00,-0.39,0.22,3.7,0.03
2021-12-01T02:00:00,-0.23,0.38,4.12,0.29
2021-12-01T03:00:00,-0.27,0.22,4.12,0.35
2021-12-01T04:00:00,-0.23,0.22,4.12,0.49
2021-12-01T05:00:00,-0.33,0.12,4.12,0.49
2021-12-01T06:00:00,-0.33,0.08,4.12,0.43
2021-12-01T07:00:00,-0.27,0.14,4.34,0.27
2021-12-01T08:00:00,-0.25,0.14,4.34,0.15
2021-12-01T09:00:00,-0.51,0.2,4.34,0.31
2021-12-01T10:00:00,-0.64,0.07,4.18,0.34
2021-12-01T11:00:00,-0.79,0.02,4.18,0.29
2021-12-01T12:00:00,-0.79,0.05,4.18,0.16
2021-12-01T13:00:00,-0.79,0.16,4.18,0.37
2021-12-01T14:00:00,-0.79,0.01,4.18,0.42
2021-12-01T15:00:00,-0.79,0.16,4.18,0.17
2021-12-01T16:00:00,-0.7,0.16,4.18,-0.02
2021-12-01T17:00:00,-0.69,-0.05,4.18,-0.13
2021-12-01T18:00:00,-0.79,-0.15,4.18,-0.13
2021-12-01T19:00:00,-0.71,-0.07,4.44,-0.31
2021-12-01T20:00:00,-0.59,-0.07,4.44,-0.53
2021-12-01T21:00:00,-0.86,-0.0,4.44,-0.36
2021-12-01T22:00:00,-0.91,-0.05,4.44,-0.41
2021-12-01T23:00:00,-0.91,-0.05,4.44,-0.35
2021-12-02T00:00:00,-1.14,-0.02,4.44,-0.48
2021-12-02T01:00:00,-0.98,0.14,4.86,-0.22
2021-12-02T02:00:00,-1.06,0.02,4.86,-0.2
2021-12-02T03:00:00,-1.22,-0.02,4.86,-0.26
2021-12-02T04:00:00,-1.09,0.11,5.22,-0.49
2021-12-02T05:00:00,-1.27,0.09,5.22,-0.41
2021-12-02T06:00:00,-1.47,0.09,5.22,-0.31
2021-12-02T07:00:00,-1.47,0.07,5.22,-0.39
2021-12-02T08:00:00,-1.47,0.07,5.32,-0.29
2021-12-02T09:00:00,-1.47,-0.0,5.32,-0.32
2021-12-02T10:00:00,-1.47,-0.0,5.32,-0.38
2021-12-02T11:00:00,-1.47,-0.09,5.32,-0.37
2021-12-02T12:00:00,-1.47,-0.16,5.32,-0.4
2021-12-02T13:00:00,-1.44,-0.13,5.48,-0.53
2021-12-02T14:00:00,-1.7,-0.07,5.48,-0.37
2021-12-02T15:00:00,-1.7,-0.06,5.48,-0.48
2021-12-02T16:00:00,-1.7,-0.12,5.48,-0.44
2021-12-02T17:00:00,-1.7,-0.16,5.48,-0.5
2021-12-02T18:00:00,-1.78,-0.16,5.48,-0.52
2021-12-02T19:00:00,-1.81,-0.19,5.52,-0.59
2021-12-02T20:00:00,-1.95,-0.25,5.52,-0.55
2021-12-02T21:00:00,-1.95,-0.34,5.52,-0.54
2021-12-02T22:00:00,-1.95,-0.34,5.52,-0.57
2021-12-02T23:00:00,-2.01,-0.34,5.52,-0.61
2021-12-03T00:00:00,-2.01,-0.34,5.62,-0.71
2021-12-03T01:00:00,-1.99,-0.34,5.62,-0.83
2021-12-03T02:00:00,-2.03,-0.5,5.62,-0.89
2021-12-03T03:00:00,-2.16,-0.57,5.62,-0.86
2021-12-03T04:00:00,-2.16,-0.6,5.62,-0.79
2021-12-03T05:00:00,-2.17,-0.79,5.62,-0.7
2021-12-03T06:00:00,-2.17,-0.65,5.62,-0.94
2021-12-03T07:00:00,-2.28,-0.74,5.62,-0.93
2021-12-03T08:00:00,-2.29,-0.75,5.7,-1.02
2021-12-03T09:00:00,-2.31,-0.75,5.7,-1.1
2021-12-03T10:00:00,-2.31,-0.84,5.7,-1.09
2021-12-03T11:00:00,-2.31,-0.82,5.7,-0.97
2021-12-03T12:00:00,-2.4,-0.93,5.7,-0.96
2021-12-03T13:00:00,-2.4,-0.93,5.7,-0.92
2021-12-03T14:00:00,-2.04,-0.57,6.52,-1.38
2021-12-03T15:00:00,-1.9,-0.91,6.52,-1.62
2021-12-03T16:00:00,-1.93,-1.08,6.52,-1.69
2021-12-03T17:00:00,-1.99,-1.08,6.52,-1.73
2021-12-03T18:00:00,-1.99,-1.08,6.52,-1.75
2021-12-03T19:00:00,-1.99,-1.04,6.52,-1.89
2021-12-03T20:00:00,-2.19,-1.04,6.52,-1.79
2021-12-03T21:00:00,-2.21,-1.06,6.58,-1.87
2021-12-05T22:00:00,-2.21,-1.18,6.58,-1.89
2021-12-05T23:00:00,-2.21,-1.18,6.58,-1.67
2021-12-06T00:00:00,-2.21,-1.27,6.58,-1.68
2021-12-06T01:00:00,-2.21,-1.27,6.58,-1.6
2021-12-06T02:00:00,-2.36,-1.32,6.58,-1.65
2021-12-06T03:00:00,-2.43,-1.39,6.54,-1.62
2021-12-06T04:00:00,-2.43,-1.39,6.54,-1.57
2021-12-06T05:00:00,-2.4,-1.36,6.7,-1.7
2021-12-06T06:00:00,-2.44,-1.36,6.7,-1.76
2021-12-06T07:00:00,-2.59,-1.41,6.7,-1.71
2021-12-06T08:00:00,-2.57,-1.39,6.84,-1.59
2021-12-06T09:00:00,-2.65,-1.51,6.84,-1.57
2021-12-06T10:00:00,-2.71,-1.51,6.84,-1.53
2021-12-06T11:00:00,-2.69,-1.49,6.98,-1.41
2021-12-06T12:00:00,-2.83,-1.55,6.98,-1.45
2021-12-06T13:00:00,-2.78,-1.5,7.18,-1.3
2021-12-06T14:00:00,-2.78,-1.63,7.18,-1.27
2021-12-06T15:00:00,-2.78,-1.74,7.18,-1.26
2021-12-06T16:00:00,-2.78,-1.74,7.18,-1.31
2021-12-06T17:00:00,-2.78,-1.74,7.18,-1.29
2021-12-06T18:00:00,-2.93,-1.74,7.18,-1.24
2021-12-06T19:00:00,-2.93,-1.74,7.18,-1.34
2021-12-06T20:00:00,-2.93,-1.78,7.18,-1.28
