date,trend,signal,trend+signal,return
2018-08-19T21:00:00,0.0,0.0,0.0,-0.33
2018-08-20T21:00:00,-0.36,0.0,0.0,-0.07
2018-08-21T21:00:00,-0.36,0.0,0.0,0.52
2018-08-22T21:00:00,-0.36,-0.09,0.0,0.51
2018-08-23T21:00:00,-0.05,0.22,0.72,0.92
2018-08-26T21:00:00,0.01,0.22,0.72,1.08
2018-08-27T21:00:00,0.28,0.49,1.36,1.45
2018-08-28T21:00:00,0.78,0.49,1.36,2.05
2018-08-29T21:00:00,1.83,1.54,3.56,0.9
2018-08-30T21:00:00,2.1,1.07,3.56,0.53
2018-09-02T21:00:00,2.18,0.79,3.56,0.35
2018-09-03T21:00:00,2.43,0.79,3.56,-0.0
2018-09-04T21:00:00,2.18,0.84,3.56,0.15
2018-09-05T21:00:00,2.51,0.84,3.56,-0.28
2018-09-06T21:00:00,2.51,0.82,3.56,-0.2
2018-09-09T21:00:00,2.51,0.82,3.56,-0.14
2018-09-10T21:00:00,3.57,1.88,5.78,1.02
2018-09-11T21:00:00,3.66,1.59,5.78,1.21
2018-09-12T21:00:00,4.1,1.59,5.78,1.75
2018-09-13T21:00:00,3.83,1.59,5.78,1.58
2018-09-16T21:00:00,3.83,1.59,5.78,1.37
2018-09-17T21:00:00,4.68,2.44,7.58,2.32
2018-09-18T21:00:00,4.98,1.94,7.58,2.72
2018-09-19T21:00:00,5.17,1.94,7.58,3.01
2018-09-20T21:00:00,5.1,1.94,7.58,3.04
2018-09-23T21:00:00,5.1,1.94,7.58,3.14
2018-09-24T21:00:00,5.1,1.94,7.58,3.33
2018-09-25T21:00:00,5.1,2.57,7.58,2.6
2018-09-26T21:00:00,5.38,2.85,8.24,2.98
2018-09-27T21:00:00,6.59,4.06,10.76,4.29
2018-09-30T21:00:00,6.97,3.48,10.76,4.77
2018-10-01T21:00:00,6.57,3.68,10.76,4.47
2018-10-02T21:00:00,6.57,4.04,10.76,4.93
2018-10-03T21:00:00,6.57,4.86,10.76,4.01
2018-10-04T21:00:00,6.77,4.46,10.76,3.71
2018-10-07T21:00:00,7.27,4.46,10.76,3.11
2018-10-08T21:00:00,7.28,4.46,10.76,3.0
2018-10-09T21:00:00,8.72,5.9,13.74,1.46
2018-10-10T21:00:00,8.48,5.94,13.74,1.6
2018-10-11T21:00:00,8.25,5.94,13.74,1.73
2018-10-14T21:00:00,8.25,5.94,13.74,1.62
2018-10-15T21:00:00,9.03,6.72,15.4,2.5
2018-10-16T21:00:00,8.57,6.98,15.4,2.14
2018-10-17T21:00:00,8.57,7.79,15.4,1.23
2018-10-18T21:00:00,8.28,7.88,15.4,1.42
2018-10-21T21:00:00,8.03,7.88,15.4,1.57
2018-10-22T21:00:00,8.03,8.0,15.4,1.35
2018-10-23T21:00:00,8.03,8.0,15.4,1.4
2018-10-24T21:00:00,8.03,8.0,15.4,1.45
2018-10-25T21:00:00,8.03,8.63,15.4,0.72
2018-10-28T21:00:00,7.79,8.67,15.4,0.86
2018-10-29T21:00:00,7.79,9.38,15.4,1.67
2018-10-30T21:00:00,7.79,9.82,15.4,1.13
2018-10-31T21:00:00,7.79,9.82,15.4,1.46
2018-11-01T21:00:00,7.79,9.82,15.4,1.7
2018-11-04T22:00:00,7.79,9.84,15.4,1.58
2018-11-05T22:00:00,7.79,9.84,15.4,1.69
2018-11-06T22:00:00,7.79,9.84,15.4,1.91
2018-11-07T22:00:00,7.79,9.84,15.4,2.05
2018-11-08T22:00:00,7.79,10.4,15.4,1.39
2018-11-11T22:00:00,7.99,10.0,15.4,1.09
2018-11-12T22:00:00,7.86,10.0,15.4,1.12
