date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,-0.19
2018-08-21T21:00:00,0.0,0.0,0.0,0.21
2018-08-22T21:00:00,0.0,0.04,0.0,0.07
2018-08-23T21:00:00,0.0,0.04,0.0,-0.11
2018-08-26T21:00:00,0.0,0.11,0.0,0.06
2018-08-27T21:00:00,0.34,0.45,0.78,0.5
2018-08-28T21:00:00,0.4,0.19,0.78,0.66
2018-08-29T21:00:00,0.4,0.49,0.78,0.26
2018-08-30T21:00:00,0.4,0.49,0.78,0.08
2018-09-02T21:00:00,0.4,0.49,0.78,-0.11
2018-09-03T21:00:00,0.67,0.49,0.78,-0.48
2018-09-04T21:00:00,0.67,0.36,0.78,-0.51
2018-09-05T21:00:00,0.67,0.36,0.78,-0.32
2018-09-06T21:00:00,0.71,0.36,0.78,-0.18
2018-09-09T21:00:00,0.6,0.36,0.78,-0.19
2018-09-10T21:00:00,0.6,0.36,0.78,0.25
2018-09-11T21:00:00,0.6,0.36,0.78,0.53
2018-09-12T21:00:00,0.6,0.36,0.78,0.45
2018-09-13T21:00:00,0.52,0.28,0.72,0.47
2018-09-16T21:00:00,0.52,0.28,0.72,0.3
2018-09-17T21:00:00,0.81,0.28,0.72,0.69
2018-09-18T21:00:00,1.07,0.28,0.72,1.05
2018-09-19T21:00:00,0.78,0.28,0.72,0.86
2018-09-20T21:00:00,0.78,0.28,0.72,0.74
2018-09-23T21:00:00,0.8,0.28,0.72,0.62
2018-09-24T21:00:00,0.72,0.28,0.72,0.6
2018-09-25T21:00:00,1.16,0.72,1.7,0.06
2018-09-26T21:00:00,1.16,0.72,1.7,0.07
2018-09-27T21:00:00,1.16,1.58,1.7,1.03
2018-09-30T21:00:00,1.16,1.58,1.7,1.7
2018-10-01T21:00:00,1.16,1.46,1.7,1.72
2018-10-02T21:00:00,1.18,1.46,1.7,1.84
2018-10-03T21:00:00,0.75,1.46,1.7,1.51
2018-10-04T21:00:00,0.75,1.34,1.7,1.49
2018-10-07T21:00:00,0.75,1.34,1.7,1.43
