date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.64
2018-08-21T21:00:00,0.12,-0.32,0.0,0.86
2018-08-22T21:00:00,0.12,-0.12,0.0,0.56
2018-08-23T21:00:00,0.12,-0.12,0.0,0.83
2018-08-26T21:00:00,0.4,0.16,0.66,1.21
2018-08-27T21:00:00,0.64,0.16,0.66,1.55
2018-08-28T21:00:00,1.06,0.16,0.66,2.07
2018-08-29T21:00:00,1.1,-0.08,0.66,2.21
2018-08-30T21:00:00,1.1,-0.27,0.66,2.3
2018-09-02T21:00:00,1.1,-0.27,0.66,2.38
2018-09-03T21:00:00,1.1,0.16,0.66,1.85
2018-09-04T21:00:00,1.1,0.33,0.66,2.12
2018-09-05T21:00:00,1.1,0.33,0.66,2.84
2018-09-06T21:00:00,1.1,0.68,0.66,2.39
2018-09-09T21:00:00,1.61,0.68,0.66,1.78
2018-09-10T21:00:00,1.61,0.87,0.66,2.07
2018-09-11T21:00:00,1.61,0.93,0.66,2.23
2018-09-12T21:00:00,2.04,0.93,0.66,2.76
2018-09-13T21:00:00,1.78,0.99,0.66,2.6
2018-09-16T21:00:00,2.2,0.99,0.66,3.12
2018-09-17T21:00:00,1.9,1.09,0.66,2.92
2018-09-18T21:00:00,1.9,1.09,0.66,2.75
2018-09-19T21:00:00,1.9,1.8,0.66,3.56
2018-09-20T21:00:00,1.39,2.11,0.66,3.15
2018-09-23T21:00:00,1.82,2.11,0.66,2.62
2018-09-24T21:00:00,1.82,1.91,0.66,2.52
2018-09-25T21:00:00,1.8,1.91,0.66,2.44
2018-09-26T21:00:00,2.83,2.94,2.82,1.31
2018-09-27T21:00:00,2.99,2.58,2.82,1.05
2018-09-30T21:00:00,3.24,2.58,2.82,0.7
2018-10-01T21:00:00,3.03,2.58,2.82,0.81
2018-10-02T21:00:00,3.77,3.32,4.4,-0.03
2018-10-03T21:00:00,3.66,3.23,4.4,-0.02
2018-10-04T21:00:00,3.61,3.23,4.4,-0.07
2018-10-07T21:00:00,3.7,3.32,4.68,-0.26
2018-10-08T21:00:00,3.7,3.34,4.68,-0.14
2018-10-09T21:00:00,3.7,3.34,4.68,0.13
2018-10-10T21:00:00,3.7,3.34,4.68,0.13
2018-10-11T21:00:00,3.7,3.34,4.68,-0.11
2018-10-14T21:00:00,3.7,3.68,4.68,0.33
2018-10-15T21:00:00,3.7,3.93,4.68,-0.02
2018-10-16T21:00:00,4.02,3.93,4.68,-0.44
2018-10-17T21:00:00,4.04,3.71,4.68,-0.56
2018-10-18T21:00:00,3.93,3.71,4.68,-0.55
2018-10-21T21:00:00,3.93,3.71,4.68,-0.55
2018-10-22T21:00:00,3.93,3.71,4.68,-0.46
2018-10-23T21:00:00,3.93,3.88,4.68,-0.73
2018-10-24T21:00:00,3.93,3.64,4.68,-0.87
2018-10-25T21:00:00,3.58,3.79,4.68,-0.62
2018-10-28T21:00:00,3.93,4.14,5.48,-1.07
2018-10-29T21:00:00,4.16,4.14,5.48,-1.4
2018-10-30T21:00:00,4.41,3.69,5.48,-1.75
2018-10-31T21:00:00,4.41,4.17,5.48,-1.17
2018-11-01T21:00:00,4.41,4.17,5.48,-1.54
2018-11-04T22:00:00,4.41,4.17,5.48,-1.56
2018-11-05T22:00:00,4.41,4.27,5.48,-1.36
2018-11-06T22:00:00,4.41,4.17,5.48,-1.36
2018-11-07T22:00:00,4.72,4.17,5.48,-1.77
2018-11-08T22:00:00,4.49,4.2,5.48,-1.64
2018-11-11T22:00:00,4.49,4.61,5.48,-2.15
2018-11-12T22:00:00,4.04,4.61,5.48,-1.8
2018-11-13T22:00:00,4.04,4.42,5.48,-1.71
2018-11-14T22:00:00,3.86,4.4,5.48,-1.79
2018-11-15T22:00:00,4.43,4.97,6.72,-1.12
2018-11-18T22:00:00,5.1,4.97,6.72,-0.35
2018-11-19T22:00:00,4.79,5.08,6.72,-0.56
2018-11-20T22:00:00,4.79,5.08,6.72,-0.49
2018-11-21T22:00:00,4.79,5.02,6.72,-0.53
2018-11-22T22:00:00,4.91,5.02,6.72,-0.75
2018-11-25T22:00:00,5.01,4.72,6.72,-0.95
2018-11-26T22:00:00,4.93,4.6,6.72,-0.97
