date,trend,signal,trend+signal,return
2018-08-19T21:00:00,0.0,0.0,0.0,0.23
2018-08-20T21:00:00,0.0,0.62,0.0,0.95
2018-08-21T21:00:00,-0.2,0.62,0.0,0.85
2018-08-22T21:00:00,-0.1,0.62,0.0,1.05
2018-08-23T21:00:00,-0.1,0.62,0.0,1.35
2018-08-26T21:00:00,-0.1,0.62,0.0,1.48
2018-08-27T21:00:00,-0.1,0.66,0.0,1.34
2018-08-28T21:00:00,-0.1,0.66,0.0,1.28
2018-08-29T21:00:00,-0.1,0.66,0.0,1.49
2018-08-30T21:00:00,-0.1,0.66,0.0,1.39
2018-09-02T21:00:00,-0.1,0.66,0.0,1.72
2018-09-03T21:00:00,0.18,0.66,0.0,2.1
2018-09-04T21:00:00,0.46,0.66,0.0,2.48
2018-09-05T21:00:00,0.03,0.89,0.0,2.15
2018-09-06T21:00:00,0.36,0.89,0.0,1.72
2018-09-09T21:00:00,-0.1,1.15,0.0,2.08
2018-09-10T21:00:00,-0.1,1.66,0.0,1.47
2018-09-11T21:00:00,-0.1,1.66,0.0,1.15
2018-09-12T21:00:00,-0.1,2.11,0.0,1.7
2018-09-13T21:00:00,-0.1,2.33,0.0,1.38
2018-09-16T21:00:00,0.32,2.75,0.94,1.9
2018-09-17T21:00:00,0.85,3.28,2.1,1.27
2018-09-18T21:00:00,1.16,2.77,2.1,0.86
2018-09-19T21:00:00,1.16,3.43,2.1,1.62
2018-09-20T21:00:00,1.16,3.51,2.1,1.44
2018-09-23T21:00:00,1.29,3.64,2.46,1.67
2018-09-24T21:00:00,1.32,3.67,2.62,1.8
2018-09-25T21:00:00,1.32,3.67,2.62,2.1
2018-09-26T21:00:00,1.88,4.23,3.84,1.44
2018-09-27T21:00:00,3.11,4.23,3.84,0.11
2018-09-30T21:00:00,3.66,3.48,3.84,-0.54
2018-10-01T21:00:00,3.72,3.22,3.84,-0.7
2018-10-02T21:00:00,3.86,3.22,3.84,-0.94
2018-10-03T21:00:00,3.86,3.84,3.84,-0.22
2018-10-04T21:00:00,3.94,3.56,3.84,-0.04
2018-10-07T21:00:00,3.66,3.64,3.84,-0.22
2018-10-08T21:00:00,3.66,3.45,3.84,-0.31
2018-10-09T21:00:00,4.75,4.54,6.12,0.88
2018-10-10T21:00:00,5.02,4.07,6.12,1.25
2018-10-11T21:00:00,4.61,4.28,6.12,0.94
2018-10-14T21:00:00,4.62,4.29,6.24,1.05
2018-10-15T21:00:00,5.0,4.67,7.1,0.57
2018-10-16T21:00:00,4.86,4.67,7.1,0.61
2018-10-17T21:00:00,4.86,4.64,7.1,0.68
2018-10-18T21:00:00,4.86,4.64,7.1,1.34
2018-10-21T21:00:00,4.86,4.95,7.1,0.93
2018-10-22T21:00:00,4.83,4.95,7.1,0.86
2018-10-23T21:00:00,5.63,5.75,8.8,-0.04
2018-10-24T21:00:00,5.59,5.59,8.8,-0.1
2018-10-25T21:00:00,4.98,6.0,8.8,0.41
2018-10-28T21:00:00,4.98,5.77,8.8,0.54
2018-10-29T21:00:00,4.98,6.08,8.8,0.13
2018-10-30T21:00:00,4.98,6.08,8.8,0.2
2018-10-31T21:00:00,4.98,6.3,8.8,0.52
2018-11-01T21:00:00,4.98,6.3,8.8,0.52
2018-11-04T22:00:00,4.98,6.52,8.8,0.84
2018-11-05T22:00:00,4.98,6.52,8.8,1.12
2018-11-06T22:00:00,4.98,6.5,8.8,1.04
2018-11-07T22:00:00,4.98,6.65,8.8,0.79
2018-11-08T22:00:00,4.98,6.71,8.8,0.95
2018-11-11T22:00:00,4.98,7.22,8.8,0.34
2018-11-12T22:00:00,4.98,7.69,8.8,0.91
2018-11-13T22:00:00,4.98,7.36,8.8,1.14
2018-11-14T22:00:00,4.57,7.36,8.8,0.83
2018-11-15T22:00:00,5.04,7.83,9.84,1.4
2018-11-18T22:00:00,5.4,7.83,9.84,1.86
2018-11-19T22:00:00,5.6,7.83,9.84,2.16
2018-11-20T22:00:00,5.11,7.83,9.84,1.77
2018-11-21T22:00:00,5.11,7.83,9.84,1.63
2018-11-22T22:00:00,5.24,7.83,9.84,1.4
2018-11-25T22:00:00,5.05,7.82,9.84,1.49
2018-11-26T22:00:00,5.05,7.82,9.84,1.53
2018-11-27T22:00:00,5.05,8.25,9.84,2.06
2018-11-28T22:00:00,5.05,7.87,9.84,2.34
2018-11-29T22:00:00,5.05,8.34,9.84,1.77
2018-12-02T22:00:00,5.05,8.34,9.84,1.47
2018-12-03T22:00:00,5.05,8.64,9.84,1.87
2018-12-04T22:00:00,5.67,9.26,11.18,2.59
2018-12-05T22:00:00,6.05,9.26,11.18,3.07
2018-12-06T22:00:00,5.57,9.54,11.18,2.69
2018-12-09T22:00:00,5.57,9.54,11.18,2.84
2018-12-10T22:00:00,5.57,9.83,11.18,2.45
2018-12-11T22:00:00,5.31,9.89,11.18,2.61
2018-12-12T22:00:00,5.29,9.89,11.18,2.53
2018-12-13T22:00:00,5.44,10.04,11.58,2.28
2018-12-16T22:00:00,5.92,10.52,12.64,2.86
2018-12-17T22:00:00,6.4,10.52,12.64,3.44
2018-12-18T22:00:00,6.51,10.52,12.64,3.65
2018-12-19T22:00:00,7.19,10.52,12.64,4.43
2018-12-20T22:00:00,7.11,10.4,12.64,4.45
2018-12-23T22:00:00,7.34,10.4,12.64,4.78
2018-12-25T22:00:00,6.58,10.4,12.64,4.12
2018-12-26T22:00:00,7.51,11.33,14.6,5.15
2018-12-27T22:00:00,7.69,11.33,14.6,5.43
2018-12-30T22:00:00,7.85,10.97,14.6,5.69
2019-01-01T22:00:00,9.22,12.34,17.44,4.22
2019-01-02T22:00:00,9.41,11.95,17.44,3.93
2019-01-03T22:00:00,10.13,11.03,17.44,3.11
2019-01-06T22:00:00,9.96,11.0,17.44,3.18
2019-01-07T22:00:00,9.96,11.36,17.44,2.72
2019-01-08T22:00:00,9.96,11.64,17.44,3.1
2019-01-09T22:00:00,9.96,11.64,17.44,2.92
2019-01-10T22:00:00,9.96,11.64,17.44,2.89
2019-01-13T22:00:00,9.96,11.64,17.44,3.13
2019-01-14T22:00:00,9.96,12.16,17.44,2.51
2019-01-15T22:00:00,10.13,11.79,17.44,2.24
2019-01-16T22:00:00,9.89,11.83,17.44,2.38
2019-01-17T22:00:00,10.12,11.83,17.44,2.05
2019-01-20T22:00:00,10.12,11.99,17.44,2.31
2019-01-21T22:00:00,10.4,11.99,17.44,2.69
2019-01-22T22:00:00,10.4,11.79,17.44,2.79
2019-01-23T22:00:00,10.4,12.26,17.44,2.22
2019-01-24T22:00:00,10.38,12.26,17.44,2.14
2019-01-27T22:00:00,10.38,12.68,17.44,2.66
2019-01-28T22:00:00,10.38,12.47,17.44,2.77
2019-01-29T22:00:00,10.38,12.88,17.44,2.26
2019-01-30T22:00:00,10.38,12.88,17.44,1.78
2019-01-31T22:00:00,10.38,12.88,17.44,1.68
2019-02-03T22:00:00,10.31,12.88,17.44,1.65
2019-02-04T22:00:00,10.39,12.88,17.44,1.47
2019-02-05T22:00:00,10.39,13.02,17.44,1.71
2019-02-06T22:00:00,10.39,13.02,17.44,2.22
2019-02-07T22:00:00,10.39,13.26,17.44,1.88
2019-02-10T22:00:00,10.39,13.26,17.44,1.72
2019-02-11T22:00:00,10.32,13.26,17.44,1.69
2019-02-12T22:00:00,10.68,13.26,17.44,1.23
2019-02-13T22:00:00,9.96,13.78,17.44,1.85
2019-02-14T22:00:00,9.96,14.04,17.44,1.49
2019-02-17T22:00:00,9.96,14.04,17.44,1.54
2019-02-18T22:00:00,9.81,14.04,17.44,1.59
2019-02-19T22:00:00,9.81,14.04,17.44,1.26
2019-02-20T22:00:00,9.81,14.33,17.44,1.65
2019-02-21T22:00:00,9.81,14.95,17.44,0.93
2019-02-24T22:00:00,9.81,15.43,17.44,1.51
2019-02-25T22:00:00,9.78,15.26,17.44,1.58
2019-02-26T22:00:00,9.42,15.26,17.44,1.32
2019-02-27T22:00:00,9.49,15.33,17.68,1.49
2019-02-28T22:00:00,10.32,15.33,17.68,2.42
2019-03-03T22:00:00,10.04,15.41,17.68,2.24
2019-03-04T22:00:00,10.04,15.39,17.68,2.32
2019-03-05T22:00:00,10.04,15.96,17.68,2.99
2019-03-06T22:00:00,10.04,16.76,17.68,2.09
2019-03-07T22:00:00,10.04,16.76,17.68,2.19
2019-03-10T21:00:00,10.01,16.76,17.68,2.12
2019-03-11T21:00:00,9.85,16.76,17.68,2.18
2019-03-12T21:00:00,9.85,16.76,17.68,2.12
2019-03-13T21:00:00,9.85,16.76,17.68,2.16
2019-03-14T21:00:00,9.97,16.76,17.68,2.38
2019-03-17T21:00:00,10.03,16.76,17.68,2.54
2019-03-18T21:00:00,9.98,16.76,17.68,2.59
2019-03-19T21:00:00,10.28,17.06,18.38,2.99
2019-03-20T21:00:00,10.31,17.06,18.38,3.12
2019-03-21T21:00:00,10.31,17.06,18.38,2.96
2019-03-24T21:00:00,10.31,17.06,18.38,2.95
2019-03-25T21:00:00,10.31,17.52,18.38,2.39
2019-03-26T21:00:00,10.17,17.46,18.38,2.43
2019-03-27T21:00:00,10.03,17.46,18.38,2.47
2019-03-28T21:00:00,10.62,18.05,19.66,1.78
2019-03-31T21:00:00,10.97,18.05,19.66,1.33
2019-04-01T21:00:00,10.73,18.09,19.66,1.47
2019-04-02T21:00:00,10.73,18.3,19.66,1.78
2019-04-03T21:00:00,10.65,18.18,19.66,1.8
2019-04-04T21:00:00,10.69,17.94,19.66,1.94
2019-04-07T21:00:00,10.69,17.94,19.66,1.77
2019-04-08T21:00:00,10.69,17.94,19.66,1.89
2019-04-09T21:00:00,10.64,17.94,19.66,1.94
2019-04-10T21:00:00,10.87,18.17,20.22,2.27
2019-04-11T21:00:00,10.71,18.17,20.22,2.21
2019-04-14T21:00:00,10.83,18.17,20.22,2.43
2019-04-15T21:00:00,10.83,18.44,20.22,2.06
2019-04-16T21:00:00,10.83,18.39,20.22,2.11
2019-04-17T21:00:00,11.03,18.39,20.22,1.81
2019-04-18T21:00:00,10.69,18.53,20.22,2.05
2019-04-21T21:00:00,10.69,18.53,20.22,1.87
2019-04-22T21:00:00,10.69,18.53,20.22,2.16
2019-04-23T21:00:00,10.69,18.52,20.22,2.07
2019-04-24T21:00:00,10.69,18.66,20.22,1.83
2019-04-25T21:00:00,10.69,18.66,20.22,1.75
2019-04-28T21:00:00,10.25,18.9,20.22,2.09
2019-04-29T21:00:00,10.25,19.04,20.22,1.85
2019-04-30T21:00:00,10.25,19.04,20.22,2.03
2019-05-01T21:00:00,10.21,19.04,20.22,2.09
2019-05-02T21:00:00,10.21,19.04,20.22,1.99
