date,trend,signal,trend+signal,return
2018-07-23T21:00:00,0.0,0.0,0.0,-0.4
2018-07-24T21:00:00,-0.14,-0.06,0.0,-0.36
2018-07-25T21:00:00,-0.14,-0.06,0.0,-0.45
2018-07-26T21:00:00,-0.14,-0.06,0.0,-0.33
2018-07-29T21:00:00,-0.14,-0.06,0.0,-0.04
2018-07-30T21:00:00,-0.31,-0.09,0.0,-0.11
2018-07-31T21:00:00,-0.31,0.1,0.0,-0.4
2018-08-01T21:00:00,-0.31,0.1,0.0,-0.23
2018-08-02T21:00:00,-0.31,0.1,0.0,-0.31
2018-08-05T21:00:00,-0.31,0.33,0.0,0.02
2018-08-06T21:00:00,-0.31,0.33,0.0,0.47
2018-08-07T21:00:00,0.12,0.33,0.0,1.0
2018-08-08T21:00:00,0.12,0.51,0.0,0.72
2018-08-09T21:00:00,0.12,0.98,0.0,0.15
2018-08-12T21:00:00,0.12,0.98,0.0,0.29
2018-08-13T21:00:00,0.12,0.98,0.0,0.07
2018-08-14T21:00:00,0.12,1.06,0.0,0.25
2018-08-15T21:00:00,0.12,1.06,0.0,0.4
2018-08-16T21:00:00,0.3,1.06,0.0,0.68
2018-08-19T21:00:00,0.3,0.94,0.0,0.7
2018-08-20T21:00:00,0.3,0.94,0.0,0.64
2018-08-21T21:00:00,0.3,0.94,0.0,0.76
2018-08-22T21:00:00,0.3,0.94,0.0,1.03
2018-08-23T21:00:00,0.62,1.26,0.74,1.45
2018-08-26T21:00:00,0.64,1.26,0.74,1.57
2018-08-27T21:00:00,0.64,0.85,0.74,1.88
2018-08-28T21:00:00,0.64,1.85,0.74,0.78
2018-08-29T21:00:00,0.75,1.85,0.74,0.57
2018-08-30T21:00:00,0.82,1.58,0.74,0.4
2018-09-02T21:00:00,0.18,2.02,0.74,0.94
2018-09-03T21:00:00,-0.1,2.1,0.74,0.76
2018-09-04T21:00:00,-0.1,2.1,0.74,0.76
2018-09-05T21:00:00,-0.1,2.1,0.74,0.52
2018-09-06T21:00:00,0.32,2.1,0.74,0.0
2018-09-09T21:00:00,0.63,2.1,0.74,-0.41
2018-09-10T21:00:00,0.63,2.1,0.74,-0.37
2018-09-11T21:00:00,0.63,2.1,0.74,-0.33
2018-09-12T21:00:00,0.63,2.1,0.74,-0.28
2018-09-13T21:00:00,0.63,2.1,0.74,-0.56
2018-09-16T21:00:00,0.63,2.1,0.74,-0.74
2018-09-17T21:00:00,0.56,2.1,0.74,-0.77
2018-09-18T21:00:00,0.4,2.06,0.74,-0.71
2018-09-19T21:00:00,0.23,2.06,0.74,-0.78
2018-09-20T21:00:00,1.33,2.06,0.74,0.42
2018-09-23T21:00:00,0.94,2.06,0.74,0.13
2018-09-24T21:00:00,0.51,2.06,0.74,-0.2
2018-09-25T21:00:00,0.5,2.06,0.74,-0.29
2018-09-26T21:00:00,0.56,2.06,0.74,-0.45
2018-09-27T21:00:00,0.56,2.01,0.74,-0.4
2018-09-30T21:00:00,0.56,2.01,0.74,-0.7
2018-10-01T21:00:00,0.56,2.16,0.74,-0.45
2018-10-02T21:00:00,0.76,2.16,0.74,-0.75
2018-10-03T21:00:00,0.76,2.16,0.74,-1.05
2018-10-04T21:00:00,0.76,2.16,0.74,-1.72
2018-10-07T21:00:00,0.76,2.16,0.74,-1.74
2018-10-08T21:00:00,1.07,2.16,0.74,-2.15
2018-10-09T21:00:00,1.07,2.16,0.74,-2.31
2018-10-10T21:00:00,1.07,2.16,0.74,-1.99
2018-10-11T21:00:00,1.07,2.16,0.74,-1.67
2018-10-14T21:00:00,0.82,2.16,0.74,-1.82
2018-10-15T21:00:00,0.82,2.38,0.74,-2.14
2018-10-16T21:00:00,0.82,2.38,0.74,-2.27
2018-10-17T21:00:00,0.82,2.55,0.74,-2.0
2018-10-18T21:00:00,0.82,2.55,0.74,-1.82
2018-10-21T21:00:00,0.82,2.55,0.74,-1.43
2018-10-22T21:00:00,0.82,2.56,0.74,-1.54
2018-10-23T21:00:00,0.82,2.56,0.74,-1.39
2018-10-24T21:00:00,0.82,2.56,0.74,-1.04
2018-10-25T21:00:00,0.82,2.56,0.74,-0.86
2018-10-28T21:00:00,0.82,2.56,0.74,-0.81
2018-10-29T21:00:00,0.82,2.56,0.74,-0.36
2018-10-30T21:00:00,1.46,3.2,2.12,-1.1
2018-10-31T21:00:00,2.5,3.2,2.12,-2.24
