date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,-0.03
2021-11-29T07:00:00,0.0,0.06,0.0,0.13
2021-11-29T08:00:00,-0.22,0.06,0.0,0.01
2021-11-29T09:00:00,-0.21,0.06,0.0,0.12
2021-11-29T10:00:00,-0.23,0.06,0.0,0.2
2021-11-29T11:00:00,-0.27,-0.1,0.0,0.26
2021-11-29T12:00:00,-0.33,-0.1,0.0,0.3
2021-11-29T13:00:00,-0.33,-0.1,0.0,0.3
2021-11-29T14:00:00,-0.33,-0.1,0.0,0.42
2021-11-29T15:00:00,-0.33,-0.1,0.0,0.19
2021-11-29T16:00:00,-0.33,-0.1,0.0,0.27
2021-11-29T17:00:00,-0.33,-0.1,0.0,0.34
2021-11-29T18:00:00,-0.43,-0.1,0.0,0.34
2021-11-29T19:00:00,-0.53,-0.1,0.0,0.34
2021-11-29T20:00:00,-0.63,-0.1,0.0,0.34
2021-11-29T21:00:00,-0.72,-0.19,-0.08,0.35
2021-11-29T22:00:00,-0.74,-0.19,-0.08,0.43
2021-11-29T23:00:00,-0.67,-0.19,-0.08,0.6
2021-11-30T00:00:00,-0.82,-0.24,-0.08,0.55
2021-11-30T01:00:00,-0.93,-0.24,-0.08,0.54
2021-11-30T02:00:00,-0.93,-0.24,0.02,0.64
2021-11-30T03:00:00,-0.93,-0.23,0.02,0.53
2021-11-30T04:00:00,-0.93,-0.23,0.02,0.44
2021-11-30T05:00:00,-0.93,-0.23,0.02,0.14
2021-11-30T06:00:00,-0.93,-0.23,0.02,0.34
2021-11-30T07:00:00,-0.93,-0.37,0.02,0.38
2021-11-30T08:00:00,-0.93,-0.37,0.02,0.3
2021-11-30T09:00:00,-0.93,-0.37,0.02,0.39
2021-11-30T10:00:00,-1.05,-0.37,0.02,0.37
2021-11-30T11:00:00,-1.08,-0.37,0.02,0.44
2021-11-30T12:00:00,-1.08,-0.37,0.02,0.39
2021-11-30T13:00:00,-1.08,-0.37,0.02,0.36
2021-11-30T14:00:00,-1.12,-0.37,0.02,0.3
2021-11-30T15:00:00,-0.97,-0.37,0.02,0.05
2021-11-30T16:00:00,-1.03,-0.37,0.02,0.01
2021-11-30T17:00:00,-1.26,-0.34,0.02,0.14
2021-11-30T18:00:00,-1.37,-0.34,0.02,0.13
2021-11-30T19:00:00,-1.35,-0.32,0.16,0.25
