date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.0,0.0,0.02
2021-11-28T22:00:00,0.0,-0.06,0.0,0.07
2021-11-28T23:00:00,0.21,0.15,0.42,-0.15
2021-11-29T00:00:00,0.25,0.09,0.42,-0.2
2021-11-29T01:00:00,0.29,0.09,0.42,-0.25
2021-11-29T02:00:00,0.31,0.05,0.42,-0.28
2021-11-29T03:00:00,0.31,0.07,0.42,-0.25
2021-11-29T04:00:00,0.31,0.09,0.42,-0.28
2021-11-29T05:00:00,0.31,0.11,0.42,-0.31
2021-11-29T06:00:00,0.31,0.11,0.42,-0.32
2021-11-29T07:00:00,0.42,0.11,0.42,-0.44
2021-11-29T08:00:00,0.42,0.16,0.42,-0.38
2021-11-29T09:00:00,0.42,0.16,0.42,-0.35
2021-11-29T10:00:00,0.42,0.16,0.42,-0.33
2021-11-29T11:00:00,0.42,0.1,0.42,-0.28
2021-11-29T12:00:00,0.42,0.17,0.42,-0.36
2021-11-29T13:00:00,0.51,0.26,0.6,-0.46
2021-11-29T14:00:00,0.48,0.26,0.6,-0.44
2021-11-29T15:00:00,0.48,0.35,0.6,-0.34
2021-11-29T16:00:00,0.48,0.35,0.6,-0.33
2021-11-29T17:00:00,0.47,0.34,0.6,-0.33
2021-11-29T18:00:00,0.46,0.34,0.6,-0.33
2021-11-29T19:00:00,0.49,0.34,0.6,-0.29
2021-11-29T20:00:00,0.48,0.34,0.6,-0.29
2021-11-29T21:00:00,0.52,0.38,0.68,-0.24
2021-11-29T22:00:00,0.53,0.35,0.68,-0.22
2021-11-29T23:00:00,0.52,0.34,0.68,-0.22
2021-11-30T00:00:00,0.52,0.36,0.68,-0.25
2021-11-30T01:00:00,0.52,0.36,0.68,-0.26
2021-11-30T02:00:00,0.6,0.44,0.84,-0.17
2021-11-30T03:00:00,0.61,0.44,0.84,-0.15
2021-11-30T04:00:00,0.6,0.44,0.84,-0.15
