date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.78
2018-08-21T21:00:00,0.0,-0.32,0.0,1.0
2018-08-22T21:00:00,0.0,0.04,0.0,0.54
2018-08-23T21:00:00,0.0,0.67,0.0,1.27
2018-08-26T21:00:00,0.44,1.11,0.98,1.81
2018-08-27T21:00:00,0.48,0.87,0.98,1.95
2018-08-28T21:00:00,0.48,0.67,0.98,2.05
2018-08-29T21:00:00,0.48,0.89,0.98,1.73
2018-08-30T21:00:00,0.93,0.89,0.98,1.18
2018-09-02T21:00:00,0.64,0.98,0.98,1.37
2018-09-03T21:00:00,0.64,1.2,0.98,1.05
2018-09-04T21:00:00,0.64,1.53,0.98,1.48
2018-09-05T21:00:00,0.64,1.49,0.98,1.42
2018-09-06T21:00:00,1.14,1.49,0.98,0.82
2018-09-09T21:00:00,0.64,1.79,0.98,1.22
2018-09-10T21:00:00,0.62,1.79,0.98,1.3
2018-09-11T21:00:00,0.7,1.79,0.98,1.48
2018-09-12T21:00:00,1.15,1.79,0.98,2.03
2018-09-13T21:00:00,0.49,2.25,0.98,1.47
2018-09-16T21:00:00,0.89,2.65,1.88,1.97
2018-09-17T21:00:00,0.89,2.7,1.88,1.82
2018-09-18T21:00:00,0.89,2.65,1.88,1.87
2018-09-19T21:00:00,1.68,3.44,3.56,2.76
2018-09-20T21:00:00,1.33,3.59,3.56,2.51
2018-09-23T21:00:00,1.24,3.59,3.56,2.52
2018-09-24T21:00:00,1.24,3.64,3.56,2.67
2018-09-25T21:00:00,1.35,3.75,3.88,2.46
2018-09-26T21:00:00,2.08,4.48,5.44,1.63
2018-09-27T21:00:00,2.31,4.05,5.44,1.3
2018-09-30T21:00:00,2.56,3.6,5.44,0.95
2018-10-01T21:00:00,2.72,3.6,5.44,0.69
2018-10-02T21:00:00,3.23,3.6,5.44,0.08
2018-10-03T21:00:00,3.23,3.85,5.44,0.43
2018-10-04T21:00:00,3.23,3.85,5.44,0.48
2018-10-07T21:00:00,3.23,3.85,5.44,0.21
2018-10-08T21:00:00,3.23,3.79,5.44,0.25
2018-10-09T21:00:00,3.4,3.79,5.44,0.52
2018-10-10T21:00:00,3.92,3.79,5.44,1.14
2018-10-11T21:00:00,3.58,3.93,5.44,0.9
2018-10-14T21:00:00,3.81,4.16,6.0,1.23
2018-10-15T21:00:00,3.81,4.1,6.0,1.19
2018-10-16T21:00:00,4.34,4.63,7.16,0.56
2018-10-17T21:00:00,4.66,4.11,7.16,0.14
2018-10-18T21:00:00,4.03,4.54,7.16,0.67
2018-10-21T21:00:00,4.38,4.89,7.96,0.22
2018-10-22T21:00:00,4.22,4.89,7.96,0.28
2018-10-23T21:00:00,4.83,5.5,9.28,-0.43
2018-10-24T21:00:00,4.89,5.24,9.28,-0.59
2018-10-25T21:00:00,4.53,5.4,9.28,-0.33
2018-10-28T21:00:00,4.61,5.48,9.54,-0.51
2018-10-29T21:00:00,4.76,5.48,9.54,-0.76
2018-10-30T21:00:00,4.95,5.48,9.54,-1.05
2018-10-31T21:00:00,4.95,6.24,9.54,-0.19
2018-11-01T21:00:00,4.95,6.24,9.54,-0.37
2018-11-04T22:00:00,4.95,6.24,9.54,-0.21
2018-11-05T22:00:00,4.95,6.24,9.54,-0.03
2018-11-06T22:00:00,4.95,6.15,9.54,-0.04
2018-11-07T22:00:00,5.41,6.61,10.56,-0.6
2018-11-08T22:00:00,5.55,6.61,10.56,-0.84
2018-11-11T22:00:00,6.39,6.61,10.56,-1.78
2018-11-12T22:00:00,5.65,7.15,10.56,-1.14
2018-11-13T22:00:00,5.65,6.88,10.56,-0.97
2018-11-14T22:00:00,5.73,6.88,10.56,-0.79
2018-11-15T22:00:00,6.46,7.61,12.12,0.04
2018-11-18T22:00:00,6.7,7.17,12.12,0.38
2018-11-19T22:00:00,5.86,7.81,12.12,-0.36
2018-11-20T22:00:00,5.86,7.86,12.12,-0.21
2018-11-21T22:00:00,5.6,7.92,12.12,-0.05
2018-11-22T22:00:00,6.1,8.42,13.22,-0.65
2018-11-25T22:00:00,6.11,8.21,13.22,-0.76
2018-11-26T22:00:00,6.31,8.21,13.22,-1.06
2018-11-27T22:00:00,6.31,8.79,13.22,-0.38
2018-11-28T22:00:00,6.31,8.47,13.22,-0.16
2018-11-29T22:00:00,6.31,8.99,13.22,-0.78
2018-12-02T22:00:00,6.31,8.91,13.22,-0.76
2018-12-03T22:00:00,6.3,8.72,13.22,-0.85
2018-12-04T22:00:00,6.3,8.72,13.22,-0.84
2018-12-05T22:00:00,6.3,8.9,13.22,-0.56
2018-12-06T22:00:00,6.3,8.75,13.22,-0.51
2018-12-09T22:00:00,6.3,8.97,13.22,-0.83
2018-12-10T22:00:00,6.3,8.97,13.22,-1.15
2018-12-11T22:00:00,5.74,9.33,13.22,-0.69
2018-12-12T22:00:00,5.74,9.33,13.32,-0.79
2018-12-13T22:00:00,6.13,9.72,14.2,-1.28
2018-12-16T22:00:00,6.13,10.02,14.2,-0.88
2018-12-17T22:00:00,6.13,10.02,14.2,-0.74
2018-12-18T22:00:00,6.13,10.02,14.2,-0.63
2018-12-19T22:00:00,6.13,10.02,14.2,-0.02
2018-12-20T22:00:00,6.13,10.58,14.2,-0.68
2018-12-23T22:00:00,6.13,10.78,14.2,-0.38
2018-12-25T22:00:00,6.13,10.78,14.2,-0.86
2018-12-26T22:00:00,6.13,11.36,14.2,-0.18
2018-12-27T22:00:00,6.16,11.36,14.2,-0.05
2018-12-30T22:00:00,6.3,11.02,14.2,0.19
2019-01-01T22:00:00,6.3,11.97,14.2,-0.86
2019-01-02T22:00:00,6.3,12.32,14.2,-0.41
2019-01-03T22:00:00,6.3,12.24,14.2,-0.39
2019-01-06T22:00:00,6.3,12.24,14.2,0.29
2019-01-07T22:00:00,5.89,12.45,14.2,-0.02
2019-01-08T22:00:00,6.67,13.23,15.86,0.86
2019-01-09T22:00:00,6.21,13.49,15.86,0.5
2019-01-10T22:00:00,6.21,13.49,15.86,0.23
2019-01-13T22:00:00,6.21,13.49,15.86,0.3
2019-01-14T22:00:00,6.59,13.87,16.72,-0.18
2019-01-15T22:00:00,6.67,13.59,16.72,-0.36
2019-01-16T22:00:00,6.61,13.45,16.72,-0.4
2019-01-17T22:00:00,6.74,13.45,16.72,-0.63
2019-01-20T22:00:00,6.74,13.39,16.72,-0.59
2019-01-21T22:00:00,6.74,13.39,16.72,-0.66
2019-01-22T22:00:00,6.46,13.39,16.72,-0.48
2019-01-23T22:00:00,6.46,13.96,16.72,-1.15
2019-01-24T22:00:00,6.46,14.77,16.72,-0.24
2019-01-27T22:00:00,6.58,14.77,16.72,-0.02
2019-01-28T22:00:00,6.51,14.64,16.72,0.01
2019-01-29T22:00:00,6.83,14.64,16.72,0.43
2019-01-30T22:00:00,6.45,14.82,16.72,0.15
2019-01-31T22:00:00,6.45,14.82,16.72,0.22
2019-02-03T22:00:00,6.48,14.82,16.72,0.09
2019-02-04T22:00:00,6.67,14.82,16.72,-0.2
2019-02-05T22:00:00,6.95,14.82,16.72,-0.58
2019-02-06T22:00:00,7.06,14.82,16.72,-0.79
2019-02-07T22:00:00,7.12,14.82,16.72,-0.95
2019-02-10T22:00:00,7.41,14.82,16.72,-1.34
2019-02-11T22:00:00,6.87,15.16,16.72,-0.9
2019-02-12T22:00:00,7.35,15.64,17.78,-1.48
2019-02-13T22:00:00,7.35,15.85,17.78,-1.17
2019-02-14T22:00:00,7.35,15.85,17.78,-1.17
2019-02-17T22:00:00,7.35,15.85,17.78,-1.01
2019-02-18T22:00:00,7.35,15.85,17.78,-0.76
2019-02-19T22:00:00,7.21,15.85,17.78,-0.8
2019-02-20T22:00:00,7.08,15.85,17.78,-0.83
2019-02-21T22:00:00,6.94,15.85,17.78,-0.87
2019-02-24T22:00:00,7.03,15.94,18.06,-0.68
2019-02-25T22:00:00,7.17,15.94,18.06,-0.44
2019-02-26T22:00:00,6.9,15.94,18.06,-0.61
2019-02-27T22:00:00,6.9,15.94,18.06,-0.58
2019-02-28T22:00:00,6.9,15.94,18.06,-0.63
2019-03-03T22:00:00,6.9,15.94,18.06,-1.01
2019-03-04T22:00:00,7.08,15.94,18.06,-1.29
2019-03-05T22:00:00,6.99,15.94,18.06,-1.3
2019-03-06T22:00:00,7.89,16.84,19.96,-2.3
2019-03-07T22:00:00,7.42,17.11,19.96,-1.93
2019-03-10T21:00:00,7.42,17.11,19.96,-1.83
2019-03-11T21:00:00,7.42,17.11,19.96,-1.45
2019-03-12T21:00:00,7.69,17.11,19.96,-1.08
2019-03-13T21:00:00,7.37,17.23,19.96,-1.3
2019-03-14T21:00:00,7.46,17.23,19.96,-1.11
2019-03-17T21:00:00,7.51,17.28,20.16,-0.96
2019-03-18T21:00:00,7.54,17.31,20.32,-0.83
2019-03-19T21:00:00,7.97,17.74,21.28,-0.3
2019-03-20T21:00:00,7.54,17.97,21.28,-0.63
2019-03-21T21:00:00,7.54,17.97,21.28,-1.28
2019-03-24T21:00:00,7.26,18.05,21.28,-1.1
2019-03-25T21:00:00,7.56,18.35,21.98,-1.5
2019-03-26T21:00:00,7.65,18.35,21.98,-1.69
2019-03-27T21:00:00,7.74,18.35,21.98,-1.88
2019-03-28T21:00:00,7.67,18.35,21.98,-1.91
2019-03-31T21:00:00,7.72,18.4,22.18,-2.06
2019-04-01T21:00:00,7.69,18.4,22.18,-2.13
2019-04-02T21:00:00,7.69,18.56,22.18,-1.87
2019-04-03T21:00:00,7.69,18.57,22.18,-1.98
2019-04-04T21:00:00,7.69,18.57,22.18,-2.01
2019-04-07T21:00:00,7.69,18.86,22.18,-1.62
2019-04-08T21:00:00,7.59,18.76,22.18,-1.62
2019-04-09T21:00:00,7.59,18.56,22.18,-1.52
2019-04-10T21:00:00,7.32,18.56,22.18,-1.69
2019-04-11T21:00:00,7.32,18.86,22.18,-1.29
2019-04-14T21:00:00,7.32,18.76,22.18,-1.29
2019-04-15T21:00:00,7.32,18.87,22.18,-1.5
2019-04-16T21:00:00,7.32,18.87,22.18,-1.37
2019-04-17T21:00:00,7.8,19.35,23.24,-1.95
2019-04-18T21:00:00,7.57,19.38,23.24,-1.82
2019-04-21T21:00:00,7.57,19.38,23.24,-1.71
2019-04-22T21:00:00,7.74,19.55,23.68,-1.98
2019-04-23T21:00:00,8.29,20.1,24.88,-2.63
2019-04-24T21:00:00,8.39,20.1,24.88,-2.83
2019-04-25T21:00:00,8.15,20.14,24.88,-2.69
2019-04-28T21:00:00,8.15,20.14,24.88,-2.34
2019-04-29T21:00:00,8.32,19.77,24.88,-2.07
2019-04-30T21:00:00,8.04,19.85,24.88,-2.25
2019-05-01T21:00:00,7.73,19.85,24.88,-2.46
2019-05-02T21:00:00,7.73,20.01,24.88,-2.2
2019-05-05T21:00:00,7.86,20.01,24.88,-1.97
2019-05-06T21:00:00,7.68,19.99,24.88,-2.05
2019-05-07T21:00:00,7.59,19.99,24.88,-2.04
2019-05-08T21:00:00,7.68,19.99,24.88,-1.85
2019-05-09T21:00:00,7.73,19.99,24.88,-1.7
2019-05-12T21:00:00,7.73,19.99,24.88,-1.8
2019-05-13T21:00:00,7.73,19.99,24.88,-1.97
2019-05-14T21:00:00,7.73,19.87,24.88,-1.99
2019-05-15T21:00:00,7.88,20.02,25.28,-2.24
2019-05-16T21:00:00,7.88,19.77,25.28,-2.39
2019-05-19T21:00:00,7.88,19.77,25.28,-2.35
2019-05-20T21:00:00,7.88,19.77,25.28,-2.4
2019-05-21T21:00:00,7.88,19.77,25.28,-2.49
2019-05-22T21:00:00,8.06,19.95,25.74,-2.21
2019-05-23T21:00:00,8.16,19.95,25.74,-2.01
2019-05-26T21:00:00,8.16,19.95,25.74,-2.16
2019-05-27T21:00:00,8.35,20.14,26.22,-2.45
2019-05-28T21:00:00,8.52,20.14,26.22,-2.72
2019-05-29T21:00:00,8.45,20.01,26.22,-2.75
2019-05-30T21:00:00,8.45,20.27,26.22,-2.39
2019-06-02T21:00:00,9.02,20.84,27.46,-1.72
2019-06-03T21:00:00,9.01,20.65,27.46,-1.63
2019-06-04T21:00:00,8.64,20.82,27.46,-1.9
2019-06-05T21:00:00,9.02,21.2,28.32,-1.42
2019-06-06T21:00:00,9.41,21.2,28.32,-0.93
2019-06-09T21:00:00,9.22,21.19,28.32,-1.02
2019-06-10T21:00:00,9.22,21.19,28.32,-0.9
2019-06-11T21:00:00,9.22,21.44,28.32,-1.25
2019-06-12T21:00:00,9.22,21.24,28.32,-1.35
2019-06-13T21:00:00,9.72,21.24,28.32,-1.95
2019-06-16T21:00:00,9.56,21.2,28.32,-1.89
2019-06-17T21:00:00,9.68,21.2,28.32,-2.11
2019-06-18T21:00:00,9.68,21.39,28.32,-1.82
2019-06-19T21:00:00,9.68,21.87,28.32,-1.24
2019-06-20T21:00:00,10.25,21.87,28.32,-0.57
2019-06-23T21:00:00,10.39,21.53,28.32,-0.33
2019-06-24T21:00:00,10.02,21.7,28.32,-0.6
2019-06-25T21:00:00,10.02,21.61,28.32,-0.59
2019-06-26T21:00:00,10.02,21.51,28.32,-0.59
2019-06-27T21:00:00,9.89,21.51,28.32,-0.56
2019-06-30T21:00:00,10.46,22.08,29.56,-1.23
2019-07-01T21:00:00,10.36,21.98,29.56,-1.23
2019-07-02T21:00:00,10.34,21.98,29.56,-1.31
2019-07-03T21:00:00,10.18,21.98,29.56,-1.25
2019-07-04T21:00:00,10.6,22.4,30.5,-1.77
2019-07-07T21:00:00,10.59,22.21,30.5,-1.86
2019-07-08T21:00:00,10.59,22.05,30.5,-1.92
2019-07-09T21:00:00,10.59,22.05,30.5,-1.54
2019-07-10T21:00:00,10.51,21.93,30.5,-1.52
2019-07-11T21:00:00,10.51,21.93,30.5,-1.37
2019-07-14T21:00:00,10.51,21.93,30.5,-1.48
2019-07-15T21:00:00,10.51,21.93,30.5,-1.9
2019-07-16T21:00:00,10.51,21.95,30.5,-1.78
2019-07-17T21:00:00,10.51,21.95,30.5,-1.31
2019-07-18T21:00:00,10.51,22.35,30.5,-1.81
2019-07-21T21:00:00,10.49,22.35,30.5,-1.89
2019-07-22T21:00:00,10.91,22.77,31.44,-2.41
2019-07-23T21:00:00,10.92,22.56,31.44,-2.52
2019-07-24T21:00:00,10.92,22.56,31.44,-2.46
2019-07-25T21:00:00,10.92,22.62,31.44,-2.62
2019-07-28T21:00:00,10.92,22.7,31.44,-2.44
2019-07-29T21:00:00,10.92,22.5,31.44,-2.34
2019-07-30T21:00:00,10.92,23.1,31.44,-3.04
2019-07-31T21:00:00,10.74,23.08,31.44,-2.96
2019-08-01T21:00:00,10.74,23.21,31.44,-2.73
2019-08-04T21:00:00,11.53,23.21,31.44,-1.84
2019-08-05T21:00:00,11.4,23.14,31.44,-1.87
2019-08-06T21:00:00,11.29,23.05,31.44,-1.88
2019-08-07T21:00:00,11.29,23.05,31.44,-2.05
2019-08-08T21:00:00,11.29,23.05,31.44,-1.9
2019-08-11T21:00:00,11.29,23.05,31.44,-1.76
2019-08-12T21:00:00,11.56,23.32,32.08,-2.13
2019-08-13T21:00:00,11.75,23.32,32.08,-2.42
2019-08-14T21:00:00,11.91,23.32,32.08,-2.68
2019-08-15T21:00:00,11.95,23.32,32.08,-2.82
2019-08-18T21:00:00,11.99,23.32,32.08,-2.96
2019-08-19T21:00:00,11.69,23.32,32.08,-2.76
2019-08-20T21:00:00,11.69,23.36,32.08,-2.9
2019-08-21T21:00:00,11.53,23.2,31.86,-2.96
2019-08-22T21:00:00,11.99,23.66,32.88,-2.4
2019-08-25T21:00:00,11.42,24.03,32.88,-2.87
2019-08-26T21:00:00,11.43,24.03,32.88,-2.98
2019-08-27T21:00:00,11.45,24.03,32.88,-3.1
2019-08-28T21:00:00,11.54,24.03,32.88,-3.29
2019-08-29T21:00:00,12.04,24.03,32.88,-3.89
2019-09-01T21:00:00,12.12,24.03,32.88,-4.07
2019-09-02T21:00:00,12.12,23.97,32.88,-4.03
2019-09-03T21:00:00,12.12,24.43,32.88,-3.47
2019-09-04T21:00:00,12.12,24.34,32.88,-3.48
2019-09-05T21:00:00,12.12,24.34,32.88,-3.54
2019-09-08T21:00:00,12.12,24.34,32.88,-3.34
2019-09-09T21:00:00,12.12,24.28,32.88,-3.38
2019-09-10T21:00:00,11.71,24.49,32.88,-3.69
2019-09-11T21:00:00,11.71,24.88,32.88,-3.2
2019-09-12T21:00:00,11.71,24.71,32.88,-3.13
2019-09-15T21:00:00,11.71,25.26,32.88,-3.78
2019-09-16T21:00:00,11.71,25.81,32.88,-3.13
2019-09-17T21:00:00,11.71,26.09,32.88,-3.51
2019-09-18T21:00:00,11.71,26.1,32.88,-3.4
2019-09-19T21:00:00,11.82,26.21,33.2,-3.61
2019-09-22T21:00:00,11.93,26.21,33.2,-3.82
2019-09-23T21:00:00,11.59,26.35,33.2,-3.58
2019-09-24T21:00:00,12.19,26.95,34.5,-4.28
2019-09-25T21:00:00,12.3,26.64,34.5,-4.49
2019-09-26T21:00:00,12.01,26.73,34.5,-4.3
2019-09-29T21:00:00,12.31,27.03,35.2,-4.7
2019-09-30T21:00:00,12.31,27.22,35.2,-4.41
2019-10-01T21:00:00,12.31,27.22,35.2,-4.18
2019-10-02T21:00:00,12.24,27.22,35.2,-4.15
2019-10-03T21:00:00,12.26,27.22,35.2,-4.03
2019-10-06T21:00:00,12.05,27.22,35.2,-4.14
2019-10-07T21:00:00,12.08,27.25,35.36,-4.27
2019-10-08T21:00:00,12.08,27.28,35.36,-4.14
2019-10-09T21:00:00,12.28,27.28,35.36,-3.84
2019-10-10T21:00:00,12.48,26.88,35.36,-3.54
2019-10-13T21:00:00,12.32,26.88,35.36,-3.6
2019-10-14T21:00:00,12.26,26.82,35.34,-3.56
2019-10-15T21:00:00,12.53,27.09,35.98,-3.19
2019-10-16T21:00:00,12.9,27.09,35.98,-2.72
2019-10-17T21:00:00,13.22,27.09,35.98,-2.3
2019-10-20T21:00:00,12.93,27.18,35.98,-2.49
2019-10-21T21:00:00,12.93,27.18,35.98,-2.71
2019-10-22T21:00:00,12.78,27.13,35.98,-2.66
2019-10-23T21:00:00,12.92,27.27,36.36,-2.9
2019-10-24T21:00:00,13.05,27.27,36.36,-3.13
2019-10-27T21:00:00,12.78,27.34,36.36,-2.96
2019-10-28T21:00:00,12.79,27.35,36.48,-2.85
2019-10-29T21:00:00,13.04,27.6,37.08,-2.5
2019-10-30T21:00:00,12.95,27.6,37.08,-2.49
2019-10-31T21:00:00,12.95,27.6,37.08,-2.36
2019-11-03T22:00:00,12.95,27.87,37.08,-2.73
2019-11-04T22:00:00,13.34,27.87,37.08,-3.22
2019-11-05T22:00:00,13.31,27.7,37.08,-3.29
2019-11-06T22:00:00,13.37,27.76,37.3,-3.45
2019-11-07T22:00:00,13.54,27.76,37.3,-3.72
2019-11-10T22:00:00,13.36,27.76,37.3,-3.64
2019-11-11T22:00:00,13.48,27.88,37.64,-3.86
2019-11-12T22:00:00,13.48,27.88,37.64,-3.88
2019-11-13T22:00:00,13.48,27.88,37.64,-3.74
2019-11-14T22:00:00,13.66,28.06,38.1,-3.46
2019-11-17T22:00:00,13.76,27.76,38.1,-3.26
2019-11-18T22:00:00,13.72,27.6,38.1,-3.2
2019-11-19T22:00:00,13.72,27.55,38.1,-3.25
2019-11-20T22:00:00,13.72,27.55,38.1,-3.38
2019-11-21T22:00:00,13.97,27.8,38.7,-3.73
2019-11-24T22:00:00,13.93,27.64,38.7,-3.79
2019-11-25T22:00:00,13.76,27.64,38.7,-3.72
2019-11-26T22:00:00,13.87,27.75,39.02,-3.93
2019-11-27T22:00:00,13.87,27.69,39.02,-3.89
2019-11-28T22:00:00,13.85,27.67,39.08,-3.81
2019-12-01T22:00:00,14.25,28.07,39.98,-3.31
2019-12-02T22:00:00,14.18,27.94,39.98,-3.28
2019-12-03T22:00:00,14.18,27.94,39.98,-3.32
2019-12-04T22:00:00,14.18,27.94,39.98,-3.09
2019-12-05T22:00:00,14.18,28.24,39.98,-3.49
2019-12-08T22:00:00,14.18,28.18,39.98,-3.45
2019-12-09T22:00:00,14.18,28.34,39.98,-3.19
2019-12-10T22:00:00,14.42,28.34,39.98,-2.85
2019-12-11T22:00:00,14.33,28.23,39.98,-2.84
2019-12-12T22:00:00,14.33,28.43,39.98,-3.14
2019-12-15T22:00:00,14.33,28.43,39.98,-3.0
2019-12-16T22:00:00,14.18,28.43,39.98,-2.95
2019-12-17T22:00:00,14.41,28.43,39.98,-3.28
2019-12-18T22:00:00,14.24,28.4,39.98,-3.21
2019-12-19T22:00:00,14.55,28.71,40.7,-3.62
2019-12-22T22:00:00,14.37,28.69,40.7,-3.54
2019-12-23T22:00:00,14.37,28.69,40.7,-3.55
2019-12-25T22:00:00,14.37,28.67,40.7,-3.47
2019-12-26T22:00:00,14.97,29.27,42.0,-2.77
2019-12-29T22:00:00,15.07,28.97,42.0,-2.57
2019-12-30T22:00:00,15.07,28.77,42.0,-2.47
2020-01-01T22:00:00,15.07,28.77,42.0,-2.82
2020-01-02T22:00:00,15.09,28.55,42.0,-2.94
2020-01-05T22:00:00,14.72,28.72,42.0,-2.67
2020-01-06T22:00:00,15.01,29.01,42.68,-3.06
2020-01-07T22:00:00,15.33,29.01,42.68,-3.48
2020-01-08T22:00:00,15.22,28.92,42.68,-3.47
