date,trend,signal,trend+signal,return
2018-07-23T21:00:00,0.0,0.0,0.0,-0.22
2018-07-24T21:00:00,0.0,-0.03,0.0,-0.29
2018-07-25T21:00:00,0.0,-0.03,0.0,0.15
2018-07-26T21:00:00,0.0,-0.03,0.0,-0.15
2018-07-29T21:00:00,0.0,-0.07,0.0,-0.09
2018-07-30T21:00:00,0.27,-0.07,0.0,-0.46
2018-07-31T21:00:00,-0.17,0.17,0.0,-0.12
2018-08-01T21:00:00,-0.06,0.17,0.0,-0.33
2018-08-02T21:00:00,0.55,0.17,0.0,-1.04
2018-08-05T21:00:00,0.81,0.17,0.0,-1.4
2018-08-06T21:00:00,1.24,0.17,0.0,-1.93
2018-08-07T21:00:00,1.68,0.17,0.0,-2.47
2018-08-08T21:00:00,1.68,0.31,0.0,-2.23
2018-08-09T21:00:00,1.68,0.71,0.0,-1.73
2018-08-12T21:00:00,1.68,0.71,0.0,-1.52
2018-08-13T21:00:00,1.68,0.71,0.0,-1.47
2018-08-14T21:00:00,1.68,0.77,0.0,-1.63
2018-08-15T21:00:00,1.79,0.77,0.0,-1.84
2018-08-16T21:00:00,2.13,1.11,0.78,-2.28
2018-08-19T21:00:00,2.13,1.09,0.78,-2.2
2018-08-20T21:00:00,2.13,1.46,0.78,-1.73
2018-08-21T21:00:00,2.36,1.46,0.78,-1.4
2018-08-22T21:00:00,2.92,1.46,0.78,-0.74
2018-08-23T21:00:00,2.92,2.17,0.78,-1.55
2018-08-26T21:00:00,2.92,2.22,0.78,-1.4
2018-08-27T21:00:00,2.81,2.11,0.66,-1.41
2018-08-28T21:00:00,4.3,3.6,3.74,0.18
2018-08-29T21:00:00,4.72,3.6,3.74,0.7
2018-08-30T21:00:00,5.27,2.85,3.74,1.35
2018-09-02T21:00:00,4.55,3.37,3.74,0.73
2018-09-03T21:00:00,4.55,3.65,3.74,1.11
2018-09-04T21:00:00,4.6,3.7,3.94,1.26
2018-09-05T21:00:00,4.65,3.7,3.94,1.41
2018-09-06T21:00:00,5.83,4.88,6.4,2.69
2018-09-09T21:00:00,6.37,4.88,6.4,3.33
2018-09-10T21:00:00,6.26,4.79,6.4,3.32
2018-09-11T21:00:00,5.63,5.22,6.4,2.79
2018-09-12T21:00:00,5.63,5.3,6.4,2.97
2018-09-13T21:00:00,5.63,5.3,6.4,3.23
2018-09-16T21:00:00,5.63,5.3,6.4,3.59
2018-09-17T21:00:00,5.63,5.73,6.4,3.06
2018-09-18T21:00:00,5.63,6.36,6.4,2.33
2018-09-19T21:00:00,4.95,6.84,6.4,2.91
2018-09-20T21:00:00,6.28,8.17,9.16,1.48
2018-09-23T21:00:00,5.73,8.52,9.16,1.93
2018-09-24T21:00:00,5.1,8.52,9.16,2.46
2018-09-25T21:00:00,4.77,8.65,9.16,2.23
2018-09-26T21:00:00,4.77,8.65,9.16,2.29
2018-09-27T21:00:00,5.25,9.13,10.22,1.71
2018-09-30T21:00:00,5.25,9.05,10.22,1.73
2018-10-01T21:00:00,5.25,9.05,10.22,1.71
2018-10-02T21:00:00,6.01,9.81,11.84,2.57
2018-10-03T21:00:00,6.88,9.81,11.84,3.54
2018-10-04T21:00:00,7.88,8.61,11.84,4.64
2018-10-07T21:00:00,7.25,9.04,11.84,4.11
2018-10-08T21:00:00,7.22,9.01,11.88,4.18
