date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.11,0.0,-0.12
2021-11-28T22:00:00,-0.05,0.14,0.0,-0.08
2021-11-28T23:00:00,0.18,0.37,0.46,-0.32
2021-11-29T00:00:00,0.07,0.37,0.46,-0.22
2021-11-29T01:00:00,0.08,0.37,0.46,-0.24
2021-11-29T02:00:00,0.08,0.34,0.46,-0.22
2021-11-29T03:00:00,0.08,0.34,0.46,-0.25
2021-11-29T04:00:00,0.08,0.35,0.46,-0.23
2021-11-29T05:00:00,0.08,0.35,0.46,-0.15
2021-11-29T06:00:00,0.19,0.46,0.68,-0.27
2021-11-29T07:00:00,0.24,0.39,0.68,-0.33
2021-11-29T08:00:00,0.48,0.63,1.16,-0.08
2021-11-29T09:00:00,0.38,0.71,1.16,-0.17
2021-11-29T10:00:00,0.44,0.71,1.16,-0.1
2021-11-29T11:00:00,0.44,0.71,1.16,-0.2
2021-11-29T12:00:00,0.5,0.71,1.16,-0.27
2021-11-29T13:00:00,0.61,0.71,1.16,-0.39
2021-11-29T14:00:00,0.61,0.79,1.16,-0.3
2021-11-29T15:00:00,0.61,0.95,1.16,-0.13
2021-11-29T16:00:00,0.61,0.95,1.16,-0.17
2021-11-29T17:00:00,0.61,1.0,1.16,-0.23
2021-11-29T18:00:00,0.77,1.0,1.16,-0.4
2021-11-29T19:00:00,0.69,1.06,1.16,-0.33
2021-11-29T20:00:00,0.73,1.06,1.16,-0.38
2021-11-29T21:00:00,0.73,1.06,1.16,-0.4
2021-11-29T22:00:00,0.73,1.06,1.16,-0.42
2021-11-29T23:00:00,0.73,1.06,1.16,-0.43
2021-11-30T00:00:00,0.73,1.13,1.16,-0.35
2021-11-30T01:00:00,0.73,1.11,1.16,-0.34
2021-11-30T02:00:00,0.69,1.13,1.16,-0.37
2021-11-30T03:00:00,0.69,1.13,1.16,-0.39
2021-11-30T04:00:00,0.69,1.17,1.16,-0.34
2021-11-30T05:00:00,1.05,1.53,1.88,0.03
2021-11-30T06:00:00,1.06,1.5,1.88,0.05
2021-11-30T07:00:00,1.1,1.54,1.96,0.1
2021-11-30T08:00:00,1.35,1.79,2.46,0.36
2021-11-30T09:00:00,1.31,1.81,2.46,0.33
2021-11-30T10:00:00,1.31,1.9,2.46,0.23
2021-11-30T11:00:00,1.46,1.9,2.46,0.07
2021-11-30T12:00:00,1.46,1.88,2.46,0.06
2021-11-30T13:00:00,1.47,1.85,2.46,0.04
2021-11-30T14:00:00,1.32,1.85,2.46,0.18
2021-11-30T15:00:00,1.85,2.38,3.52,-0.36
2021-11-30T16:00:00,1.8,2.41,3.52,-0.32
2021-11-30T17:00:00,1.8,2.56,3.52,-0.16
2021-11-30T18:00:00,1.8,2.62,3.52,-0.23
2021-11-30T19:00:00,1.75,2.62,3.52,-0.27
2021-11-30T20:00:00,1.75,2.67,3.52,-0.21
2021-11-30T21:00:00,1.75,2.67,3.52,-0.2
2021-11-30T22:00:00,1.75,2.67,3.52,-0.18
2021-11-30T23:00:00,1.75,2.67,3.52,-0.27
2021-12-01T00:00:00,1.75,2.68,3.52,-0.25
2021-12-01T01:00:00,1.9,2.83,3.82,-0.41
2021-12-01T02:00:00,1.97,2.74,3.82,-0.49
2021-12-01T03:00:00,1.97,2.83,3.82,-0.39
2021-12-01T04:00:00,1.97,2.83,3.82,-0.38
2021-12-01T05:00:00,1.97,2.81,3.82,-0.37
2021-12-01T06:00:00,1.96,2.8,3.82,-0.37
2021-12-01T07:00:00,1.96,2.8,3.82,-0.27
2021-12-01T08:00:00,1.96,2.95,3.82,-0.43
2021-12-01T09:00:00,1.96,2.95,3.82,-0.41
2021-12-01T10:00:00,1.96,3.05,3.82,-0.3
2021-12-01T11:00:00,1.96,3.07,3.82,-0.33
2021-12-01T12:00:00,1.96,3.07,3.82,-0.29
