date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.0,0.0,-0.2
2021-11-28T22:00:00,0.0,0.13,0.0,0.03
2021-11-28T23:00:00,0.0,0.07,0.0,-0.01
2021-11-29T00:00:00,-0.03,0.04,0.04,-0.08
2021-11-29T01:00:00,-0.03,0.04,0.04,-0.18
2021-11-29T02:00:00,-0.16,0.04,0.04,-0.15
2021-11-29T03:00:00,-0.2,0.04,0.04,-0.21
2021-11-29T04:00:00,-0.36,0.0,0.04,-0.15
2021-11-29T05:00:00,-0.36,-0.11,0.04,-0.14
2021-11-29T06:00:00,-0.36,-0.22,0.04,-0.13
2021-11-29T07:00:00,-0.36,-0.22,0.04,-0.21
2021-11-29T08:00:00,-0.33,-0.19,0.2,-0.08
2021-11-29T09:00:00,-0.45,-0.27,0.2,-0.1
2021-11-29T10:00:00,-0.4,-0.22,0.4,0.05
2021-11-29T11:00:00,-0.51,-0.22,0.4,0.04
2021-11-29T12:00:00,-0.51,-0.22,0.4,0.09
2021-11-29T13:00:00,-0.51,-0.27,0.4,0.04
2021-11-29T14:00:00,-0.51,-0.36,0.4,0.05
2021-11-29T15:00:00,-0.51,-0.38,0.4,0.13
2021-11-29T16:00:00,-0.51,-0.38,0.4,0.14
2021-11-29T17:00:00,-0.51,-0.36,0.4,0.02
2021-11-29T18:00:00,-0.53,-0.36,0.4,-0.06
2021-11-29T19:00:00,-0.59,-0.5,0.4,-0.1
2021-11-29T20:00:00,-0.74,-0.55,0.4,-0.05
2021-11-29T21:00:00,-0.74,-0.54,0.4,-0.16
2021-11-29T22:00:00,-0.74,-0.54,0.4,-0.14
2021-11-29T23:00:00,-0.74,-0.54,0.4,-0.22
2021-11-30T00:00:00,-0.74,-0.39,0.4,0.03
2021-11-30T01:00:00,-0.74,-0.32,0.4,-0.14
2021-11-30T02:00:00,-0.74,-0.32,0.4,-0.14
2021-11-30T03:00:00,-0.74,-0.42,0.4,-0.14
2021-11-30T04:00:00,-0.74,-0.51,0.4,-0.13
2021-11-30T05:00:00,-0.37,-0.14,1.24,0.34
2021-11-30T06:00:00,-0.49,-0.22,1.24,0.32
2021-11-30T07:00:00,-0.68,-0.22,1.24,0.23
2021-11-30T08:00:00,-0.68,-0.22,1.34,0.33
2021-11-30T09:00:00,-0.68,-0.22,1.34,0.25
2021-11-30T10:00:00,-0.82,-0.22,1.34,0.29
2021-11-30T11:00:00,-0.8,-0.22,1.34,0.17
2021-11-30T12:00:00,-0.77,-0.22,1.34,0.04
2021-11-30T13:00:00,-0.87,-0.32,1.34,0.04
2021-11-30T14:00:00,-0.96,-0.32,1.34,0.03
2021-11-30T15:00:00,-0.96,-0.32,1.34,-0.19
2021-11-30T16:00:00,-0.96,-0.32,1.34,-0.19
2021-11-30T17:00:00,-0.93,-0.32,1.34,-0.32
2021-11-30T18:00:00,-0.99,-0.32,1.34,-0.36
2021-11-30T19:00:00,-0.99,-0.37,1.34,-0.31
2021-11-30T20:00:00,-0.99,-0.37,1.34,-0.21
2021-11-30T21:00:00,-1.07,-0.49,1.34,-0.19
2021-11-30T22:00:00,-1.07,-0.55,1.34,-0.23
2021-11-30T23:00:00,-1.07,-0.55,1.34,-0.31
2021-12-01T00:00:00,-1.07,-0.62,1.34,-0.28
2021-12-01T01:00:00,-1.02,-0.57,1.54,-0.43
2021-12-01T02:00:00,-0.97,-0.57,1.54,-0.58
2021-12-01T03:00:00,-0.97,-0.68,1.54,-0.59
2021-12-01T04:00:00,-0.97,-0.78,1.54,-0.59
2021-12-01T05:00:00,-0.97,-0.78,1.54,-0.57
2021-12-01T06:00:00,-1.03,-0.92,1.54,-0.53
2021-12-01T07:00:00,-1.03,-0.92,1.54,-0.5
2021-12-01T08:00:00,-1.03,-0.95,1.54,-0.57
2021-12-01T09:00:00,-1.03,-0.95,1.54,-0.57
2021-12-01T10:00:00,-1.07,-0.99,1.56,-0.51
2021-12-01T11:00:00,-1.07,-0.99,1.56,-0.41
2021-12-01T12:00:00,-1.13,-1.13,1.56,-0.37
2021-12-01T13:00:00,-1.23,-1.23,1.56,-0.37
2021-12-01T14:00:00,-1.23,-1.23,1.56,-0.4
2021-12-01T15:00:00,-1.23,-1.23,1.56,-0.54
2021-12-01T16:00:00,-1.23,-1.23,1.56,-0.44
2021-12-01T17:00:00,-1.23,-1.21,1.56,-0.32
2021-12-01T18:00:00,-1.23,-1.27,1.56,-0.36
2021-12-01T19:00:00,-1.23,-1.27,1.56,-0.28
2021-12-01T20:00:00,-1.23,-1.27,1.56,-0.26
2021-12-01T21:00:00,-1.23,-1.27,1.56,-0.24
2021-12-01T22:00:00,-1.23,-1.34,1.56,-0.27
2021-12-01T23:00:00,-1.27,-1.34,1.56,-0.33
2021-12-02T00:00:00,-1.27,-1.4,1.56,-0.29
2021-12-02T01:00:00,-1.27,-1.4,1.56,-0.36
2021-12-02T02:00:00,-1.27,-1.4,1.56,-0.26
2021-12-02T03:00:00,-1.27,-1.47,1.56,-0.29
2021-12-02T04:00:00,-1.35,-1.47,1.56,-0.27
2021-12-02T05:00:00,-1.35,-1.47,1.56,-0.27
2021-12-02T06:00:00,-1.35,-1.47,1.56,-0.25
2021-12-02T07:00:00,-1.35,-1.47,1.56,-0.26
2021-12-02T08:00:00,-1.35,-1.47,1.56,-0.2
2021-12-02T09:00:00,-1.35,-1.47,1.56,-0.11
2021-12-02T10:00:00,-1.38,-1.47,1.56,-0.04
2021-12-02T11:00:00,-1.38,-1.47,1.56,0.06
2021-12-02T12:00:00,-1.43,-1.62,1.56,0.11
2021-12-02T13:00:00,-1.43,-1.68,1.56,0.07
2021-12-02T14:00:00,-1.3,-1.68,1.56,-0.16
2021-12-02T15:00:00,-1.44,-1.74,1.56,-0.12
2021-12-02T16:00:00,-1.54,-1.84,1.56,-0.12
2021-12-02T17:00:00,-1.68,-1.84,1.56,-0.08
2021-12-02T18:00:00,-1.68,-1.89,1.56,-0.13
2021-12-02T19:00:00,-1.81,-1.89,1.56,-0.1
2021-12-02T20:00:00,-1.81,-1.89,1.66,-0.2
2021-12-02T21:00:00,-1.86,-1.89,1.66,-0.25
2021-12-02T22:00:00,-1.94,-1.89,1.66,-0.27
2021-12-02T23:00:00,-2.07,-1.89,1.66,-0.24
2021-12-03T00:00:00,-2.07,-1.85,1.66,-0.1
2021-12-03T01:00:00,-2.07,-2.07,1.66,0.02
2021-12-03T02:00:00,-2.07,-2.17,1.66,0.02
2021-12-03T03:00:00,-2.07,-2.17,1.66,-0.0
2021-12-03T04:00:00,-2.11,-2.17,1.66,-0.06
2021-12-03T05:00:00,-2.11,-2.26,1.66,-0.05
2021-12-03T06:00:00,-2.11,-2.26,1.66,0.05
2021-12-03T07:00:00,-2.28,-2.29,1.66,-0.02
2021-12-03T08:00:00,-2.26,-2.27,1.8,0.1
2021-12-03T09:00:00,-2.28,-2.27,1.8,0.18
2021-12-03T10:00:00,-2.41,-2.34,1.8,0.15
2021-12-03T11:00:00,-2.23,-2.16,2.26,-0.13
2021-12-03T12:00:00,-2.35,-2.24,2.26,-0.11
2021-12-03T13:00:00,-2.35,-2.2,2.26,0.03
2021-12-03T14:00:00,-2.35,-2.2,2.26,0.08
2021-12-03T15:00:00,-2.35,-2.22,2.26,-0.0
2021-12-03T16:00:00,-2.35,-2.22,2.26,0.15
2021-12-03T17:00:00,-2.35,-2.22,2.26,0.22
2021-12-03T18:00:00,-2.41,-2.36,2.26,0.26
2021-12-03T19:00:00,-2.57,-2.36,2.26,0.2
2021-12-03T20:00:00,-2.65,-2.36,2.26,0.22
2021-12-03T21:00:00,-2.65,-2.36,2.26,0.24
