date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.03
2021-11-29T07:00:00,0.12,0.12,0.34,0.25
2021-11-29T08:00:00,0.12,0.25,0.34,0.02
2021-11-29T09:00:00,0.12,0.25,0.34,0.05
2021-11-29T10:00:00,0.12,0.24,0.34,0.14
2021-11-29T11:00:00,0.12,0.14,0.34,0.14
2021-11-29T12:00:00,0.17,0.19,0.54,0.29
2021-11-29T13:00:00,0.21,0.23,0.72,0.43
2021-11-29T14:00:00,0.24,0.23,0.72,0.56
2021-11-29T15:00:00,0.24,0.4,0.72,0.29
2021-11-29T16:00:00,0.24,0.4,0.72,0.42
2021-11-29T17:00:00,0.24,0.4,0.72,0.42
2021-11-29T18:00:00,0.24,0.4,0.72,0.42
2021-11-29T19:00:00,0.24,0.4,0.72,0.37
2021-11-29T20:00:00,0.24,0.4,0.72,0.32
2021-11-29T21:00:00,0.24,0.4,0.72,0.22
2021-11-29T22:00:00,0.24,0.39,0.72,0.31
2021-11-29T23:00:00,0.24,0.39,0.72,0.47
2021-11-30T00:00:00,0.24,0.39,0.72,0.45
2021-11-30T01:00:00,0.24,0.39,0.72,0.41
2021-11-30T02:00:00,0.24,0.29,0.72,0.41
2021-11-30T03:00:00,0.21,0.29,0.72,0.34
2021-11-30T04:00:00,0.21,0.29,0.72,0.27
2021-11-30T05:00:00,0.21,0.29,0.72,-0.17
2021-11-30T06:00:00,0.21,0.29,0.72,-0.08
2021-11-30T07:00:00,0.13,0.21,0.66,-0.1
2021-11-30T08:00:00,0.27,0.35,1.04,-0.34
2021-11-30T09:00:00,0.19,0.23,1.04,-0.36
2021-11-30T10:00:00,0.19,0.12,1.04,-0.37
2021-11-30T11:00:00,0.19,0.23,1.04,-0.16
2021-11-30T12:00:00,0.19,0.22,1.04,-0.25
2021-11-30T13:00:00,0.19,0.25,1.04,-0.38
2021-11-30T14:00:00,0.19,-0.01,1.04,-0.54
2021-11-30T15:00:00,0.19,0.68,1.04,0.25
2021-11-30T16:00:00,0.19,0.87,1.04,-0.04
2021-11-30T17:00:00,0.19,0.87,1.04,-0.12
2021-11-30T18:00:00,0.19,0.77,1.04,-0.12
2021-11-30T19:00:00,0.19,0.68,1.04,-0.11
2021-11-30T20:00:00,0.19,0.68,1.04,-0.2
2021-11-30T21:00:00,0.19,0.69,1.04,-0.09
2021-11-30T22:00:00,0.19,0.55,1.04,-0.05
2021-11-30T23:00:00,0.19,0.56,1.04,0.06
2021-12-01T00:00:00,0.03,0.52,1.04,0.0
2021-12-01T01:00:00,0.03,0.64,1.04,0.22
2021-12-01T02:00:00,0.03,0.55,1.04,0.21
2021-12-01T03:00:00,0.03,0.55,1.04,0.19
2021-12-01T04:00:00,0.03,0.55,1.04,0.25
2021-12-01T05:00:00,0.03,0.55,1.04,0.2
2021-12-01T06:00:00,0.03,0.55,1.04,0.3
2021-12-01T07:00:00,0.03,0.55,1.04,0.19
2021-12-01T08:00:00,0.03,0.52,1.04,0.26
2021-12-01T09:00:00,0.03,0.52,1.04,0.23
2021-12-01T10:00:00,0.03,0.52,1.04,0.22
2021-12-01T11:00:00,-0.03,0.52,1.04,0.18
2021-12-01T12:00:00,-0.17,0.46,1.04,0.22
2021-12-01T13:00:00,-0.04,0.59,1.4,-0.01
2021-12-01T14:00:00,0.11,0.59,1.4,-0.26
2021-12-01T15:00:00,-0.11,0.61,1.4,-0.14
2021-12-01T16:00:00,-0.11,0.64,1.4,-0.27
2021-12-01T17:00:00,-0.11,0.64,1.4,-0.33
2021-12-01T18:00:00,-0.11,0.64,1.4,-0.31
2021-12-01T19:00:00,-0.11,0.64,1.4,-0.31
2021-12-01T20:00:00,-0.11,0.52,1.4,-0.29
2021-12-01T21:00:00,-0.11,0.52,1.4,-0.33
2021-12-01T22:00:00,-0.16,0.47,1.4,-0.28
2021-12-01T23:00:00,-0.16,0.47,1.4,-0.25
2021-12-02T00:00:00,-0.16,0.47,1.4,-0.15
2021-12-02T01:00:00,-0.16,0.47,1.4,-0.09
2021-12-02T02:00:00,-0.16,0.47,1.4,-0.08
2021-12-02T03:00:00,-0.16,0.47,1.4,-0.09
2021-12-02T04:00:00,-0.25,0.47,1.4,-0.08
2021-12-02T05:00:00,-0.25,0.47,1.4,-0.02
2021-12-02T06:00:00,-0.29,0.47,1.4,0.04
2021-12-02T07:00:00,-0.28,0.47,1.4,0.15
2021-12-02T08:00:00,-0.45,0.44,1.4,0.08
2021-12-02T09:00:00,-0.45,0.44,1.4,0.02
2021-12-02T10:00:00,-0.48,0.44,1.4,-0.05
2021-12-02T11:00:00,-0.44,0.48,1.58,-0.19
2021-12-02T12:00:00,-0.43,0.27,1.58,-0.3
2021-12-02T13:00:00,-0.56,0.2,1.58,-0.27
2021-12-02T14:00:00,-0.56,0.2,1.58,-0.16
2021-12-02T15:00:00,-0.67,0.2,1.58,-0.17
2021-12-02T16:00:00,-0.68,0.2,1.58,-0.08
2021-12-02T17:00:00,-0.65,0.2,1.58,0.05
2021-12-02T18:00:00,-0.79,0.14,1.58,0.01
2021-12-02T19:00:00,-0.88,0.14,1.58,0.02
2021-12-02T20:00:00,-0.97,0.14,1.58,0.03
2021-12-02T21:00:00,-0.97,0.06,1.58,0.05
2021-12-02T22:00:00,-0.97,0.07,1.58,0.16
2021-12-02T23:00:00,-1.22,0.12,1.58,0.01
2021-12-03T00:00:00,-1.22,0.12,1.58,0.11
2021-12-03T01:00:00,-1.22,0.06,1.58,0.07
2021-12-03T02:00:00,-1.22,0.06,1.58,0.11
2021-12-03T03:00:00,-1.26,0.06,1.58,0.17
2021-12-03T04:00:00,-1.34,-0.06,1.58,0.19
2021-12-03T05:00:00,-1.34,-0.06,1.58,0.19
2021-12-03T06:00:00,-1.32,-0.06,1.58,0.31
2021-12-03T07:00:00,-1.4,-0.06,1.58,0.33
2021-12-03T08:00:00,-1.4,-0.06,1.58,0.3
2021-12-03T09:00:00,-1.4,-0.11,1.58,0.25
2021-12-03T10:00:00,-1.43,-0.11,1.58,0.18
2021-12-03T11:00:00,-1.43,-0.11,1.58,0.25
2021-12-03T12:00:00,-1.43,-0.11,1.58,0.24
2021-12-03T13:00:00,-1.43,-0.11,1.58,0.33
2021-12-03T14:00:00,-1.43,-0.11,1.58,0.3
2021-12-03T15:00:00,-1.43,-0.06,1.58,0.15
2021-12-03T16:00:00,-1.43,-0.06,1.58,-0.19
2021-12-03T17:00:00,-1.43,-0.19,1.58,-0.22
2021-12-03T18:00:00,-1.32,-0.08,1.9,-0.43
2021-12-03T19:00:00,-1.43,-0.17,1.9,-0.42
2021-12-03T20:00:00,-1.65,-0.17,1.9,-0.3
2021-12-03T21:00:00,-1.69,-0.17,1.9,-0.24
2021-12-05T22:00:00,-1.75,-0.31,1.9,-0.2
2021-12-05T23:00:00,-1.72,-0.31,1.9,-0.07
2021-12-06T00:00:00,-1.84,-0.31,1.9,-0.09
2021-12-06T01:00:00,-1.84,-0.31,1.9,-0.11
2021-12-06T02:00:00,-1.84,-0.31,1.9,-0.12
2021-12-06T03:00:00,-1.95,-0.31,1.9,-0.11
2021-12-06T04:00:00,-1.95,-0.31,1.9,-0.1
2021-12-06T05:00:00,-1.95,-0.31,1.9,-0.08
2021-12-06T06:00:00,-2.0,-0.36,1.9,-0.03
2021-12-06T07:00:00,-2.08,-0.36,1.9,-0.01
2021-12-06T08:00:00,-2.08,-0.36,1.9,-0.01
2021-12-06T09:00:00,-2.08,-0.36,1.9,0.06
2021-12-06T10:00:00,-2.08,-0.42,1.9,0.02
2021-12-06T11:00:00,-2.08,-0.5,1.9,0.0
2021-12-06T12:00:00,-2.08,-0.5,1.9,-0.07
2021-12-06T13:00:00,-2.08,-0.5,1.9,0.04
2021-12-06T14:00:00,-2.17,-0.5,1.9,0.05
2021-12-06T15:00:00,-2.09,-0.42,2.16,0.23
2021-12-06T16:00:00,-2.31,-0.4,2.16,0.11
2021-12-06T17:00:00,-2.28,-0.37,2.32,0.24
2021-12-06T18:00:00,-2.35,-0.37,2.32,0.27
2021-12-06T19:00:00,-2.35,-0.37,2.32,0.26
2021-12-06T20:00:00,-2.35,-0.37,2.32,0.24
2021-12-06T21:00:00,-2.35,-0.45,2.32,0.26
2021-12-06T22:00:00,-2.35,-0.45,2.32,0.28
2021-12-06T23:00:00,-2.35,-0.45,2.32,0.24
2021-12-07T00:00:00,-2.4,-0.5,2.32,0.29
2021-12-07T01:00:00,-2.4,-0.5,2.32,0.33
2021-12-07T02:00:00,-2.4,-0.53,2.32,0.26
2021-12-07T03:00:00,-2.4,-0.56,2.32,0.33
2021-12-07T04:00:00,-2.4,-0.59,2.32,0.4
2021-12-07T05:00:00,-2.4,-0.59,2.32,0.48
2021-12-07T06:00:00,-2.4,-0.67,2.32,0.46
2021-12-07T07:00:00,-2.4,-0.67,2.32,0.42
2021-12-07T08:00:00,-2.4,-0.72,2.32,0.47
2021-12-07T09:00:00,-2.4,-0.81,2.32,0.46
