date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,-0.17,0.0,0.07
2021-11-28T22:00:00,0.09,-0.17,0.0,-0.12
2021-11-28T23:00:00,0.16,-0.17,0.0,-0.29
2021-11-29T00:00:00,0.16,-0.1,0.0,-0.12
2021-11-29T01:00:00,0.16,-0.1,0.0,-0.05
2021-11-29T02:00:00,0.05,-0.19,0.0,-0.06
2021-11-29T03:00:00,-0.01,-0.19,0.0,-0.02
2021-11-29T04:00:00,-0.15,-0.19,0.0,-0.06
2021-11-29T05:00:00,-0.15,-0.22,0.0,0.01
2021-11-29T06:00:00,-0.12,-0.22,0.0,-0.12
2021-11-29T07:00:00,-0.24,-0.3,0.0,-0.1
2021-11-29T08:00:00,-0.24,-0.3,0.0,0.02
2021-11-29T09:00:00,-0.24,-0.3,0.0,-0.05
2021-11-29T10:00:00,-0.24,-0.33,0.0,-0.12
2021-11-29T11:00:00,-0.24,-0.33,0.0,-0.22
2021-11-29T12:00:00,-0.23,-0.33,0.0,-0.33
2021-11-29T13:00:00,-0.26,-0.5,0.0,-0.4
2021-11-29T14:00:00,-0.26,-0.5,0.0,-0.31
2021-11-29T15:00:00,-0.26,-0.5,0.0,-0.23
2021-11-29T16:00:00,-0.26,-0.5,0.0,-0.28
2021-11-29T17:00:00,-0.26,-0.5,0.0,-0.2
2021-11-29T18:00:00,-0.26,-0.5,0.0,-0.29
2021-11-29T19:00:00,-0.26,-0.5,0.0,-0.17
2021-11-29T20:00:00,-0.26,-0.5,0.0,-0.27
2021-11-29T21:00:00,-0.26,-0.49,0.0,-0.16
2021-11-29T22:00:00,-0.26,-0.49,0.0,-0.19
2021-11-29T23:00:00,-0.26,-0.49,0.0,-0.12
2021-11-30T00:00:00,-0.26,-0.49,0.0,-0.28
2021-11-30T01:00:00,-0.26,-0.49,0.0,-0.1
2021-11-30T02:00:00,-0.39,-0.56,0.0,-0.13
2021-11-30T03:00:00,-0.39,-0.65,0.0,-0.14
2021-11-30T04:00:00,-0.39,-0.65,0.0,-0.1
2021-11-30T05:00:00,-0.39,-0.65,0.0,-0.19
2021-11-30T06:00:00,-0.39,-0.65,0.0,-0.16
2021-11-30T07:00:00,-0.39,-0.6,0.0,-0.01
2021-11-30T08:00:00,-0.39,-0.6,0.0,0.15
2021-11-30T09:00:00,-0.45,-0.74,0.0,0.19
2021-11-30T10:00:00,-0.7,-0.69,0.0,0.04
2021-11-30T11:00:00,-0.7,-0.69,0.0,0.01
2021-11-30T12:00:00,-0.7,-0.67,0.0,0.13
2021-11-30T13:00:00,-0.7,-0.67,0.0,0.11
2021-11-30T14:00:00,-0.7,-0.67,0.0,0.25
2021-11-30T15:00:00,-0.48,-0.45,0.54,-0.07
2021-11-30T16:00:00,-0.62,-0.51,0.54,-0.03
2021-11-30T17:00:00,-0.43,-0.32,1.02,0.26
2021-11-30T18:00:00,-0.55,-0.4,1.02,0.24
2021-11-30T19:00:00,-0.72,-0.43,1.02,0.17
2021-11-30T20:00:00,-0.72,-0.43,1.02,0.14
2021-11-30T21:00:00,-0.82,-0.53,1.02,0.14
2021-11-30T22:00:00,-0.82,-0.58,1.02,0.19
2021-11-30T23:00:00,-0.82,-0.58,1.02,0.2
2021-12-01T00:00:00,-0.82,-0.58,1.02,0.19
2021-12-01T01:00:00,-0.82,-0.58,1.02,0.18
2021-12-01T02:00:00,-0.82,-0.61,1.02,0.25
2021-12-01T03:00:00,-0.82,-0.61,1.02,0.35
2021-12-01T04:00:00,-0.82,-0.72,1.02,0.36
2021-12-01T05:00:00,-0.93,-0.81,1.02,0.35
2021-12-01T06:00:00,-0.93,-0.81,1.02,0.31
2021-12-01T07:00:00,-0.93,-0.81,1.02,0.39
2021-12-01T08:00:00,-0.93,-0.81,1.02,0.31
2021-12-01T09:00:00,-0.93,-0.81,1.02,0.33
2021-12-01T10:00:00,-1.08,-0.81,1.02,0.38
2021-12-01T11:00:00,-1.06,-0.79,1.16,0.26
2021-12-01T12:00:00,-1.16,-0.89,1.16,0.26
2021-12-01T13:00:00,-1.16,-0.94,1.16,0.31
2021-12-01T14:00:00,-1.16,-0.94,1.16,0.37
2021-12-01T15:00:00,-1.16,-0.94,1.16,0.36
2021-12-01T16:00:00,-1.16,-0.94,1.16,0.45
2021-12-01T17:00:00,-1.16,-0.94,1.16,0.5
2021-12-01T18:00:00,-1.16,-0.94,1.16,0.54
2021-12-01T19:00:00,-1.16,-0.89,1.16,0.39
2021-12-01T20:00:00,-1.16,-1.06,1.16,0.32
2021-12-01T21:00:00,-1.29,-1.13,1.16,0.35
2021-12-01T22:00:00,-1.38,-1.13,1.16,0.34
2021-12-01T23:00:00,-1.38,-1.19,1.16,0.38
2021-12-02T00:00:00,-1.38,-1.19,1.16,0.4
2021-12-02T01:00:00,-1.38,-1.19,1.16,0.45
2021-12-02T02:00:00,-1.38,-1.19,1.16,0.4
2021-12-02T03:00:00,-1.38,-1.26,1.16,0.43
2021-12-02T04:00:00,-1.43,-1.31,1.16,0.38
2021-12-02T05:00:00,-1.48,-1.31,1.16,0.33
2021-12-02T06:00:00,-1.44,-1.27,1.34,0.19
2021-12-02T07:00:00,-1.44,-1.39,1.34,0.17
2021-12-02T08:00:00,-1.44,-1.35,1.34,0.31
2021-12-02T09:00:00,-1.58,-1.41,1.34,0.27
2021-12-02T10:00:00,-1.58,-1.41,1.34,0.23
2021-12-02T11:00:00,-1.58,-1.46,1.34,0.28
2021-12-02T12:00:00,-1.58,-1.46,1.34,0.36
2021-12-02T13:00:00,-1.58,-1.46,1.34,0.25
2021-12-02T14:00:00,-1.5,-1.38,1.6,0.43
2021-12-02T15:00:00,-1.53,-1.38,1.6,0.5
2021-12-02T16:00:00,-1.53,-1.38,1.6,0.4
2021-12-02T17:00:00,-1.53,-1.38,1.6,0.35
2021-12-02T18:00:00,-1.59,-1.52,1.6,0.31
2021-12-02T19:00:00,-1.59,-1.61,1.6,0.32
2021-12-02T20:00:00,-1.59,-1.61,1.6,0.38
2021-12-02T21:00:00,-1.59,-1.61,1.6,0.4
2021-12-02T22:00:00,-1.61,-1.63,1.66,0.48
2021-12-02T23:00:00,-1.7,-1.63,1.66,0.49
2021-12-03T00:00:00,-1.7,-1.57,1.66,0.33
2021-12-03T01:00:00,-1.7,-1.75,1.66,0.25
2021-12-03T02:00:00,-1.75,-1.75,1.66,0.2
2021-12-03T03:00:00,-1.83,-1.75,1.66,0.18
2021-12-03T04:00:00,-1.83,-1.82,1.66,0.21
2021-12-03T05:00:00,-1.83,-1.82,1.66,0.23
2021-12-03T06:00:00,-1.83,-1.78,1.66,0.09
2021-12-03T07:00:00,-1.92,-1.89,1.66,0.08
2021-12-03T08:00:00,-1.92,-1.89,1.66,0.06
2021-12-03T09:00:00,-1.92,-1.89,1.66,0.04
2021-12-03T10:00:00,-1.92,-1.88,1.66,0.15
2021-12-03T11:00:00,-1.89,-1.88,1.66,0.28
2021-12-03T12:00:00,-1.89,-1.9,1.66,0.2
2021-12-03T13:00:00,-1.5,-1.51,2.54,-0.29
2021-12-03T14:00:00,-1.46,-1.51,2.54,-0.43
2021-12-03T15:00:00,-1.47,-1.7,2.54,-0.52
2021-12-03T16:00:00,-1.47,-1.53,2.54,-0.25
2021-12-03T17:00:00,-1.47,-1.53,2.54,-0.25
2021-12-03T18:00:00,-1.47,-1.53,2.54,-0.24
2021-12-03T19:00:00,-1.47,-1.6,2.54,-0.27
2021-12-03T20:00:00,-1.47,-1.67,2.54,-0.24
2021-12-03T21:00:00,-1.47,-1.67,2.54,-0.21
2021-12-05T22:00:00,-1.47,-1.79,2.54,-0.19
2021-12-05T23:00:00,-1.47,-1.79,2.54,-0.27
2021-12-06T00:00:00,-1.47,-1.79,2.54,-0.24
2021-12-06T01:00:00,-1.47,-1.79,2.54,-0.23
2021-12-06T02:00:00,-1.47,-1.79,2.54,-0.26
2021-12-06T03:00:00,-1.47,-1.87,2.54,-0.24
2021-12-06T04:00:00,-1.47,-1.92,2.54,-0.19
2021-12-06T05:00:00,-1.5,-1.95,2.58,-0.26
2021-12-06T06:00:00,-1.47,-1.95,2.58,-0.39
2021-12-06T07:00:00,-1.6,-1.95,2.58,-0.36
2021-12-06T08:00:00,-1.59,-1.94,2.7,-0.47
2021-12-06T09:00:00,-1.62,-1.94,2.7,-0.54
2021-12-06T10:00:00,-1.62,-2.02,2.7,-0.52
2021-12-06T11:00:00,-1.62,-2.02,2.7,-0.44
2021-12-06T12:00:00,-1.62,-2.02,2.7,-0.46
2021-12-06T13:00:00,-1.66,-2.02,2.7,-0.4
2021-12-06T14:00:00,-1.63,-1.99,2.86,-0.53
2021-12-06T15:00:00,-1.6,-1.99,2.86,-0.66
2021-12-06T16:00:00,-1.7,-2.09,2.86,-0.66
2021-12-06T17:00:00,-1.79,-2.09,2.86,-0.67
2021-12-06T18:00:00,-1.78,-2.09,2.86,-0.78
2021-12-06T19:00:00,-1.86,-2.21,2.86,-0.8
2021-12-06T20:00:00,-1.86,-2.21,2.86,-0.71
2021-12-06T21:00:00,-1.86,-2.21,2.86,-0.72
2021-12-06T22:00:00,-1.86,-2.21,2.86,-0.72
2021-12-06T23:00:00,-1.96,-2.21,2.86,-0.72
2021-12-07T00:00:00,-1.98,-2.21,2.86,-0.8
2021-12-07T01:00:00,-1.99,-2.21,2.86,-0.89
2021-12-07T02:00:00,-2.19,-2.21,2.86,-0.79
2021-12-07T03:00:00,-2.19,-2.21,2.86,-0.8
2021-12-07T04:00:00,-2.19,-2.21,2.86,-0.75
2021-12-07T05:00:00,-2.19,-2.21,2.86,-0.74
2021-12-07T06:00:00,-2.19,-2.21,2.86,-0.65
2021-12-07T07:00:00,-2.19,-2.24,2.86,-0.72
2021-12-07T08:00:00,-2.19,-2.24,2.86,-0.82
2021-12-07T09:00:00,-2.2,-2.24,2.86,-0.91
2021-12-07T10:00:00,-2.26,-2.24,2.86,-0.95
2021-12-07T11:00:00,-2.26,-2.27,2.86,-1.02
2021-12-07T12:00:00,-2.26,-2.27,2.86,-1.07
2021-12-07T13:00:00,-2.26,-2.16,2.86,-1.28
2021-12-07T14:00:00,-2.26,-2.18,2.86,-1.2
2021-12-07T15:00:00,-2.26,-2.18,2.86,-1.18
2021-12-07T16:00:00,-2.26,-2.18,2.86,-1.19
2021-12-07T17:00:00,-2.26,-2.3,2.86,-1.17
2021-12-07T18:00:00,-2.37,-2.3,2.86,-1.18
2021-12-07T19:00:00,-2.4,-2.3,2.86,-1.11
2021-12-07T20:00:00,-2.5,-2.3,2.86,-1.11
2021-12-07T21:00:00,-2.5,-2.39,2.86,-1.12
2021-12-07T22:00:00,-2.46,-2.39,2.86,-1.26
2021-12-07T23:00:00,-2.65,-2.4,2.86,-1.17
2021-12-08T00:00:00,-2.65,-2.4,2.96,-1.27
2021-12-08T01:00:00,-2.65,-2.4,2.96,-1.32
2021-12-08T02:00:00,-2.5,-2.25,3.36,-1.07
2021-12-08T03:00:00,-2.6,-2.35,3.36,-1.07
2021-12-08T04:00:00,-2.73,-2.42,3.36,-1.1
2021-12-08T05:00:00,-2.8,-2.49,3.32,-1.07
2021-12-08T06:00:00,-2.8,-2.57,3.32,-1.05
2021-12-08T07:00:00,-2.82,-2.57,3.32,-1.13
2021-12-08T08:00:00,-2.78,-2.53,3.5,-1.27
2021-12-08T09:00:00,-2.71,-2.53,3.5,-1.44
2021-12-08T10:00:00,-2.78,-2.53,3.5,-1.47
2021-12-08T11:00:00,-2.83,-2.53,3.5,-1.52
2021-12-08T12:00:00,-2.83,-2.53,3.5,-1.36
2021-12-08T13:00:00,-2.89,-2.67,3.5,-1.32
2021-12-08T14:00:00,-2.95,-2.73,3.48,-1.28
2021-12-08T15:00:00,-2.53,-2.73,3.48,-0.76
2021-12-08T16:00:00,-2.66,-2.8,3.48,-0.79
2021-12-08T17:00:00,-2.69,-2.8,3.48,-0.72
2021-12-08T18:00:00,-2.8,-2.8,3.48,-0.73
2021-12-08T19:00:00,-2.8,-2.8,3.58,-0.63
2021-12-08T20:00:00,-2.8,-2.83,3.58,-0.7
2021-12-08T21:00:00,-2.83,-2.83,3.58,-0.77
2021-12-08T22:00:00,-2.83,-2.83,3.58,-0.87
2021-12-08T23:00:00,-2.98,-2.88,3.58,-0.82
2021-12-09T00:00:00,-3.1,-3.0,3.44,-0.8
2021-12-09T01:00:00,-3.1,-3.12,3.44,-0.78
2021-12-09T02:00:00,-3.25,-3.12,3.44,-0.83
2021-12-09T03:00:00,-3.27,-3.12,3.44,-0.75
2021-12-09T04:00:00,-3.24,-3.09,3.6,-0.62
2021-12-09T05:00:00,-3.35,-3.18,3.6,-0.63
2021-12-09T06:00:00,-3.45,-3.18,3.6,-0.63
2021-12-09T07:00:00,-3.45,-3.18,3.6,-0.65
2021-12-09T08:00:00,-3.55,-3.18,3.6,-0.65
2021-12-09T09:00:00,-3.55,-3.22,3.6,-0.71
2021-12-09T10:00:00,-3.55,-3.22,3.6,-0.73
2021-12-09T11:00:00,-3.55,-3.22,3.6,-0.87
2021-12-09T12:00:00,-3.55,-3.27,3.6,-0.82
2021-12-09T13:00:00,-3.55,-3.27,3.6,-0.79
2021-12-09T14:00:00,-3.55,-3.27,3.6,-0.76
2021-12-09T15:00:00,-3.56,-3.27,3.6,-0.67
2021-12-09T16:00:00,-3.56,-3.2,3.6,-0.84
2021-12-09T17:00:00,-3.68,-3.28,3.6,-0.82
2021-12-09T18:00:00,-3.67,-3.28,3.6,-0.71
2021-12-09T19:00:00,-3.65,-3.28,3.6,-0.59
2021-12-09T20:00:00,-3.69,-3.28,3.6,-0.53
2021-12-09T21:00:00,-3.79,-3.38,3.6,-0.53
2021-12-09T22:00:00,-3.93,-3.44,3.6,-0.57
2021-12-09T23:00:00,-3.93,-3.5,3.6,-0.53
2021-12-10T00:00:00,-3.93,-3.5,3.6,-0.46
2021-12-10T01:00:00,-3.93,-3.56,3.6,-0.5
2021-12-10T02:00:00,-3.93,-3.56,3.6,-0.48
2021-12-10T03:00:00,-3.93,-3.65,3.6,-0.49
2021-12-10T04:00:00,-4.0,-3.65,3.6,-0.52
2021-12-10T05:00:00,-4.0,-3.65,3.6,-0.57
2021-12-10T06:00:00,-4.0,-3.65,3.6,-0.53
2021-12-10T07:00:00,-4.0,-3.65,3.6,-0.56
2021-12-10T08:00:00,-3.94,-3.59,3.82,-0.72
2021-12-10T09:00:00,-4.06,-3.67,3.82,-0.7
2021-12-10T10:00:00,-4.04,-3.67,3.82,-0.82
2021-12-10T11:00:00,-4.13,-3.67,3.82,-0.83
2021-12-10T12:00:00,-4.13,-3.67,3.82,-0.76
2021-12-10T13:00:00,-4.06,-3.6,4.06,-0.59
2021-12-10T14:00:00,-4.18,-3.6,4.06,-0.61
2021-12-10T15:00:00,-4.18,-3.6,4.06,-0.57
2021-12-10T16:00:00,-4.18,-3.6,4.06,-0.5
2021-12-10T17:00:00,-4.18,-3.6,4.06,-0.46
2021-12-10T18:00:00,-4.18,-3.6,4.06,-0.46
2021-12-10T19:00:00,-4.18,-3.63,4.06,-0.39
