date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.17,0.0,0.0,0.18
2021-11-28T22:00:00,0.17,0.18,0.0,-0.01
2021-11-28T23:00:00,0.2,0.18,0.0,-0.05
2021-11-29T00:00:00,0.2,0.14,0.0,-0.08
2021-11-29T01:00:00,0.2,0.26,0.0,0.05
2021-11-29T02:00:00,0.2,0.26,0.0,-0.0
2021-11-29T03:00:00,0.29,0.35,0.18,0.1
2021-11-29T04:00:00,0.23,0.39,0.18,0.05
2021-11-29T05:00:00,0.23,0.39,0.18,0.03
2021-11-29T06:00:00,0.23,0.37,0.18,0.02
2021-11-29T07:00:00,0.23,0.37,0.18,0.01
2021-11-29T08:00:00,0.32,0.37,0.18,-0.09
2021-11-29T09:00:00,0.33,0.34,0.18,-0.11
2021-11-29T10:00:00,0.33,0.34,0.18,-0.12
2021-11-29T11:00:00,0.41,0.42,0.34,-0.21
2021-11-29T12:00:00,0.46,0.42,0.34,-0.27
2021-11-29T13:00:00,0.46,0.42,0.34,-0.28
2021-11-29T14:00:00,0.57,0.53,0.56,-0.4
2021-11-29T15:00:00,0.64,0.53,0.56,-0.48
2021-11-29T16:00:00,0.64,0.52,0.56,-0.48
2021-11-29T17:00:00,0.64,0.52,0.56,-0.32
2021-11-29T18:00:00,0.64,0.5,0.56,-0.31
2021-11-29T19:00:00,0.67,0.45,0.56,-0.27
2021-11-29T20:00:00,0.63,0.45,0.56,-0.3
2021-11-29T21:00:00,0.77,0.59,0.84,-0.15
2021-11-29T22:00:00,0.73,0.61,0.84,-0.18
2021-11-29T23:00:00,0.8,0.61,0.84,-0.1
2021-11-30T00:00:00,0.8,0.81,0.84,-0.31
2021-11-30T01:00:00,0.8,0.96,0.84,-0.15
2021-11-30T02:00:00,0.79,0.96,0.84,-0.15
2021-11-30T03:00:00,0.79,0.96,0.84,-0.12
2021-11-30T04:00:00,0.79,0.96,0.84,-0.13
2021-11-30T05:00:00,0.79,0.96,0.84,-0.43
2021-11-30T06:00:00,0.79,0.96,0.84,-0.46
2021-11-30T07:00:00,0.73,0.96,0.84,-0.41
2021-11-30T08:00:00,0.72,0.96,0.84,-0.41
2021-11-30T09:00:00,0.72,0.96,0.84,-0.31
2021-11-30T10:00:00,0.72,1.1,0.84,-0.46
2021-11-30T11:00:00,0.79,1.17,0.98,-0.38
2021-11-30T12:00:00,0.83,1.21,1.06,-0.33
2021-11-30T13:00:00,0.83,1.21,1.06,-0.32
2021-11-30T14:00:00,0.83,1.26,1.06,-0.38
2021-11-30T15:00:00,1.0,1.43,1.4,-0.56
2021-11-30T16:00:00,1.01,1.4,1.4,-0.58
2021-11-30T17:00:00,1.01,1.51,1.4,-0.46
2021-11-30T18:00:00,1.01,1.51,1.4,-0.45
2021-11-30T19:00:00,1.01,1.51,1.4,-0.43
2021-11-30T20:00:00,1.01,1.54,1.4,-0.47
2021-11-30T21:00:00,1.04,1.54,1.4,-0.51
2021-11-30T22:00:00,1.04,1.49,1.4,-0.55
2021-11-30T23:00:00,1.04,1.62,1.4,-0.41
2021-12-01T00:00:00,1.04,1.66,1.4,-0.46
2021-12-01T01:00:00,1.16,1.78,1.64,-0.33
2021-12-01T02:00:00,1.36,1.98,2.04,-0.12
2021-12-01T03:00:00,1.37,1.95,2.04,-0.1
2021-12-01T04:00:00,1.42,1.95,2.04,-0.04
2021-12-01T05:00:00,1.42,2.01,2.04,-0.11
2021-12-01T06:00:00,1.43,1.98,2.04,-0.13
2021-12-01T07:00:00,1.54,1.98,2.04,-0.25
2021-12-01T08:00:00,1.56,1.94,2.04,-0.28
2021-12-01T09:00:00,1.45,2.03,2.04,-0.18
2021-12-01T10:00:00,1.48,2.06,2.1,-0.22
2021-12-01T11:00:00,1.54,2.12,2.22,-0.29
2021-12-01T12:00:00,1.59,2.05,2.22,-0.35
2021-12-01T13:00:00,1.59,2.15,2.22,-0.24
2021-12-01T14:00:00,1.59,2.11,2.22,-0.21
2021-12-01T15:00:00,1.59,2.11,2.22,-0.24
2021-12-01T16:00:00,1.68,2.11,2.22,-0.34
2021-12-01T17:00:00,1.75,2.11,2.22,-0.42
2021-12-01T18:00:00,1.73,2.11,2.22,-0.41
2021-12-01T19:00:00,1.84,2.22,2.44,-0.53
2021-12-01T20:00:00,1.92,2.22,2.44,-0.62
2021-12-01T21:00:00,1.88,2.24,2.44,-0.59
2021-12-01T22:00:00,1.87,2.24,2.44,-0.59
2021-12-01T23:00:00,1.87,2.24,2.44,-0.54
2021-12-02T00:00:00,1.87,2.25,2.44,-0.56
2021-12-02T01:00:00,1.87,2.25,2.44,-0.47
2021-12-02T02:00:00,1.86,2.25,2.44,-0.47
2021-12-02T03:00:00,1.91,2.3,2.54,-0.41
2021-12-02T04:00:00,1.91,2.32,2.54,-0.44
2021-12-02T05:00:00,1.91,2.32,2.54,-0.45
2021-12-02T06:00:00,1.91,2.32,2.54,-0.45
2021-12-02T07:00:00,1.93,2.34,2.58,-0.42
2021-12-02T08:00:00,2.0,2.41,2.72,-0.34
2021-12-02T09:00:00,2.03,2.41,2.72,-0.3
2021-12-02T10:00:00,2.03,2.49,2.72,-0.39
2021-12-02T11:00:00,2.03,2.48,2.72,-0.39
2021-12-02T12:00:00,2.03,2.48,2.72,-0.41
2021-12-02T13:00:00,2.03,2.48,2.72,-0.46
2021-12-02T14:00:00,2.03,2.7,2.72,-0.23
2021-12-02T15:00:00,2.03,2.78,2.72,-0.32
2021-12-02T16:00:00,2.03,2.78,2.72,-0.25
2021-12-02T17:00:00,1.98,2.81,2.72,-0.29
2021-12-02T18:00:00,1.98,2.81,2.72,-0.27
2021-12-02T19:00:00,1.98,2.81,2.72,-0.26
2021-12-02T20:00:00,2.09,2.92,2.94,-0.14
