date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.04
2021-11-26T21:00:00,-0.05,-0.15,0.0,0.09
2021-11-28T22:00:00,0.1,-0.15,0.0,-0.16
2021-11-28T23:00:00,-0.12,-0.13,0.0,-0.04
2021-11-29T00:00:00,-0.12,-0.13,0.0,-0.05
2021-11-29T01:00:00,-0.08,-0.09,0.18,0.09
2021-11-29T02:00:00,-0.21,-0.16,0.18,0.06
2021-11-29T03:00:00,-0.26,-0.16,0.18,0.11
2021-11-29T04:00:00,-0.45,-0.17,0.18,0.02
2021-11-29T05:00:00,-0.45,-0.21,0.18,0.08
2021-11-29T06:00:00,-0.45,-0.21,0.18,0.03
2021-11-29T07:00:00,-0.45,-0.21,0.18,0.07
2021-11-29T08:00:00,-0.45,-0.21,0.18,0.02
2021-11-29T09:00:00,-0.45,-0.27,0.18,0.06
2021-11-29T10:00:00,-0.45,-0.33,0.18,0.02
2021-11-29T11:00:00,-0.45,-0.33,0.18,-0.06
2021-11-29T12:00:00,-0.44,-0.33,0.18,-0.17
2021-11-29T13:00:00,-0.48,-0.33,0.18,-0.23
2021-11-29T14:00:00,-0.44,-0.29,0.36,-0.37
2021-11-29T15:00:00,-0.4,-0.29,0.36,-0.51
2021-11-29T16:00:00,-0.45,-0.44,0.36,-0.56
2021-11-29T17:00:00,-0.76,-0.33,0.36,-0.35
2021-11-29T18:00:00,-0.87,-0.42,0.36,-0.36
2021-11-29T19:00:00,-0.93,-0.56,0.36,-0.32
2021-11-29T20:00:00,-1.0,-0.56,0.36,-0.29
2021-11-29T21:00:00,-0.88,-0.44,0.7,-0.07
2021-11-29T22:00:00,-1.03,-0.49,0.7,-0.12
2021-11-29T23:00:00,-1.01,-0.47,0.84,-0.0
2021-11-30T00:00:00,-1.31,-0.37,0.84,-0.2
2021-11-30T01:00:00,-1.19,-0.25,1.18,0.02
2021-11-30T02:00:00,-1.29,-0.35,1.18,0.02
2021-11-30T03:00:00,-1.29,-0.41,1.18,-0.02
2021-11-30T04:00:00,-1.37,-0.49,1.12,-0.04
2021-11-30T05:00:00,-1.0,-0.12,1.96,-0.51
2021-11-30T06:00:00,-1.15,-0.17,1.96,-0.46
2021-11-30T07:00:00,-1.15,-0.13,1.96,-0.32
2021-11-30T08:00:00,-1.15,-0.13,1.96,-0.25
2021-11-30T09:00:00,-1.08,-0.4,1.96,-0.08
2021-11-30T10:00:00,-1.29,-0.39,1.96,-0.19
2021-11-30T11:00:00,-1.37,-0.39,1.96,-0.17
2021-11-30T12:00:00,-1.37,-0.39,2.06,-0.07
2021-11-30T13:00:00,-1.41,-0.39,2.06,-0.01
2021-11-30T14:00:00,-1.41,-0.6,2.06,0.1
2021-11-30T15:00:00,-0.79,0.02,3.4,-0.62
2021-11-30T16:00:00,-1.03,0.06,3.4,-0.48
2021-11-30T17:00:00,-1.03,0.2,3.4,-0.24
2021-11-30T18:00:00,-1.06,0.03,3.4,-0.17
2021-11-30T19:00:00,-1.09,-0.14,3.4,-0.1
2021-11-30T20:00:00,-1.17,-0.26,3.4,-0.08
2021-11-30T21:00:00,-1.17,-0.26,3.4,-0.09
2021-11-30T22:00:00,-1.25,-0.34,3.34,-0.07
2021-11-30T23:00:00,-1.25,-0.34,3.34,0.01
2021-12-01T00:00:00,-1.25,-0.34,3.34,-0.0
2021-12-01T01:00:00,-1.25,-0.34,3.34,0.11
