date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.0,0.0,-0.05
2021-11-28T22:00:00,0.12,0.0,0.0,-0.27
2021-11-28T23:00:00,0.12,0.24,0.0,0.07
2021-11-29T00:00:00,0.16,0.0,0.0,0.21
2021-11-29T01:00:00,0.1,-0.14,0.0,0.25
2021-11-29T02:00:00,-0.02,-0.22,0.0,0.23
2021-11-29T03:00:00,-0.02,-0.22,0.0,0.19
2021-11-29T04:00:00,-0.02,-0.3,0.0,0.21
2021-11-29T05:00:00,-0.02,-0.42,0.0,0.19
2021-11-29T06:00:00,-0.04,-0.42,0.0,0.27
2021-11-29T07:00:00,-0.01,-0.42,0.0,0.4
2021-11-29T08:00:00,-0.26,-0.37,0.0,0.25
2021-11-29T09:00:00,-0.26,-0.37,0.0,0.26
2021-11-29T10:00:00,-0.26,-0.37,0.0,0.36
2021-11-29T11:00:00,-0.26,-0.37,0.0,0.14
2021-11-29T12:00:00,-0.26,-0.35,0.0,0.26
2021-11-29T13:00:00,-0.26,-0.35,0.0,0.31
2021-11-29T14:00:00,-0.26,-0.35,0.0,0.23
2021-11-29T15:00:00,-0.26,-0.35,0.0,0.12
2021-11-29T16:00:00,-0.29,-0.35,0.0,0.05
2021-11-29T17:00:00,-0.39,-0.45,0.0,0.05
2021-11-29T18:00:00,-0.47,-0.45,0.0,0.03
2021-11-29T19:00:00,-0.62,-0.5,0.0,0.08
2021-11-29T20:00:00,-0.65,-0.53,0.04,0.01
2021-11-29T21:00:00,-0.73,-0.53,0.04,-0.01
2021-11-29T22:00:00,-0.76,-0.53,0.04,-0.08
2021-11-29T23:00:00,-0.89,-0.6,0.04,-0.05
2021-11-30T00:00:00,-0.89,-0.67,0.04,-0.02
2021-11-30T01:00:00,-0.98,-0.67,0.04,-0.01
2021-11-30T02:00:00,-0.98,-0.71,0.04,-0.07
2021-11-30T03:00:00,-1.04,-0.71,0.04,-0.11
2021-11-30T04:00:00,-1.13,-0.71,0.04,-0.12
2021-11-30T05:00:00,-0.89,-0.47,0.62,-0.46
2021-11-30T06:00:00,-1.05,-0.51,0.62,-0.4
2021-11-30T07:00:00,-1.05,-0.54,0.62,-0.33
2021-11-30T08:00:00,-1.05,-0.65,0.62,-0.32
2021-11-30T09:00:00,-1.05,-0.62,0.62,-0.45
2021-11-30T10:00:00,-1.05,-0.71,0.62,-0.44
2021-11-30T11:00:00,-1.18,-0.71,0.62,-0.41
2021-11-30T12:00:00,-1.32,-0.85,0.44,-0.37
2021-11-30T13:00:00,-1.48,-0.89,0.44,-0.43
2021-11-30T14:00:00,-1.6,-1.01,0.3,-0.45
2021-11-30T15:00:00,-1.29,-0.7,1.02,-0.04
2021-11-30T16:00:00,-1.57,-0.62,1.02,-0.22
2021-11-30T17:00:00,-1.57,-0.62,1.02,-0.25
2021-11-30T18:00:00,-1.57,-0.62,1.02,-0.22
2021-11-30T19:00:00,-1.57,-0.62,1.02,-0.32
2021-11-30T20:00:00,-1.57,-0.71,1.02,-0.31
2021-11-30T21:00:00,-1.57,-0.71,1.02,-0.23
2021-11-30T22:00:00,-1.57,-0.7,1.02,-0.34
2021-11-30T23:00:00,-1.57,-0.7,1.02,-0.33
2021-12-01T00:00:00,-1.6,-0.73,1.06,-0.26
2021-12-01T01:00:00,-1.6,-0.73,1.06,-0.11
2021-12-01T02:00:00,-1.6,-0.83,1.06,-0.11
2021-12-01T03:00:00,-1.6,-0.83,1.06,-0.12
2021-12-01T04:00:00,-1.6,-0.83,1.06,-0.14
2021-12-01T05:00:00,-1.64,-0.87,1.08,-0.08
2021-12-01T06:00:00,-1.64,-0.98,1.08,-0.07
2021-12-01T07:00:00,-1.64,-0.97,1.08,-0.18
2021-12-01T08:00:00,-1.64,-0.97,1.08,-0.15
2021-12-01T09:00:00,-1.64,-1.02,1.08,-0.2
2021-12-01T10:00:00,-1.67,-1.05,1.12,-0.13
2021-12-01T11:00:00,-1.7,-1.08,1.16,-0.06
2021-12-01T12:00:00,-1.68,-1.3,1.16,0.06
2021-12-01T13:00:00,-1.68,-1.21,1.16,-0.13
2021-12-01T14:00:00,-1.55,-1.54,1.16,-0.36
2021-12-01T15:00:00,-1.89,-1.4,1.16,-0.12
2021-12-01T16:00:00,-1.89,-1.46,1.16,-0.16
2021-12-01T17:00:00,-1.89,-1.46,1.16,-0.26
2021-12-01T18:00:00,-1.89,-1.46,1.16,-0.31
2021-12-01T19:00:00,-1.89,-1.47,1.16,-0.22
2021-12-01T20:00:00,-1.89,-1.47,1.16,-0.22
2021-12-01T21:00:00,-1.98,-1.47,1.16,-0.21
2021-12-01T22:00:00,-2.07,-1.56,1.08,-0.2
2021-12-01T23:00:00,-2.09,-1.58,1.14,-0.12
2021-12-02T00:00:00,-2.26,-1.58,1.14,-0.19
2021-12-02T01:00:00,-2.26,-1.62,1.14,-0.13
2021-12-02T02:00:00,-2.29,-1.65,1.18,-0.2
2021-12-02T03:00:00,-2.36,-1.65,1.18,-0.23
2021-12-02T04:00:00,-2.36,-1.74,1.18,-0.22
2021-12-02T05:00:00,-2.36,-1.72,1.18,-0.1
2021-12-02T06:00:00,-2.36,-1.79,1.18,-0.13
2021-12-02T07:00:00,-2.36,-1.79,1.18,-0.1
2021-12-02T08:00:00,-2.36,-1.85,1.18,-0.14
2021-12-02T09:00:00,-2.39,-1.88,1.22,-0.21
2021-12-02T10:00:00,-2.38,-1.88,1.22,-0.32
2021-12-02T11:00:00,-2.42,-1.88,1.22,-0.38
2021-12-02T12:00:00,-2.46,-1.88,1.22,-0.44
2021-12-02T13:00:00,-2.55,-1.99,1.22,-0.45
2021-12-02T14:00:00,-2.55,-1.99,1.22,-0.39
2021-12-02T15:00:00,-2.63,-1.99,1.22,-0.37
2021-12-02T16:00:00,-2.69,-1.99,1.22,-0.33
2021-12-02T17:00:00,-2.69,-1.99,1.22,-0.34
2021-12-02T18:00:00,-2.69,-1.99,1.22,-0.41
2021-12-02T19:00:00,-2.69,-2.03,1.22,-0.35
2021-12-02T20:00:00,-2.69,-2.11,1.22,-0.37
2021-12-02T21:00:00,-2.76,-2.11,1.22,-0.4
2021-12-02T22:00:00,-2.79,-2.11,1.22,-0.47
2021-12-02T23:00:00,-2.86,-2.11,1.22,-0.5
2021-12-03T00:00:00,-2.95,-2.11,1.22,-0.51
2021-12-03T01:00:00,-2.95,-2.19,1.22,-0.53
2021-12-03T02:00:00,-2.95,-2.19,1.22,-0.52
2021-12-03T03:00:00,-2.97,-2.19,1.22,-0.44
2021-12-03T04:00:00,-3.05,-2.31,1.22,-0.42
2021-12-03T05:00:00,-3.09,-2.31,1.22,-0.36
2021-12-03T06:00:00,-3.17,-2.43,1.22,-0.34
2021-12-03T07:00:00,-3.18,-2.44,1.3,-0.43
2021-12-03T08:00:00,-3.23,-2.44,1.3,-0.48
2021-12-03T09:00:00,-3.27,-2.48,1.32,-0.54
2021-12-03T10:00:00,-3.26,-2.48,1.32,-0.65
2021-12-03T11:00:00,-3.26,-2.48,1.32,-0.55
2021-12-03T12:00:00,-3.26,-2.48,1.32,-0.53
2021-12-03T13:00:00,-3.36,-2.58,1.32,-0.53
2021-12-03T14:00:00,-3.37,-2.58,1.32,-0.62
2021-12-03T15:00:00,-3.43,-2.58,1.32,-0.66
2021-12-03T16:00:00,-3.43,-2.58,1.32,-0.78
2021-12-03T17:00:00,-3.43,-2.69,1.32,-0.79
2021-12-03T18:00:00,-3.43,-2.68,1.32,-0.9
2021-12-03T19:00:00,-3.43,-2.72,1.32,-0.84
2021-12-03T20:00:00,-3.58,-2.87,1.12,-0.79
2021-12-03T21:00:00,-3.54,-2.83,1.3,-0.93
2021-12-05T22:00:00,-3.54,-2.96,1.3,-0.96
2021-12-05T23:00:00,-3.54,-2.99,1.3,-0.89
2021-12-06T00:00:00,-3.52,-2.97,1.44,-0.77
2021-12-06T01:00:00,-3.52,-2.97,1.44,-0.67
2021-12-06T02:00:00,-3.51,-2.97,1.44,-0.56
2021-12-06T03:00:00,-3.61,-3.07,1.44,-0.56
2021-12-06T04:00:00,-3.68,-3.07,1.44,-0.53
2021-12-06T05:00:00,-3.84,-3.11,1.44,-0.59
2021-12-06T06:00:00,-3.84,-3.17,1.44,-0.55
2021-12-06T07:00:00,-3.84,-3.17,1.44,-0.51
2021-12-06T08:00:00,-3.86,-3.19,1.5,-0.43
2021-12-06T09:00:00,-3.86,-3.37,1.5,-0.35
2021-12-06T10:00:00,-3.86,-3.37,1.5,-0.45
2021-12-06T11:00:00,-3.86,-3.36,1.5,-0.34
2021-12-06T12:00:00,-3.86,-3.36,1.5,-0.38
2021-12-06T13:00:00,-3.89,-3.39,1.54,-0.31
2021-12-06T14:00:00,-3.87,-3.37,1.68,-0.19
2021-12-06T15:00:00,-3.79,-3.37,1.68,-0.01
2021-12-06T16:00:00,-3.86,-3.5,1.68,0.02
2021-12-06T17:00:00,-3.91,-3.65,1.68,0.07
2021-12-06T18:00:00,-3.91,-3.65,1.68,0.01
2021-12-06T19:00:00,-3.91,-3.65,1.68,-0.01
2021-12-06T20:00:00,-4.0,-3.76,1.68,-0.02
2021-12-06T21:00:00,-4.0,-3.79,1.68,0.05
2021-12-06T22:00:00,-4.09,-3.9,1.68,0.06
2021-12-06T23:00:00,-4.15,-4.04,1.68,0.1
2021-12-07T00:00:00,-4.15,-4.09,1.68,0.05
2021-12-07T01:00:00,-4.15,-4.09,1.68,0.03
2021-12-07T02:00:00,-4.15,-4.09,1.68,0.02
2021-12-07T03:00:00,-4.15,-4.09,1.68,0.06
2021-12-07T04:00:00,-4.21,-4.09,1.68,0.1
2021-12-07T05:00:00,-4.22,-4.1,1.76,0.19
2021-12-07T06:00:00,-4.27,-4.25,1.76,0.24
2021-12-07T07:00:00,-4.45,-4.27,1.76,0.16
2021-12-07T08:00:00,-4.45,-4.38,1.76,0.15
2021-12-07T09:00:00,-4.48,-4.38,1.76,0.08
2021-12-07T10:00:00,-4.6,-4.38,1.76,0.1
2021-12-07T11:00:00,-4.6,-4.38,1.76,0.18
2021-12-07T12:00:00,-4.6,-4.38,1.76,0.3
2021-12-07T13:00:00,-4.6,-4.43,1.76,0.25
2021-12-07T14:00:00,-4.6,-4.43,1.76,0.23
2021-12-07T15:00:00,-4.6,-4.43,1.76,0.37
2021-12-07T16:00:00,-4.6,-4.49,1.76,0.33
2021-12-07T17:00:00,-4.6,-4.49,1.76,0.32
2021-12-07T18:00:00,-4.58,-4.47,1.9,0.2
2021-12-07T19:00:00,-4.58,-4.54,1.9,0.23
2021-12-07T20:00:00,-4.58,-4.54,1.9,0.25
2021-12-07T21:00:00,-4.58,-4.68,1.9,0.29
2021-12-07T22:00:00,-4.58,-4.68,1.9,0.25
2021-12-07T23:00:00,-4.58,-4.75,1.9,0.28
2021-12-08T00:00:00,-4.58,-4.8,1.9,0.23
2021-12-08T01:00:00,-4.58,-4.8,1.9,0.19
2021-12-08T02:00:00,-4.58,-4.83,1.9,0.26
2021-12-08T03:00:00,-4.67,-4.94,1.9,0.27
2021-12-08T04:00:00,-4.8,-5.01,1.9,0.24
2021-12-08T05:00:00,-4.8,-5.01,1.9,0.21
2021-12-08T06:00:00,-4.8,-5.09,1.9,0.23
2021-12-08T07:00:00,-4.8,-5.09,1.9,0.24
