date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,-0.08
2018-08-21T21:00:00,0.0,0.0,0.0,-0.4
2018-08-22T21:00:00,0.57,0.57,1.24,0.27
2018-08-23T21:00:00,0.57,0.86,1.24,-0.12
2018-08-26T21:00:00,0.88,1.17,1.96,-0.53
2018-08-27T21:00:00,1.07,1.17,1.96,-0.82
2018-08-28T21:00:00,1.11,0.93,1.96,-0.96
2018-08-29T21:00:00,1.11,1.34,1.96,-0.45
2018-08-30T21:00:00,1.46,1.34,1.96,-0.0
2018-09-02T21:00:00,1.46,1.14,1.96,0.1
2018-09-03T21:00:00,2.08,1.76,3.3,0.82
2018-09-04T21:00:00,1.96,1.68,3.3,0.8
2018-09-05T21:00:00,1.61,1.68,3.3,0.55
2018-09-06T21:00:00,1.61,1.68,3.3,0.71
2018-09-09T21:00:00,1.61,1.68,3.3,0.71
2018-09-10T21:00:00,2.2,2.27,4.58,0.02
2018-09-11T21:00:00,2.58,2.27,4.58,-0.46
2018-09-12T21:00:00,2.46,2.19,4.58,-0.44
2018-09-13T21:00:00,2.11,2.19,4.58,-0.19
2018-09-16T21:00:00,2.11,2.19,4.58,-0.17
2018-09-17T21:00:00,2.48,2.19,4.58,-0.64
2018-09-18T21:00:00,2.87,2.19,4.58,-1.13
2018-09-19T21:00:00,2.89,2.19,4.58,-1.25
2018-09-20T21:00:00,2.71,2.19,4.58,-1.17
2018-09-23T21:00:00,2.71,2.28,4.58,-0.98
2018-09-24T21:00:00,2.59,2.28,4.58,-1.0
2018-09-25T21:00:00,2.98,2.67,5.46,-0.51
2018-09-26T21:00:00,2.98,2.67,5.46,-0.33
2018-09-27T21:00:00,2.98,3.59,5.46,-1.35
2018-09-30T21:00:00,2.98,3.59,5.46,-1.64
2018-10-01T21:00:00,2.98,3.59,5.46,-1.54
2018-10-02T21:00:00,2.98,3.59,5.46,-1.23
2018-10-03T21:00:00,2.98,3.59,5.46,-0.78
2018-10-04T21:00:00,3.01,3.36,5.46,-0.65
2018-10-07T21:00:00,3.01,3.16,5.46,-0.55
2018-10-08T21:00:00,3.01,3.16,5.46,-0.66
2018-10-09T21:00:00,3.01,4.0,5.46,0.28
2018-10-10T21:00:00,3.01,4.11,5.46,0.07
2018-10-11T21:00:00,3.01,4.11,5.46,-0.01
2018-10-14T21:00:00,3.01,4.11,5.46,-0.26
2018-10-15T21:00:00,3.37,4.11,5.46,-0.72
2018-10-16T21:00:00,3.37,4.7,5.46,-0.03
2018-10-17T21:00:00,3.78,4.7,5.46,0.48
2018-10-18T21:00:00,3.8,4.48,5.46,0.6
2018-10-21T21:00:00,3.76,4.48,5.46,0.66
2018-10-22T21:00:00,3.76,4.48,5.46,0.54
2018-10-23T21:00:00,3.76,4.48,5.46,0.32
2018-10-24T21:00:00,3.76,4.48,5.46,0.45
2018-10-25T21:00:00,3.76,4.48,5.46,0.74
2018-10-28T21:00:00,3.96,4.48,5.46,1.04
2018-10-29T21:00:00,3.7,4.54,5.46,0.88
2018-10-30T21:00:00,3.98,4.54,5.46,1.26
2018-10-31T21:00:00,3.98,4.54,5.46,0.73
2018-11-01T21:00:00,3.98,4.54,5.46,0.91
2018-11-04T22:00:00,3.98,4.6,5.46,1.07
2018-11-05T22:00:00,3.98,4.6,5.46,1.16
2018-11-06T22:00:00,3.98,4.6,5.46,1.09
2018-11-07T22:00:00,4.18,4.6,5.46,1.39
2018-11-08T22:00:00,4.47,4.89,6.14,1.78
2018-11-11T22:00:00,4.72,4.44,6.14,2.13
2018-11-12T22:00:00,4.57,4.44,6.14,2.08
2018-11-13T22:00:00,4.57,4.44,6.14,2.15
2018-11-14T22:00:00,4.57,4.44,6.14,1.67
2018-11-15T22:00:00,4.57,4.44,6.14,1.4
2018-11-18T22:00:00,4.57,4.47,6.14,1.53
2018-11-19T22:00:00,4.57,5.41,6.14,2.57
2018-11-20T22:00:00,3.96,5.82,6.14,2.06
2018-11-21T22:00:00,3.55,6.03,6.14,1.75
2018-11-22T22:00:00,3.55,6.27,6.14,2.09
2018-11-25T22:00:00,3.55,6.27,6.14,2.3
2018-11-26T22:00:00,3.77,6.27,6.14,2.62
2018-11-27T22:00:00,3.77,6.27,6.14,2.47
2018-11-28T22:00:00,3.77,6.27,6.14,2.53
2018-11-29T22:00:00,3.77,6.27,6.14,2.55
2018-12-02T22:00:00,3.77,6.46,6.14,2.26
2018-12-03T22:00:00,4.15,6.46,6.14,2.74
2018-12-04T22:00:00,4.76,7.07,7.46,3.45
2018-12-05T22:00:00,4.83,6.8,7.46,3.62
2018-12-06T22:00:00,4.29,6.8,7.46,3.18
2018-12-09T22:00:00,4.29,7.15,7.46,3.63
2018-12-10T22:00:00,4.29,7.15,7.46,3.53
2018-12-11T22:00:00,4.29,7.15,7.46,3.22
2018-12-12T22:00:00,4.29,7.1,7.46,3.27
2018-12-13T22:00:00,4.29,7.1,7.46,3.5
2018-12-16T22:00:00,4.36,7.1,7.46,3.67
2018-12-17T22:00:00,4.7,7.1,7.46,4.11
2018-12-18T22:00:00,4.71,7.1,7.46,4.22
2018-12-19T22:00:00,4.76,7.1,7.46,4.37
2018-12-20T22:00:00,5.36,7.1,7.46,5.07
2018-12-23T22:00:00,5.28,6.98,7.46,5.09
2018-12-25T22:00:00,4.98,6.98,7.46,4.89
2018-12-26T22:00:00,5.22,6.98,7.46,5.23
2018-12-27T22:00:00,5.22,6.98,7.46,5.38
2018-12-30T22:00:00,5.22,6.98,7.46,5.38
2019-01-01T22:00:00,5.53,6.98,7.46,4.97
2019-01-02T22:00:00,6.16,6.98,7.46,4.24
2019-01-03T22:00:00,6.92,6.98,7.46,3.38
2019-01-06T22:00:00,7.4,6.3,7.46,2.8
2019-01-07T22:00:00,7.47,6.3,7.46,2.63
2019-01-08T22:00:00,7.88,6.3,7.46,2.12
2019-01-09T22:00:00,7.6,6.38,7.46,2.3
2019-01-10T22:00:00,7.6,6.38,7.46,2.54
2019-01-13T22:00:00,7.6,6.38,7.46,2.68
2019-01-14T22:00:00,7.36,6.38,7.46,2.54
2019-01-15T22:00:00,7.36,6.38,7.46,2.43
2019-01-16T22:00:00,7.36,6.38,7.46,2.58
2019-01-17T22:00:00,7.36,6.38,7.46,2.47
