date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.09
2021-11-26T21:00:00,0.0,-0.01,0.0,0.18
2021-11-28T22:00:00,0.0,0.05,0.0,0.02
2021-11-28T23:00:00,0.0,0.05,0.0,0.2
2021-11-29T00:00:00,0.01,0.05,0.0,0.31
2021-11-29T01:00:00,0.01,-0.09,0.0,0.35
2021-11-29T02:00:00,0.01,-0.09,0.0,0.31
2021-11-29T03:00:00,0.01,-0.19,0.0,0.31
2021-11-29T04:00:00,0.01,-0.24,0.0,0.36
2021-11-29T05:00:00,0.01,-0.24,0.0,0.27
2021-11-29T06:00:00,0.01,-0.22,0.0,0.39
2021-11-29T07:00:00,0.01,-0.22,0.0,0.47
2021-11-29T08:00:00,0.01,-0.13,0.0,0.28
2021-11-29T09:00:00,-0.04,-0.13,0.0,0.23
2021-11-29T10:00:00,-0.27,-0.1,0.0,0.36
2021-11-29T11:00:00,-0.13,0.04,0.38,0.12
2021-11-29T12:00:00,-0.13,0.09,0.38,0.27
2021-11-29T13:00:00,-0.13,0.09,0.38,0.37
2021-11-29T14:00:00,-0.13,0.09,0.38,0.32
2021-11-29T15:00:00,-0.13,0.09,0.38,0.26
2021-11-29T16:00:00,-0.13,0.09,0.38,0.24
2021-11-29T17:00:00,-0.13,0.09,0.38,0.19
2021-11-29T18:00:00,-0.21,0.09,0.38,0.17
2021-11-29T19:00:00,-0.36,0.04,0.38,0.22
2021-11-29T20:00:00,-0.33,0.07,0.54,0.09
2021-11-29T21:00:00,-0.34,0.07,0.54,0.0
2021-11-29T22:00:00,-0.44,0.07,0.54,0.0
2021-11-29T23:00:00,-0.56,0.07,0.54,0.02
2021-11-30T00:00:00,-0.69,-0.0,0.54,0.05
2021-11-30T01:00:00,-0.69,-0.0,0.54,0.01
2021-11-30T02:00:00,-0.69,-0.0,0.54,-0.05
2021-11-30T03:00:00,-0.82,-0.07,0.54,-0.02
2021-11-30T04:00:00,-0.82,-0.07,0.54,0.0
2021-11-30T05:00:00,-0.82,-0.07,0.54,-0.17
2021-11-30T06:00:00,-0.82,-0.07,0.54,-0.2
2021-11-30T07:00:00,-0.9,-0.07,0.54,-0.22
2021-11-30T08:00:00,-0.93,-0.1,0.58,-0.29
2021-11-30T09:00:00,-0.82,-0.1,0.58,-0.5
2021-11-30T10:00:00,-0.9,-0.22,0.58,-0.52
2021-11-30T11:00:00,-1.09,-0.23,0.58,-0.43
2021-11-30T12:00:00,-1.18,-0.32,0.5,-0.44
2021-11-30T13:00:00,-1.18,-0.32,0.5,-0.54
2021-11-30T14:00:00,-1.46,-0.6,0.04,-0.72
2021-11-30T15:00:00,-0.61,0.25,1.84,0.23
2021-11-30T16:00:00,-1.05,0.49,1.84,-0.11
2021-11-30T17:00:00,-1.05,0.49,1.84,-0.26
