date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.03
2021-11-29T07:00:00,0.13,0.13,0.36,0.26
2021-11-29T08:00:00,0.13,0.26,0.36,0.03
2021-11-29T09:00:00,0.13,0.26,0.36,0.06
2021-11-29T10:00:00,0.13,0.25,0.36,0.15
2021-11-29T11:00:00,0.13,0.15,0.36,0.15
2021-11-29T12:00:00,0.18,0.2,0.56,0.3
2021-11-29T13:00:00,0.23,0.25,0.76,0.45
2021-11-29T14:00:00,0.26,0.25,0.76,0.58
2021-11-29T15:00:00,0.26,0.42,0.76,0.31
2021-11-29T16:00:00,0.26,0.42,0.76,0.43
2021-11-29T17:00:00,0.26,0.42,0.76,0.44
2021-11-29T18:00:00,0.26,0.42,0.76,0.44
2021-11-29T19:00:00,0.26,0.42,0.76,0.39
2021-11-29T20:00:00,0.26,0.42,0.76,0.34
2021-11-29T21:00:00,0.26,0.42,0.76,0.24
2021-11-29T22:00:00,0.26,0.41,0.76,0.33
2021-11-29T23:00:00,0.26,0.41,0.76,0.49
2021-11-30T00:00:00,0.26,0.41,0.76,0.47
2021-11-30T01:00:00,0.26,0.41,0.76,0.42
2021-11-30T02:00:00,0.26,0.32,0.76,0.43
2021-11-30T03:00:00,0.22,0.32,0.76,0.37
2021-11-30T04:00:00,0.22,0.32,0.76,0.3
2021-11-30T05:00:00,0.22,0.32,0.76,-0.14
2021-11-30T06:00:00,0.22,0.32,0.76,-0.04
2021-11-30T07:00:00,0.13,0.23,0.68,-0.05
2021-11-30T08:00:00,0.29,0.39,1.1,-0.31
2021-11-30T09:00:00,0.23,0.25,1.1,-0.35
2021-11-30T10:00:00,0.23,0.14,1.1,-0.36
2021-11-30T11:00:00,0.23,0.25,1.1,-0.15
2021-11-30T12:00:00,0.23,0.26,1.1,-0.26
2021-11-30T13:00:00,0.23,0.29,1.1,-0.39
2021-11-30T14:00:00,0.23,0.03,1.1,-0.55
2021-11-30T15:00:00,0.23,0.73,1.1,0.25
2021-11-30T16:00:00,0.23,0.92,1.1,-0.04
2021-11-30T17:00:00,0.23,0.92,1.1,-0.12
2021-11-30T18:00:00,0.23,0.82,1.1,-0.12
2021-11-30T19:00:00,0.23,0.72,1.1,-0.12
2021-11-30T20:00:00,0.23,0.72,1.1,-0.19
2021-11-30T21:00:00,0.23,0.72,1.1,-0.09
2021-11-30T22:00:00,0.23,0.58,1.1,-0.05
2021-11-30T23:00:00,0.24,0.59,1.22,0.06
2021-12-01T00:00:00,0.09,0.54,1.22,0.01
2021-12-01T01:00:00,0.21,0.66,1.56,0.23
2021-12-01T02:00:00,0.21,0.58,1.56,0.21
2021-12-01T03:00:00,0.21,0.58,1.56,0.17
2021-12-01T04:00:00,0.21,0.54,1.56,0.23
2021-12-01T05:00:00,0.21,0.54,1.56,0.18
2021-12-01T06:00:00,0.21,0.54,1.56,0.28
2021-12-01T07:00:00,0.21,0.54,1.56,0.16
2021-12-01T08:00:00,0.21,0.51,1.56,0.23
2021-12-01T09:00:00,0.21,0.51,1.56,0.19
2021-12-01T10:00:00,0.21,0.51,1.56,0.16
2021-12-01T11:00:00,0.15,0.51,1.56,0.12
2021-12-01T12:00:00,0.04,0.42,1.56,0.13
2021-12-01T13:00:00,0.17,0.55,1.92,-0.1
2021-12-01T14:00:00,0.33,0.55,1.92,-0.36
2021-12-01T15:00:00,0.11,0.57,1.92,-0.24
2021-12-01T16:00:00,0.11,0.61,1.92,-0.38
2021-12-01T17:00:00,0.11,0.61,1.92,-0.44
2021-12-01T18:00:00,0.11,0.61,1.92,-0.42
2021-12-01T19:00:00,0.11,0.61,1.92,-0.42
2021-12-01T20:00:00,0.11,0.49,1.92,-0.4
2021-12-01T21:00:00,0.11,0.49,1.92,-0.42
2021-12-01T22:00:00,0.07,0.45,1.94,-0.36
2021-12-01T23:00:00,0.02,0.45,1.94,-0.31
2021-12-02T00:00:00,0.02,0.44,1.94,-0.22
2021-12-02T01:00:00,0.02,0.44,1.94,-0.15
2021-12-02T02:00:00,0.02,0.44,1.94,-0.14
2021-12-02T03:00:00,0.02,0.44,1.94,-0.14
2021-12-02T04:00:00,-0.08,0.44,1.94,-0.14
2021-12-02T05:00:00,-0.08,0.44,1.94,-0.09
2021-12-02T06:00:00,-0.13,0.44,1.94,-0.04
2021-12-02T07:00:00,-0.14,0.44,1.94,0.05
2021-12-02T08:00:00,-0.14,0.4,1.94,-0.01
2021-12-02T09:00:00,-0.14,0.4,1.94,-0.06
2021-12-02T10:00:00,-0.17,0.4,1.94,-0.13
2021-12-02T11:00:00,-0.14,0.43,2.1,-0.26
2021-12-02T12:00:00,-0.14,0.23,2.1,-0.36
2021-12-02T13:00:00,-0.14,0.15,2.1,-0.34
2021-12-02T14:00:00,-0.14,0.15,2.1,-0.22
2021-12-02T15:00:00,-0.25,0.15,2.1,-0.23
2021-12-02T16:00:00,-0.25,0.15,2.1,-0.13
2021-12-02T17:00:00,-0.25,0.15,2.1,-0.03
2021-12-02T18:00:00,-0.39,0.09,2.1,-0.07
2021-12-02T19:00:00,-0.47,0.01,2.04,-0.05
2021-12-02T20:00:00,-0.56,0.01,2.04,-0.04
2021-12-02T21:00:00,-0.56,0.01,2.04,-0.03
2021-12-02T22:00:00,-0.56,-0.0,2.04,0.06
2021-12-02T23:00:00,-0.81,0.05,2.04,-0.09
2021-12-03T00:00:00,-0.81,0.04,2.04,0.0
2021-12-03T01:00:00,-0.81,-0.01,2.04,-0.05
2021-12-03T02:00:00,-0.81,-0.01,2.04,-0.01
2021-12-03T03:00:00,-0.85,-0.01,2.04,0.05
2021-12-03T04:00:00,-0.93,-0.13,2.04,0.07
2021-12-03T05:00:00,-0.93,-0.13,2.04,0.07
2021-12-03T06:00:00,-0.91,-0.13,2.04,0.19
2021-12-03T07:00:00,-0.98,-0.13,2.04,0.22
2021-12-03T08:00:00,-0.98,-0.13,2.04,0.21
2021-12-03T09:00:00,-0.98,-0.18,2.04,0.16
2021-12-03T10:00:00,-1.03,-0.18,2.04,0.11
2021-12-03T11:00:00,-1.03,-0.18,2.04,0.18
2021-12-03T12:00:00,-1.03,-0.18,2.04,0.18
2021-12-03T13:00:00,-1.03,-0.18,2.04,0.26
2021-12-03T14:00:00,-1.03,-0.18,2.04,0.24
2021-12-03T15:00:00,-1.03,-0.12,2.04,0.08
2021-12-03T16:00:00,-1.03,-0.12,2.04,-0.24
2021-12-03T17:00:00,-1.03,-0.25,2.04,-0.27
2021-12-03T18:00:00,-0.92,-0.14,2.36,-0.48
2021-12-03T19:00:00,-1.04,-0.22,2.36,-0.46
2021-12-03T20:00:00,-1.04,-0.22,2.36,-0.33
2021-12-03T21:00:00,-1.1,-0.22,2.36,-0.29
2021-12-05T22:00:00,-1.17,-0.35,2.36,-0.26
2021-12-05T23:00:00,-1.14,-0.32,2.52,-0.13
2021-12-06T00:00:00,-1.25,-0.32,2.52,-0.14
2021-12-06T01:00:00,-1.36,-0.32,2.52,-0.15
2021-12-06T02:00:00,-1.36,-0.32,2.52,-0.17
2021-12-06T03:00:00,-1.47,-0.32,2.52,-0.16
2021-12-06T04:00:00,-1.47,-0.32,2.52,-0.15
2021-12-06T05:00:00,-1.47,-0.32,2.52,-0.12
2021-12-06T06:00:00,-1.51,-0.36,2.54,-0.06
2021-12-06T07:00:00,-1.58,-0.36,2.54,-0.03
2021-12-06T08:00:00,-1.58,-0.36,2.54,-0.02
