date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.04,0.0,0.14
2021-11-28T22:00:00,-0.03,-0.13,0.0,0.21
2021-11-28T23:00:00,-0.03,-0.06,0.0,0.04
2021-11-29T00:00:00,-0.03,-0.18,0.0,0.02
2021-11-29T01:00:00,-0.13,-0.18,0.0,0.02
2021-11-29T02:00:00,-0.21,-0.3,0.0,0.0
2021-11-29T03:00:00,-0.21,-0.36,0.0,0.04
2021-11-29T04:00:00,-0.21,-0.36,0.0,0.08
2021-11-29T05:00:00,-0.21,-0.39,0.0,0.01
2021-11-29T06:00:00,-0.35,-0.45,0.0,0.05
2021-11-29T07:00:00,-0.4,-0.45,0.0,0.0
2021-11-29T08:00:00,-0.45,-0.45,0.0,-0.05
2021-11-29T09:00:00,-0.49,-0.45,0.0,-0.11
2021-11-29T10:00:00,-0.62,-0.52,0.0,-0.08
2021-11-29T11:00:00,-0.7,-0.6,-0.06,-0.1
2021-11-29T12:00:00,-0.7,-0.6,-0.06,-0.06
2021-11-29T13:00:00,-0.7,-0.6,-0.06,-0.01
2021-11-29T14:00:00,-0.7,-0.6,-0.06,0.02
2021-11-29T15:00:00,-0.7,-0.6,-0.06,0.07
2021-11-29T16:00:00,-0.75,-0.6,-0.06,0.12
2021-11-29T17:00:00,-0.9,-0.65,-0.06,0.07
2021-11-29T18:00:00,-0.9,-0.65,-0.06,0.07
2021-11-29T19:00:00,-0.9,-0.65,-0.06,0.06
2021-11-29T20:00:00,-0.9,-0.65,-0.06,0.0
2021-11-29T21:00:00,-0.9,-0.65,-0.06,-0.07
2021-11-29T22:00:00,-0.9,-0.65,-0.06,-0.04
2021-11-29T23:00:00,-0.9,-0.72,-0.06,-0.07
2021-11-30T00:00:00,-1.0,-0.72,-0.06,-0.07
2021-11-30T01:00:00,-1.05,-0.72,-0.06,-0.12
2021-11-30T02:00:00,-1.05,-0.82,-0.06,-0.12
2021-11-30T03:00:00,-1.05,-0.85,-0.06,-0.05
2021-11-30T04:00:00,-1.13,-0.85,-0.06,-0.03
2021-11-30T05:00:00,-1.06,-0.78,0.18,0.14
2021-11-30T06:00:00,-1.24,-0.8,0.18,0.06
2021-11-30T07:00:00,-1.25,-0.81,0.26,-0.03
2021-11-30T08:00:00,-1.28,-0.81,0.26,-0.1
2021-11-30T09:00:00,-1.31,-0.98,0.26,-0.17
2021-11-30T10:00:00,-1.38,-0.98,0.26,-0.2
2021-11-30T11:00:00,-1.38,-1.02,0.26,-0.14
2021-11-30T12:00:00,-1.38,-1.02,0.26,-0.2
2021-11-30T13:00:00,-1.43,-1.02,0.26,-0.25
2021-11-30T14:00:00,-1.43,-1.02,0.26,-0.41
2021-11-30T15:00:00,-1.43,-1.02,0.26,0.13
2021-11-30T16:00:00,-1.43,-1.02,0.26,-0.03
2021-11-30T17:00:00,-1.43,-1.02,0.26,-0.15
2021-11-30T18:00:00,-1.47,-1.18,0.26,-0.21
2021-11-30T19:00:00,-1.51,-1.34,0.26,-0.27
2021-11-30T20:00:00,-1.55,-1.34,0.26,-0.33
2021-11-30T21:00:00,-1.61,-1.34,0.26,-0.37
2021-11-30T22:00:00,-1.67,-1.34,0.26,-0.41
2021-11-30T23:00:00,-1.67,-1.38,0.26,-0.35
2021-12-01T00:00:00,-1.67,-1.43,0.26,-0.4
2021-12-01T01:00:00,-1.75,-1.51,0.2,-0.38
2021-12-01T02:00:00,-1.75,-1.51,0.2,-0.39
2021-12-01T03:00:00,-1.75,-1.51,0.2,-0.45
2021-12-01T04:00:00,-1.75,-1.61,0.2,-0.45
2021-12-01T05:00:00,-1.78,-1.61,0.2,-0.52
2021-12-01T06:00:00,-1.89,-1.7,0.2,-0.51
2021-12-01T07:00:00,-1.89,-1.82,0.2,-0.53
2021-12-01T08:00:00,-1.89,-1.8,0.2,-0.41
2021-12-01T09:00:00,-1.89,-1.8,0.2,-0.49
2021-12-01T10:00:00,-1.89,-1.8,0.2,-0.51
2021-12-01T11:00:00,-1.98,-1.8,0.2,-0.52
2021-12-01T12:00:00,-2.11,-1.87,0.2,-0.49
2021-12-01T13:00:00,-2.11,-1.87,0.2,-0.57
2021-12-01T14:00:00,-2.11,-1.87,0.2,-0.56
2021-12-01T15:00:00,-2.11,-1.87,0.2,-0.52
2021-12-01T16:00:00,-2.11,-1.87,0.2,-0.48
2021-12-01T17:00:00,-2.11,-1.87,0.2,-0.42
2021-12-01T18:00:00,-2.11,-1.87,0.2,-0.41
2021-12-01T19:00:00,-2.11,-1.87,0.2,-0.33
2021-12-01T20:00:00,-2.11,-2.02,0.2,-0.28
2021-12-01T21:00:00,-2.11,-2.02,0.2,-0.32
2021-12-01T22:00:00,-2.11,-2.02,0.2,-0.32
2021-12-01T23:00:00,-2.11,-2.02,0.2,-0.34
2021-12-02T00:00:00,-2.25,-2.02,0.2,-0.3
2021-12-02T01:00:00,-2.22,-1.99,0.36,-0.43
2021-12-02T02:00:00,-2.22,-2.06,0.36,-0.4
2021-12-02T03:00:00,-2.22,-2.09,0.36,-0.33
2021-12-02T04:00:00,-2.26,-2.09,0.36,-0.27
2021-12-02T05:00:00,-2.37,-2.18,0.36,-0.28
2021-12-02T06:00:00,-2.49,-2.18,0.36,-0.3
2021-12-02T07:00:00,-2.5,-2.19,0.44,-0.21
2021-12-02T08:00:00,-2.5,-2.19,0.44,-0.25
2021-12-02T09:00:00,-2.5,-2.27,0.44,-0.23
2021-12-02T10:00:00,-2.5,-2.27,0.44,-0.21
2021-12-02T11:00:00,-2.5,-2.27,0.44,-0.21
2021-12-02T12:00:00,-2.5,-2.27,0.44,-0.2
2021-12-02T13:00:00,-2.55,-2.27,0.44,-0.15
2021-12-02T14:00:00,-2.55,-2.27,0.44,-0.19
2021-12-02T15:00:00,-2.55,-2.27,0.44,-0.17
2021-12-02T16:00:00,-2.55,-2.27,0.44,-0.11
2021-12-02T17:00:00,-2.6,-2.27,0.44,-0.06
2021-12-02T18:00:00,-2.67,-2.4,0.44,-0.03
2021-12-02T19:00:00,-2.76,-2.4,0.44,-0.02
2021-12-02T20:00:00,-2.85,-2.4,0.44,-0.01
2021-12-02T21:00:00,-2.85,-2.47,0.44,-0.04
2021-12-02T22:00:00,-2.85,-2.5,0.44,0.03
2021-12-02T23:00:00,-2.95,-2.6,0.44,0.03
2021-12-03T00:00:00,-3.02,-2.6,0.44,0.06
2021-12-03T01:00:00,-3.02,-2.6,0.44,0.08
2021-12-03T02:00:00,-3.02,-2.6,0.44,0.08
2021-12-03T03:00:00,-3.02,-2.6,0.44,0.05
2021-12-03T04:00:00,-3.02,-2.6,0.44,0.03
2021-12-03T05:00:00,-3.05,-2.6,0.44,-0.04
2021-12-03T06:00:00,-3.05,-2.6,0.44,0.06
2021-12-03T07:00:00,-3.09,-2.6,0.44,0.12
2021-12-03T08:00:00,-3.16,-2.6,0.44,0.15
2021-12-03T09:00:00,-3.26,-2.6,0.44,0.15
2021-12-03T10:00:00,-3.26,-2.69,0.44,0.14
2021-12-03T11:00:00,-3.27,-2.7,0.52,0.05
2021-12-03T12:00:00,-3.37,-2.8,0.52,0.05
2021-12-03T13:00:00,-3.43,-2.8,0.52,0.01
2021-12-03T14:00:00,-3.37,-2.8,0.52,0.17
2021-12-03T15:00:00,-3.41,-2.96,0.52,0.23
2021-12-03T16:00:00,-3.41,-3.0,0.52,0.17
2021-12-03T17:00:00,-3.41,-3.0,0.52,0.14
2021-12-03T18:00:00,-3.48,-3.0,0.52,0.11
2021-12-03T19:00:00,-3.61,-3.0,0.52,0.14
2021-12-03T20:00:00,-3.72,-3.0,0.52,0.13
2021-12-03T21:00:00,-3.7,-2.98,0.66,0.25
2021-12-05T22:00:00,-3.8,-3.08,0.66,0.25
2021-12-05T23:00:00,-3.92,-3.08,0.66,0.23
2021-12-06T00:00:00,-3.92,-3.08,0.66,0.24
2021-12-06T01:00:00,-3.92,-3.1,0.66,0.16
2021-12-06T02:00:00,-3.97,-3.1,0.66,0.11
2021-12-06T03:00:00,-4.05,-3.1,0.66,0.09
2021-12-06T04:00:00,-4.05,-3.19,0.66,0.1
2021-12-06T05:00:00,-4.05,-3.22,0.66,0.17
2021-12-06T06:00:00,-4.13,-3.22,0.66,0.19
2021-12-06T07:00:00,-4.23,-3.22,0.66,0.19
2021-12-06T08:00:00,-4.26,-3.25,0.7,0.12
2021-12-06T09:00:00,-4.26,-3.35,0.7,0.12
2021-12-06T10:00:00,-4.26,-3.35,0.7,0.13
2021-12-06T11:00:00,-4.26,-3.41,0.7,0.09
2021-12-06T12:00:00,-4.26,-3.41,0.7,0.12
2021-12-06T13:00:00,-4.32,-3.47,0.68,0.08
2021-12-06T14:00:00,-4.32,-3.47,0.68,0.07
2021-12-06T15:00:00,-4.32,-3.5,0.68,0.14
2021-12-06T16:00:00,-4.32,-3.5,0.68,0.1
2021-12-06T17:00:00,-4.32,-3.57,0.68,0.13
