date,HKD
2021-08-15T21:00:00,-82.55
2021-08-16T21:00:00,-77.51
2021-08-17T21:00:00,-74.98
2021-08-18T21:00:00,-68.65
2021-08-19T21:00:00,-68.13
2021-08-22T21:00:00,-77.94
2021-08-23T21:00:00,-80.33
2021-08-24T21:00:00,-79.69
2021-08-25T21:00:00,-75.95
2021-08-26T21:00:00,-83.96
2021-08-29T21:00:00,-82.67
2021-08-30T21:00:00,-82.08
2021-08-31T21:00:00,-84.33
2021-09-01T21:00:00,-84.9
2021-09-02T21:00:00,-91.56
2021-09-05T21:00:00,-89.98
2021-09-06T21:00:00,-83.13
2021-09-07T21:00:00,-80.13
2021-09-08T21:00:00,-83.07
2021-09-09T21:00:00,-80.79
2021-09-12T21:00:00,-81.14
2021-09-13T21:00:00,-80.71
2021-09-14T21:00:00,-82.15
2021-09-15T21:00:00,-72.35
2021-09-16T21:00:00,-67.15
2021-09-19T21:00:00,-67.0
2021-09-20T21:00:00,-68.59
2021-09-21T21:00:00,-67.83
2021-09-22T21:00:00,-68.93
2021-09-23T21:00:00,-66.07
2021-09-26T21:00:00,-66.76
2021-09-27T21:00:00,-60.61
2021-09-28T21:00:00,-50.95
2021-09-29T21:00:00,-58.78
2021-09-30T21:00:00,-62.86
2021-10-03T21:00:00,-66.2
2021-10-04T21:00:00,-64.57
2021-10-05T21:00:00,-63.06
2021-10-06T21:00:00,-63.18
2021-10-07T21:00:00,-64.06
2021-10-10T21:00:00,-61.86
2021-10-11T21:00:00,-61.69
2021-10-12T21:00:00,-69.07
2021-10-13T21:00:00,-73.12
2021-10-14T21:00:00,-71.27
2021-10-17T21:00:00,-70.55
2021-10-18T21:00:00,-75.37
2021-10-19T21:00:00,-81.04
2021-10-20T21:00:00,-78.37
2021-10-21T21:00:00,-79.91
2021-10-24T21:00:00,-81.58
2021-10-25T21:00:00,-78.87
2021-10-26T21:00:00,-80.05
2021-10-27T21:00:00,-83.26
2021-10-28T21:00:00,-77.73
2021-10-31T21:00:00,-81.63
2021-11-01T21:00:00,-75.4
2021-11-02T21:00:00,-76.84
2021-11-03T21:00:00,-74.76
2021-11-04T21:00:00,-78.78
2021-11-07T22:00:00,-83.42
