date,USD
2021-08-02T23:00:00,4.39
2021-08-03T00:00:00,4.25
2021-08-03T01:00:00,4.35
2021-08-03T02:00:00,4.79
2021-08-03T03:00:00,4.61
2021-08-03T04:00:00,3.55
2021-08-03T05:00:00,4.06
2021-08-03T06:00:00,4.15
2021-08-03T07:00:00,3.73
2021-08-03T08:00:00,3.35
2021-08-03T09:00:00,2.96
2021-08-03T10:00:00,2.42
2021-08-03T11:00:00,2.35
2021-08-03T12:00:00,2.41
2021-08-03T13:00:00,4.03
2021-08-03T14:00:00,3.99
2021-08-03T15:00:00,3.75
2021-08-03T16:00:00,3.11
2021-08-03T17:00:00,3.44
2021-08-03T18:00:00,2.94
2021-08-03T19:00:00,2.71
2021-08-03T20:00:00,2.91
2021-08-03T22:00:00,2.01
2021-08-03T23:00:00,1.99
2021-08-04T00:00:00,2.58
2021-08-04T01:00:00,1.13
2021-08-04T02:00:00,0.82
2021-08-04T03:00:00,1.06
2021-08-04T04:00:00,1.32
2021-08-04T05:00:00,1.31
2021-08-04T06:00:00,0.34
2021-08-04T07:00:00,-0.07
2021-08-04T08:00:00,1.46
2021-08-04T09:00:00,0.61
2021-08-04T10:00:00,0.99
2021-08-04T11:00:00,0.33
2021-08-04T12:00:00,-1.69
2021-08-04T13:00:00,-2.18
2021-08-04T14:00:00,3.7
2021-08-04T15:00:00,3.56
2021-08-04T16:00:00,3.76
2021-08-04T17:00:00,3.51
2021-08-04T18:00:00,3.94
2021-08-04T19:00:00,4.03
2021-08-04T20:00:00,4.02
2021-08-04T22:00:00,4.06
2021-08-04T23:00:00,4.18
2021-08-05T00:00:00,4.63
2021-08-05T01:00:00,4.4
2021-08-05T02:00:00,4.18
2021-08-05T03:00:00,4.0
2021-08-05T04:00:00,3.9
2021-08-05T05:00:00,4.16
2021-08-05T06:00:00,4.21
2021-08-05T07:00:00,2.45
2021-08-05T08:00:00,3.29
2021-08-05T09:00:00,3.04
2021-08-05T10:00:00,2.5
2021-08-05T11:00:00,1.79
2021-08-05T12:00:00,3.36
2021-08-05T13:00:00,4.4
2021-08-05T14:00:00,3.55
2021-08-05T15:00:00,4.09
2021-08-05T16:00:00,3.81
2021-08-05T17:00:00,4.09
2021-08-05T18:00:00,4.5
2021-08-05T19:00:00,4.48
2021-08-05T20:00:00,4.67
2021-08-05T22:00:00,4.78
2021-08-05T23:00:00,4.99
2021-08-06T00:00:00,5.66
2021-08-06T01:00:00,5.93
2021-08-06T02:00:00,6.16
2021-08-06T03:00:00,5.79
2021-08-06T04:00:00,5.77
2021-08-06T05:00:00,5.44
2021-08-06T06:00:00,5.06
2021-08-06T07:00:00,5.34
2021-08-06T08:00:00,5.81
2021-08-06T09:00:00,6.24
2021-08-06T10:00:00,6.98
2021-08-06T11:00:00,6.09
2021-08-06T12:00:00,10.76
2021-08-06T13:00:00,13.91
2021-08-06T14:00:00,15.47
2021-08-06T15:00:00,14.79
2021-08-06T16:00:00,15.66
2021-08-06T17:00:00,14.57
2021-08-06T18:00:00,14.83
2021-08-06T19:00:00,15.06
2021-08-06T20:00:00,14.7
2021-08-08T22:00:00,24.86
2021-08-08T23:00:00,21.51
2021-08-09T00:00:00,20.04
2021-08-09T01:00:00,19.08
2021-08-09T02:00:00,17.75
2021-08-09T03:00:00,18.1
2021-08-09T04:00:00,17.93
2021-08-09T05:00:00,17.77
2021-08-09T06:00:00,17.69
2021-08-09T07:00:00,17.45
2021-08-09T08:00:00,18.18
2021-08-09T09:00:00,17.69
2021-08-09T10:00:00,18.67
2021-08-09T11:00:00,17.07
2021-08-09T12:00:00,18.58
2021-08-09T13:00:00,18.52
2021-08-09T14:00:00,21.98
2021-08-09T15:00:00,21.86
2021-08-09T16:00:00,22.62
2021-08-09T17:00:00,22.03
2021-08-09T18:00:00,22.36
2021-08-09T19:00:00,22.45
2021-08-09T20:00:00,22.49
2021-08-09T22:00:00,22.47
2021-08-09T23:00:00,22.51
2021-08-10T00:00:00,22.17
2021-08-10T01:00:00,22.66
2021-08-10T02:00:00,22.19
2021-08-10T03:00:00,21.53
2021-08-10T04:00:00,21.85
2021-08-10T05:00:00,21.79
2021-08-10T06:00:00,21.33
2021-08-10T07:00:00,21.9
2021-08-10T08:00:00,22.36
2021-08-10T09:00:00,22.87
2021-08-10T10:00:00,22.78
2021-08-10T11:00:00,22.33
2021-08-10T12:00:00,23.97
2021-08-10T13:00:00,23.93
2021-08-10T14:00:00,22.77
2021-08-10T15:00:00,22.63
2021-08-10T16:00:00,23.23
2021-08-10T17:00:00,22.8
2021-08-10T18:00:00,22.75
2021-08-10T19:00:00,23.08
2021-08-10T20:00:00,22.88
2021-08-10T22:00:00,22.71
2021-08-10T23:00:00,23.24
2021-08-11T00:00:00,23.79
2021-08-11T01:00:00,23.05
2021-08-11T02:00:00,22.38
2021-08-11T03:00:00,22.68
2021-08-11T04:00:00,22.9
2021-08-11T05:00:00,22.74
2021-08-11T06:00:00,23.4
2021-08-11T07:00:00,23.5
2021-08-11T08:00:00,23.64
2021-08-11T09:00:00,23.59
2021-08-11T10:00:00,22.84
2021-08-11T11:00:00,22.24
2021-08-11T12:00:00,19.51
