date,XAU
2008-06-07T21:00:00,292.32
2008-06-08T21:00:00,288.94
2008-06-09T21:00:00,266.22
2008-06-10T21:00:00,278.2
2008-06-11T21:00:00,271.98
2008-06-12T21:00:00,276.76
2008-06-13T21:00:00,276.38
2008-06-14T21:00:00,276.09
2008-06-15T21:00:00,283.84
2008-06-16T21:00:00,283.07
2008-06-17T21:00:00,293.86
2008-06-18T21:00:00,298.34
2008-06-19T21:00:00,300.32
2008-06-22T21:00:00,284.19
2008-06-23T21:00:00,290.08
2008-06-24T21:00:00,282.98
2008-06-25T21:00:00,316.98
2008-06-26T21:00:00,324.06
2008-06-29T21:00:00,323.25
2008-06-30T21:00:00,336.8
2008-07-01T21:00:00,338.58
2008-07-02T21:00:00,331.38
2008-07-03T21:00:00,331.43
2008-07-06T21:00:00,326.06
2008-07-07T21:00:00,320.81
2008-07-08T21:00:00,325.24
2008-07-09T21:00:00,346.24
2008-07-10T21:00:00,358.32
2008-07-12T21:00:00,357.6
2008-07-13T21:00:00,364.83
2008-07-14T21:00:00,366.06
2008-07-15T21:00:00,349.69
2008-07-16T21:00:00,351.03
2008-07-17T21:00:00,352.14
2008-07-20T21:00:00,360.03
2008-07-21T21:00:00,346.28
2008-07-22T21:00:00,324.27
2008-07-23T21:00:00,334.06
2008-07-24T21:00:00,337.06
2008-07-27T21:00:00,336.51
2008-07-28T21:00:00,328.74
2008-07-29T21:00:00,314.66
2008-07-30T21:00:00,322.39
2008-07-31T21:00:00,323.74
2008-08-02T21:00:00,323.69
2008-08-03T21:00:00,309.1
2008-08-04T21:00:00,291.63
2008-08-05T21:00:00,303.33
2008-08-06T21:00:00,299.22
2008-08-07T21:00:00,295.68
2008-08-10T21:00:00,260.67
2008-08-11T21:00:00,246.95
2008-08-12T21:00:00,263.97
2008-08-13T21:00:00,245.25
2008-08-14T21:00:00,232.11
2008-08-17T21:00:00,243.68
2008-08-18T21:00:00,259.13
2008-08-19T21:00:00,259.14
2008-08-20T21:00:00,277.58
2008-08-21T21:00:00,271.63
2008-08-23T21:00:00,272.32
2008-08-24T21:00:00,269.54
2008-08-25T21:00:00,276.7
2008-08-26T21:00:00,277.85
2008-08-27T21:00:00,286.38
2008-08-28T21:00:00,285.28
2008-08-31T21:00:00,271.71
2008-09-01T21:00:00,263.74
2008-09-02T21:00:00,260.07
2008-09-03T21:00:00,259.09
2008-09-04T21:00:00,276.23
2008-09-06T21:00:00,273.84
2008-09-07T21:00:00,279.13
2008-09-08T21:00:00,252.66
2008-09-09T21:00:00,227.11
2008-09-10T21:00:00,220.27
2008-09-11T21:00:00,235.11
2008-09-13T21:00:00,235.63
2008-09-14T21:00:00,262.96
2008-09-15T21:00:00,263.35
2008-09-16T21:00:00,363.99
2008-09-17T21:00:00,345.16
2008-09-18T21:00:00,360.13
2008-09-20T21:00:00,357.91
2008-09-21T21:00:00,370.73
2008-09-22T21:00:00,371.2
2008-09-23T21:00:00,361.66
2008-09-24T21:00:00,355.87
2008-09-25T21:00:00,356.07
2008-09-28T21:00:00,404.0
2008-09-29T21:00:00,378.54
2008-09-30T21:00:00,376.42
2008-10-01T21:00:00,356.28
2008-10-02T21:00:00,350.65
2008-10-03T21:00:00,350.6
2008-10-04T21:00:00,347.91
2008-10-05T21:00:00,399.2
2008-10-06T21:00:00,432.5
2008-10-07T21:00:00,465.94
2008-10-08T21:00:00,469.47
2008-10-09T21:00:00,427.93
2008-10-11T21:00:00,419.16
2008-10-12T21:00:00,383.17
2008-10-13T21:00:00,387.12
2008-10-14T21:00:00,417.69
2008-10-15T21:00:00,363.61
2008-10-16T21:00:00,339.56
2008-10-19T21:00:00,353.6
2008-10-20T21:00:00,329.09
2008-10-21T21:00:00,284.84
2008-10-22T21:00:00,268.17
2008-10-23T21:00:00,311.91
2008-10-25T21:00:00,313.04
2008-10-26T21:00:00,318.22
2008-10-27T21:00:00,328.7
2008-10-28T21:00:00,313.65
2008-10-29T21:00:00,286.38
2008-10-30T21:00:00,275.94
2008-11-01T21:00:00,275.32
2008-11-02T22:00:00,273.54
2008-11-03T22:00:00,316.76
2008-11-04T22:00:00,287.18
2008-11-05T22:00:00,292.67
2008-11-06T22:00:00,295.02
2008-11-08T22:00:00,290.39
2008-11-09T22:00:00,310.18
2008-11-10T22:00:00,302.32
2008-11-11T22:00:00,284.5
2008-11-12T22:00:00,314.45
2008-11-13T22:00:00,332.92
2008-11-15T22:00:00,336.16
2008-11-16T22:00:00,326.85
2008-11-17T22:00:00,324.46
2008-11-18T22:00:00,330.82
2008-11-19T22:00:00,363.08
2008-11-20T22:00:00,426.28
2008-11-21T22:00:00,426.28
2008-11-22T22:00:00,424.64
2008-11-23T22:00:00,430.32
2008-11-24T22:00:00,426.75
2008-11-25T22:00:00,419.96
2008-11-26T22:00:00,421.65
2008-11-27T22:00:00,429.78
2008-11-29T22:00:00,430.57
2008-11-30T22:00:00,382.65
2008-12-01T22:00:00,396.21
2008-12-02T22:00:00,383.7
2008-12-03T22:00:00,376.67
2008-12-04T22:00:00,363.01
2008-12-06T22:00:00,362.32
2008-12-07T22:00:00,368.69
2008-12-08T22:00:00,380.95
2008-12-09T22:00:00,422.3
2008-12-10T22:00:00,422.62
2008-12-11T22:00:00,427.44
2008-12-14T22:00:00,434.07
2008-12-15T22:00:00,433.99
2008-12-16T22:00:00,428.75
2008-12-17T22:00:00,427.77
2008-12-18T22:00:00,418.92
2008-12-21T22:00:00,431.37
2008-12-22T22:00:00,430.01
2008-12-23T22:00:00,433.69
2008-12-25T22:00:00,459.74
2008-12-27T22:00:00,458.84
2008-12-28T22:00:00,469.38
2008-12-29T22:00:00,456.69
2008-12-30T22:00:00,461.37
2008-12-31T22:00:00,458.07
2009-01-01T22:00:00,452.61
2009-01-03T22:00:00,451.75
2009-01-04T22:00:00,439.66
2009-01-05T22:00:00,440.49
2009-01-06T22:00:00,417.14
2009-01-07T22:00:00,429.46
2009-01-08T22:00:00,430.14
2009-01-11T22:00:00,403.05
2009-01-12T22:00:00,414.94
2009-01-13T22:00:00,406.15
2009-01-14T22:00:00,417.44
2009-01-15T22:00:00,439.56
2009-01-17T22:00:00,437.34
2009-01-18T22:00:00,440.51
2009-01-19T22:00:00,480.86
2009-01-20T22:00:00,469.33
2009-01-21T22:00:00,474.41
2009-01-22T22:00:00,523.38
2009-01-24T22:00:00,523.19
2009-01-25T22:00:00,522.79
2009-01-26T22:00:00,517.32
2009-01-27T22:00:00,503.4
2009-01-28T22:00:00,533.94
2009-01-29T22:00:00,558.45
2009-02-01T22:00:00,537.99
2009-02-02T22:00:00,520.91
2009-02-03T22:00:00,532.61
2009-02-04T22:00:00,540.43
2009-02-05T22:00:00,523.94
2009-02-07T22:00:00,523.63
2009-02-08T22:00:00,502.26
2009-02-09T22:00:00,536.68
2009-02-10T22:00:00,561.97
2009-02-11T22:00:00,576.02
2009-02-12T22:00:00,566.98
2009-02-14T22:00:00,570.37
2009-02-15T22:00:00,571.35
2009-02-16T22:00:00,612.25
2009-02-17T22:00:00,628.91
2009-02-18T22:00:00,616.92
2009-02-19T22:00:00,628.97
2009-02-21T22:00:00,630.08
2009-02-22T22:00:00,631.97
2009-02-23T22:00:00,600.8
2009-02-24T22:00:00,598.93
2009-02-25T22:00:00,594.08
2009-02-26T22:00:00,595.95
2009-02-27T22:00:00,595.95
2009-02-28T22:00:00,594.0
2009-03-01T22:00:00,585.17
2009-03-02T22:00:00,573.51
2009-03-03T22:00:00,553.53
2009-03-04T22:00:00,588.32
2009-03-05T22:00:00,592.15
2009-03-07T22:00:00,591.86
2009-03-08T21:00:00,583.7
2009-03-09T21:00:00,550.15
2009-03-10T21:00:00,555.49
2009-03-11T21:00:00,575.54
2009-03-12T21:00:00,575.57
2009-03-14T21:00:00,575.13
2009-03-15T21:00:00,569.97
2009-03-16T21:00:00,559.97
2009-03-17T21:00:00,570.64
2009-03-18T21:00:00,577.6
2009-03-19T21:00:00,570.31
2009-03-20T21:00:00,570.53
2009-03-21T21:00:00,567.39
2009-03-22T21:00:00,547.18
2009-03-23T21:00:00,538.55
2009-03-24T21:00:00,545.4
2009-03-25T21:00:00,546.2
2009-03-26T21:00:00,541.13
2009-03-27T21:00:00,540.69
2009-03-28T21:00:00,543.86
2009-03-29T21:00:00,543.17
2009-03-30T21:00:00,545.43
2009-03-31T21:00:00,550.06
2009-04-01T21:00:00,514.13
2009-04-02T21:00:00,499.89
2009-04-03T21:00:00,499.43
2009-04-04T21:00:00,500.49
2009-04-05T21:00:00,477.54
2009-04-06T21:00:00,495.83
2009-04-07T21:00:00,494.52
2009-04-08T21:00:00,492.06
2009-04-09T21:00:00,495.25
2009-04-11T21:00:00,491.05
2009-04-12T21:00:00,498.77
2009-04-13T21:00:00,495.95
2009-04-14T21:00:00,495.54
2009-04-15T21:00:00,484.76
2009-04-16T21:00:00,483.7
2009-04-18T21:00:00,483.69
2009-04-19T21:00:00,514.41
2009-04-20T21:00:00,509.02
2009-04-21T21:00:00,516.76
2009-04-22T21:00:00,522.7
2009-04-23T21:00:00,525.29
2009-04-25T21:00:00,525.89
2009-04-26T21:00:00,524.19
2009-04-27T21:00:00,511.35
2009-04-28T21:00:00,505.94
2009-04-29T21:00:00,498.36
2009-04-30T21:00:00,492.22
2009-05-03T21:00:00,500.6
2009-05-04T21:00:00,492.39
2009-05-05T21:00:00,503.46
2009-05-06T21:00:00,501.59
2009-05-07T21:00:00,495.05
2009-05-10T21:00:00,495.79
2009-05-11T21:00:00,499.94
2009-05-12T21:00:00,510.76
2009-05-13T21:00:00,507.7
2009-05-14T21:00:00,521.67
2009-05-16T21:00:00,521.15
2009-05-17T21:00:00,500.64
2009-05-18T21:00:00,500.58
2009-05-19T21:00:00,508.81
2009-05-20T21:00:00,520.59
2009-05-21T21:00:00,517.28
2009-05-24T21:00:00,519.12
2009-05-25T21:00:00,510.74
2009-05-26T21:00:00,513.7
2009-05-27T21:00:00,518.63
2009-05-28T21:00:00,523.58
2009-05-30T21:00:00,523.25
2009-05-31T21:00:00,517.71
2009-06-01T21:00:00,515.73
2009-06-02T21:00:00,511.41
2009-06-03T21:00:00,527.72
2009-06-04T21:00:00,514.89
2009-06-07T21:00:00,514.73
2009-06-08T21:00:00,507.19
2009-06-09T21:00:00,508.58
2009-06-10T21:00:00,498.42
2009-06-11T21:00:00,489.7
2009-06-14T21:00:00,490.86
2009-06-15T21:00:00,495.78
2009-06-16T21:00:00,495.65
2009-06-17T21:00:00,491.46
2009-06-18T21:00:00,488.53
2009-06-21T21:00:00,486.66
2009-06-22T21:00:00,481.21
2009-06-23T21:00:00,493.51
2009-06-24T21:00:00,499.22
2009-06-25T21:00:00,495.48
2009-06-27T21:00:00,494.76
2009-06-28T21:00:00,494.43
2009-06-29T21:00:00,485.76
2009-06-30T21:00:00,499.31
