,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2008-01-01,-0.01,0.55,-0.1,-0.12,-0.04,-0.1,-0.07,0.1,-0.1,-0.11
2008-01-02,0.35,-0.71,0.77,0.37,-0.89,-0.58,1.41,0.27,-0.4,-0.58
2008-01-03,-0.48,0.4,0.79,0.21,-0.61,-0.05,0.27,-0.55,0.08,-0.07
2008-01-04,-0.83,-1.29,0.44,0.14,0.36,0.18,0.92,-0.3,0.18,0.19
2008-01-07,0.36,-0.05,-0.68,-0.18,-0.01,0.21,-0.47,0.48,0.13,0.21
2008-01-08,0.57,-0.34,0.23,-0.08,0.01,-0.16,0.12,-0.16,-0.02,-0.17
2008-01-09,0.75,-0.21,-0.2,-0.17,-0.62,0.21,-0.97,0.65,0.36,0.2
2008-01-10,0.87,-0.67,0.64,0.43,-0.5,-0.44,0.04,0.75,-0.46,-0.66
2008-01-11,-0.35,-0.75,0.39,-0.01,-0.08,0.1,0.69,-0.12,-0.06,0.19
2008-01-14,0.76,-0.25,0.25,0.12,-0.65,-0.33,-0.05,0.75,-0.07,-0.53
2008-01-15,-2.02,0.16,0.33,-0.17,0.7,0.16,1.72,-1.23,0.05,0.31
2008-01-16,0.31,-0.27,-0.32,-0.68,0.5,0.39,-0.43,-0.21,0.26,0.46
2008-01-17,-0.3,-0.39,0.02,-0.01,0.53,-0.16,1.2,-0.61,-0.35,0.08
2008-01-18,0.47,0.38,0.41,-0.01,-0.76,0.05,-0.16,-0.52,-0.01,0.15
2008-01-21,-1.45,-0.13,-0.04,-0.33,-0.01,0.45,1.56,-0.91,0.04,0.81
2008-01-22,0.06,-0.25,0.48,0.5,0.15,-0.42,-1.31,1.41,0.23,-0.85
2008-01-23,0.44,0.41,0.18,-0.16,-0.47,-0.08,-0.45,0.15,0.15,-0.16
2008-01-24,0.46,1.55,-0.3,0.27,0.52,-0.54,-1.18,0.24,-0.32,-0.69
2008-01-25,-0.1,-0.29,-0.68,-0.34,0.59,0.13,0.68,-0.46,0.25,0.22
2008-01-28,0.88,0.16,0.16,0.27,-0.49,-0.32,-0.63,0.66,-0.19,-0.5
2008-01-29,-0.02,0.55,-0.47,-0.06,0.27,0.0,-0.25,0.08,-0.06,-0.02
2008-01-30,0.03,0.11,0.6,0.18,-0.62,-0.32,0.43,0.23,-0.16,-0.47
2008-01-31,0.32,-1.07,0.2,-0.0,0.06,0.12,-0.21,0.41,0.15,0.01
2008-02-01,1.01,0.79,-0.89,-0.5,-1.29,0.08,-0.13,0.77,0.23,-0.07
2008-02-04,0.49,-0.01,-0.08,0.05,0.32,-0.17,-0.32,-0.01,-0.15,-0.13
2008-02-05,-0.5,-0.77,-0.32,-0.53,0.35,0.61,0.72,-0.61,0.21,0.83
2008-02-06,-0.33,0.07,-0.01,-0.27,-0.33,-0.04,0.14,0.61,0.31,-0.15
2008-02-07,0.26,0.12,-0.19,-0.7,-0.67,0.46,-0.57,0.52,0.36,0.42
2008-02-08,-0.05,0.93,-0.08,-0.01,0.02,-0.21,-0.02,-0.2,-0.21,-0.18
2008-02-11,0.78,-0.36,-0.18,-0.15,0.12,-0.1,0.22,0.04,-0.2,-0.16
2008-02-12,-0.18,-0.11,-0.08,0.4,0.41,-0.08,-0.46,0.09,0.1,-0.1
2008-02-13,-0.51,0.83,-0.31,0.24,0.5,0.19,-0.74,-0.47,-0.03,0.32
2008-02-14,0.38,-0.69,0.73,0.18,-0.0,-0.3,0.14,0.12,-0.22,-0.35
2008-02-15,0.73,-0.86,0.32,0.18,-0.56,-0.04,-0.09,0.19,0.25,-0.12
2008-02-18,0.68,0.2,-0.86,-0.16,-0.26,0.08,-0.4,0.59,0.12,0.01
2008-02-19,0.52,-1.16,0.67,0.4,-0.35,-0.14,0.35,0.08,-0.24,-0.12
2008-02-20,-0.02,0.53,-0.49,-0.03,-0.31,0.12,-0.29,0.17,0.26,0.06
2008-02-21,-0.37,-0.26,0.56,0.31,0.76,-0.37,0.3,-0.15,-0.36,-0.43
2008-02-22,0.32,-0.47,0.16,-0.2,-0.06,-0.12,-0.06,0.66,0.07,-0.29
2008-02-25,0.23,1.71,-0.58,-0.2,-0.25,-0.09,-0.91,0.28,-0.06,-0.13
2008-02-26,0.04,0.88,0.63,0.29,0.34,-0.66,0.02,-0.15,-0.62,-0.78
2008-02-27,0.47,-0.32,0.82,0.63,-0.75,-0.31,0.36,-0.48,0.03,-0.45
2008-02-28,0.39,0.1,0.69,0.06,-0.08,-0.44,0.68,-0.57,-0.33,-0.48
2008-02-29,-1.83,-1.12,1.46,0.21,0.34,0.08,2.02,-1.51,0.04,0.3
2008-03-03,0.66,-0.63,-0.37,-0.04,-0.39,-0.03,0.02,0.64,0.24,-0.11
2008-03-04,-1.27,-0.23,0.63,0.24,0.3,0.1,0.28,-0.43,0.24,0.15
2008-03-05,0.66,0.84,-0.1,0.15,0.12,-0.25,-0.9,-0.08,-0.24,-0.2
2008-03-06,-1.31,-0.44,1.22,0.57,0.68,-0.32,1.14,-0.91,-0.33,-0.28
2008-03-07,0.12,-0.48,-0.19,-0.08,0.33,0.1,0.09,-0.22,0.23,0.1
2008-03-10,-1.04,-0.52,0.62,0.05,-0.11,0.05,1.02,-0.37,0.11,0.19
2008-03-11,1.42,0.44,-1.58,-0.09,-0.2,0.19,-1.88,1.65,0.11,-0.05
2008-03-12,-0.24,-0.53,1.22,0.74,0.33,-0.71,0.94,-0.48,-0.46,-0.8
2008-03-13,0.93,-0.11,-0.2,-0.09,-0.34,-0.48,0.56,0.67,-0.24,-0.7
2008-03-14,-1.16,-0.59,1.25,0.25,-0.78,-0.04,1.7,-0.57,-0.04,-0.02
2008-03-17,-1.76,-0.86,1.57,0.53,-0.87,0.18,2.15,-1.11,-0.01,0.17
2008-03-18,0.92,0.95,-1.71,-0.44,0.73,0.3,-2.57,0.94,0.57,0.31
2008-03-19,-0.92,-1.8,1.07,0.6,-0.66,0.35,1.48,-0.29,-0.42,0.58
2008-03-20,-1.05,-0.35,-0.55,-0.7,0.76,0.58,0.17,-0.24,0.65,0.72
2008-03-21,0.25,-0.03,-0.01,-0.03,-0.25,-0.03,-0.12,0.04,0.23,-0.05
2008-03-24,0.59,0.91,-1.2,-0.08,0.26,0.11,-1.44,0.76,0.05,0.04
2008-03-25,0.59,-0.78,0.8,0.77,0.26,-0.68,-0.02,0.19,-0.26,-0.87
2008-03-26,-0.09,-0.57,1.4,0.96,-0.26,-0.49,0.45,-0.65,-0.33,-0.42
2008-03-27,0.01,0.12,-0.39,-0.26,0.13,0.22,-0.3,0.08,0.18,0.21
2008-03-28,0.01,-0.24,0.06,0.29,-0.53,0.07,0.66,-0.5,-0.0,0.18
2008-03-31,-0.1,-0.02,0.38,0.18,-0.4,0.18,-0.34,-0.68,0.51,0.28
2008-04-01,-0.07,1.1,-1.49,-0.56,0.23,0.6,-1.73,0.75,0.51,0.67
2008-04-02,0.58,0.27,0.13,0.23,0.37,-0.23,-0.85,0.06,-0.28,-0.28
2008-04-03,0.16,1.18,-0.26,-0.1,0.43,-0.22,0.02,-0.63,-0.49,-0.09
2008-04-04,0.52,-0.7,0.2,0.1,-0.46,-0.2,0.58,0.21,0.02,-0.27
2008-04-07,0.61,-0.42,-0.65,0.01,-0.24,0.25,-0.81,0.86,0.24,0.15
2008-04-08,0.72,0.08,-0.12,-0.0,-1.05,0.08,-0.29,0.42,0.17,-0.01
2008-04-09,-0.63,-0.79,1.11,0.61,0.12,-0.27,0.69,-0.46,-0.15,-0.23
2008-04-10,0.39,-0.15,-0.75,-0.65,-0.32,0.17,-0.19,0.29,1.25,-0.04
2008-04-11,-0.54,-0.45,0.74,0.42,-0.15,-0.14,0.97,-0.67,-0.13,-0.04
2008-04-14,-0.42,0.49,0.34,0.52,0.35,-0.4,-0.06,-0.22,-0.22,-0.4
2008-04-15,0.34,0.44,-0.48,0.06,-0.53,0.27,-0.45,-0.25,0.23,0.36
2008-04-16,0.85,1.18,-0.05,0.4,-0.16,-0.59,-0.71,-0.0,-0.2,-0.71
2008-04-17,-0.05,-0.86,-0.46,-0.07,1.27,0.19,-0.5,0.06,0.22,0.2
2008-04-18,-0.03,1.0,-1.0,-0.34,0.68,0.23,-1.01,0.16,0.0,0.3
2008-04-21,0.89,-0.42,0.68,0.39,-1.26,-0.26,0.3,0.15,-0.11,-0.36
2008-04-22,-0.07,-0.6,0.32,0.27,0.55,-0.22,-0.02,0.12,-0.07,-0.28
2008-04-23,0.88,-0.61,-0.96,-0.36,-0.47,0.36,-0.02,0.5,0.33,0.36
2008-04-24,-0.32,1.07,-1.45,-0.68,0.41,0.63,-0.15,-0.43,0.15,0.77
2008-04-25,-0.58,0.23,0.33,-0.2,0.85,0.03,-0.06,-0.61,-0.15,0.18
2008-04-28,0.38,-0.09,-0.07,0.08,0.14,-0.18,0.04,0.13,-0.15,-0.26
2008-04-29,-0.18,0.43,0.02,-0.19,-0.79,0.22,0.59,-0.75,0.23,0.42
2008-04-30,0.67,0.02,-0.15,-0.12,0.48,-0.35,-0.34,0.29,-0.03,-0.48
2008-05-01,-0.45,-0.47,-0.75,-0.33,0.07,0.6,0.15,0.18,0.29,0.73
2008-05-02,0.37,0.19,-0.71,-0.15,0.05,0.25,-0.81,0.47,0.12,0.22
2008-05-05,0.88,0.36,-0.19,0.03,-0.45,-0.29,-0.02,0.08,-0.0,-0.4
2008-05-06,0.05,0.82,-0.13,-0.04,-0.2,-0.2,-0.21,0.37,-0.16,-0.29
2008-05-07,-0.29,-0.14,0.28,-0.38,-0.51,0.39,0.65,-0.59,-0.04,0.62
2008-05-08,0.3,-0.75,0.54,0.13,0.14,-0.09,1.17,-1.08,-0.5,0.12
2008-05-09,-0.46,0.88,0.62,0.2,-0.45,-0.4,0.49,-0.61,0.16,-0.44
2008-05-12,0.64,-0.05,-0.41,0.5,0.17,-0.11,-0.97,0.39,0.06,-0.21
2008-05-13,-0.27,0.63,-0.38,0.03,-0.12,0.4,-0.48,-0.32,-0.07,0.59
2008-05-14,-0.49,0.24,0.04,0.23,0.26,0.09,-0.09,-0.23,-0.28,0.23
2008-05-15,0.57,0.24,-0.44,-0.36,-0.1,-0.12,0.14,0.22,0.05,-0.18
2008-05-16,1.07,-0.66,0.27,0.22,-0.16,-0.51,0.0,0.51,-0.02,-0.72
2008-05-19,-0.13,1.17,-0.57,-0.36,-0.21,0.16,-0.07,-0.12,-0.11,0.24
2008-05-20,0.02,-0.67,1.11,0.39,0.53,-0.51,0.11,-0.29,-0.09,-0.58
2008-05-21,-0.16,0.38,0.75,0.47,-0.31,-0.47,0.08,-0.17,0.0,-0.58
2008-05-22,-0.55,0.1,-0.36,-0.23,0.61,0.25,-0.88,0.8,0.06,0.21
2008-05-23,0.2,-0.78,0.49,0.03,-0.23,-0.14,0.54,0.09,-0.01,-0.18
2008-05-26,0.2,-0.22,0.02,0.03,0.14,-0.01,-0.14,0.14,-0.18,0.02
2008-05-27,0.04,0.02,-0.69,-0.24,-0.01,0.3,-0.56,0.58,0.24,0.32
2008-05-28,0.56,0.49,-0.4,-0.31,0.34,0.02,-0.42,-0.33,-0.01,0.06
2008-05-29,-0.36,0.75,-0.71,-0.37,0.22,0.39,-0.37,-0.3,0.26,0.49
2008-05-30,-0.11,-0.8,0.6,0.09,0.16,-0.07,-0.18,0.3,0.17,-0.16
2008-06-02,0.08,-0.73,0.4,-0.23,-0.36,-0.01,0.73,0.19,-0.05,-0.02
2008-06-03,0.04,-0.46,-0.13,-0.29,0.16,0.32,-0.33,-0.02,0.33,0.37
2008-06-04,0.72,-0.69,0.12,0.11,-0.3,0.07,-0.02,-0.07,-0.06,0.13
2008-06-05,0.24,-0.08,0.54,1.18,0.22,-0.1,-0.69,-1.28,-0.08,0.07
2008-06-06,-0.1,-0.74,1.54,0.76,0.16,-0.55,0.52,-0.58,-0.46,-0.55
2008-06-09,-0.63,0.16,-0.32,-0.3,1.01,0.65,-1.05,-0.73,0.55,0.67
2008-06-10,0.21,0.85,-0.84,-0.57,-0.45,0.71,-0.48,-0.18,0.05,0.71
2008-06-11,-0.25,-0.12,0.74,0.26,0.14,-0.38,0.13,0.01,-0.16,-0.36
2008-06-12,-0.77,0.27,-0.34,-0.09,-0.22,0.66,-0.3,-0.08,0.15,0.73
2008-06-13,0.69,-0.45,-0.44,-0.29,0.2,0.16,-0.11,0.12,-0.01,0.13
2008-06-16,-0.15,0.24,-0.24,0.24,0.51,-0.25,-0.47,0.09,0.33,-0.29
2008-06-17,0.18,0.33,0.11,0.03,-0.57,-0.19,0.09,0.07,0.17,-0.22
2008-06-18,0.2,-0.03,0.37,-0.03,-0.02,-0.15,-0.15,0.37,-0.37,-0.2
2008-06-19,0.4,0.13,-1.04,-0.26,0.65,-0.07,-0.18,0.47,-0.07,-0.04
2008-06-20,-0.02,-0.41,0.73,0.43,-0.09,-0.26,0.38,-0.53,0.06,-0.29
2008-06-23,0.27,0.56,-0.76,-0.33,-0.11,0.35,-0.34,-0.05,0.01,0.41
2008-06-24,0.12,0.29,0.18,0.15,0.1,-0.21,-0.18,-0.19,-0.05,-0.21
2008-06-25,0.24,-0.09,0.44,0.41,-0.05,-0.3,-0.26,0.03,-0.14,-0.29
2008-06-26,-0.68,-0.7,1.0,0.44,0.57,-0.13,0.81,-0.99,-0.12,-0.21
2008-06-27,0.21,-0.01,0.19,-0.14,-0.06,-0.37,0.31,0.5,-0.22,-0.39
2008-06-30,-0.11,-1.02,-0.08,-0.01,0.02,0.23,0.12,0.32,0.39,0.15
2008-07-01,-0.34,-0.0,0.2,0.33,0.21,0.03,0.15,-0.58,-0.06,0.07
2008-07-02,0.42,0.68,0.24,0.26,-0.48,-0.34,-0.14,-0.05,-0.22,-0.37
2008-07-03,0.36,-0.06,-0.79,-0.7,0.02,0.53,-0.29,0.07,0.31,0.55
2008-07-04,0.32,-0.21,0.07,-0.02,-0.1,-0.06,-0.12,0.2,-0.03,-0.04
2008-07-07,-0.52,0.42,-0.01,0.37,-0.18,0.14,-0.24,-0.38,0.19,0.2
2008-07-08,-0.09,0.02,-0.45,-0.13,-0.11,0.26,-0.07,0.11,0.19,0.27
2008-07-09,-0.09,0.31,0.1,0.02,0.28,-0.48,0.27,0.17,-0.1,-0.48
2008-07-10,0.52,0.27,-0.04,0.26,-0.36,-0.09,-0.38,0.05,-0.16,-0.06
2008-07-11,0.01,-0.56,0.78,0.56,0.11,-0.5,0.34,-0.12,-0.12,-0.49
2008-07-14,0.09,0.17,-0.29,-0.45,0.21,-0.01,-0.16,0.26,0.21,-0.03
2008-07-15,0.27,-0.09,0.17,-0.56,0.01,-0.5,0.9,0.62,-0.23,-0.59
2008-07-16,-0.21,0.27,-0.58,-0.29,-0.07,0.25,-0.12,0.18,0.28,0.3
2008-07-17,0.02,-0.11,0.08,0.56,0.58,0.35,-0.91,-0.91,0.02,0.31
2008-07-18,-0.01,0.2,-0.17,0.1,-0.07,0.21,-0.5,-0.11,0.14,0.21
2008-07-21,0.15,0.34,0.24,0.24,-0.03,-0.3,0.15,-0.33,-0.14,-0.31
2008-07-22,-0.01,-0.27,-0.79,-0.32,-0.0,0.66,-0.26,0.34,0.02,0.65
2008-07-23,-0.58,0.23,-0.24,-0.13,0.93,0.44,-0.11,-0.97,-0.06,0.48
2008-07-24,-0.22,-0.3,0.24,0.06,-0.52,0.17,0.78,-0.84,0.44,0.19
2008-07-25,-0.18,-0.46,0.17,0.31,0.35,0.08,-0.45,-0.1,0.19,0.08
2008-07-28,0.1,-0.42,0.1,0.14,0.02,-0.08,0.25,0.24,-0.27,-0.09
2008-07-29,0.1,0.44,-0.75,-0.52,-0.27,0.51,-0.1,-0.11,0.13,0.57
2008-07-30,-0.81,0.23,0.03,0.1,0.36,0.2,0.18,-0.72,0.22,0.2
2008-07-31,-0.28,-0.18,0.1,0.15,0.09,-0.04,0.18,0.01,0.01,-0.05
2008-08-01,-1.14,0.14,0.14,0.13,-0.09,0.37,0.65,-0.66,0.02,0.42
2008-08-04,0.25,-0.86,0.33,0.26,-0.49,0.19,-0.41,0.34,0.18,0.2
2008-08-05,-1.03,-0.18,-0.11,-0.33,0.13,0.54,0.47,0.11,-0.15,0.54
2008-08-06,-0.37,-0.03,0.0,0.26,0.2,0.59,-0.88,-0.82,0.44,0.6
