,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2008-01-01,0.25,0.69,0.27,0.29,0.22,0.18,0.31,0.26,0.18,0.21
2008-01-02,1.45,1.55,1.63,1.27,1.38,0.99,2.58,1.09,0.95,1.09
2008-01-03,1.09,1.23,1.12,0.9,1.12,0.6,1.6,1.13,0.72,0.79
2008-01-04,1.6,2.11,1.48,1.2,1.25,0.92,1.76,1.16,0.9,1.12
2008-01-07,1.02,1.14,1.12,0.79,0.83,0.6,1.15,1.01,0.63,0.76
2008-01-08,1.39,1.17,0.95,0.74,0.95,0.62,1.26,0.79,0.62,0.73
2008-01-09,1.02,1.04,0.79,0.78,1.12,0.59,1.29,0.98,0.63,0.75
2008-01-10,1.58,1.39,1.33,1.16,1.21,0.78,1.22,1.2,0.81,1.03
2008-01-11,0.98,1.64,0.96,0.77,1.05,0.59,1.3,0.9,0.69,0.74
2008-01-14,1.03,0.92,0.92,0.81,0.9,0.66,1.19,0.89,0.62,0.88
2008-01-15,2.34,1.31,1.21,1.16,1.46,0.83,2.01,1.62,0.83,1.12
2008-01-16,1.64,1.48,1.65,1.62,1.53,1.01,2.15,1.63,0.98,1.31
2008-01-17,1.42,1.58,1.33,1.11,1.31,0.79,1.63,1.28,0.94,1.04
2008-01-18,1.67,1.09,1.13,0.94,1.51,0.7,1.64,1.36,0.81,0.96
2008-01-21,2.18,1.19,1.29,1.21,1.07,0.85,2.09,1.57,0.81,1.25
2008-01-22,2.02,1.83,1.53,1.61,1.54,1.18,2.68,2.46,1.03,1.78
2008-01-23,1.73,1.48,1.6,1.38,1.36,0.91,2.71,1.49,1.05,1.21
2008-01-24,1.33,2.02,1.29,1.17,1.23,0.98,2.01,1.1,0.98,1.22
2008-01-25,1.09,1.12,1.29,0.98,1.04,0.61,1.51,1.01,0.78,0.8
2008-01-28,1.26,0.95,0.9,0.94,1.03,0.67,1.55,0.94,0.66,0.86
2008-01-29,0.72,1.35,0.95,0.65,0.76,0.49,1.07,0.63,0.58,0.59
2008-01-30,1.46,1.23,1.2,0.99,1.1,0.8,1.51,1.21,0.77,1.06
2008-01-31,1.75,1.94,1.18,1.08,1.03,0.77,1.53,1.4,0.79,1.01
2008-02-01,1.39,1.56,1.66,1.27,1.81,0.84,1.28,1.21,0.88,1.03
2008-02-04,0.93,1.04,0.72,0.63,0.9,0.47,0.77,0.71,0.48,0.58
2008-02-05,1.4,1.33,1.46,1.18,1.09,0.93,1.54,1.3,0.82,1.22
2008-02-06,0.96,0.95,0.77,0.73,0.83,0.51,1.05,1.02,0.59,0.68
2008-02-07,1.51,1.24,1.44,1.36,1.37,0.89,1.89,1.47,0.86,1.07
2008-02-08,0.91,1.67,0.79,0.76,0.84,0.54,0.87,0.85,0.55,0.67
2008-02-11,1.16,0.96,0.97,0.82,0.94,0.59,1.24,0.68,0.64,0.71
2008-02-12,0.86,1.03,0.77,0.86,0.99,0.54,1.15,0.84,0.56,0.72
2008-02-13,1.24,1.03,0.9,0.81,0.98,0.58,1.3,0.93,0.62,0.76
2008-02-14,1.15,1.04,1.2,0.77,0.75,0.6,0.96,0.79,0.62,0.76
2008-02-15,1.13,1.92,1.07,0.81,1.17,0.69,1.21,0.85,0.77,0.86
2008-02-18,0.92,0.73,1.13,0.66,0.86,0.48,0.74,0.76,0.49,0.58
2008-02-19,1.1,1.6,1.06,0.87,0.94,0.67,1.04,0.76,0.75,0.8
2008-02-20,1.03,1.0,0.86,0.78,0.81,0.58,1.02,0.79,0.68,0.75
2008-02-21,0.82,1.0,1.3,0.85,1.16,0.66,1.04,0.78,0.66,0.75
2008-02-22,0.85,1.09,0.81,0.68,0.7,0.48,0.89,0.99,0.49,0.69
2008-02-25,0.9,2.01,0.93,0.7,0.79,0.55,1.28,0.83,0.57,0.66
2008-02-26,0.95,1.57,1.15,0.98,0.92,0.88,0.92,0.97,0.9,1.07
2008-02-27,1.05,1.02,1.21,1.03,1.16,0.74,1.15,0.94,0.7,0.97
2008-02-28,1.06,1.13,1.18,0.84,0.83,0.83,1.11,0.98,0.76,1.0
2008-02-29,2.14,1.9,1.8,1.24,1.32,0.86,2.22,1.96,0.9,1.17
2008-03-03,1.69,1.43,1.61,1.11,1.13,0.74,1.45,1.68,0.92,1.03
2008-03-04,2.08,1.38,1.28,0.94,0.97,0.68,1.35,1.28,0.71,0.88
2008-03-05,1.14,1.18,0.93,0.92,1.07,0.75,1.35,0.96,0.72,0.93
2008-03-06,1.78,1.22,1.62,1.14,1.29,0.8,1.48,1.4,0.85,0.99
2008-03-07,1.33,1.69,1.28,1.03,1.13,0.91,1.51,1.15,0.95,1.14
2008-03-10,1.61,1.33,1.13,0.88,0.96,0.68,1.32,0.94,0.73,0.84
2008-03-11,1.89,1.38,2.12,1.51,1.37,1.0,2.48,1.93,1.05,1.3
2008-03-12,1.15,1.46,1.63,1.24,1.04,0.97,1.42,1.07,0.9,1.16
2008-03-13,1.62,1.39,1.49,1.11,1.13,0.85,2.06,1.72,0.81,1.16
2008-03-14,1.65,1.78,1.84,1.31,1.54,1.01,2.32,1.47,1.1,1.21
2008-03-17,3.7,2.5,3.66,2.31,2.42,1.71,3.9,2.72,2.02,2.17
2008-03-18,2.03,1.81,2.55,1.72,1.82,1.27,3.3,1.75,1.33,1.54
2008-03-19,2.2,2.59,2.15,1.73,1.86,1.5,3.0,1.72,1.5,1.91
2008-03-20,2.05,1.72,1.85,1.51,1.58,1.16,2.22,1.58,1.27,1.49
2008-03-21,0.63,0.62,0.65,0.53,0.57,0.34,0.83,0.63,0.48,0.47
2008-03-24,1.37,1.64,1.7,1.11,1.05,0.79,1.85,1.21,0.85,1.01
2008-03-25,1.09,1.34,1.31,1.18,0.97,0.92,1.31,0.85,0.8,1.16
2008-03-26,1.33,1.39,1.99,1.53,1.45,1.0,1.43,1.25,0.99,1.21
2008-03-27,1.13,1.27,1.09,0.96,1.15,0.72,1.7,0.86,0.72,0.85
2008-03-28,1.14,1.11,1.0,0.87,1.14,0.63,1.53,1.25,0.65,0.84
2008-03-31,1.12,1.21,1.37,1.12,1.15,0.7,1.47,1.13,0.82,0.91
2008-04-01,1.41,1.58,1.89,1.4,1.23,1.03,2.36,1.28,1.11,1.24
2008-04-02,1.03,1.07,0.95,0.9,0.86,0.71,1.55,0.87,0.72,0.89
2008-04-03,1.14,1.48,1.25,1.1,1.19,0.77,1.21,1.16,0.9,1.0
2008-04-04,1.29,1.25,1.1,0.89,1.06,0.7,1.23,0.91,0.74,0.87
2008-04-07,1.33,1.41,1.28,0.97,0.94,0.67,1.47,1.41,0.68,0.87
2008-04-08,1.09,0.96,1.03,0.9,1.46,0.61,1.14,0.98,0.63,0.75
2008-04-09,1.12,1.34,1.71,1.1,0.94,0.75,1.23,0.97,0.76,0.9
2008-04-10,1.09,1.29,1.78,1.3,1.09,0.84,1.78,0.94,1.49,1.11
2008-04-11,0.99,1.27,1.32,0.98,0.86,0.68,1.68,0.96,0.74,0.81
2008-04-14,1.15,1.18,1.17,1.12,1.12,0.79,1.2,0.93,0.72,0.93
2008-04-15,0.98,1.15,1.14,0.87,0.99,0.64,1.06,1.12,0.63,0.84
2008-04-16,1.35,1.53,1.31,1.07,1.06,0.97,1.36,1.02,0.84,1.18
2008-04-17,0.93,1.71,1.29,0.97,1.68,0.74,1.14,0.98,0.76,0.89
2008-04-18,1.3,1.6,2.0,1.34,1.47,1.05,1.94,1.13,0.98,1.26
2008-04-21,1.31,1.19,1.34,1.01,1.69,0.8,1.13,0.84,0.83,0.93
2008-04-22,0.84,1.23,1.06,0.93,1.16,0.75,0.98,0.71,0.73,0.9
2008-04-23,1.34,1.51,1.37,0.94,1.03,0.79,1.09,1.01,0.77,0.96
2008-04-24,1.11,1.53,1.83,1.27,1.0,0.93,1.11,0.98,0.81,1.17
2008-04-25,1.18,0.91,1.04,0.84,1.28,0.7,0.91,0.91,0.72,0.95
2008-04-28,0.8,1.37,0.78,0.69,1.04,0.54,0.81,0.62,0.58,0.66
2008-04-29,1.13,1.02,1.01,0.92,1.38,0.62,1.48,1.21,0.65,0.85
2008-04-30,1.43,1.27,1.39,1.06,1.42,0.81,1.47,1.12,0.81,1.06
2008-05-01,1.11,1.33,1.27,1.05,0.99,0.93,1.2,0.81,0.81,1.12
2008-05-02,1.36,1.12,1.36,0.98,1.17,0.75,1.28,1.11,0.74,0.92
2008-05-05,1.2,0.77,0.84,0.67,0.94,0.55,0.85,0.72,0.56,0.73
2008-05-06,0.93,1.52,1.07,0.83,0.86,0.67,1.02,0.86,0.68,0.84
2008-05-07,0.93,1.21,0.87,0.88,1.03,0.66,1.2,0.82,0.6,0.9
2008-05-08,1.31,1.41,1.32,1.14,1.07,0.75,1.67,1.48,1.17,1.05
2008-05-09,1.23,1.43,1.25,0.91,1.08,0.66,1.36,1.24,0.73,0.88
2008-05-12,1.14,0.93,1.12,1.07,1.05,0.76,1.68,0.87,0.75,0.98
2008-05-13,0.96,1.36,1.13,0.89,0.92,0.74,1.38,0.81,0.71,0.94
2008-05-14,1.15,1.25,0.77,0.7,0.78,0.58,0.87,0.61,0.75,0.78
2008-05-15,1.28,0.86,1.1,0.97,0.88,0.59,0.86,1.14,0.71,0.82
2008-05-16,1.41,1.24,1.19,0.94,0.93,0.83,1.25,1.04,0.78,1.1
2008-05-19,0.82,1.43,1.19,0.81,0.81,0.68,0.88,0.78,0.62,0.83
2008-05-20,1.11,1.28,1.47,0.99,1.05,0.8,0.99,0.76,0.76,0.95
2008-05-21,0.87,0.97,1.1,0.87,1.0,0.65,0.94,0.83,0.63,0.86
2008-05-22,1.15,0.98,1.16,0.91,1.27,0.67,1.48,1.56,0.69,0.9
2008-05-23,0.85,0.98,1.0,0.67,0.7,0.56,1.02,0.74,0.56,0.7
2008-05-26,0.5,0.73,0.47,0.41,0.47,0.28,0.45,0.55,0.37,0.41
2008-05-27,0.69,0.86,1.01,0.73,0.74,0.58,0.96,0.86,0.58,0.71
2008-05-28,0.93,1.02,1.24,0.94,0.88,0.67,1.12,0.81,0.68,0.8
2008-05-29,0.91,1.28,1.09,0.87,0.94,0.75,0.91,0.72,0.71,0.94
2008-05-30,0.8,1.2,0.99,0.68,0.76,0.53,0.72,0.67,0.55,0.69
2008-06-02,1.0,1.31,1.26,0.84,1.14,0.66,1.52,0.78,0.69,0.77
2008-06-03,0.98,1.08,1.47,1.0,1.02,0.91,1.31,0.75,0.86,1.1
2008-06-04,1.57,1.16,0.85,0.69,0.95,0.59,0.89,0.7,0.63,0.71
2008-06-05,1.07,1.23,1.42,1.54,0.98,0.73,1.24,1.76,0.66,1.07
2008-06-06,1.0,1.12,1.86,1.15,1.0,0.8,1.19,0.93,0.82,0.92
2008-06-09,1.38,1.19,1.17,1.13,1.34,1.13,1.58,1.31,1.06,1.13
2008-06-10,1.11,1.55,1.2,0.99,1.11,1.06,1.01,1.1,0.91,1.07
2008-06-11,0.79,0.94,1.15,0.8,0.83,0.76,0.95,0.95,0.76,0.77
2008-06-12,1.2,1.03,1.16,0.85,0.82,1.11,0.85,0.88,0.84,1.11
2008-06-13,0.97,0.98,1.27,0.98,0.83,0.79,0.8,1.05,0.84,0.8
2008-06-16,0.7,0.99,1.01,0.84,1.03,0.8,0.76,0.77,0.75,0.82
2008-06-17,0.78,0.97,0.77,0.66,1.17,0.68,0.71,0.79,0.69,0.68
2008-06-18,0.61,0.6,0.79,0.55,0.61,0.64,0.61,0.64,0.68,0.61
2008-06-19,0.96,1.03,1.61,0.96,1.07,0.72,0.9,1.04,0.8,0.73
2008-06-20,0.75,1.08,1.2,0.86,0.7,0.73,0.84,0.82,0.71,0.74
2008-06-23,0.69,0.91,1.13,0.75,0.69,0.79,0.73,0.82,0.65,0.83
2008-06-24,0.66,0.66,0.87,0.61,0.54,0.64,0.7,0.62,0.58,0.65
2008-06-25,0.61,0.66,0.78,0.79,0.61,0.64,0.7,0.74,0.59,0.63
2008-06-26,1.01,1.03,1.45,0.93,1.02,0.81,1.33,1.13,0.84,0.82
2008-06-27,0.98,1.1,0.98,0.78,0.98,0.79,1.14,1.18,0.76,0.8
2008-06-30,0.99,1.37,0.82,0.75,0.8,0.86,1.27,0.89,0.88,0.85
2008-07-01,1.03,1.0,1.0,0.86,0.83,0.72,1.12,1.05,0.78,0.72
2008-07-02,1.11,1.19,0.84,0.71,0.85,0.77,0.95,0.75,0.72,0.79
2008-07-03,0.83,0.91,1.35,1.14,0.74,0.88,0.91,0.78,0.78,0.88
2008-07-04,0.57,0.75,0.52,0.52,0.47,0.41,0.5,0.79,0.46,0.41
