,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2011-01-03,1.01279,0.95206,7.91751,82.988,1.31422,1.30822,1.01879,0.94079,7.82434,81.962,1.29253,8.31536,87.179,1.30944,1.3251,1.24646,0.85974,10.3658,108.677,1.72094,1.71359,1.33389,1.5225,1.54177,1.45036,12.06071,126.361,2.00079,1.99267,1.55186,10.47638,0.77015,0.72467,6.02455,63.143,0.99558,0.77519,0.72782,6.0531,63.412,0.99326,0.93469,7.77191,81.413,1.28405
2011-01-04,1.00617,0.95082,7.8514,82.67,1.31266,1.29996,1.01048,0.94549,7.79454,82.178,1.29093,8.25255,87.007,1.32093,1.32874,1.25586,0.85816,10.37082,109.313,1.73551,1.71667,1.33486,1.53778,1.5488,1.46298,12.07764,127.358,2.02036,1.99893,1.55444,10.54275,0.76598,0.72499,5.97884,63.011,0.98937,0.76952,0.73196,6.04054,63.691,0.99686,0.9416,7.76957,81.916,1.28638
2011-01-05,0.99922,0.95917,7.78599,82.752,1.3148,1.29264,1.00206,0.96023,7.79046,82.869,1.29391,8.11571,86.325,1.32035,1.3187,1.26555,0.8507,10.27715,109.228,1.73467,1.70617,1.3227,1.55261,1.55058,1.48796,12.07941,128.431,2.04071,2.0062,1.55448,10.63525,0.75982,0.72967,5.92061,62.982,0.98301,0.76206,0.74193,6.02308,64.022,0.99746,0.95746,7.77018,82.638,1.29001
2011-01-06,0.99338,0.96256,7.75003,82.999,1.31665,1.28979,0.99718,0.96995,7.80365,83.537,1.29935,8.04804,86.143,1.31227,1.30306,1.26257,0.84429,10.16588,108.902,1.7272,1.69198,1.30804,1.55453,1.54299,1.49695,12.0474,128.96,2.04607,2.00579,1.54996,10.70725,0.75424,0.73132,5.88701,63.044,0.97972,0.75741,0.74623,6.00678,64.343,0.99608,0.96582,7.77203,83.215,1.29391
2011-01-07,0.98906,0.96047,7.73445,82.741,1.3118,1.28862,0.99505,0.97023,7.81092,83.708,1.30194,8.04928,86.24,1.30237,1.28937,1.25139,0.83581,10.07297,107.798,1.70812,1.67776,1.29593,1.55909,1.54137,1.49728,12.04894,129.033,2.0446,2.00741,1.55015,10.71112,0.75426,0.73256,5.89807,63.111,0.98262,0.75886,0.74545,6.00268,64.263,0.99516,0.96559,7.77288,83.255,1.29496
2011-01-10,0.98746,0.96104,7.72637,82.427,1.30642,1.28953,0.99376,0.97317,7.82175,83.462,1.30554,8.03285,85.731,1.29944,1.28308,1.25004,0.83091,10.04359,107.199,1.69832,1.67521,1.29168,1.56448,1.54486,1.50354,12.08624,128.922,2.04372,2.01699,1.55436,10.671,0.7559,0.7361,5.9169,63.097,0.98684,0.76095,0.74554,5.99054,63.966,0.99405,0.96798,7.77519,82.97,1.29792
2011-01-11,0.98281,0.95994,7.69995,82.123,1.29995,1.28351,0.99011,0.97903,7.83907,83.696,1.30621,8.00553,85.533,1.30829,1.28555,1.25868,0.83166,10.07503,107.611,1.70181,1.6793,1.29558,1.57312,1.54496,1.51382,12.11688,129.446,2.04671,2.0181,1.55811,10.67788,0.75533,0.73876,5.91862,63.209,0.98633,0.76106,0.74947,6.00046,64.07,0.99199,0.97142,7.77614,83.034,1.29601
2011-01-12,0.9788,0.96181,7.69913,82.374,1.30089,1.27814,0.99023,0.98244,7.86924,84.191,1.30621,8.0114,85.603,1.31583,1.28896,1.26611,0.83218,10.14827,108.469,1.71394,1.68374,1.3053,1.58156,1.54883,1.52146,12.19213,130.362,2.05976,2.02303,1.56815,10.692,0.75166,0.73921,5.9189,63.281,0.9822,0.76129,0.75248,6.02306,64.458,0.98805,0.97056,7.77532,83.129,1.29082
2011-01-13,0.98481,0.96405,7.75075,82.668,1.29975,1.28233,0.99696,0.97908,7.87059,83.911,1.30273,8.03971,85.728,1.32859,1.3078,1.27873,0.83815,10.29479,109.759,1.72513,1.70352,1.32425,1.5843,1.56071,1.52729,12.28434,130.977,2.05875,2.0328,1.58005,10.66075,0.75736,0.74169,5.96163,63.572,0.98659,0.76684,0.7517,6.04223,64.43,0.98781,0.96705,7.77456,82.878,1.28672
2011-01-14,0.98397,0.95746,7.71883,82.25,1.29218,1.27816,0.99286,0.97246,7.84045,83.564,1.29872,8.06409,85.862,1.34626,1.32619,1.28952,0.84413,10.40279,110.666,1.73967,1.72217,1.33808,1.59638,1.57167,1.52769,12.32335,131.247,2.06178,2.04057,1.58512,10.64975,0.76126,0.74056,5.97352,63.651,0.98907,0.76835,0.74849,6.03968,64.333,0.99158,0.96408,7.77442,82.789,1.28731
