,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,0.08,1.22,0.88,1.56,0.24,0.75,0.88,1.16,0.82,1.48,0.69,-0.34,0.32,-1.03,-0.97,0.21,-0.15,-0.16,0.51,-0.79,-0.29,-0.16,-0.88,-0.8,0.35,-0.01,0.66,-0.64,-0.14,-0.01,0.68,-0.16,0.98,0.63,1.33,0.5,0.63,0.47,0.13,0.81,-0.81,0.34,-0.0,0.68,-0.13
2013-01-03,-0.08,0.61,-0.36,-0.47,0.37,0.08,-0.36,0.67,-0.28,-0.4,0.16,-0.97,-1.09,-0.68,-0.77,-0.07,-0.13,-1.04,-1.16,-0.33,-0.6,-1.04,-0.56,-0.62,0.05,-0.91,-1.03,-0.19,-0.47,-0.91,-0.12,-0.43,0.25,-0.72,-0.84,-0.28,-0.72,0.52,-0.45,-0.56,0.29,0.98,-0.0,-0.12,0.45
2013-01-04,0.08,-0.09,0.14,1.19,-0.3,0.23,0.14,-0.17,0.05,1.1,0.14,0.23,1.28,0.01,0.08,-0.08,0.37,0.15,1.21,-0.28,0.24,0.15,-0.37,-0.3,-0.46,-0.23,0.81,-0.67,-0.14,-0.23,1.05,0.38,0.21,0.44,1.49,0.53,0.44,-0.31,-0.08,0.96,-0.04,-0.22,0.01,1.05,0.09
2013-01-07,0.19,-0.09,0.27,-0.1,-0.54,0.42,0.27,-0.29,0.06,-0.31,0.21,0.36,-0.01,0.05,0.25,-0.05,0.05,0.31,-0.06,-0.47,0.45,0.31,-0.02,0.19,-0.11,0.26,-0.12,-0.52,0.4,0.26,-0.37,0.71,0.41,0.77,0.4,0.92,0.78,-0.5,-0.15,-0.51,-0.06,-0.36,-0.0,-0.37,0.14
2013-01-08,0.06,0.29,-0.01,-0.86,0.05,0.0,-0.02,0.23,-0.06,-0.92,-0.04,-0.3,-1.15,-0.26,-0.19,0.03,0.11,-0.26,-1.11,-0.21,-0.25,-0.27,-0.36,-0.3,-0.07,-0.37,-1.21,-0.31,-0.35,-0.37,-0.85,0.0,0.25,-0.06,-0.9,-0.05,-0.06,0.29,-0.01,-0.86,0.06,0.31,0.01,-0.84,0.02
2013-01-09,0.2,0.23,0.11,1.05,-0.28,-0.08,0.1,0.04,-0.08,0.86,-0.26,-0.12,0.82,-0.23,-0.03,0.0,0.07,-0.12,0.83,-0.49,-0.31,-0.13,-0.3,-0.11,-0.07,-0.19,0.74,-0.56,-0.38,-0.2,0.94,0.47,0.49,0.37,1.32,0.18,0.36,0.31,0.19,1.13,0.09,0.13,0.01,0.95,-0.18
2013-01-10,0.35,-0.41,0.78,1.82,0.1,0.42,0.79,-0.75,0.42,1.47,0.07,1.2,2.25,0.79,1.13,0.35,0.68,1.57,2.63,0.86,1.21,1.59,0.11,0.46,-0.3,0.89,1.94,0.19,0.53,0.91,1.04,0.27,-0.49,0.7,1.75,0.34,0.71,-0.83,0.36,1.4,-0.43,-1.2,-0.01,1.03,-0.37
2013-01-11,-0.44,-0.66,-0.57,-0.13,0.53,-0.37,-0.58,-0.22,-0.13,0.3,0.07,0.09,0.54,1.12,0.71,0.45,0.77,0.55,0.99,1.65,0.75,0.54,0.36,-0.08,-0.3,-0.21,0.23,0.88,-0.01,-0.22,0.45,-0.95,-1.17,-1.08,-0.65,-0.88,-1.09,-0.29,-0.2,0.24,0.14,-0.08,0.01,0.46,0.21
2013-01-14,0.08,1.17,0.14,0.34,-0.35,0.17,0.14,1.09,0.06,0.26,0.09,-1.03,-0.82,0.01,0.1,1.18,0.49,0.15,0.36,-0.33,0.19,0.15,-0.47,-0.38,0.69,-0.34,-0.13,-0.82,-0.3,-0.34,0.2,0.43,1.53,0.49,0.68,0.52,0.49,1.01,-0.03,0.17,-0.06,1.04,0.0,0.2,0.03
2013-01-15,0.04,1.06,-0.02,-0.78,0.4,0.02,-0.02,1.03,-0.05,-0.81,-0.01,-1.07,-1.82,-0.56,-0.51,0.5,-0.49,-0.58,-1.33,-0.17,-0.54,-0.57,-0.07,-0.04,1.0,-0.09,-0.85,0.33,-0.04,-0.09,-0.76,-0.37,0.67,-0.42,-1.17,-0.37,-0.41,1.04,-0.04,-0.8,0.04,1.08,-0.01,-0.76,0.03
2013-01-16,0.25,-0.03,0.07,-0.39,-0.1,-0.11,0.07,-0.28,-0.18,-0.64,-0.36,0.11,-0.37,-0.19,0.05,-0.21,0.24,-0.11,-0.59,-0.26,-0.29,-0.12,-0.43,-0.18,-0.46,-0.35,-0.82,-0.5,-0.53,-0.36,-0.47,0.32,0.04,0.15,-0.32,-0.03,0.14,0.08,0.18,-0.29,0.18,-0.1,0.01,-0.47,-0.17
2013-01-17,-0.26,-0.08,-0.24,1.44,0.33,-0.27,-0.24,0.2,0.03,1.71,-0.0,-0.17,1.51,0.91,0.62,0.83,0.74,0.65,2.35,1.21,0.62,0.65,0.16,-0.11,0.09,-0.09,1.61,0.47,-0.12,-0.09,1.68,-0.58,-0.38,-0.55,1.13,-0.58,-0.55,0.2,0.03,1.72,-0.03,0.17,0.0,1.68,-0.03
2013-01-18,0.26,-0.17,-0.33,-0.11,-0.42,0.0,-0.34,-0.44,-0.61,-0.37,-0.28,-0.16,0.07,-0.08,0.21,-0.25,0.35,-0.41,-0.19,-0.57,-0.08,-0.42,-0.43,-0.16,-0.6,-0.76,-0.54,-0.9,-0.43,-0.76,0.22,0.78,0.31,0.14,0.38,0.48,0.14,-0.17,-0.32,-0.11,0.62,0.17,0.0,0.23,0.32
2013-01-21,0.17,-0.18,0.09,-0.44,0.14,0.16,0.09,-0.35,-0.08,-0.64,-0.01,0.27,-0.27,-0.08,0.1,-0.27,0.15,0.03,-0.52,0.1,0.1,0.02,-0.21,-0.04,-0.41,-0.12,-0.67,-0.06,-0.05,-0.13,-0.55,0.01,-0.35,-0.07,-0.63,0.0,-0.07,-0.34,-0.07,-0.62,0.09,-0.27,0.01,-0.54,0.08
2013-01-22,0.36,0.13,0.48,-0.54,-0.11,0.39,0.47,-0.25,0.11,-0.89,0.02,0.35,-0.66,-0.4,-0.03,-0.29,0.01,0.08,-0.94,-0.52,-0.01,0.07,-0.41,-0.05,-0.29,0.06,-0.95,-0.53,-0.03,0.05,-1.01,0.49,0.24,0.6,-0.41,0.51,0.59,-0.27,0.09,-0.93,-0.1,-0.35,0.01,-1.0,-0.08
2013-01-23,0.63,-0.09,-0.12,-0.21,-0.31,-0.12,-0.11,-0.72,-0.75,-0.85,-0.72,-0.03,-0.13,0.07,0.7,-0.01,-0.08,-0.04,-0.14,-0.2,-0.04,-0.03,0.14,0.77,0.06,0.03,-0.07,-0.13,0.03,0.04,-0.09,0.92,0.19,0.16,0.06,0.15,0.17,0.03,-0.02,-0.09,0.74,0.02,-0.01,-0.1,0.01
2013-01-24,-0.63,-1.04,-0.96,0.95,-0.41,-0.81,-0.97,-0.4,-0.33,1.58,-0.16,0.07,2.0,1.44,0.78,0.39,0.8,0.45,2.39,0.98,0.62,0.44,0.63,-0.01,-0.4,-0.34,1.58,0.2,-0.17,-0.35,1.93,-0.2,-0.61,-0.53,1.4,-0.37,-0.54,-0.23,-0.17,1.76,0.34,-0.07,0.01,1.93,0.17
2013-01-25,0.05,-0.55,-0.26,0.34,-0.21,0.18,-0.27,-0.59,-0.32,0.3,0.12,0.29,0.89,0.91,0.98,0.35,0.58,0.65,1.26,0.7,1.1,0.64,0.33,0.38,-0.22,0.07,0.67,0.11,0.51,0.06,0.6,0.26,-0.33,-0.04,0.55,0.4,-0.05,-0.73,-0.44,0.16,0.33,-0.28,0.01,0.61,0.45
2013-01-28,-0.02,-0.08,0.05,-0.2,0.18,0.21,0.01,-0.04,0.08,-0.2,0.24,0.12,-0.14,-0.09,-0.12,-0.16,0.35,-0.04,-0.29,0.1,0.12,-0.08,-0.44,-0.45,-0.5,-0.39,-0.63,-0.24,-0.23,-0.43,-0.25,-0.2,-0.27,-0.15,-0.39,0.01,-0.19,-0.28,-0.15,-0.41,-0.04,-0.08,0.04,-0.21,0.19
2013-01-29,0.01,0.02,0.58,0.41,-0.11,0.21,0.56,-0.01,0.55,0.4,0.19,0.55,0.39,-0.29,-0.27,-0.25,-0.16,0.29,0.13,-0.39,-0.07,0.27,-0.12,-0.11,-0.1,0.45,0.29,-0.23,0.09,0.43,-0.16,0.12,0.13,0.67,0.51,0.31,0.66,-0.19,0.36,0.2,-0.54,-0.53,0.02,-0.14,-0.34
2013-01-30,-0.51,-1.68,-0.56,-0.16,-0.14,-0.38,-0.56,-1.18,-0.05,0.36,0.12,1.14,1.56,1.12,0.6,-0.58,0.32,0.55,0.95,0.98,0.73,0.55,0.8,0.28,-0.91,0.23,0.64,0.65,0.41,0.24,0.41,-0.37,-1.54,-0.42,-0.01,-0.24,-0.42,-1.31,-0.18,0.22,0.05,-1.13,-0.01,0.4,0.17
2013-01-31,-0.34,-0.03,0.04,0.77,-0.27,0.2,0.07,0.32,0.39,1.1,0.55,0.06,0.77,0.01,-0.33,-0.01,-0.28,0.04,0.77,-0.26,0.2,0.08,0.29,-0.05,0.28,0.32,1.05,0.01,0.48,0.36,0.73,-0.07,0.24,0.31,1.03,0.47,0.35,-0.22,-0.16,0.56,-0.43,-0.1,-0.04,0.69,0.13
2013-02-01,-0.24,-0.37,-0.16,1.03,-0.93,0.08,-0.17,-0.14,0.07,1.28,0.34,0.22,1.42,0.64,0.37,0.24,1.52,0.48,1.68,-0.32,0.71,0.46,-0.87,-1.11,-1.26,-1.02,0.17,-1.79,-0.79,-1.04,1.2,0.7,0.56,0.78,2.0,1.02,0.77,-0.45,-0.24,0.96,-0.06,-0.2,0.01,1.21,0.25
2013-02-04,0.34,0.1,0.1,-0.32,0.68,-0.01,0.12,-0.21,-0.23,-0.65,-0.33,-0.02,-0.43,-1.12,-0.8,-1.01,-1.43,-1.03,-1.43,-0.44,-1.13,-1.01,0.31,0.64,0.43,0.4,-0.01,0.99,0.29,0.42,-0.41,-0.35,-0.57,-0.59,-0.98,-0.69,-0.57,0.13,0.1,-0.3,0.21,-0.0,-0.02,-0.43,-0.13
2013-02-05,-0.79,-0.46,-0.45,0.89,-0.63,-0.64,-0.47,0.33,0.35,1.69,0.15,0.01,1.35,0.98,0.16,0.48,1.17,0.53,1.87,0.35,0.35,0.51,-0.18,-0.97,-0.63,-0.63,0.7,-0.82,-0.81,-0.65,1.34,-0.17,0.18,0.19,1.52,0.0,0.17,0.17,0.18,1.53,-0.33,0.01,0.01,1.36,-0.17
2013-02-06,-0.67,-0.46,-0.68,-0.68,-0.08,-0.49,-0.67,0.2,0.0,-0.03,0.2,-0.22,-0.21,0.22,-0.45,-0.24,-0.46,-0.45,-0.46,0.05,-0.26,-0.44,0.69,0.02,0.21,0.01,0.0,0.63,0.2,0.02,-0.01,-0.58,-0.41,-0.62,-0.61,-0.42,-0.61,0.03,-0.19,-0.2,-0.01,0.21,-0.01,-0.02,0.19
