,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,-1.04,-0.66,0.31,0.01,0.29,0.42,1.12,-0.85,-0.02,0.43
2016-01-05,-0.13,-0.03,-0.39,-0.53,0.01,0.32,0.68,-0.45,0.21,0.32
2016-01-06,-1.1,-0.34,0.48,0.67,0.02,0.31,0.87,-0.73,-0.49,0.32
2016-01-07,-1.19,-0.57,1.31,1.3,-0.34,-0.34,0.51,-0.42,-0.01,-0.26
2016-01-08,-0.5,-0.05,0.22,0.38,-0.34,0.36,0.8,-0.98,-0.32,0.42
2016-01-11,0.46,-0.27,-0.58,-0.5,0.22,0.08,-0.39,0.13,0.73,0.12
2016-01-12,0.06,-0.17,0.12,0.19,-0.54,0.22,0.32,-0.15,-0.24,0.2
2016-01-13,-0.3,-0.41,-0.23,0.37,-0.13,0.21,0.19,-0.19,0.29,0.19
2016-01-14,0.55,-0.11,0.21,-0.02,0.15,-0.18,-0.27,-0.57,0.12,0.12
2016-01-15,-1.62,-1.01,0.71,0.84,-0.88,0.14,1.29,0.13,0.09,0.31
2016-01-18,0.43,0.34,-0.41,-0.36,-0.11,-0.1,-0.6,0.74,0.08,-0.02
2016-01-19,0.78,-0.06,0.29,0.24,-0.59,-0.22,-0.2,-0.61,0.29,0.08
2016-01-20,-0.17,0.43,-0.26,-0.3,0.14,-0.12,0.51,0.13,-0.22,-0.14
2016-01-21,1.02,1.38,-0.77,-0.61,-0.2,-0.44,-1.18,1.27,-0.02,-0.45
2016-01-22,0.21,1.29,-0.81,-0.64,0.48,0.39,-0.82,-0.54,0.32,0.13
2016-01-25,-0.66,-0.98,0.48,0.73,-0.0,0.21,0.5,-0.51,0.08,0.16
2016-01-26,0.45,0.96,-0.8,-0.16,0.42,-0.36,-0.47,0.41,-0.09,-0.36
2016-01-27,0.51,0.36,0.38,0.45,-0.73,0.17,-0.06,-0.98,-0.28,0.18
2016-01-28,0.49,0.12,-0.26,0.06,0.57,-0.38,-0.57,0.47,-0.08,-0.42
2016-01-29,0.41,0.88,-0.6,-0.67,-0.48,0.58,-1.74,0.48,0.73,0.42
2016-02-01,0.05,-0.24,-0.2,0.14,0.97,-0.37,-0.13,0.57,-0.35,-0.44
2016-02-02,-0.98,-0.65,0.33,0.55,0.04,-0.08,1.17,-0.34,-0.26,0.21
2016-02-03,0.54,0.68,0.1,0.39,0.01,-1.45,0.47,1.07,-0.31,-1.48
2016-02-04,-0.1,-0.44,0.6,0.4,-0.7,-0.53,0.43,0.3,0.66,-0.63
2016-02-05,-1.37,-0.62,0.92,0.19,0.02,0.65,0.61,-0.91,-0.16,0.68
2016-02-08,0.05,-0.41,0.4,0.3,-0.61,-0.22,0.74,-0.09,0.04,-0.19
2016-02-09,-0.69,0.06,1.16,0.54,-0.15,-0.55,0.26,-0.32,0.15,-0.46
2016-02-10,0.04,-0.82,-0.36,-0.32,0.07,-0.26,1.39,0.51,0.08,-0.33
2016-02-11,0.03,-0.26,-0.06,0.13,-0.55,-0.15,0.74,0.33,-0.02,-0.19
2016-02-12,0.31,1.03,-0.22,-0.31,0.56,0.34,-0.49,-1.21,-0.35,0.33
2016-02-15,0.92,0.4,-0.88,-0.61,-0.22,0.31,-0.9,0.69,-0.0,0.3
2016-02-16,-0.12,0.09,0.12,0.19,-0.7,0.21,0.8,-0.83,-0.06,0.3
2016-02-17,0.84,1.25,-0.77,-0.48,-0.4,-0.24,-0.31,0.6,-0.18,-0.31
2016-02-18,-0.45,-0.48,-0.09,-0.23,0.34,0.02,0.79,0.14,0.0,-0.04
2016-02-19,-0.24,-0.42,0.25,0.14,0.39,-0.0,0.56,-0.3,-0.29,-0.09
2016-02-22,1.12,0.59,-1.1,-0.8,-0.87,0.06,-0.32,0.87,0.41,0.03
2016-02-23,-0.17,-0.51,1.13,0.11,-0.8,0.25,0.96,-0.75,-0.42,0.21
2016-02-24,-0.14,0.65,0.24,-0.11,-0.78,-0.06,-0.11,0.23,0.11,-0.04
2016-02-25,0.35,1.14,-0.44,-0.21,0.02,-0.31,-1.08,0.78,0.01,-0.25
2016-02-26,-0.99,0.86,-0.02,-0.17,-0.02,0.66,-0.29,-0.92,0.2,0.7
2016-02-29,0.15,-0.36,-0.2,-0.61,0.31,-0.14,1.08,-0.14,0.08,-0.16
2016-03-01,0.33,0.94,-0.07,-0.27,0.09,-0.1,-1.48,0.46,0.27,-0.17
2016-03-02,1.38,-0.49,-0.35,-0.44,0.58,-0.48,0.09,0.33,-0.16,-0.47
2016-03-03,0.44,-0.33,0.04,0.44,0.33,-0.39,-0.67,0.4,0.19,-0.45
2016-03-04,0.78,0.19,-0.67,-0.06,-0.19,-0.48,-0.64,1.03,0.59,-0.56
2016-03-07,0.74,0.2,-0.46,0.0,0.13,-0.21,0.25,-0.01,-0.42,-0.22
2016-03-08,-0.21,-0.78,0.23,0.24,-0.12,0.23,1.07,-0.66,-0.26,0.27
2016-03-09,0.74,1.38,-0.22,-0.08,0.04,0.03,-0.67,-1.46,0.21,0.02
2016-03-10,-0.79,-1.11,1.06,1.51,0.21,-0.24,-0.17,-0.02,-0.16,-0.29
2016-03-11,1.13,0.63,-0.22,-0.78,0.29,-0.43,-1.14,0.89,0.12,-0.49
2016-03-14,-0.14,-0.01,-0.15,-0.06,-0.3,0.32,0.44,-0.48,0.06,0.31
2016-03-15,-0.46,-0.39,0.38,0.44,-0.8,0.35,1.0,-0.87,-0.02,0.38
2016-03-16,0.34,1.09,0.08,0.08,-0.2,-1.04,-0.5,0.96,0.27,-1.07
2016-03-17,0.29,-0.02,0.02,-0.15,0.72,-1.03,0.09,1.03,0.14,-1.09
2016-03-18,-0.3,0.1,0.13,-0.13,0.3,0.32,0.18,-0.53,-0.39,0.32
2016-03-21,0.01,-0.45,0.28,0.05,-0.28,0.3,-0.12,-0.16,0.12,0.26
2016-03-22,0.76,0.58,-0.21,-0.1,-1.13,0.12,-0.28,-0.01,0.15,0.13
2016-03-23,-0.77,-0.76,0.26,0.18,-0.19,0.53,0.48,-0.22,-0.07,0.55
2016-03-24,0.07,-0.24,0.08,0.05,0.39,0.05,-0.41,0.03,-0.13,0.11
2016-03-25,-0.13,0.03,-0.07,0.09,-0.05,0.16,-0.03,-0.09,-0.06,0.15
2016-03-28,0.11,0.39,0.05,-0.05,0.61,-0.33,-0.59,0.37,-0.22,-0.34
2016-03-29,0.34,0.04,-0.08,0.05,0.11,-0.88,-0.19,1.15,0.36,-0.9
2016-03-30,0.24,0.53,-0.17,0.05,-0.45,-0.37,-0.16,0.77,-0.06,-0.4
2016-03-31,-0.19,-0.31,0.37,0.43,-0.12,-0.04,-0.14,-0.17,0.16,0.01
2016-04-01,0.27,-0.1,0.37,0.08,-1.09,0.01,0.8,-0.06,-0.24,-0.03
2016-04-04,-0.76,-0.23,0.09,0.1,0.51,0.21,0.5,-0.66,0.04,0.21
2016-04-05,-0.73,-0.26,0.5,0.14,-0.65,0.14,1.12,-0.31,-0.12,0.17
2016-04-06,0.54,0.14,-0.21,-0.12,-0.55,-0.27,0.29,0.05,0.41,-0.27
2016-04-07,-1.13,-0.24,0.21,0.03,-0.29,0.16,1.83,-0.59,-0.23,0.23
2016-04-08,0.32,0.94,-0.17,-0.21,0.13,-0.38,-0.25,0.14,-0.12,-0.41
2016-04-11,0.36,0.4,-0.5,-0.43,0.61,-0.3,-0.3,0.43,0.1,-0.36
2016-04-12,0.98,0.86,-0.38,-0.48,-0.02,-0.29,-0.9,0.78,-0.27,-0.29
2016-04-13,0.09,0.08,-0.83,-0.56,-0.03,0.52,-0.29,0.57,-0.06,0.52
2016-04-14,0.84,-0.02,0.23,0.17,-0.15,0.24,0.17,-0.9,-0.8,0.23
2016-04-15,0.1,-0.13,-0.46,-0.15,0.04,-0.34,0.3,0.87,0.12,-0.35
2016-04-18,0.96,1.03,-0.37,-0.35,0.14,-0.47,-1.12,0.65,0.01,-0.47
2016-04-19,0.32,0.42,-0.32,-0.15,0.34,-0.59,-1.0,0.88,0.68,-0.59
2016-04-20,0.2,0.61,-0.72,-0.12,-0.0,0.48,-0.18,-0.58,-0.17,0.48
2016-04-21,-0.52,-0.38,-0.04,0.22,0.23,0.29,0.7,-0.73,-0.09,0.32
2016-04-22,-0.01,0.97,0.01,-0.22,1.02,0.4,-1.97,-0.56,-0.02,0.38
2016-04-25,0.03,-0.38,0.23,0.27,-0.11,-0.22,0.42,-0.09,0.07,-0.24
2016-04-26,0.18,0.33,-0.13,-0.0,0.47,-0.29,-0.39,0.41,-0.27,-0.3
2016-04-27,-1.98,0.35,0.59,0.54,0.02,0.3,0.16,-0.76,0.49,0.3
2016-04-28,-0.29,-0.39,-0.29,-0.51,-0.29,-0.82,2.56,1.25,-0.44,-0.79
2016-04-29,-0.68,-0.39,0.46,0.55,-0.21,-0.38,1.45,-0.13,-0.3,-0.39
2016-05-02,0.61,-0.15,0.06,0.3,0.26,-0.41,-0.59,0.31,0.01,-0.4
2016-05-03,-1.79,-0.85,0.86,0.55,-0.16,0.81,0.67,-0.85,-0.1,0.87
