,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2022-01-03,0.92,0.76,0.68,0.68,0.67,0.8,0.76,0.86,0.61,0.8
2022-01-04,0.81,0.7,0.64,0.61,0.71,0.64,1.18,0.73,0.64,0.64
2022-01-05,0.63,0.61,0.51,0.6,0.62,0.51,0.6,0.6,0.43,0.51
2022-01-06,0.95,0.92,0.71,0.61,0.61,0.58,0.86,0.87,0.56,0.6
2022-01-07,0.66,0.58,0.47,0.51,0.42,0.53,0.45,0.53,0.46,0.57
2022-01-10,0.72,0.66,0.97,0.69,0.58,0.61,1.01,0.68,0.59,0.6
2022-01-11,0.56,0.7,0.43,0.43,0.45,0.56,0.66,0.55,0.47,0.56
2022-01-12,0.79,0.7,0.83,0.59,0.57,0.79,0.73,0.77,0.6,0.83
2022-01-13,0.55,0.51,0.61,0.44,0.45,0.48,0.66,0.73,0.42,0.48
2022-01-14,0.97,0.66,0.55,0.58,0.56,0.73,0.86,0.85,0.56,0.72
2022-01-17,0.42,0.54,0.39,0.34,0.4,0.36,0.46,0.41,0.33,0.36
2022-01-18,0.63,0.63,0.5,0.8,0.61,0.59,0.8,0.65,0.48,0.6
2022-01-19,0.73,0.6,0.46,0.43,0.43,0.46,0.55,0.54,0.41,0.47
2022-01-20,0.79,0.56,0.56,0.63,0.49,0.53,0.6,0.68,0.43,0.54
2022-01-21,0.87,0.81,0.93,0.69,0.66,0.53,0.81,0.83,0.58,0.53
2022-01-24,1.06,0.92,0.75,0.72,0.76,0.72,0.81,0.8,0.63,0.71
2022-01-25,0.72,0.62,0.8,0.61,0.6,0.53,0.66,0.72,0.56,0.54
2022-01-26,0.88,0.82,0.66,0.56,0.55,0.71,0.76,0.7,0.56,0.73
2022-01-27,0.97,0.91,0.87,0.77,0.67,0.85,0.82,0.97,0.72,0.89
2022-01-28,0.94,0.62,0.56,0.56,0.65,0.56,0.68,0.88,0.52,0.58
2022-01-31,1.13,0.74,0.85,0.77,0.65,0.78,0.72,0.81,0.61,0.73
2022-02-01,1.02,0.72,0.64,0.6,0.59,0.66,0.63,0.91,0.57,0.68
2022-02-02,0.55,0.46,0.44,0.46,0.47,0.45,0.53,0.56,0.39,0.45
2022-02-03,0.81,0.68,0.78,1.48,0.86,0.71,0.97,1.02,0.68,0.71
2022-02-04,1.04,0.74,0.7,0.84,0.69,0.81,0.69,1.01,0.66,0.78
2022-02-07,0.8,0.76,0.54,0.63,0.61,0.5,0.59,0.72,0.46,0.48
2022-02-08,0.6,0.51,0.46,0.47,0.51,0.36,0.53,0.49,0.37,0.38
2022-02-09,0.59,0.46,0.41,0.42,0.54,0.41,0.47,0.71,0.38,0.43
2022-02-10,1.08,0.71,0.72,0.81,0.78,0.8,0.91,0.87,0.67,0.81
2022-02-11,0.9,0.71,0.77,0.95,0.7,0.69,1.28,0.85,0.68,0.71
2022-02-14,0.8,0.62,0.64,0.72,0.58,0.54,0.91,0.77,0.51,0.54
2022-02-15,0.73,0.62,0.64,0.65,0.56,0.51,0.69,0.67,0.48,0.51
2022-02-16,0.64,0.6,0.54,0.52,0.48,0.49,0.53,0.71,0.46,0.5
2022-02-17,0.8,0.52,0.52,0.56,0.54,0.53,0.76,0.71,0.48,0.53
2022-02-18,0.7,0.59,0.55,0.52,0.51,0.49,0.68,0.65,0.47,0.49
2022-02-21,0.67,0.46,0.86,0.69,0.48,0.51,0.6,0.66,0.5,0.5
2022-02-22,0.86,0.72,1.04,0.75,0.77,0.61,0.9,1.06,0.63,0.61
2022-02-23,0.79,0.66,0.75,0.61,0.72,0.56,0.63,0.99,0.55,0.56
2022-02-24,1.14,0.98,1.05,1.16,1.32,1.41,1.35,1.29,0.95,1.43
2022-02-25,1.23,0.92,0.9,0.92,0.74,0.71,0.86,0.9,0.71,0.71
2022-02-28,0.99,0.92,1.01,1.14,0.8,0.99,0.97,1.18,0.89,0.96
2022-03-01,0.69,0.77,0.71,1.05,0.89,0.67,0.91,0.71,0.59,0.68
2022-03-02,0.8,0.93,0.95,0.86,0.86,0.71,1.11,0.8,0.65,0.72
2022-03-03,0.94,0.87,0.66,0.76,0.74,0.59,0.67,0.75,0.61,0.6
2022-03-04,1.25,1.08,0.95,1.61,1.31,0.92,1.26,1.6,0.9,0.93
2022-03-07,1.54,1.1,1.17,1.4,1.1,0.96,0.92,1.41,1.02,0.98
2022-03-08,1.19,0.84,0.76,1.23,0.71,0.66,0.74,0.82,0.62,0.67
2022-03-09,0.88,0.69,0.75,1.55,0.69,0.78,0.87,0.74,0.7,0.76
2022-03-10,1.1,0.92,0.85,1.28,1.0,0.7,0.72,0.97,0.69,0.69
2022-03-11,0.9,1.19,0.7,1.1,0.74,0.78,0.98,0.82,0.69,0.83
2022-03-14,1.26,0.71,0.76,1.12,0.73,0.75,0.83,0.83,0.67,0.76
2022-03-15,0.82,1.01,0.83,0.9,0.77,0.64,0.79,0.87,0.6,0.66
2022-03-16,1.2,0.83,0.95,0.8,0.85,0.87,1.18,1.14,0.75,0.9
2022-03-17,1.15,0.74,0.76,0.82,1.01,0.83,0.74,0.81,0.69,0.86
2022-03-18,0.77,0.68,0.83,0.89,0.63,0.63,0.84,0.66,0.56,0.63
2022-03-21,0.66,0.55,0.68,0.58,0.63,0.48,0.53,0.67,0.43,0.48
2022-03-22,1.12,0.87,0.79,0.83,1.01,0.82,1.6,1.29,0.73,0.83
2022-03-23,0.84,0.66,0.69,0.79,1.01,0.59,0.95,0.78,0.59,0.58
2022-03-24,0.81,0.69,0.63,0.58,0.58,0.53,1.3,0.61,0.53,0.52
2022-03-25,0.63,0.9,0.67,0.61,0.61,0.52,0.97,0.63,0.51,0.53
