,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2008-01-01,0.87148,0.99276,6.83123,97.746,1.14243,1.26048,0.87605,1.13876,7.8381,112.184,1.44625,6.88099,98.483,1.66593,1.45242,1.65419,0.73464,11.38239,162.857,1.90283,2.10025,1.4591,2.26739,1.97617,2.25133,15.49054,221.634,2.58901,2.85827,1.98574,14.31125,0.76316,0.86929,4.49411,85.625,0.83288,0.76693,0.78761,5.39646,77.559,0.99528,1.13369,7.8009,111.63,1.4394
2008-01-02,0.87389,0.99097,6.87074,97.474,1.14081,1.26678,0.88016,1.1335,7.86946,111.501,1.44972,6.93738,98.42,1.66549,1.45608,1.64994,0.73913,11.44447,162.33,1.9009,2.10916,1.4661,2.2538,1.9678,2.23276,15.48838,219.529,2.57142,2.85433,1.98367,14.1765,0.76637,0.86801,4.49411,85.386,0.83288,0.77155,0.78217,5.39646,76.92,0.99238,1.12528,7.80704,110.662,1.43915
2008-01-03,0.87506,0.98362,6.88571,96.331,1.13957,1.26641,0.88185,1.12326,7.87081,110.165,1.44705,7.0013,98.057,1.67123,1.46223,1.64308,0.7453,11.50349,161.017,1.90465,2.11459,1.47336,2.2412,1.96056,2.2043,15.43569,215.985,2.55266,2.83896,1.9766,13.99275,0.767,0.86213,4.49411,84.608,0.83288,0.77351,0.77667,5.39646,76.105,0.99189,1.11539,7.80903,109.247,1.43625
2008-01-04,0.8726,0.97289,6.83978,95.501,1.13972,1.25672,0.87658,1.11543,7.83974,109.428,1.44094,7.03266,98.161,1.68246,1.46714,1.6366,0.74674,11.51047,160.68,1.9165,2.1145,1.47536,2.24979,1.96301,2.19153,15.40569,215.055,2.56546,2.83046,1.97444,13.95175,0.76571,0.85389,4.49411,83.798,0.83288,0.76929,0.77413,5.39646,75.95,0.99524,1.10946,7.8028,108.858,1.43371
2008-01-07,0.87539,0.97075,6.8024,95.083,1.13752,1.25116,0.87196,1.10932,7.77755,108.616,1.43029,7.01223,97.916,1.6868,1.4755,1.63741,0.74635,11.47751,160.349,1.91857,2.11121,1.47141,2.26205,1.97815,2.19352,15.37792,214.877,2.57055,2.8284,1.97126,13.9715,0.76967,0.85342,4.49411,83.578,0.83288,0.7667,0.77525,5.39646,75.967,1.00301,1.11252,7.80035,108.985,1.43474
2008-01-08,0.88059,0.97782,6.83827,95.731,1.13926,1.25659,0.87652,1.10993,7.77147,108.718,1.42776,6.99647,97.903,1.67716,1.47646,1.63939,0.74511,11.47294,160.551,1.9107,2.10778,1.4707,2.24846,1.98038,2.20027,15.3946,215.438,2.56412,2.82868,1.97315,13.99475,0.77259,0.85783,4.49411,84.016,0.83288,0.76957,0.7779,5.39646,76.189,1.0039,1.11507,7.80157,109.192,1.4337
2008-01-09,0.88787,0.98183,6.87966,96.424,1.14388,1.26213,0.88153,1.1057,7.74556,108.618,1.42108,7.00488,98.213,1.66681,1.47941,1.6366,0.74723,11.4635,160.785,1.90613,2.10309,1.46872,2.23118,1.979,2.19006,15.34298,215.186,2.55163,2.81515,1.96588,14.02575,0.77646,0.85861,4.49411,84.363,0.83288,0.77084,0.77805,5.39646,76.446,1.00773,1.1142,7.80468,109.467,1.43186
2008-01-10,0.89755,0.98625,6.94056,97.503,1.14073,1.2725,0.8893,1.09817,7.72666,108.537,1.41725,7.03497,98.785,1.65697,1.48746,1.63438,0.75157,11.49561,161.494,1.89013,2.1079,1.47297,2.20538,1.97933,2.17346,15.3004,214.917,2.51518,2.80618,1.96033,14.049,0.78673,0.86455,4.49411,85.451,0.83288,0.77927,0.77537,5.39646,76.623,1.01012,1.10954,7.80492,109.648,1.43117
2008-01-11,0.90675,0.98508,6.97216,97.486,1.1395,1.2792,0.89334,1.08696,7.69163,107.574,1.41149,7.0816,98.97,1.65496,1.50063,1.6302,0.75562,11.54349,161.419,1.8864,2.11704,1.47902,2.18996,1.98651,2.15747,15.27626,213.654,2.49765,2.80179,1.95754,13.98525,0.79603,0.86386,4.49411,85.535,0.83288,0.78423,0.77038,5.39646,76.27,1.01461,1.10196,7.80486,109.135,1.43117
2008-01-14,0.91137,0.98169,6.98162,97.014,1.13927,1.28044,0.89452,1.07637,7.66512,106.385,1.40476,7.12136,98.803,1.65724,1.51134,1.62701,0.75776,11.58004,160.724,1.88752,2.12302,1.48372,2.1882,1.99361,2.14671,15.28651,212.107,2.49176,2.80167,1.9586,13.87425,0.80031,0.86175,4.49411,85.151,0.83288,0.78548,0.76615,5.39646,75.681,1.01822,1.096,7.80485,108.284,1.43128
