,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.06,0.01,0.32,-0.03,0.33,-0.25,0.29,-0.13,0.24,-0.05,-0.34,0.29,-0.02,0.12,0.16,0.11,-0.14,0.41,0.13,0.47,-0.17,0.42,0.24,0.35,0.32,0.62,0.3,0.62,0.04,0.66,-0.32,-0.29,-0.35,-0.14,-0.36,-0.72,-0.06,0.29,0.58,0.26,-0.23,-0.34,0.01,-0.33,-0.57
2018-01-03,0.25,0.63,0.1,0.27,0.3,0.1,0.08,0.38,-0.15,0.02,-0.15,-0.53,-0.36,-0.43,-0.19,0.19,0.17,-0.35,-0.18,-0.13,-0.35,-0.37,-0.6,-0.35,0.01,-0.49,-0.34,-0.3,-0.49,-0.51,0.18,-0.04,0.3,-0.23,-0.04,-0.23,-0.25,0.54,0.0,0.18,0.17,0.52,0.02,0.2,0.02
2018-01-04,-0.04,0.1,0.35,0.58,-0.52,0.21,0.35,0.17,0.42,0.62,0.27,0.29,0.47,0.08,0.04,0.07,0.17,0.45,0.66,-0.43,0.25,0.45,-0.09,-0.13,0.01,0.3,0.48,-0.6,0.16,0.3,0.21,0.46,0.55,0.85,1.1,0.65,0.85,-0.06,0.2,0.41,-0.41,-0.29,-0.0,0.21,-0.19
2018-01-05,-0.61,-0.01,0.0,0.27,-0.19,-0.08,-0.01,0.6,0.61,0.86,0.53,0.02,0.26,-0.3,-0.9,-0.33,-0.44,-0.28,-0.04,-0.48,-0.37,-0.3,0.15,-0.45,0.14,0.15,0.39,-0.04,0.02,0.12,0.26,-0.42,0.25,0.27,0.44,0.18,0.25,0.07,0.1,0.34,-0.58,0.0,0.02,0.27,-0.07
2018-01-08,-0.24,-0.05,-0.28,-0.35,-0.47,0.09,-0.3,0.2,-0.03,-0.1,0.38,-0.23,-0.26,-0.21,-0.45,-0.33,-0.56,-0.47,-0.54,-0.68,-0.07,-0.49,0.33,0.1,0.27,0.08,-0.01,-0.14,0.49,0.03,-0.06,0.23,0.5,0.13,0.1,0.54,0.24,-0.17,-0.4,-0.46,0.06,0.21,0.02,-0.03,0.43
2018-01-09,0.1,0.45,-0.23,-0.64,-0.03,-0.03,-0.26,0.33,-0.35,-0.73,-0.16,-0.67,-1.03,-0.02,0.08,0.4,-0.06,-0.27,-0.66,-0.05,-0.08,-0.27,0.03,0.13,0.45,-0.21,-0.6,0.0,0.0,-0.21,-0.4,0.13,0.49,-0.18,-0.6,0.01,-0.2,0.47,-0.19,-0.61,0.34,0.68,0.0,-0.4,0.19
2018-01-10,0.92,-0.2,0.26,-0.84,-0.27,0.16,0.24,-1.23,-0.68,-1.75,-0.77,0.47,-0.63,-0.15,0.78,-0.32,0.33,0.11,-0.99,-0.39,-0.03,0.09,-0.48,0.44,-0.69,-0.2,-1.32,-0.73,-0.3,-0.22,-1.1,1.18,-0.06,0.49,-0.6,0.4,0.47,-0.37,0.14,-0.96,0.7,-0.45,0.02,-1.08,-0.12
2018-01-11,0.4,0.35,0.63,0.46,-0.25,0.25,0.62,-0.04,0.25,0.05,-0.13,0.27,0.08,0.07,0.49,0.43,0.47,0.71,0.55,-0.16,0.34,0.7,-0.38,0.02,-0.01,0.21,0.07,-0.62,-0.16,0.2,-0.16,0.65,0.63,0.9,0.71,0.52,0.9,0.11,0.38,0.22,-0.23,-0.25,0.01,-0.16,-0.37
2018-01-12,-0.16,-0.5,0.3,0.15,0.44,-0.11,0.31,-0.37,0.42,0.32,0.0,0.82,0.73,1.05,0.92,0.52,-0.01,1.35,1.16,1.55,0.93,1.36,1.1,0.94,0.54,1.44,1.27,1.54,1.01,1.45,-0.15,-0.6,-1.01,-0.2,-0.28,-0.62,-0.19,-0.4,0.42,0.27,-0.46,-0.82,-0.01,-0.16,-0.43
2018-01-15,0.5,0.22,0.8,0.29,-0.07,0.57,0.8,-0.28,0.25,-0.2,0.06,0.5,0.04,-0.21,0.27,0.06,0.12,0.57,0.06,-0.28,0.38,0.57,-0.33,0.15,-0.09,0.45,-0.05,-0.39,0.31,0.46,-0.5,0.55,0.28,0.88,0.34,0.7,0.86,-0.39,0.17,-0.32,-0.29,-0.49,0.0,-0.5,-0.18
2018-01-16,-0.01,-0.46,-0.08,-0.15,0.4,-0.11,-0.07,-0.44,-0.05,-0.14,-0.08,0.38,0.28,0.02,0.02,-0.42,-0.01,-0.04,-0.13,0.41,-0.07,-0.04,0.04,0.02,-0.39,-0.02,-0.12,0.43,-0.05,-0.04,-0.08,-0.4,-0.83,-0.46,-0.54,-0.49,-0.45,-0.34,0.03,-0.04,0.07,-0.39,-0.0,-0.08,-0.03
2018-01-17,0.17,0.81,0.08,0.86,0.08,0.42,0.14,0.63,-0.09,0.7,0.23,-0.72,0.11,-0.74,-0.58,0.01,-0.87,-0.67,0.12,-0.64,-0.33,-0.6,0.16,0.33,0.93,0.21,1.01,0.25,0.56,0.26,0.8,0.09,0.73,0.0,0.76,0.33,0.06,0.38,-0.34,0.47,0.03,0.65,-0.06,0.74,0.28
2018-01-18,0.16,-0.4,0.35,0.2,-0.07,0.08,0.33,-0.5,0.19,0.03,-0.06,0.74,0.59,0.07,0.24,-0.24,-0.03,0.41,0.27,0.01,0.15,0.43,0.1,0.27,-0.27,0.44,0.31,0.05,0.18,0.46,-0.15,0.23,-0.27,0.43,0.26,0.18,0.45,-0.43,0.26,0.11,-0.21,-0.75,-0.01,-0.16,-0.28
2018-01-19,0.53,0.51,-0.07,-0.3,0.24,-0.07,-0.06,-0.09,-0.62,-0.81,-0.62,-0.53,-0.77,-0.07,0.48,0.37,0.14,-0.14,-0.36,0.17,-0.14,-0.13,-0.23,0.3,0.26,-0.27,-0.52,0.03,-0.27,-0.26,-0.22,0.29,0.29,-0.28,-0.54,-0.25,-0.24,0.59,0.01,-0.21,0.62,0.58,-0.01,-0.23,-0.01
2018-01-22,-0.05,0.27,0.2,0.54,-0.39,0.12,0.21,0.31,0.25,0.6,0.2,-0.03,0.24,-0.28,-0.33,0.01,-0.74,-0.05,0.25,-0.66,-0.15,-0.08,0.47,0.42,0.77,0.7,1.01,0.08,0.6,0.67,0.31,0.33,0.67,0.56,0.92,0.55,0.62,0.16,0.09,0.4,-0.27,0.09,0.02,0.34,-0.07
2018-01-23,-0.44,-0.65,-0.19,-0.77,-0.56,-0.35,-0.22,-0.19,0.2,-0.33,0.09,0.42,-0.11,0.52,0.08,-0.12,0.21,0.32,-0.25,-0.04,0.18,0.31,0.32,-0.11,-0.34,0.09,-0.45,-0.23,-0.04,0.1,-0.58,0.1,-0.1,0.35,-0.21,0.2,0.33,-0.31,0.14,-0.43,-0.22,-0.44,0.01,-0.55,-0.13
2018-01-24,0.2,-0.56,0.78,-0.22,1.03,-0.0,0.76,-0.76,0.58,-0.41,-0.19,1.35,0.29,0.1,0.29,-0.41,-0.78,0.88,-0.13,1.16,0.11,0.87,0.89,1.08,0.39,1.74,0.67,1.94,0.92,1.69,-0.99,-0.85,-1.54,-0.21,-1.26,-0.99,-0.24,-0.58,0.76,-0.24,-0.59,-1.34,-0.01,-1.0,-0.77
2018-01-25,-0.18,-0.85,-0.44,-0.27,-0.24,-0.17,-0.42,-0.72,-0.3,-0.09,-0.04,0.42,0.59,0.35,0.17,-0.53,0.61,-0.11,0.08,0.11,0.16,-0.1,-0.27,-0.44,-1.13,-0.69,-0.53,-0.5,-0.42,-0.68,0.18,0.07,-0.63,-0.2,-0.04,0.06,-0.2,-0.66,-0.27,-0.08,0.29,-0.42,-0.01,0.18,0.23
2018-01-26,0.53,0.32,1.06,0.3,0.55,0.81,1.06,-0.23,0.52,-0.24,0.33,0.75,0.02,-0.77,-0.23,-0.54,0.13,0.29,-0.48,-0.21,0.04,0.29,-0.84,-0.34,-0.56,0.16,-0.56,-0.28,-0.08,0.16,-0.75,-0.04,-0.35,0.45,-0.29,0.21,0.45,-0.5,0.2,-0.51,-0.54,-0.74,0.0,-0.75,-0.19
2018-01-29,0.12,0.27,-0.1,0.15,0.2,0.18,-0.09,0.22,-0.15,0.01,0.06,-0.37,-0.08,-0.27,-0.16,-0.02,0.09,-0.35,-0.13,-0.06,-0.1,-0.36,-0.39,-0.2,-0.07,-0.45,-0.22,-0.16,-0.22,-0.48,0.23,-0.09,0.11,-0.26,-0.06,-0.03,-0.28,0.1,-0.27,-0.03,0.2,0.37,-0.01,0.23,0.27
2018-01-30,-0.14,-0.49,-0.1,-0.28,-0.22,-0.06,-0.12,-0.36,0.05,-0.15,0.09,0.41,0.23,0.28,0.15,-0.23,-0.38,0.22,-0.0,0.06,0.26,0.17,0.68,0.54,0.16,0.57,0.38,0.46,0.62,0.55,-0.2,0.09,-0.31,0.11,-0.07,0.15,0.06,-0.45,-0.04,-0.24,-0.01,-0.38,0.04,-0.16,0.08
2018-01-31,-0.49,-0.62,-0.27,0.04,-0.84,-0.33,-0.3,-0.18,0.17,0.52,0.17,0.44,0.71,0.42,-0.07,-0.27,-0.23,0.12,0.45,-0.41,0.09,0.09,0.65,0.15,-0.02,0.37,0.68,-0.16,0.38,0.34,0.33,0.36,0.2,0.55,0.86,0.49,0.52,-0.32,0.03,0.32,-0.14,-0.41,0.03,0.36,0.0
2018-02-01,-0.61,-0.77,-0.28,-0.03,-0.67,-0.53,-0.23,-0.08,0.35,0.58,0.1,0.5,0.71,0.99,0.37,0.23,0.25,0.75,0.96,0.33,0.46,0.79,0.75,0.13,-0.01,0.51,0.7,0.08,0.26,0.55,0.23,0.05,-0.08,0.46,0.63,0.21,0.5,-0.25,0.25,0.48,-0.39,-0.54,-0.04,0.18,-0.29
2018-02-02,-0.19,-0.96,-1.48,-0.79,-0.16,-0.62,-1.49,-0.73,-1.25,-0.61,-0.39,-0.51,0.19,1.04,0.84,0.07,0.58,-0.45,0.25,0.88,0.42,-0.45,0.46,0.26,-0.52,-1.03,-0.34,0.29,-0.14,-1.04,0.69,-0.03,-0.87,-1.38,-0.64,-0.51,-1.4,-0.36,-0.86,-0.19,1.27,0.52,0.01,0.7,0.89
2018-02-05,0.39,-0.57,-0.48,-1.42,-0.1,-0.33,-0.47,-0.93,-0.83,-1.8,-0.69,0.08,-0.87,-0.13,0.25,-0.72,0.45,-0.54,-1.53,-0.23,-0.39,-0.55,-0.5,-0.18,-1.07,-1.03,-1.97,-0.66,-0.86,-1.0,-0.99,0.49,-0.39,-0.29,-1.31,-0.14,-0.3,-0.23,-0.15,-1.13,0.81,-0.1,-0.0,-0.98,0.15
2018-02-06,0.01,0.83,0.33,0.76,-0.73,0.15,0.37,0.83,0.33,0.76,0.15,-0.49,-0.06,-0.27,-0.27,0.56,0.14,0.05,0.48,-1.0,-0.14,0.08,-0.41,-0.4,0.41,-0.08,0.34,-1.14,-0.27,-0.05,0.43,0.75,1.54,1.06,1.51,0.87,1.09,0.68,0.19,0.62,-0.34,0.46,-0.03,0.41,-0.22
2018-02-07,-0.46,-0.28,-1.07,-1.24,0.37,-0.58,-1.06,0.16,-0.63,-0.79,-0.14,-0.79,-0.95,0.15,-0.3,-0.16,-0.42,-0.92,-1.09,0.53,-0.42,-0.92,0.58,0.11,0.27,-0.47,-0.67,0.96,0.03,-0.46,-0.18,-0.82,-0.6,-1.39,-1.62,-0.9,-1.38,0.28,-0.51,-0.67,0.63,0.78,-0.01,-0.19,0.51
2018-02-08,-0.25,-1.33,-0.49,-1.09,-0.28,-0.09,-0.53,-1.11,-0.28,-0.85,0.13,0.85,0.25,0.41,0.17,-0.9,-0.39,-0.07,-0.69,0.12,0.34,-0.11,0.8,0.56,-0.55,0.31,-0.3,0.5,0.72,0.27,-0.6,0.06,-1.02,-0.18,-0.79,0.23,-0.22,-1.24,-0.41,-1.01,0.32,-0.84,0.04,-0.56,0.45
