date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,0.05
2016-09-09T21:00:00,0.0,0.0,0.0,0.64
2016-09-16T21:00:00,1.46,0.0,0.0,2.11
2016-09-23T21:00:00,1.74,-0.3,0.0,2.4
2016-09-30T21:00:00,1.74,-0.67,0.0,2.76
2016-10-07T21:00:00,1.74,-0.67,0.0,2.07
2016-10-14T21:00:00,3.09,-0.67,0.0,3.43
2016-10-21T21:00:00,3.44,-1.04,0.0,3.79
2016-10-28T21:00:00,3.44,-0.09,0.0,4.75
2016-11-04T21:00:00,3.44,0.21,0.0,4.44
2016-11-11T22:00:00,3.44,2.96,0.0,1.68
2016-11-18T22:00:00,1.68,4.7,0.0,3.43
2016-11-25T22:00:00,1.68,6.08,0.0,2.04
2016-12-02T22:00:00,1.68,6.97,0.0,1.14
2016-12-09T22:00:00,2.14,6.97,0.0,0.67
2016-12-16T22:00:00,2.13,6.97,0.0,0.67
2016-12-23T22:00:00,2.13,6.97,0.0,0.3
2016-12-30T22:00:00,1.92,6.97,0.0,0.1
2017-01-06T22:00:00,3.68,8.73,3.52,1.87
2017-01-13T22:00:00,6.08,8.73,3.52,4.28
2017-01-20T22:00:00,4.7,10.09,3.52,2.91
2017-01-27T22:00:00,5.45,10.09,3.52,3.67
2017-02-03T22:00:00,5.45,10.52,3.52,4.11
2017-02-10T22:00:00,5.45,10.52,3.52,3.95
2017-02-17T22:00:00,5.34,10.52,3.52,3.85
2017-02-24T22:00:00,5.34,11.49,3.52,4.83
2017-03-03T22:00:00,5.34,11.49,3.52,4.9
2017-03-10T22:00:00,5.34,11.49,3.52,6.17
2017-03-17T21:00:00,5.34,12.15,3.52,5.5
2017-03-24T21:00:00,5.34,12.15,3.52,5.09
2017-03-31T21:00:00,6.38,12.15,3.52,4.04
2017-04-07T21:00:00,6.38,12.69,3.52,4.59
2017-04-14T21:00:00,6.38,12.69,3.52,5.5
2017-04-21T21:00:00,6.38,12.61,3.52,5.57
2017-04-28T21:00:00,6.38,12.61,3.52,4.78
2017-05-05T21:00:00,6.38,12.61,3.52,4.84
2017-05-12T21:00:00,6.38,12.61,3.52,4.31
2017-05-19T21:00:00,6.98,12.61,3.52,3.7
2017-05-26T21:00:00,6.71,12.86,3.52,3.96
2017-06-02T21:00:00,6.71,12.86,3.52,5.17
2017-06-09T21:00:00,6.71,13.57,3.52,4.45
2017-06-16T21:00:00,6.71,13.57,3.52,4.16
2017-06-23T21:00:00,6.71,13.57,3.52,3.52
2017-06-30T21:00:00,6.71,15.32,3.52,1.76
2017-07-07T21:00:00,6.71,16.4,3.52,2.85
2017-07-14T21:00:00,6.71,16.4,3.52,3.1
2017-07-21T21:00:00,6.71,16.24,3.52,3.25
2017-07-28T21:00:00,7.69,16.24,3.52,4.24
2017-08-04T21:00:00,7.53,16.38,3.52,4.09
2017-08-11T21:00:00,7.26,16.38,3.52,3.83
2017-08-18T21:00:00,7.26,17.05,3.52,3.15
2017-08-25T21:00:00,7.26,17.05,3.52,3.04
2017-09-01T21:00:00,7.26,17.05,3.52,2.23
2017-09-08T21:00:00,7.26,17.05,3.52,1.88
2017-09-15T21:00:00,6.53,17.05,3.52,2.6
2017-09-22T21:00:00,6.53,17.46,3.52,2.18
2017-09-29T21:00:00,6.53,17.46,3.52,1.74
2017-10-06T21:00:00,6.53,18.44,3.52,2.73
2017-10-13T21:00:00,6.82,18.44,3.52,3.03
2017-10-20T21:00:00,6.82,18.44,3.52,2.68
2017-10-27T21:00:00,6.82,18.44,3.52,1.9
2017-11-03T21:00:00,6.82,17.94,3.52,1.41
2017-11-10T22:00:00,6.82,17.94,3.52,0.88
2017-11-17T22:00:00,6.82,17.94,3.52,1.13
2017-11-24T22:00:00,6.82,18.14,3.52,0.92
2017-12-01T22:00:00,6.82,18.14,3.52,0.96
2017-12-08T22:00:00,8.7,18.14,3.52,2.85
2017-12-15T22:00:00,8.42,18.4,3.52,2.58
2017-12-22T22:00:00,8.42,18.4,3.52,2.51
2017-12-29T22:00:00,8.42,18.09,3.52,2.21
2018-01-05T22:00:00,8.42,19.13,3.52,3.26
2018-01-12T22:00:00,9.79,19.13,3.52,4.64
2018-01-19T22:00:00,9.84,19.06,3.52,4.7
2018-01-26T22:00:00,9.84,19.06,3.52,3.38
2018-02-02T22:00:00,9.84,18.93,3.52,3.26
2018-02-09T22:00:00,9.84,19.85,3.52,4.19
2018-02-16T22:00:00,9.84,20.07,3.52,3.96
2018-02-23T22:00:00,9.84,20.07,3.52,4.83
2018-03-02T22:00:00,9.84,20.07,3.52,5.37
2018-03-09T22:00:00,9.84,20.07,3.52,5.8
2018-03-16T21:00:00,9.84,20.07,3.52,4.05
2018-03-23T21:00:00,10.04,19.85,3.52,3.84
2018-03-30T21:00:00,11.15,19.85,3.52,2.72
2018-04-06T21:00:00,11.29,19.69,3.52,2.57
2018-04-13T21:00:00,11.29,19.69,3.52,2.64
2018-04-20T21:00:00,11.88,20.28,4.7,2.04
2018-04-27T21:00:00,12.33,20.28,4.7,1.58
2018-05-04T21:00:00,12.33,19.85,4.7,1.16
2018-05-11T21:00:00,12.33,20.2,4.7,1.52
2018-05-18T21:00:00,13.44,21.31,6.92,2.64
2018-05-25T21:00:00,13.46,21.27,6.92,2.67
2018-06-01T21:00:00,13.65,21.06,6.92,2.87
2018-06-08T21:00:00,13.65,21.06,6.92,2.2
2018-06-15T21:00:00,13.65,21.63,6.92,2.78
2018-06-22T21:00:00,15.15,21.63,6.92,1.27
2018-06-29T21:00:00,15.43,21.33,6.92,0.98
2018-07-06T21:00:00,15.01,21.73,6.92,1.39
2018-07-13T21:00:00,15.01,21.73,6.92,1.16
2018-07-20T21:00:00,15.01,21.73,6.92,0.32
2018-07-27T21:00:00,15.46,21.73,6.92,-0.14
2018-08-03T21:00:00,15.64,21.73,6.92,-0.33
2018-08-10T21:00:00,15.96,21.73,6.92,-0.66
2018-08-17T21:00:00,16.09,21.73,6.92,-0.8
2018-08-24T21:00:00,16.09,21.73,6.92,-2.46
2018-08-31T21:00:00,16.09,21.73,6.92,-3.06
2018-09-07T21:00:00,16.37,21.73,6.92,-3.35
2018-09-14T21:00:00,15.43,22.65,6.92,-2.42
2018-09-21T21:00:00,15.43,23.36,6.92,-3.14
2018-09-28T21:00:00,17.2,23.36,6.92,-4.92
2018-10-05T21:00:00,15.78,24.76,6.92,-3.51
2018-10-12T21:00:00,15.78,24.76,6.92,-2.79
2018-10-19T21:00:00,15.51,25.01,6.92,-3.05
2018-10-26T21:00:00,16.99,26.49,9.88,-1.56
2018-11-02T21:00:00,18.35,26.49,9.88,-0.19
2018-11-09T22:00:00,19.46,26.49,9.88,0.93
2018-11-16T22:00:00,19.02,26.91,9.88,0.5
2018-11-23T22:00:00,20.58,28.47,13.0,2.07
2018-11-30T22:00:00,20.58,30.15,13.0,0.38
2018-12-07T22:00:00,20.58,30.15,13.0,0.6
2018-12-14T22:00:00,20.58,30.15,13.0,0.22
2018-12-21T22:00:00,20.58,30.15,13.0,0.6
2018-12-28T22:00:00,20.58,30.15,13.0,-0.34
2019-01-04T22:00:00,20.58,30.67,13.0,0.19
2019-01-11T22:00:00,20.58,30.67,13.0,-0.48
2019-01-18T22:00:00,20.58,30.67,13.0,-0.64
2019-01-25T22:00:00,20.58,30.67,13.0,-0.53
2019-02-01T22:00:00,21.42,30.67,13.0,-1.38
2019-02-08T22:00:00,20.87,30.67,13.0,-0.84
2019-02-15T22:00:00,21.84,31.64,14.94,-1.82
2019-02-22T22:00:00,21.84,31.64,14.94,-1.42
2019-03-01T22:00:00,21.84,31.64,14.94,-1.31
2019-03-08T22:00:00,21.84,31.64,14.94,-1.15
2019-03-15T21:00:00,21.84,31.64,14.94,-0.52
2019-03-22T21:00:00,21.48,31.64,14.94,-0.87
2019-03-29T21:00:00,21.48,31.64,14.94,-0.82
2019-04-05T21:00:00,21.48,32.13,14.94,-0.32
2019-04-12T21:00:00,21.48,32.13,14.94,-0.28
2019-04-19T21:00:00,22.5,32.13,14.94,-1.31
2019-04-26T21:00:00,22.99,32.13,14.94,-1.81
2019-05-03T21:00:00,22.89,32.13,14.94,-1.72
2019-05-10T21:00:00,24.43,33.67,18.02,-3.27
2019-05-17T21:00:00,24.27,33.81,18.02,-3.12
2019-05-24T21:00:00,23.62,34.44,18.02,-2.48
2019-05-31T21:00:00,24.48,35.3,19.74,-3.35
2019-06-07T21:00:00,25.25,35.3,19.74,-4.13
2019-06-14T21:00:00,25.91,35.3,19.74,-4.8
2019-06-21T21:00:00,25.54,35.3,19.74,-4.44
2019-06-28T21:00:00,25.54,36.0,19.74,-5.15
2019-07-05T21:00:00,25.54,36.24,19.74,-4.9
2019-07-12T21:00:00,25.54,36.24,19.74,-4.35
2019-07-19T21:00:00,26.59,37.29,21.84,-5.41
2019-07-26T21:00:00,26.59,38.52,21.84,-6.65
2019-08-02T21:00:00,26.59,38.43,21.84,-6.73
2019-08-09T21:00:00,26.59,38.81,21.84,-6.34
2019-08-16T21:00:00,26.59,39.09,21.84,-6.63
2019-08-23T21:00:00,26.59,39.09,21.84,-6.54
2019-08-30T21:00:00,26.59,39.69,21.84,-5.93
2019-09-06T21:00:00,26.59,39.69,21.84,-4.52
2019-09-13T21:00:00,25.45,40.81,21.84,-5.65
2019-09-20T21:00:00,25.26,40.81,21.84,-5.83
2019-09-27T21:00:00,25.26,41.48,21.84,-5.15
2019-10-04T21:00:00,25.63,41.48,21.84,-5.53
2019-10-11T21:00:00,25.63,41.48,21.84,-5.11
2019-10-18T21:00:00,25.63,42.48,21.84,-6.12
2019-10-25T21:00:00,27.6,44.45,25.78,-4.14
2019-11-01T21:00:00,27.5,44.53,25.78,-4.23
2019-11-08T22:00:00,27.5,44.53,25.78,-4.78
2019-11-15T22:00:00,27.5,44.53,25.78,-4.64
2019-11-22T22:00:00,27.5,44.53,25.78,-5.21
2019-11-29T22:00:00,27.5,45.44,25.78,-4.29
2019-12-06T22:00:00,27.38,45.54,25.78,-4.4
2019-12-13T22:00:00,27.38,45.54,25.78,-4.35
2019-12-20T22:00:00,27.38,46.29,25.78,-3.59
2019-12-27T22:00:00,27.38,47.2,25.78,-4.51
2020-01-03T22:00:00,27.47,47.09,25.78,-4.61
2020-01-10T22:00:00,27.78,46.76,25.78,-4.93
2020-01-17T22:00:00,27.78,46.76,25.78,-5.01
2020-01-24T22:00:00,27.78,47.97,25.78,-6.23
2020-01-31T22:00:00,27.78,47.97,25.78,-5.9
2020-02-07T22:00:00,27.48,47.97,25.78,-5.61
2020-02-14T22:00:00,29.12,47.97,25.78,-7.26
2020-02-21T22:00:00,29.12,47.97,25.78,-7.38
2020-02-28T22:00:00,29.12,50.47,25.78,-4.87
2020-03-06T22:00:00,29.12,54.86,25.78,-9.27
2020-03-13T21:00:00,29.12,52.5,25.78,-11.62
2020-03-20T21:00:00,29.12,55.84,25.78,-8.27
2020-03-27T21:00:00,29.12,57.17,25.78,-9.61
2020-04-03T21:00:00,32.68,57.17,25.78,-6.04
2020-04-10T21:00:00,33.46,57.17,25.78,-5.25
2020-04-17T21:00:00,34.44,57.17,25.78,-4.26
2020-04-24T21:00:00,34.93,56.66,25.78,-3.76
2020-05-01T21:00:00,35.64,56.66,25.78,-3.04
2020-05-08T21:00:00,35.64,56.66,25.78,-3.64
2020-05-15T21:00:00,35.64,56.66,25.78,-2.49
2020-05-22T21:00:00,35.64,56.66,25.78,-2.11
2020-05-29T21:00:00,35.64,56.66,25.78,-0.18
2020-06-05T21:00:00,35.64,56.66,25.78,-0.31
2020-06-12T21:00:00,35.5,56.66,25.78,-0.44
2020-06-19T21:00:00,36.81,57.97,28.4,0.88
2020-06-26T21:00:00,37.02,57.97,28.4,1.1
2020-07-03T21:00:00,37.48,57.97,28.4,1.57
2020-07-10T21:00:00,37.99,57.97,28.4,2.09
2020-07-17T21:00:00,38.46,58.44,29.34,2.57
2020-07-24T21:00:00,39.07,58.44,29.34,3.19
2020-07-31T21:00:00,39.07,58.44,29.34,3.18
2020-08-07T21:00:00,39.07,59.25,29.34,2.36
2020-08-14T21:00:00,39.07,58.57,29.34,1.69
2020-08-21T21:00:00,39.07,60.69,29.34,3.82
2020-08-28T21:00:00,39.07,62.06,29.34,2.44
2020-09-04T21:00:00,39.96,62.95,31.12,3.34
2020-09-11T21:00:00,39.96,62.95,31.12,3.57
2020-09-18T21:00:00,39.96,65.2,31.12,1.31
2020-09-25T21:00:00,39.96,65.2,31.12,2.51
2020-10-02T21:00:00,40.32,65.56,31.84,2.14
2020-10-09T21:00:00,41.82,65.56,31.84,0.63
2020-10-16T21:00:00,41.19,66.17,31.84,1.25
2020-10-23T21:00:00,41.19,66.17,31.84,1.15
2020-10-30T21:00:00,42.48,66.17,31.84,2.45
2020-11-06T22:00:00,43.09,66.17,31.84,3.07
2020-11-13T22:00:00,43.25,65.99,31.84,3.24
2020-11-20T22:00:00,43.25,65.99,31.84,3.64
2020-11-27T22:00:00,43.25,67.3,31.84,2.32
2020-12-04T22:00:00,43.25,68.67,31.84,3.7
2020-12-11T22:00:00,43.25,68.67,31.84,4.9
2020-12-18T22:00:00,43.68,68.22,31.84,5.34
2020-12-25T22:00:00,43.53,68.22,31.84,5.2
2021-01-01T22:00:00,43.53,68.22,31.84,5.64
2021-01-08T22:00:00,43.53,68.22,31.84,5.13
2021-01-15T22:00:00,43.53,68.22,31.84,5.17
2021-01-22T22:00:00,43.99,68.68,32.76,4.7
2021-01-29T22:00:00,44.51,68.68,32.76,5.23
2021-02-05T22:00:00,44.51,69.41,32.76,5.97
2021-02-12T22:00:00,44.51,69.41,32.76,6.79
2021-02-19T22:00:00,44.51,69.41,32.76,5.65
2021-02-26T22:00:00,44.51,69.41,32.76,4.74
