date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.36
2018-08-21T21:00:00,-0.25,0.05,0.0,0.21
2018-08-22T21:00:00,1.05,1.35,2.7,-1.19
2018-08-23T21:00:00,-0.12,2.32,2.7,-0.12
2018-08-26T21:00:00,-0.12,2.32,2.7,0.19
2018-08-27T21:00:00,-0.12,2.36,2.7,0.05
2018-08-28T21:00:00,-0.12,2.65,2.7,-0.34
2018-08-29T21:00:00,-0.12,3.17,2.7,-0.96
2018-08-30T21:00:00,0.8,3.17,2.7,-1.98
2018-09-02T21:00:00,0.38,3.39,2.7,-1.66
2018-09-03T21:00:00,0.78,3.79,3.6,-2.16
2018-09-04T21:00:00,0.43,3.79,3.6,-1.91
2018-09-05T21:00:00,0.28,3.64,3.4,-1.86
2018-09-06T21:00:00,1.51,4.87,5.96,-3.19
2018-09-09T21:00:00,1.27,4.91,5.96,-3.05
2018-09-10T21:00:00,1.27,4.88,5.96,-2.98
2018-09-11T21:00:00,1.27,5.44,5.96,-2.32
2018-09-12T21:00:00,1.49,5.02,5.96,-2.0
2018-09-13T21:00:00,0.83,5.48,5.96,-2.56
2018-09-16T21:00:00,1.01,5.66,6.42,-2.28
2018-09-17T21:00:00,1.45,5.66,6.42,-1.74
2018-09-18T21:00:00,2.1,6.31,7.82,-0.99
2018-09-19T21:00:00,2.39,6.31,7.82,-0.6
2018-09-20T21:00:00,1.83,6.31,7.82,-1.06
2018-09-23T21:00:00,1.83,6.31,7.82,-1.21
2018-09-24T21:00:00,1.83,6.16,7.82,-1.26
2018-09-25T21:00:00,1.6,6.16,7.82,-1.13
2018-09-26T21:00:00,1.6,6.74,7.82,-1.81
2018-09-27T21:00:00,1.6,6.97,7.82,-1.48
2018-09-30T21:00:00,1.54,6.91,7.8,-1.52
2018-10-01T21:00:00,1.85,7.22,8.52,-1.93
2018-10-02T21:00:00,2.86,8.23,10.64,-3.04
2018-10-03T21:00:00,3.14,7.75,10.64,-3.42
2018-10-04T21:00:00,3.36,7.33,10.64,-3.74
2018-10-07T21:00:00,3.06,7.33,10.64,-3.54
2018-10-08T21:00:00,3.06,7.33,10.64,-3.13
2018-10-09T21:00:00,2.36,7.83,10.64,-3.73
2018-10-10T21:00:00,3.26,8.73,12.54,-2.73
2018-10-11T21:00:00,3.06,8.73,12.54,-2.83
2018-10-14T21:00:00,3.25,8.73,12.54,-2.54
2018-10-15T21:00:00,3.31,8.73,12.54,-2.38
2018-10-16T21:00:00,3.31,9.04,12.54,-2.79
2018-10-17T21:00:00,3.31,8.79,12.54,-2.94
2018-10-18T21:00:00,3.31,9.04,12.54,-2.59
2018-10-21T21:00:00,3.71,9.44,13.44,-3.09
2018-10-22T21:00:00,3.55,9.4,13.44,-3.03
2018-10-23T21:00:00,3.74,9.4,13.44,-3.32
2018-10-24T21:00:00,3.74,9.59,13.44,-3.03
2018-10-25T21:00:00,3.74,9.59,13.44,-2.9
2018-10-28T21:00:00,3.74,10.02,13.44,-3.43
2018-10-29T21:00:00,3.74,10.62,13.44,-2.73
2018-10-30T21:00:00,3.74,10.62,13.44,-3.22
2018-10-31T21:00:00,5.42,12.3,16.9,-1.44
2018-11-01T21:00:00,4.92,12.6,16.9,-1.84
2018-11-04T22:00:00,5.16,12.84,17.48,-1.5
2018-11-05T22:00:00,5.56,13.24,18.38,-1.0
2018-11-06T22:00:00,5.88,13.24,18.38,-0.58
2018-11-07T22:00:00,5.88,13.47,18.38,-0.91
2018-11-08T22:00:00,5.88,13.47,18.38,-1.27
2018-11-11T22:00:00,6.39,13.98,19.5,-1.88
2018-11-12T22:00:00,5.7,14.47,19.5,-1.29
2018-11-13T22:00:00,5.81,14.47,19.5,-1.08
2018-11-14T22:00:00,6.29,14.47,19.5,-0.5
2018-11-15T22:00:00,6.98,14.47,19.5,0.29
2018-11-18T22:00:00,6.71,14.54,19.5,0.12
2018-11-19T22:00:00,6.71,15.58,19.5,-1.02
2018-11-20T22:00:00,5.88,16.21,19.5,-0.29
2018-11-21T22:00:00,5.93,16.26,19.7,-0.44
2018-11-22T22:00:00,6.16,16.49,20.26,-0.77
2018-11-25T22:00:00,6.16,16.49,20.26,-0.94
2018-11-26T22:00:00,6.16,16.51,20.26,-0.82
2018-11-27T22:00:00,7.19,17.54,22.42,0.31
2018-11-28T22:00:00,7.19,17.34,22.42,0.41
2018-11-29T22:00:00,7.01,17.32,22.42,0.33
2018-12-02T22:00:00,7.01,17.61,22.42,-0.06
2018-12-03T22:00:00,7.41,18.01,23.32,-0.56
2018-12-04T22:00:00,8.12,18.01,23.32,-1.37
2018-12-05T22:00:00,8.54,17.39,23.32,-1.89
2018-12-06T22:00:00,8.8,17.39,23.32,-2.25
2018-12-09T22:00:00,8.65,17.39,23.32,-2.2
2018-12-10T22:00:00,8.65,17.39,23.32,-2.02
2018-12-11T22:00:00,8.65,17.39,23.32,-1.87
2018-12-12T22:00:00,8.65,17.22,23.32,-1.8
2018-12-13T22:00:00,8.65,17.81,23.32,-2.49
2018-12-16T22:00:00,8.51,17.75,23.32,-2.45
2018-12-17T22:00:00,8.51,17.78,23.32,-2.32
2018-12-18T22:00:00,8.51,18.54,23.32,-3.18
2018-12-19T22:00:00,8.51,18.47,23.32,-3.15
2018-12-20T22:00:00,9.41,19.37,25.22,-4.15
2018-12-23T22:00:00,9.2,19.38,25.22,-4.04
2018-12-25T22:00:00,8.85,19.38,25.22,-3.79
2018-12-26T22:00:00,9.23,19.38,25.22,-4.27
2018-12-27T22:00:00,9.23,19.41,25.22,-4.14
2018-12-30T22:00:00,9.23,19.16,25.22,-3.99
2019-01-01T22:00:00,9.23,19.96,25.22,-4.89
2019-01-02T22:00:00,9.23,20.11,25.22,-4.64
2019-01-03T22:00:00,10.78,21.66,28.42,-2.99
2019-01-06T22:00:00,11.12,21.12,28.42,-2.55
2019-01-07T22:00:00,10.96,21.08,28.42,-2.61
2019-01-08T22:00:00,11.28,21.08,28.42,-2.19
2019-01-09T22:00:00,11.41,21.08,28.42,-1.96
2019-01-10T22:00:00,11.69,21.08,28.42,-1.58
2019-01-13T22:00:00,11.39,21.08,28.42,-1.78
2019-01-14T22:00:00,11.39,21.08,28.42,-1.71
2019-01-15T22:00:00,11.39,21.08,28.42,-2.19
2019-01-16T22:00:00,11.39,21.31,28.42,-1.86
2019-01-17T22:00:00,11.68,21.6,29.1,-2.25
2019-01-20T22:00:00,11.65,21.6,29.1,-2.32
2019-01-21T22:00:00,12.06,21.6,29.1,-2.83
2019-01-22T22:00:00,12.06,21.74,29.1,-2.59
2019-01-23T22:00:00,12.06,22.33,29.1,-3.28
2019-01-24T22:00:00,12.06,23.47,29.1,-2.04
2019-01-27T22:00:00,11.8,23.53,29.1,-2.2
2019-01-28T22:00:00,11.54,23.53,29.1,-2.36
2019-01-29T22:00:00,12.66,24.65,31.44,-1.14
2019-01-30T22:00:00,12.98,24.13,31.44,-0.72
2019-01-31T22:00:00,12.53,24.38,31.44,-1.07
2019-02-03T22:00:00,12.53,23.98,31.44,-1.37
2019-02-04T22:00:00,12.33,23.98,31.44,-1.27
2019-02-05T22:00:00,14.0,25.65,34.88,-3.04
2019-02-06T22:00:00,13.94,25.51,34.88,-3.08
2019-02-07T22:00:00,14.03,25.22,34.88,-3.27
2019-02-10T22:00:00,14.3,25.22,34.88,-3.64
2019-02-11T22:00:00,13.71,25.61,34.88,-3.15
2019-02-12T22:00:00,13.71,25.59,34.88,-3.23
2019-02-13T22:00:00,13.8,25.59,34.88,-3.04
2019-02-14T22:00:00,14.21,26.0,35.8,-2.53
2019-02-17T22:00:00,14.03,25.98,35.8,-2.61
2019-02-18T22:00:00,14.44,26.39,36.72,-2.1
2019-02-19T22:00:00,14.44,26.3,36.72,-2.11
2019-02-20T22:00:00,14.44,27.24,36.72,-3.15
2019-02-21T22:00:00,14.44,27.7,36.72,-2.59
2019-02-24T22:00:00,14.44,28.03,36.72,-2.16
2019-02-25T22:00:00,14.62,28.03,36.72,-1.88
2019-02-26T22:00:00,14.62,28.57,36.72,-2.52
2019-02-27T22:00:00,15.11,28.57,36.72,-3.11
2019-02-28T22:00:00,15.23,28.57,36.72,-3.33
2019-03-03T22:00:00,15.39,28.57,36.72,-3.59
2019-03-04T22:00:00,15.36,28.54,36.76,-3.66
2019-03-05T22:00:00,16.0,29.18,38.14,-4.4
2019-03-06T22:00:00,16.13,29.18,38.14,-4.63
2019-03-07T22:00:00,15.61,29.5,38.14,-4.21
2019-03-10T21:00:00,16.06,29.95,39.14,-3.66
2019-03-11T21:00:00,16.12,29.69,39.14,-3.5
2019-03-12T21:00:00,16.2,29.69,39.14,-3.32
2019-03-13T21:00:00,16.2,29.69,39.14,-3.74
2019-03-14T21:00:00,16.2,29.88,39.14,-3.45
2019-03-17T21:00:00,16.2,30.02,39.14,-3.21
2019-03-18T21:00:00,15.89,30.02,39.14,-3.42
2019-03-19T21:00:00,16.19,30.32,39.84,-3.02
2019-03-20T21:00:00,16.01,30.3,39.84,-3.1
2019-03-21T21:00:00,15.48,30.3,39.84,-3.53
2019-03-24T21:00:00,15.48,30.65,39.84,-3.08
