date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,1.71,1.71,3.42,-1.72
2016-09-09T21:00:00,2.61,0.79,3.42,-2.63
2016-09-16T21:00:00,2.61,1.54,3.42,-1.87
2016-09-23T21:00:00,2.61,1.54,3.42,-1.03
2016-09-30T21:00:00,3.26,1.54,3.42,-0.37
2016-10-07T21:00:00,4.19,1.54,3.42,0.57
2016-10-14T21:00:00,3.48,2.23,3.42,-0.13
2016-10-21T21:00:00,4.16,2.23,3.42,0.56
2016-10-28T21:00:00,4.16,2.23,3.42,0.42
2016-11-04T21:00:00,4.16,2.23,3.42,1.08
2016-11-11T22:00:00,4.16,2.23,3.42,1.93
2016-11-18T22:00:00,4.16,2.23,3.42,5.56
2016-11-25T22:00:00,4.94,1.43,3.42,6.35
2016-12-02T22:00:00,6.65,1.43,3.42,8.07
2016-12-09T22:00:00,6.65,1.22,3.42,8.27
2016-12-16T22:00:00,6.65,3.24,3.42,6.24
2016-12-23T22:00:00,6.65,3.36,3.42,6.37
2016-12-30T22:00:00,6.65,4.47,3.42,7.49
2017-01-06T22:00:00,6.65,4.47,3.42,8.07
2017-01-13T22:00:00,6.65,4.47,3.42,9.31
2017-01-20T22:00:00,6.97,4.47,3.42,9.64
2017-01-27T22:00:00,6.97,4.47,3.42,9.35
2017-02-03T22:00:00,6.97,5.14,3.42,10.03
2017-02-10T22:00:00,6.97,6.0,3.42,9.16
2017-02-17T22:00:00,6.97,6.0,3.42,8.47
2017-02-24T22:00:00,6.43,6.52,3.42,9.0
2017-03-03T22:00:00,6.43,6.52,3.42,9.14
2017-03-10T22:00:00,6.19,6.52,3.42,9.37
2017-03-17T21:00:00,8.28,8.61,7.6,7.27
2017-03-24T21:00:00,7.92,8.95,7.6,7.62
2017-03-31T21:00:00,9.96,10.99,11.68,5.57
2017-04-07T21:00:00,11.05,10.99,11.68,4.47
2017-04-14T21:00:00,11.14,10.99,11.68,4.37
2017-04-21T21:00:00,11.6,10.99,11.68,3.9
2017-04-28T21:00:00,11.6,11.54,11.68,4.46
2017-05-05T21:00:00,11.6,11.54,11.68,4.47
2017-05-12T21:00:00,11.6,12.41,11.68,3.59
2017-05-19T21:00:00,11.6,12.41,11.68,3.77
2017-05-26T21:00:00,12.33,12.41,11.68,3.03
2017-06-02T21:00:00,12.33,13.75,11.68,4.38
2017-06-09T21:00:00,13.98,13.75,11.68,6.04
2017-06-16T21:00:00,13.63,14.08,11.68,5.7
2017-06-23T21:00:00,16.36,16.81,17.14,8.44
2017-06-30T21:00:00,16.89,16.26,17.14,8.98
2017-07-07T21:00:00,18.65,16.26,17.14,10.75
2017-07-14T21:00:00,18.57,16.32,17.14,10.68
2017-07-21T21:00:00,18.57,16.32,17.14,11.31
2017-07-28T21:00:00,18.57,16.95,17.14,10.67
2017-08-04T21:00:00,18.57,18.66,17.14,8.95
2017-08-11T21:00:00,18.57,19.13,17.14,9.43
2017-08-18T21:00:00,18.57,19.13,17.14,9.43
2017-08-25T21:00:00,20.09,20.65,20.18,10.96
2017-09-01T21:00:00,19.87,20.85,20.18,10.75
2017-09-08T21:00:00,21.6,20.85,20.18,12.49
2017-09-15T21:00:00,21.6,20.5,20.18,12.83
2017-09-22T21:00:00,21.6,21.69,20.18,11.63
2017-09-29T21:00:00,21.6,21.69,20.18,10.84
2017-10-06T21:00:00,20.81,22.46,20.18,11.62
2017-10-13T21:00:00,20.81,22.46,20.18,12.28
2017-10-20T21:00:00,22.43,24.08,23.42,10.65
2017-10-27T21:00:00,22.46,24.03,23.42,10.61
2017-11-03T21:00:00,22.76,24.03,23.42,10.3
2017-11-10T22:00:00,25.1,26.37,28.1,7.95
2017-11-17T22:00:00,24.94,26.51,28.1,8.1
2017-11-24T22:00:00,24.32,26.51,28.1,8.71
2017-12-01T22:00:00,24.32,27.05,28.1,8.16
2017-12-08T22:00:00,25.28,27.05,28.1,9.13
