date,trend,signal,trend+signal,return
2018-08-07T21:00:00,0.0,0.0,0.0,-0.01
2018-08-08T21:00:00,0.0,0.0,0.0,1.17
2018-08-09T21:00:00,0.0,0.38,0.0,0.69
2018-08-12T21:00:00,0.0,0.38,0.0,0.54
2018-08-13T21:00:00,0.0,0.38,0.0,0.21
2018-08-14T21:00:00,-0.21,0.39,0.0,0.32
2018-08-15T21:00:00,-0.21,0.39,0.0,0.32
2018-08-16T21:00:00,-0.21,0.3,0.0,0.33
2018-08-19T21:00:00,-0.21,0.3,0.0,0.55
2018-08-20T21:00:00,-0.21,0.66,0.0,0.09
2018-08-21T21:00:00,-0.02,0.66,0.0,-0.2
2018-08-22T21:00:00,0.35,0.66,0.0,-0.67
2018-08-23T21:00:00,-0.09,0.66,0.0,-0.33
2018-08-26T21:00:00,-0.18,0.66,0.0,-0.34
2018-08-27T21:00:00,0.01,0.85,0.48,-0.63
2018-08-28T21:00:00,0.01,0.85,0.48,-1.08
2018-08-29T21:00:00,0.01,0.85,0.48,-0.84
2018-08-30T21:00:00,0.01,0.85,0.48,-1.31
2018-09-02T21:00:00,0.01,0.85,0.48,-0.79
2018-09-03T21:00:00,0.01,0.55,0.48,-0.59
2018-09-04T21:00:00,0.01,0.79,0.48,-0.93
2018-09-05T21:00:00,0.01,0.79,0.48,-0.88
2018-09-06T21:00:00,0.01,0.79,0.48,-1.32
2018-09-09T21:00:00,0.01,0.79,0.48,-1.06
2018-09-10T21:00:00,0.01,0.79,0.48,-1.01
2018-09-11T21:00:00,0.01,0.79,0.48,-0.8
2018-09-12T21:00:00,0.04,0.79,0.48,-0.67
2018-09-13T21:00:00,-0.22,0.79,0.48,-0.83
2018-09-16T21:00:00,-0.22,0.79,0.48,-0.91
2018-09-17T21:00:00,-0.22,1.16,0.48,-0.44
2018-09-18T21:00:00,-0.22,1.16,0.48,-0.26
2018-09-19T21:00:00,-0.22,1.74,0.48,-0.94
2018-09-20T21:00:00,-0.22,1.67,0.48,-0.91
2018-09-23T21:00:00,-0.22,1.67,0.48,-0.71
2018-09-24T21:00:00,-0.22,1.67,0.48,-0.82
2018-09-25T21:00:00,-0.28,1.67,0.48,-0.86
2018-09-26T21:00:00,-0.28,1.67,0.48,-0.93
2018-09-27T21:00:00,-0.28,1.67,0.48,-0.82
2018-09-30T21:00:00,-0.4,1.55,0.34,-0.8
2018-10-01T21:00:00,-0.4,1.55,0.34,-1.0
2018-10-02T21:00:00,-0.4,1.55,0.34,-0.98
2018-10-03T21:00:00,-0.4,1.64,0.34,-0.79
2018-10-04T21:00:00,-0.4,1.64,0.34,-0.55
2018-10-07T21:00:00,-0.4,1.64,0.34,-0.41
2018-10-08T21:00:00,-0.4,1.64,0.34,-0.38
2018-10-09T21:00:00,-0.4,1.64,0.34,-0.68
2018-10-10T21:00:00,-0.4,1.64,0.34,-0.83
2018-10-11T21:00:00,-0.4,1.64,0.34,-0.69
2018-10-14T21:00:00,-0.4,2.04,0.34,-1.19
2018-10-15T21:00:00,-0.4,2.04,0.34,-1.57
2018-10-16T21:00:00,-0.4,2.04,0.34,-1.47
2018-10-17T21:00:00,-0.4,2.04,0.34,-1.5
2018-10-18T21:00:00,-0.4,2.04,0.34,-1.91
2018-10-21T21:00:00,-0.88,2.04,0.34,-1.53
2018-10-22T21:00:00,-0.88,2.04,0.34,-1.49
2018-10-23T21:00:00,-0.88,2.04,0.34,-1.4
2018-10-24T21:00:00,-0.66,2.04,0.34,-1.08
2018-10-25T21:00:00,-0.63,2.04,0.34,-0.95
2018-10-28T21:00:00,-0.63,2.44,0.34,-1.45
2018-10-29T21:00:00,-0.63,2.44,0.34,-1.22
2018-10-30T21:00:00,-0.63,2.44,0.34,-1.13
2018-10-31T21:00:00,-0.63,2.44,0.34,-1.35
2018-11-01T21:00:00,-0.63,2.44,0.34,-1.45
2018-11-04T22:00:00,-0.63,2.44,0.34,-1.61
2018-11-05T22:00:00,-0.63,2.44,0.34,-2.21
2018-11-06T22:00:00,-0.63,2.07,0.34,-2.48
2018-11-07T22:00:00,-0.63,2.07,0.34,-2.3
2018-11-08T22:00:00,-0.63,2.15,0.34,-2.48
2018-11-11T22:00:00,-0.44,2.34,0.82,-2.77
2018-11-12T22:00:00,-0.36,2.34,0.82,-2.95
2018-11-13T22:00:00,-0.36,2.34,0.82,-3.2
2018-11-14T22:00:00,-0.36,2.34,0.82,-3.08
2018-11-15T22:00:00,-0.36,2.34,0.82,-2.99
2018-11-18T22:00:00,-0.36,2.34,0.82,-2.8
2018-11-19T22:00:00,-0.36,2.66,0.82,-3.22
2018-11-20T22:00:00,-0.36,2.66,0.82,-3.17
2018-11-21T22:00:00,-0.36,2.66,0.82,-3.01
2018-11-22T22:00:00,-0.36,2.66,0.82,-2.81
2018-11-25T22:00:00,-0.36,2.84,0.82,-3.09
2018-11-26T22:00:00,-0.36,2.84,0.82,-3.3
2018-11-27T22:00:00,-0.36,2.84,0.82,-3.37
2018-11-28T22:00:00,-0.36,2.84,0.82,-3.04
2018-11-29T22:00:00,-0.36,3.0,0.82,-3.3
2018-12-02T22:00:00,-0.36,3.0,0.82,-3.73
2018-12-03T22:00:00,-0.15,3.0,0.82,-4.04
2018-12-04T22:00:00,-0.15,3.0,0.82,-4.51
2018-12-05T22:00:00,-0.15,2.71,0.82,-4.7
2018-12-06T22:00:00,-0.15,2.71,0.82,-4.88
2018-12-09T22:00:00,-0.15,2.71,0.82,-4.83
2018-12-10T22:00:00,-0.15,2.71,0.82,-4.7
2018-12-11T22:00:00,0.19,2.71,0.82,-4.26
2018-12-12T22:00:00,0.18,2.52,0.82,-4.17
2018-12-13T22:00:00,0.33,2.52,0.82,-3.92
2018-12-16T22:00:00,0.33,2.52,0.82,-3.96
2018-12-17T22:00:00,0.33,2.52,0.82,-4.54
2018-12-18T22:00:00,0.33,2.52,0.82,-4.35
2018-12-19T22:00:00,0.33,2.52,0.82,-4.43
2018-12-20T22:00:00,0.33,2.52,0.82,-4.49
2018-12-23T22:00:00,0.33,2.52,0.82,-4.41
2018-12-25T22:00:00,0.33,2.52,0.82,-4.18
2018-12-26T22:00:00,0.33,2.52,0.82,-4.21
2018-12-27T22:00:00,0.33,2.52,0.82,-4.13
2018-12-30T22:00:00,0.33,2.52,0.82,-4.05
2019-01-01T22:00:00,0.33,2.52,0.82,-4.04
2019-01-02T22:00:00,0.33,2.52,0.82,-4.33
2019-01-03T22:00:00,1.17,2.52,0.82,-3.39
2019-01-06T22:00:00,1.39,2.52,0.82,-3.07
2019-01-07T22:00:00,1.67,2.52,0.82,-2.69
2019-01-08T22:00:00,1.67,2.97,0.82,-3.24
2019-01-09T22:00:00,1.67,3.2,0.82,-2.91
2019-01-10T22:00:00,1.67,3.45,0.82,-3.26
2019-01-13T22:00:00,1.67,3.45,0.82,-3.43
2019-01-14T22:00:00,1.67,3.5,0.82,-3.28
2019-01-15T22:00:00,1.69,3.5,0.82,-3.16
2019-01-16T22:00:00,2.14,3.5,0.82,-2.61
2019-01-17T22:00:00,2.14,3.41,0.82,-2.62
2019-01-20T22:00:00,2.14,3.41,0.82,-2.45
2019-01-21T22:00:00,2.14,4.13,0.82,-3.27
2019-01-22T22:00:00,2.32,3.75,0.82,-3.55
2019-01-23T22:00:00,2.52,3.75,0.82,-3.85
2019-01-24T22:00:00,2.29,3.75,0.82,-3.72
2019-01-27T22:00:00,2.29,3.75,0.82,-3.87
2019-01-28T22:00:00,2.29,3.75,0.82,-4.05
2019-01-29T22:00:00,2.29,3.75,0.82,-3.66
2019-01-30T22:00:00,2.29,3.75,0.82,-3.65
2019-01-31T22:00:00,2.29,3.75,0.82,-3.66
2019-02-03T22:00:00,2.29,3.75,0.82,-3.77
2019-02-04T22:00:00,2.29,3.75,0.82,-3.76
