date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.14
2021-11-29T07:00:00,0.0,0.0,0.0,0.11
2021-11-29T08:00:00,0.11,0.0,0.0,-0.01
2021-11-29T09:00:00,0.07,0.02,0.0,0.02
2021-11-29T10:00:00,0.07,0.06,0.0,0.07
2021-11-29T11:00:00,0.07,0.05,0.0,0.07
2021-11-29T12:00:00,0.07,0.05,0.0,0.04
2021-11-29T13:00:00,0.07,0.05,0.0,0.09
2021-11-29T14:00:00,0.2,0.18,0.26,-0.05
2021-11-29T15:00:00,0.38,0.18,0.26,-0.24
2021-11-29T16:00:00,0.38,0.25,0.26,-0.16
2021-11-29T17:00:00,0.38,0.25,0.26,-0.08
2021-11-29T18:00:00,0.42,0.19,0.26,-0.03
2021-11-29T19:00:00,0.37,0.22,0.26,-0.07
2021-11-29T20:00:00,0.33,0.18,0.18,-0.1
2021-11-29T21:00:00,0.42,0.27,0.36,0.0
2021-11-29T22:00:00,0.4,0.27,0.36,-0.01
2021-11-29T23:00:00,0.45,0.27,0.36,0.05
2021-11-30T00:00:00,0.45,0.31,0.36,0.0
2021-11-30T01:00:00,0.45,0.34,0.36,0.04
2021-11-30T02:00:00,0.51,0.4,0.48,0.11
2021-11-30T03:00:00,0.51,0.4,0.48,0.06
2021-11-30T04:00:00,0.51,0.42,0.48,0.03
2021-11-30T05:00:00,0.51,0.42,0.48,-0.35
2021-11-30T06:00:00,0.51,0.42,0.48,-0.35
2021-11-30T07:00:00,0.45,0.42,0.48,-0.3
2021-11-30T08:00:00,0.54,0.42,0.48,-0.4
2021-11-30T09:00:00,0.54,0.46,0.48,-0.35
2021-11-30T10:00:00,0.54,0.46,0.48,-0.3
2021-11-30T11:00:00,0.6,0.52,0.6,-0.23
2021-11-30T12:00:00,0.67,0.59,0.74,-0.15
2021-11-30T13:00:00,0.67,0.68,0.74,-0.05
2021-11-30T14:00:00,0.67,0.71,0.74,-0.09
2021-11-30T15:00:00,1.07,1.11,1.54,-0.5
2021-11-30T16:00:00,1.25,0.91,1.54,-0.69
2021-11-30T17:00:00,1.18,0.96,1.54,-0.63
2021-11-30T18:00:00,1.09,1.03,1.54,-0.55
2021-11-30T19:00:00,1.09,1.03,1.54,-0.49
2021-11-30T20:00:00,1.09,1.0,1.54,-0.47
2021-11-30T21:00:00,1.09,1.01,1.54,-0.49
2021-11-30T22:00:00,1.09,1.01,1.54,-0.59
2021-11-30T23:00:00,1.09,1.07,1.54,-0.52
2021-12-01T00:00:00,1.09,1.07,1.54,-0.49
2021-12-01T01:00:00,1.16,1.14,1.68,-0.41
2021-12-01T02:00:00,1.4,1.38,2.16,-0.16
2021-12-01T03:00:00,1.39,1.37,2.16,-0.16
2021-12-01T04:00:00,1.52,1.5,2.42,-0.02
2021-12-01T05:00:00,1.52,1.57,2.42,-0.1
2021-12-01T06:00:00,1.57,1.57,2.42,-0.16
2021-12-01T07:00:00,1.75,1.57,2.42,-0.35
2021-12-01T08:00:00,1.74,1.56,2.42,-0.35
2021-12-01T09:00:00,1.65,1.63,2.42,-0.27
