date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,0.1
2021-11-29T07:00:00,0.0,0.0,0.0,0.13
2021-11-29T08:00:00,0.0,0.0,0.0,0.06
2021-11-29T09:00:00,0.0,0.08,0.0,0.15
2021-11-29T10:00:00,0.0,0.08,0.0,0.16
2021-11-29T11:00:00,0.0,0.08,0.0,0.17
2021-11-29T12:00:00,0.0,0.08,0.0,0.1
2021-11-29T13:00:00,0.0,0.08,0.0,0.11
2021-11-29T14:00:00,0.16,0.24,0.32,-0.06
2021-11-29T15:00:00,0.39,0.24,0.32,-0.3
2021-11-29T16:00:00,0.35,0.26,0.32,-0.27
2021-11-29T17:00:00,0.2,0.39,0.32,-0.13
2021-11-29T18:00:00,0.24,0.33,0.32,-0.08
2021-11-29T19:00:00,0.19,0.36,0.32,-0.12
2021-11-29T20:00:00,0.21,0.38,0.36,-0.09
2021-11-29T21:00:00,0.37,0.54,0.68,0.08
2021-11-29T22:00:00,0.31,0.58,0.68,0.03
2021-11-29T23:00:00,0.38,0.65,0.82,0.11
2021-11-30T00:00:00,0.32,0.69,0.82,0.06
2021-11-30T01:00:00,0.41,0.78,1.0,0.16
2021-11-30T02:00:00,0.48,0.78,1.0,0.24
2021-11-30T03:00:00,0.48,0.89,1.0,0.12
2021-11-30T04:00:00,0.51,0.92,1.06,0.08
2021-11-30T05:00:00,1.04,1.45,2.12,-0.46
2021-11-30T06:00:00,0.95,1.52,2.12,-0.38
2021-11-30T07:00:00,0.95,1.65,2.12,-0.24
2021-11-30T08:00:00,0.95,1.65,2.12,-0.27
2021-11-30T09:00:00,1.06,1.65,2.12,-0.15
2021-11-30T10:00:00,1.14,1.65,2.12,-0.06
2021-11-30T11:00:00,1.13,1.65,2.12,-0.06
2021-11-30T12:00:00,1.25,1.77,2.36,0.07
2021-11-30T13:00:00,1.39,1.91,2.64,0.22
2021-11-30T14:00:00,1.39,1.78,2.64,0.34
2021-11-30T15:00:00,2.32,2.71,4.5,-0.6
2021-11-30T16:00:00,2.35,2.66,4.5,-0.64
2021-11-30T17:00:00,2.16,2.83,4.5,-0.46
2021-11-30T18:00:00,2.16,2.83,4.5,-0.32
2021-11-30T19:00:00,2.27,2.7,4.5,-0.2
2021-11-30T20:00:00,2.35,2.6,4.5,-0.11
2021-11-30T21:00:00,2.36,2.57,4.5,-0.09
2021-11-30T22:00:00,2.31,2.57,4.5,-0.13
2021-11-30T23:00:00,2.31,2.57,4.5,-0.12
2021-12-01T00:00:00,2.31,2.65,4.5,-0.03
2021-12-01T01:00:00,2.31,2.65,4.5,0.03
2021-12-01T02:00:00,2.56,2.9,5.0,0.29
2021-12-01T03:00:00,2.61,2.83,5.0,0.35
2021-12-01T04:00:00,2.74,2.83,5.0,0.49
2021-12-01T05:00:00,2.73,2.82,5.0,0.49
2021-12-01T06:00:00,2.73,2.87,5.0,0.43
2021-12-01T07:00:00,2.88,3.02,5.3,0.27
2021-12-01T08:00:00,2.99,3.02,5.3,0.15
2021-12-01T09:00:00,2.82,3.17,5.3,0.31
2021-12-01T10:00:00,2.78,3.13,5.22,0.34
2021-12-01T11:00:00,2.72,3.17,5.22,0.29
2021-12-01T12:00:00,2.72,3.29,5.22,0.16
2021-12-01T13:00:00,2.72,3.49,5.22,0.37
2021-12-01T14:00:00,2.72,3.43,5.22,0.42
2021-12-01T15:00:00,2.72,3.67,5.22,0.17
2021-12-01T16:00:00,2.9,3.67,5.22,-0.02
2021-12-01T17:00:00,3.0,3.55,5.22,-0.13
2021-12-01T18:00:00,2.99,3.54,5.22,-0.13
2021-12-01T19:00:00,3.16,3.71,5.56,-0.31
2021-12-01T20:00:00,3.37,3.71,5.56,-0.53
2021-12-01T21:00:00,3.19,3.87,5.56,-0.36
2021-12-01T22:00:00,3.23,3.91,5.64,-0.41
2021-12-01T23:00:00,3.23,3.91,5.64,-0.35
2021-12-02T00:00:00,3.09,4.03,5.64,-0.48
2021-12-02T01:00:00,3.34,4.28,6.14,-0.22
2021-12-02T02:00:00,3.35,4.25,6.14,-0.2
2021-12-02T03:00:00,3.28,4.3,6.14,-0.26
2021-12-02T04:00:00,3.5,4.52,6.58,-0.49
2021-12-02T05:00:00,3.41,4.59,6.58,-0.41
2021-12-02T06:00:00,3.3,4.68,6.58,-0.31
2021-12-02T07:00:00,3.3,4.75,6.58,-0.39
2021-12-02T08:00:00,3.39,4.84,6.76,-0.29
2021-12-02T09:00:00,3.39,4.86,6.76,-0.32
2021-12-02T10:00:00,3.39,4.86,6.76,-0.38
2021-12-02T11:00:00,3.39,4.86,6.76,-0.37
2021-12-02T12:00:00,3.39,4.88,6.76,-0.4
2021-12-02T13:00:00,3.51,5.0,7.0,-0.53
2021-12-02T14:00:00,3.34,5.15,7.0,-0.37
2021-12-02T15:00:00,3.34,5.25,7.0,-0.48
2021-12-02T16:00:00,3.34,5.28,7.0,-0.44
2021-12-02T17:00:00,3.34,5.33,7.0,-0.5
2021-12-02T18:00:00,3.35,5.33,7.0,-0.52
2021-12-02T19:00:00,3.41,5.39,7.12,-0.59
2021-12-02T20:00:00,3.36,5.42,7.12,-0.55
2021-12-02T21:00:00,3.36,5.42,7.12,-0.54
2021-12-02T22:00:00,3.36,5.42,7.12,-0.57
2021-12-02T23:00:00,3.39,5.42,7.12,-0.61
2021-12-03T00:00:00,3.48,5.51,7.3,-0.71
2021-12-03T01:00:00,3.59,5.51,7.3,-0.83
2021-12-03T02:00:00,3.64,5.44,7.3,-0.89
2021-12-03T03:00:00,3.6,5.46,7.3,-0.86
2021-12-03T04:00:00,3.6,5.52,7.3,-0.79
2021-12-03T05:00:00,3.68,5.42,7.3,-0.7
2021-12-03T06:00:00,3.68,5.65,7.3,-0.94
2021-12-03T07:00:00,3.66,5.65,7.3,-0.93
2021-12-03T08:00:00,3.74,5.73,7.46,-1.02
2021-12-03T09:00:00,3.81,5.73,7.46,-1.1
2021-12-03T10:00:00,3.81,5.73,7.46,-1.09
2021-12-03T11:00:00,3.81,5.84,7.46,-0.97
2021-12-03T12:00:00,3.81,5.82,7.46,-0.96
2021-12-03T13:00:00,3.81,5.82,7.46,-0.92
2021-12-03T14:00:00,4.26,6.27,8.36,-1.38
2021-12-03T15:00:00,4.49,6.02,8.36,-1.62
2021-12-03T16:00:00,4.55,5.94,8.36,-1.69
2021-12-03T17:00:00,4.58,5.94,8.36,-1.73
2021-12-03T18:00:00,4.58,5.94,8.36,-1.75
2021-12-03T19:00:00,4.58,6.07,8.36,-1.89
2021-12-03T20:00:00,4.47,6.16,8.36,-1.79
2021-12-03T21:00:00,4.54,6.23,8.5,-1.87
2021-12-05T22:00:00,4.54,6.2,8.5,-1.89
2021-12-05T23:00:00,4.54,6.2,8.5,-1.67
2021-12-06T00:00:00,4.54,6.2,8.5,-1.68
2021-12-06T01:00:00,4.54,6.2,8.5,-1.6
2021-12-06T02:00:00,4.48,6.24,8.5,-1.65
2021-12-06T03:00:00,4.5,6.26,8.54,-1.62
2021-12-06T04:00:00,4.5,6.26,8.54,-1.57
2021-12-06T05:00:00,4.62,6.38,8.78,-1.7
2021-12-06T06:00:00,4.67,6.38,8.78,-1.76
2021-12-06T07:00:00,4.61,6.42,8.78,-1.71
2021-12-06T08:00:00,4.72,6.53,9.0,-1.59
2021-12-06T09:00:00,4.73,6.5,9.0,-1.57
2021-12-06T10:00:00,4.76,6.5,9.0,-1.53
2021-12-06T11:00:00,4.87,6.61,9.22,-1.41
2021-12-06T12:00:00,4.82,6.64,9.22,-1.45
2021-12-06T13:00:00,4.96,6.78,9.5,-1.3
2021-12-06T14:00:00,4.96,6.74,9.5,-1.27
2021-12-06T15:00:00,4.96,6.72,9.5,-1.26
2021-12-06T16:00:00,4.96,6.72,9.5,-1.31
2021-12-06T17:00:00,4.96,6.72,9.5,-1.29
2021-12-06T18:00:00,4.9,6.72,9.5,-1.24
2021-12-06T19:00:00,4.9,6.81,9.5,-1.34
2021-12-06T20:00:00,4.9,6.86,9.5,-1.28
2021-12-06T21:00:00,4.95,6.86,9.5,-1.22
2021-12-06T22:00:00,4.89,6.9,9.5,-1.27
2021-12-06T23:00:00,4.88,6.9,9.5,-1.27
2021-12-07T00:00:00,4.94,6.96,9.62,-1.34
2021-12-07T01:00:00,5.09,7.11,9.92,-1.18
2021-12-07T02:00:00,5.06,7.11,9.92,-1.2
2021-12-07T03:00:00,5.23,7.11,9.92,-1.02
