date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.95,0.95,1.9,-0.96
2016-09-09T21:00:00,1.58,0.3,1.9,-1.6
2016-09-16T21:00:00,2.19,0.3,1.9,-2.22
2016-09-23T21:00:00,1.79,0.68,1.9,-1.83
2016-09-30T21:00:00,1.79,0.68,1.9,-2.58
2016-10-07T21:00:00,1.79,2.62,1.9,-0.63
2016-10-14T21:00:00,3.08,3.91,4.48,-1.93
2016-10-21T21:00:00,4.29,3.91,4.48,-3.15
2016-10-28T21:00:00,6.01,5.63,7.92,-4.88
2016-11-04T21:00:00,6.42,5.2,7.92,-5.3
2016-11-11T22:00:00,4.36,7.24,7.92,-3.25
2016-11-18T22:00:00,4.5,7.24,7.92,-3.1
2016-11-25T22:00:00,5.97,7.24,7.92,-1.62
2016-12-02T22:00:00,7.32,7.24,7.92,-0.26
2016-12-09T22:00:00,6.56,7.98,7.92,-1.01
2016-12-16T22:00:00,6.56,9.45,7.92,-2.49
2016-12-23T22:00:00,6.76,9.23,7.92,-2.7
2016-12-30T22:00:00,5.76,10.21,7.92,-1.71
2017-01-06T22:00:00,5.59,10.21,7.92,-1.55
2017-01-13T22:00:00,7.79,12.41,12.32,-3.76
2017-01-20T22:00:00,7.79,13.43,12.32,-2.73
2017-01-27T22:00:00,7.79,13.86,12.32,-2.29
2017-02-03T22:00:00,8.41,13.86,12.32,-1.66
2017-02-10T22:00:00,8.29,13.96,12.32,-1.77
2017-02-17T22:00:00,8.29,13.96,12.32,-1.29
2017-02-24T22:00:00,10.33,16.0,16.4,-3.34
2017-03-03T22:00:00,10.76,15.55,16.4,-3.78
2017-03-10T22:00:00,11.17,15.12,16.4,-4.2
2017-03-17T21:00:00,12.05,14.22,16.4,-5.09
2017-03-24T21:00:00,12.05,16.01,16.4,-3.29
2017-03-31T21:00:00,12.03,16.01,16.4,-3.3
2017-04-07T21:00:00,12.03,15.75,16.4,-3.05
2017-04-14T21:00:00,12.03,17.82,16.4,-5.13
2017-04-21T21:00:00,12.86,16.97,16.4,-5.97
2017-04-28T21:00:00,13.42,16.39,16.4,-6.54
2017-05-05T21:00:00,12.49,17.3,16.4,-5.62
2017-05-12T21:00:00,13.89,18.7,19.2,-7.03
2017-05-19T21:00:00,13.89,18.7,19.2,-6.4
2017-05-26T21:00:00,13.89,20.31,19.2,-8.02
2017-06-02T21:00:00,13.89,20.96,19.2,-7.36
2017-06-09T21:00:00,16.24,23.31,23.9,-5.0
2017-06-16T21:00:00,15.44,24.09,23.9,-5.79
2017-06-23T21:00:00,16.59,24.09,23.9,-4.63
2017-06-30T21:00:00,17.92,25.42,26.56,-3.29
2017-07-07T21:00:00,19.76,25.42,26.56,-1.44
2017-07-14T21:00:00,18.74,26.42,26.56,-2.45
2017-07-21T21:00:00,22.14,29.82,33.36,0.96
2017-07-28T21:00:00,22.14,31.16,33.36,-0.39
2017-08-04T21:00:00,22.14,31.16,33.36,-1.75
2017-08-11T21:00:00,21.17,32.11,33.36,-0.79
2017-08-18T21:00:00,21.17,32.11,33.36,-1.01
2017-08-25T21:00:00,21.17,33.88,33.36,0.77
2017-09-01T21:00:00,21.71,33.32,33.36,1.32
2017-09-08T21:00:00,22.67,33.32,33.36,2.29
2017-09-15T21:00:00,22.38,33.59,33.36,2.01
2017-09-22T21:00:00,22.38,33.59,33.36,0.59
2017-09-29T21:00:00,22.38,34.11,33.36,1.12
2017-10-06T21:00:00,22.38,34.11,33.36,1.31
2017-10-13T21:00:00,22.38,34.32,33.36,1.09
2017-10-20T21:00:00,22.38,34.32,33.36,1.05
2017-10-27T21:00:00,22.38,34.32,33.36,1.79
2017-11-03T21:00:00,22.38,34.06,33.36,2.04
2017-11-10T22:00:00,23.74,35.42,36.08,0.67
2017-11-17T22:00:00,24.28,34.86,36.08,0.12
2017-11-24T22:00:00,24.43,34.69,36.08,-0.04
2017-12-01T22:00:00,24.41,34.69,36.08,-0.03
2017-12-08T22:00:00,24.41,34.69,36.08,-0.4
2017-12-15T22:00:00,24.41,34.69,36.08,0.75
2017-12-22T22:00:00,24.1,34.69,36.08,0.45
2017-12-29T22:00:00,25.11,34.69,36.08,1.47
2018-01-05T22:00:00,23.96,35.82,36.08,0.33
2018-01-12T22:00:00,24.68,35.82,36.08,-0.4
2018-01-19T22:00:00,26.23,35.82,36.08,-1.96
2018-01-26T22:00:00,27.33,35.82,36.08,-3.07
2018-02-02T22:00:00,27.75,35.82,36.08,-3.5
2018-02-09T22:00:00,28.8,36.87,38.18,-4.56
2018-02-16T22:00:00,28.57,37.08,38.18,-4.34
2018-02-23T22:00:00,28.57,38.72,38.18,-5.99
2018-03-02T22:00:00,28.57,40.74,38.18,-3.96
2018-03-09T22:00:00,28.57,42.74,38.18,-5.97
2018-03-16T21:00:00,28.57,42.74,38.18,-4.96
2018-03-23T21:00:00,29.25,42.74,38.18,-4.27
2018-03-30T21:00:00,30.85,44.34,41.38,-2.66
2018-04-06T21:00:00,32.48,44.34,41.38,-1.02
2018-04-13T21:00:00,32.45,44.35,41.38,-1.04
2018-04-20T21:00:00,33.13,45.03,42.74,-0.35
2018-04-27T21:00:00,34.29,46.19,45.06,0.82
2018-05-04T21:00:00,34.66,45.8,45.06,1.2
2018-05-11T21:00:00,34.66,46.87,45.06,0.12
2018-05-18T21:00:00,36.1,46.87,45.06,-1.33
2018-05-25T21:00:00,36.31,46.64,45.06,-1.55
2018-06-01T21:00:00,36.39,46.54,45.06,-1.64
2018-06-08T21:00:00,36.36,46.51,45.0,-1.62
2018-06-15T21:00:00,37.94,48.09,48.16,-3.21
2018-06-22T21:00:00,37.94,49.4,48.16,-1.89
2018-06-29T21:00:00,37.94,49.4,48.16,-1.44
2018-07-06T21:00:00,38.51,49.4,48.16,-0.86
2018-07-13T21:00:00,37.79,50.1,48.16,-1.57
2018-07-20T21:00:00,37.79,50.92,48.16,-0.74
2018-07-27T21:00:00,37.79,50.92,48.16,-0.32
2018-08-03T21:00:00,37.79,51.88,48.16,-1.29
2018-08-10T21:00:00,37.79,52.87,48.16,-0.29
2018-08-17T21:00:00,37.79,53.72,48.16,-1.15
2018-08-24T21:00:00,39.47,55.4,51.52,-2.84
2018-08-31T21:00:00,40.18,54.67,51.52,-3.56
2018-09-07T21:00:00,40.18,55.46,51.52,-2.76
2018-09-14T21:00:00,40.18,55.48,51.52,-2.79
2018-09-21T21:00:00,42.61,57.91,56.38,-0.35
2018-09-28T21:00:00,43.11,57.39,56.38,0.16
2018-10-05T21:00:00,42.59,57.89,56.38,-0.35
2018-10-12T21:00:00,42.59,57.89,56.38,-0.48
2018-10-19T21:00:00,42.59,57.89,56.38,-0.45
2018-10-26T21:00:00,42.59,57.89,56.38,0.11
2018-11-02T21:00:00,42.59,58.52,56.38,-0.53
2018-11-09T22:00:00,42.59,58.52,56.38,-0.65
2018-11-16T22:00:00,43.6,58.52,56.38,-1.67
2018-11-23T22:00:00,43.84,58.52,56.38,-1.92
