date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.07
2018-08-21T21:00:00,0.0,0.0,0.0,0.39
2018-08-22T21:00:00,0.55,0.55,1.2,-0.26
2018-08-23T21:00:00,0.55,0.85,1.2,0.14
2018-08-26T21:00:00,0.83,1.13,1.86,0.52
2018-08-27T21:00:00,1.02,1.13,1.86,0.81
2018-08-28T21:00:00,1.04,0.91,1.86,0.93
2018-08-29T21:00:00,1.04,1.36,1.86,0.38
2018-08-30T21:00:00,1.42,1.36,1.86,-0.1
2018-09-02T21:00:00,1.45,1.13,1.86,-0.23
2018-09-03T21:00:00,2.07,1.75,3.2,-0.95
2018-09-04T21:00:00,1.94,1.68,3.2,-0.92
2018-09-05T21:00:00,1.59,1.68,3.2,-0.67
2018-09-06T21:00:00,1.59,1.68,3.2,-0.82
2018-09-09T21:00:00,1.59,1.68,3.2,-0.83
2018-09-10T21:00:00,2.18,2.27,4.48,-0.14
2018-09-11T21:00:00,2.59,2.27,4.48,0.37
2018-09-12T21:00:00,2.47,2.19,4.48,0.35
2018-09-13T21:00:00,2.1,2.19,4.48,0.08
2018-09-16T21:00:00,2.1,2.19,4.48,0.01
2018-09-17T21:00:00,2.47,2.19,4.48,0.48
2018-09-18T21:00:00,2.89,2.19,4.48,1.0
2018-09-19T21:00:00,2.88,2.19,4.48,1.09
2018-09-20T21:00:00,2.26,2.19,4.48,0.57
2018-09-23T21:00:00,2.33,2.19,4.48,0.4
2018-09-24T21:00:00,2.23,2.19,4.48,0.4
2018-09-25T21:00:00,2.6,2.56,5.32,-0.07
2018-09-26T21:00:00,2.6,2.56,5.32,-0.22
2018-09-27T21:00:00,2.6,3.65,5.32,0.97
2018-09-30T21:00:00,2.6,3.21,5.32,1.31
2018-10-01T21:00:00,2.6,3.14,5.32,1.28
2018-10-02T21:00:00,2.6,3.14,5.32,0.99
2018-10-03T21:00:00,2.6,3.14,5.32,0.51
2018-10-04T21:00:00,2.62,2.92,5.32,0.39
2018-10-07T21:00:00,2.71,2.92,5.32,0.2
2018-10-08T21:00:00,2.71,2.92,5.32,0.37
2018-10-09T21:00:00,2.71,3.71,5.32,-0.52
2018-10-10T21:00:00,2.71,3.78,5.32,-0.35
2018-10-11T21:00:00,2.71,3.78,5.32,-0.25
2018-10-14T21:00:00,2.71,3.78,5.32,-0.02
2018-10-15T21:00:00,3.06,3.78,5.32,0.43
2018-10-16T21:00:00,3.06,4.32,5.32,-0.21
2018-10-17T21:00:00,3.48,4.32,5.32,-0.73
2018-10-18T21:00:00,3.46,4.14,5.32,-0.81
2018-10-21T21:00:00,3.4,4.14,5.32,-0.85
2018-10-22T21:00:00,3.4,4.14,5.32,-0.74
2018-10-23T21:00:00,3.4,4.14,5.32,-0.49
2018-10-24T21:00:00,3.4,4.14,5.32,-0.6
2018-10-25T21:00:00,3.4,4.14,5.32,-0.89
2018-10-28T21:00:00,3.57,4.14,5.32,-1.16
2018-10-29T21:00:00,3.29,4.22,5.32,-0.98
2018-10-30T21:00:00,3.59,4.22,5.32,-1.38
2018-10-31T21:00:00,3.59,4.22,5.32,-0.95
2018-11-01T21:00:00,3.59,4.22,5.32,-1.34
2018-11-04T22:00:00,3.59,4.22,5.32,-1.39
2018-11-05T22:00:00,3.59,4.22,5.32,-1.48
2018-11-06T22:00:00,3.59,4.22,5.32,-1.43
2018-11-07T22:00:00,3.84,4.22,5.32,-1.78
2018-11-08T22:00:00,4.07,4.22,5.32,-2.11
2018-11-11T22:00:00,4.3,4.22,5.32,-2.44
2018-11-12T22:00:00,4.17,4.22,5.32,-2.41
2018-11-13T22:00:00,4.17,4.22,5.32,-2.44
2018-11-14T22:00:00,4.17,4.22,5.32,-1.96
2018-11-15T22:00:00,4.17,4.22,5.32,-1.69
2018-11-18T22:00:00,4.17,4.22,5.32,-1.79
2018-11-19T22:00:00,4.17,5.18,5.32,-2.85
2018-11-20T22:00:00,3.45,5.7,5.32,-2.23
2018-11-21T22:00:00,3.08,5.7,5.32,-1.96
2018-11-22T22:00:00,3.08,6.0,5.32,-2.36
2018-11-25T22:00:00,3.08,6.0,5.32,-2.57
2018-11-26T22:00:00,3.3,6.0,5.32,-2.89
2018-11-27T22:00:00,3.3,6.0,5.32,-2.75
2018-11-28T22:00:00,3.3,6.0,5.32,-2.88
2018-11-29T22:00:00,3.3,6.0,5.32,-2.87
2018-12-02T22:00:00,2.99,6.0,5.32,-2.66
2018-12-03T22:00:00,3.53,6.54,6.5,-3.3
2018-12-04T22:00:00,3.98,6.54,6.5,-3.85
2018-12-05T22:00:00,4.1,6.22,6.5,-4.07
2018-12-06T22:00:00,3.47,6.22,6.5,-3.54
2018-12-09T22:00:00,3.47,6.55,6.5,-3.97
2018-12-10T22:00:00,3.47,6.57,6.5,-3.85
2018-12-11T22:00:00,3.47,6.57,6.5,-3.6
2018-12-12T22:00:00,3.47,6.52,6.5,-3.65
2018-12-13T22:00:00,3.47,6.52,6.5,-3.88
2018-12-16T22:00:00,3.54,6.52,6.5,-4.05
2018-12-17T22:00:00,3.54,6.52,6.5,-4.41
2018-12-18T22:00:00,3.54,6.52,6.5,-4.41
2018-12-19T22:00:00,3.54,6.52,6.5,-4.52
2018-12-20T22:00:00,4.11,6.52,6.5,-5.19
2018-12-23T22:00:00,4.05,6.38,6.5,-5.23
2018-12-25T22:00:00,3.78,6.38,6.5,-5.06
2018-12-26T22:00:00,4.0,6.38,6.5,-5.38
2018-12-27T22:00:00,4.0,6.38,6.5,-5.52
2018-12-30T22:00:00,4.0,6.38,6.5,-5.54
2019-01-01T22:00:00,4.34,6.38,6.5,-5.1
2019-01-02T22:00:00,4.94,6.38,6.5,-4.4
2019-01-03T22:00:00,5.74,6.38,6.5,-3.5
2019-01-06T22:00:00,6.23,5.69,6.5,-2.91
2019-01-07T22:00:00,6.37,5.69,6.5,-2.67
2019-01-08T22:00:00,6.77,5.69,6.5,-2.17
2019-01-09T22:00:00,6.51,5.75,6.5,-2.33
2019-01-10T22:00:00,6.51,5.75,6.5,-2.55
2019-01-13T22:00:00,6.51,5.53,6.5,-2.67
2019-01-14T22:00:00,6.28,5.53,6.5,-2.54
2019-01-15T22:00:00,6.28,5.53,6.5,-2.45
2019-01-16T22:00:00,6.28,5.53,6.5,-2.62
2019-01-17T22:00:00,6.28,5.53,6.5,-2.49
2019-01-20T22:00:00,6.28,5.53,6.5,-2.67
2019-01-21T22:00:00,6.62,5.53,6.5,-3.11
2019-01-22T22:00:00,6.62,5.49,6.5,-3.05
2019-01-23T22:00:00,6.62,5.49,6.5,-3.11
2019-01-24T22:00:00,7.57,6.44,8.5,-2.06
2019-01-27T22:00:00,7.16,6.65,8.5,-2.37
2019-01-28T22:00:00,7.0,6.65,8.5,-2.43
2019-01-29T22:00:00,7.77,7.42,10.14,-1.56
2019-01-30T22:00:00,7.91,7.08,10.14,-1.32
2019-01-31T22:00:00,8.0,7.08,10.14,-1.13
2019-02-03T22:00:00,8.0,7.08,10.14,-1.25
2019-02-04T22:00:00,8.0,7.08,10.14,-1.38
2019-02-05T22:00:00,8.54,7.62,11.32,-2.02
2019-02-06T22:00:00,9.15,7.62,11.32,-2.73
2019-02-07T22:00:00,8.86,7.71,11.32,-2.54
2019-02-10T22:00:00,8.98,7.71,11.32,-2.76
2019-02-11T22:00:00,8.98,8.11,11.32,-2.26
2019-02-12T22:00:00,8.98,8.16,11.32,-2.41
2019-02-13T22:00:00,8.55,8.16,11.32,-2.74
2019-02-14T22:00:00,8.55,8.43,11.32,-2.37
2019-02-17T22:00:00,8.55,8.43,11.32,-2.27
2019-02-18T22:00:00,8.68,8.43,11.32,-2.04
2019-02-19T22:00:00,8.87,8.43,11.32,-1.75
2019-02-20T22:00:00,8.32,8.78,11.32,-2.2
2019-02-21T22:00:00,8.93,9.39,12.64,-1.49
2019-02-24T22:00:00,8.44,9.39,12.64,-1.88
2019-02-25T22:00:00,8.44,9.46,12.64,-1.71
2019-02-26T22:00:00,8.44,9.46,12.64,-1.61
2019-02-27T22:00:00,8.48,9.5,12.82,-1.75
2019-02-28T22:00:00,9.35,10.37,14.66,-2.72
2019-03-03T22:00:00,9.44,10.08,14.66,-2.91
2019-03-04T22:00:00,9.69,10.33,15.26,-3.26
2019-03-05T22:00:00,10.25,10.89,16.48,-3.92
2019-03-06T22:00:00,10.26,10.89,16.48,-4.03
2019-03-07T22:00:00,9.91,10.89,16.48,-3.78
2019-03-10T21:00:00,9.98,10.89,16.48,-3.61
2019-03-11T21:00:00,10.18,10.89,16.48,-3.31
2019-03-12T21:00:00,10.5,10.89,16.48,-2.89
2019-03-13T21:00:00,10.15,11.04,16.48,-3.14
2019-03-14T21:00:00,10.15,11.04,16.48,-3.16
2019-03-17T21:00:00,10.15,10.93,16.48,-3.17
2019-03-18T21:00:00,10.15,10.91,16.48,-3.09
2019-03-19T21:00:00,10.15,10.91,16.48,-2.96
2019-03-20T21:00:00,10.15,11.3,16.48,-3.45
2019-03-21T21:00:00,10.15,11.3,16.48,-3.95
2019-03-24T21:00:00,9.88,11.37,16.48,-3.78
2019-03-25T21:00:00,9.59,11.37,16.48,-3.59
2019-03-26T21:00:00,9.59,11.5,16.48,-3.82
2019-03-27T21:00:00,9.59,11.5,16.48,-4.02
2019-03-28T21:00:00,9.59,12.07,16.48,-3.35
2019-03-31T21:00:00,9.59,11.65,16.48,-3.03
2019-04-01T21:00:00,9.59,11.77,16.48,-3.25
2019-04-02T21:00:00,9.59,11.77,16.48,-3.32
2019-04-03T21:00:00,9.61,11.77,16.48,-3.44
2019-04-04T21:00:00,9.67,11.51,16.48,-3.6
2019-04-07T21:00:00,9.67,11.92,16.48,-3.09
2019-04-08T21:00:00,9.67,12.02,16.48,-3.29
2019-04-09T21:00:00,9.67,12.02,16.48,-3.3
2019-04-10T21:00:00,9.99,12.34,17.22,-3.72
2019-04-11T21:00:00,9.43,12.7,17.22,-3.26
2019-04-14T21:00:00,9.62,12.89,17.7,-3.55
2019-04-15T21:00:00,9.62,12.89,17.7,-3.37
2019-04-16T21:00:00,9.62,12.89,17.7,-3.25
2019-04-17T21:00:00,9.62,13.07,17.7,-3.53
2019-04-18T21:00:00,9.62,13.07,17.7,-3.65
2019-04-21T21:00:00,9.62,13.07,17.7,-3.33
2019-04-22T21:00:00,10.11,13.56,18.78,-3.92
2019-04-23T21:00:00,10.55,13.56,18.78,-4.46
2019-04-24T21:00:00,10.39,13.52,18.78,-4.4
2019-04-25T21:00:00,10.05,13.66,18.78,-4.16
2019-04-28T21:00:00,9.96,13.55,18.78,-4.15
2019-04-29T21:00:00,10.38,13.55,18.78,-3.63
2019-04-30T21:00:00,9.93,13.8,18.78,-3.98
2019-05-01T21:00:00,9.93,13.8,18.78,-4.28
2019-05-02T21:00:00,9.93,14.07,18.78,-3.91
2019-05-05T21:00:00,9.93,14.07,18.78,-3.78
2019-05-06T21:00:00,9.93,14.12,18.78,-3.93
2019-05-07T21:00:00,9.93,14.12,18.78,-3.98
2019-05-08T21:00:00,9.93,14.12,18.78,-3.98
2019-05-09T21:00:00,10.28,14.47,19.58,-3.53
2019-05-12T21:00:00,9.78,14.77,19.58,-3.93
2019-05-13T21:00:00,9.78,14.78,19.58,-3.82
2019-05-14T21:00:00,9.78,14.89,19.58,-3.61
2019-05-15T21:00:00,9.78,14.96,19.58,-3.78
2019-05-16T21:00:00,9.78,14.87,19.58,-3.77
2019-05-19T21:00:00,9.78,14.89,19.58,-3.65
2019-05-20T21:00:00,9.78,14.89,19.58,-3.47
2019-05-21T21:00:00,9.78,14.89,19.58,-3.71
2019-05-22T21:00:00,9.78,14.89,19.58,-3.99
2019-05-23T21:00:00,9.78,15.06,19.58,-3.72
2019-05-26T21:00:00,9.78,15.06,19.58,-3.77
2019-05-27T21:00:00,10.06,15.34,20.24,-4.15
2019-05-28T21:00:00,10.17,15.34,20.24,-4.36
2019-05-29T21:00:00,9.95,15.36,20.24,-4.24
2019-05-30T21:00:00,9.95,15.36,20.24,-4.46
2019-06-02T21:00:00,9.95,15.83,20.24,-3.89
2019-06-03T21:00:00,9.95,15.83,20.24,-3.47
2019-06-04T21:00:00,9.66,15.92,20.24,-3.66
2019-06-05T21:00:00,9.95,16.21,20.92,-3.27
2019-06-06T21:00:00,10.59,16.85,22.3,-2.53
2019-06-09T21:00:00,10.33,16.91,22.3,-2.69
2019-06-10T21:00:00,10.33,16.91,22.3,-2.89
2019-06-11T21:00:00,10.84,17.42,23.42,-3.5
2019-06-12T21:00:00,10.56,17.5,23.42,-3.32
2019-06-13T21:00:00,11.11,18.05,24.62,-3.97
2019-06-16T21:00:00,10.95,18.01,24.62,-3.91
2019-06-17T21:00:00,10.95,18.16,24.62,-3.66
2019-06-18T21:00:00,11.52,18.73,25.86,-2.99
2019-06-19T21:00:00,11.95,18.73,25.86,-2.46
2019-06-20T21:00:00,11.65,18.83,25.86,-2.66
2019-06-23T21:00:00,11.65,18.83,25.86,-2.45
2019-06-24T21:00:00,11.65,18.83,25.86,-2.35
2019-06-25T21:00:00,11.84,19.02,26.34,-2.06
2019-06-26T21:00:00,12.07,19.02,26.34,-1.73
2019-06-27T21:00:00,11.95,18.94,26.34,-1.75
2019-06-30T21:00:00,11.95,18.94,26.34,-2.15
2019-07-01T21:00:00,11.95,18.88,26.34,-2.11
2019-07-02T21:00:00,11.95,19.12,26.34,-1.77
2019-07-03T21:00:00,11.95,19.11,26.34,-1.86
2019-07-04T21:00:00,11.95,19.11,26.34,-1.95
2019-07-07T21:00:00,11.95,19.11,26.34,-2.05
2019-07-08T21:00:00,11.95,19.11,26.34,-2.22
2019-07-09T21:00:00,12.35,19.51,27.24,-1.72
2019-07-10T21:00:00,12.41,19.51,27.24,-1.56
2019-07-11T21:00:00,12.69,19.51,27.24,-1.18
2019-07-14T21:00:00,12.69,19.51,27.24,-1.28
