date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,-0.1
2021-11-29T07:00:00,0.0,0.05,0.0,0.05
2021-11-29T08:00:00,0.0,0.05,0.0,0.02
2021-11-29T09:00:00,-0.03,0.05,0.0,0.09
2021-11-29T10:00:00,-0.17,0.05,0.0,0.05
2021-11-29T11:00:00,-0.03,0.05,0.0,0.29
2021-11-29T12:00:00,-0.14,0.05,0.0,0.28
2021-11-29T13:00:00,-0.19,-0.0,0.0,0.33
2021-11-29T14:00:00,-0.11,-0.0,0.0,0.51
2021-11-29T15:00:00,-0.11,0.12,0.0,0.29
2021-11-29T16:00:00,-0.11,0.12,0.0,0.43
2021-11-29T17:00:00,-0.11,0.12,0.0,0.49
2021-11-29T18:00:00,-0.19,0.12,0.0,0.51
2021-11-29T19:00:00,-0.39,0.12,0.0,0.41
2021-11-29T20:00:00,-0.42,0.09,0.04,0.48
2021-11-29T21:00:00,-0.53,0.09,0.04,0.47
2021-11-29T22:00:00,-0.53,0.09,0.14,0.57
2021-11-29T23:00:00,-0.48,0.09,0.14,0.72
2021-11-30T00:00:00,-0.64,0.05,0.14,0.66
2021-11-30T01:00:00,-0.64,0.05,0.14,0.65
2021-11-30T02:00:00,-0.64,0.01,0.14,0.71
2021-11-30T03:00:00,-0.64,-0.0,0.14,0.62
2021-11-30T04:00:00,-0.64,-0.0,0.14,0.53
2021-11-30T05:00:00,-0.64,-0.0,0.14,0.26
2021-11-30T06:00:00,-0.64,-0.0,0.14,0.39
2021-11-30T07:00:00,-0.64,-0.11,0.14,0.4
2021-11-30T08:00:00,-0.64,-0.11,0.14,0.21
2021-11-30T09:00:00,-0.64,-0.04,0.14,0.38
2021-11-30T10:00:00,-0.72,-0.04,0.14,0.4
2021-11-30T11:00:00,-0.7,-0.04,0.14,0.52
2021-11-30T12:00:00,-0.9,-0.04,0.14,0.42
2021-11-30T13:00:00,-0.9,-0.04,0.14,0.39
2021-11-30T14:00:00,-1.01,-0.04,0.14,0.4
2021-11-30T15:00:00,-0.97,-0.04,0.14,0.26
2021-11-30T16:00:00,-1.13,-0.04,0.14,0.32
2021-11-30T17:00:00,-1.13,-0.04,0.14,0.39
2021-11-30T18:00:00,-1.2,-0.04,0.14,0.42
2021-11-30T19:00:00,-1.14,0.02,0.36,0.58
2021-11-30T20:00:00,-1.25,-0.07,0.36,0.57
2021-11-30T21:00:00,-1.29,-0.11,0.38,0.63
2021-11-30T22:00:00,-1.25,-0.11,0.38,0.77
2021-11-30T23:00:00,-1.33,-0.11,0.38,0.79
2021-12-01T00:00:00,-1.33,-0.14,0.38,0.72
2021-12-01T01:00:00,-1.33,-0.14,0.38,0.76
2021-12-01T02:00:00,-1.33,-0.14,0.38,0.74
2021-12-01T03:00:00,-1.33,-0.14,0.38,0.78
2021-12-01T04:00:00,-1.33,-0.14,0.38,0.88
2021-12-01T05:00:00,-1.33,-0.2,0.38,0.84
2021-12-01T06:00:00,-1.34,-0.21,0.46,0.93
2021-12-01T07:00:00,-1.34,-0.21,0.46,0.94
2021-12-01T08:00:00,-1.34,-0.21,0.46,0.87
2021-12-01T09:00:00,-1.34,-0.22,0.46,0.96
2021-12-01T10:00:00,-1.36,-0.24,0.52,0.88
2021-12-01T11:00:00,-1.36,-0.24,0.62,0.78
2021-12-01T12:00:00,-1.33,-0.47,0.62,0.65
2021-12-01T13:00:00,-1.47,-0.47,0.62,0.69
2021-12-01T14:00:00,-1.47,-0.53,0.62,0.65
2021-12-01T15:00:00,-1.47,-0.53,0.62,0.5
2021-12-01T16:00:00,-1.47,-0.53,0.62,0.37
2021-12-01T17:00:00,-1.47,-0.65,0.62,0.35
2021-12-01T18:00:00,-1.47,-0.65,0.62,0.42
2021-12-01T19:00:00,-1.47,-0.58,0.62,0.25
2021-12-01T20:00:00,-1.47,-0.58,0.62,0.22
2021-12-01T21:00:00,-1.57,-0.58,0.62,0.22
2021-12-01T22:00:00,-1.57,-0.58,0.62,0.26
2021-12-01T23:00:00,-1.57,-0.69,0.62,0.27
2021-12-02T00:00:00,-1.57,-0.67,0.62,0.39
2021-12-02T01:00:00,-1.53,-0.67,0.62,0.53
2021-12-02T02:00:00,-1.58,-0.67,0.62,0.58
2021-12-02T03:00:00,-1.72,-0.73,0.62,0.54
2021-12-02T04:00:00,-1.72,-0.76,0.62,0.47
2021-12-02T05:00:00,-1.76,-0.76,0.62,0.41
2021-12-02T06:00:00,-1.76,-0.76,0.62,0.51
2021-12-02T07:00:00,-1.76,-0.83,0.62,0.48
2021-12-02T08:00:00,-1.76,-0.83,0.62,0.51
2021-12-02T09:00:00,-1.85,-0.83,0.62,0.52
2021-12-02T10:00:00,-1.85,-0.83,0.62,0.55
2021-12-02T11:00:00,-1.85,-0.86,0.62,0.48
2021-12-02T12:00:00,-1.85,-1.0,0.62,0.44
2021-12-02T13:00:00,-1.85,-1.0,0.62,0.44
2021-12-02T14:00:00,-1.85,-1.0,0.62,0.55
2021-12-02T15:00:00,-1.85,-1.0,0.62,0.5
2021-12-02T16:00:00,-1.85,-1.0,0.62,0.5
2021-12-02T17:00:00,-1.85,-1.0,0.62,0.56
2021-12-02T18:00:00,-1.85,-1.0,0.62,0.56
2021-12-02T19:00:00,-1.85,-1.0,0.62,0.51
2021-12-02T20:00:00,-1.85,-1.08,0.62,0.53
2021-12-02T21:00:00,-1.89,-1.12,0.64,0.59
2021-12-02T22:00:00,-1.83,-1.12,0.64,0.75
2021-12-02T23:00:00,-2.07,-1.12,0.64,0.61
2021-12-03T00:00:00,-2.07,-1.16,0.64,0.67
2021-12-03T01:00:00,-2.07,-1.16,0.64,0.63
2021-12-03T02:00:00,-2.07,-1.16,0.64,0.65
2021-12-03T03:00:00,-2.07,-1.16,0.64,0.66
2021-12-03T04:00:00,-2.07,-1.16,0.64,0.69
2021-12-03T05:00:00,-2.07,-1.16,0.64,0.7
2021-12-03T06:00:00,-2.07,-1.16,0.64,0.7
2021-12-03T07:00:00,-2.1,-1.19,0.68,0.77
2021-12-03T08:00:00,-2.1,-1.19,0.68,0.78
2021-12-03T09:00:00,-2.1,-1.19,0.68,0.79
2021-12-03T10:00:00,-2.1,-1.23,0.68,0.85
2021-12-03T11:00:00,-2.14,-1.23,0.68,0.91
2021-12-03T12:00:00,-2.27,-1.3,0.68,0.88
2021-12-03T13:00:00,-2.27,-1.27,0.68,1.01
2021-12-03T14:00:00,-2.27,-1.27,0.68,0.93
2021-12-03T15:00:00,-2.27,-1.27,0.68,0.75
2021-12-03T16:00:00,-2.27,-1.51,0.68,0.61
2021-12-03T17:00:00,-2.27,-1.51,0.68,0.62
2021-12-03T18:00:00,-2.27,-1.51,0.68,0.56
2021-12-03T19:00:00,-2.27,-1.51,0.68,0.48
2021-12-03T20:00:00,-2.27,-1.51,0.68,0.58
2021-12-03T21:00:00,-2.31,-1.51,0.68,0.64
2021-12-05T22:00:00,-2.31,-1.66,0.68,0.69
2021-12-05T23:00:00,-2.31,-1.66,0.68,0.79
2021-12-06T00:00:00,-2.31,-1.62,0.68,0.65
2021-12-06T01:00:00,-2.31,-1.75,0.68,0.62
2021-12-06T02:00:00,-2.31,-1.75,0.68,0.54
2021-12-06T03:00:00,-2.43,-1.83,0.68,0.56
2021-12-06T04:00:00,-2.5,-1.9,0.64,0.53
2021-12-06T05:00:00,-2.61,-1.9,0.64,0.54
2021-12-06T06:00:00,-2.61,-1.9,0.64,0.54
2021-12-06T07:00:00,-2.61,-1.9,0.64,0.53
2021-12-06T08:00:00,-2.61,-1.9,0.64,0.53
2021-12-06T09:00:00,-2.61,-1.9,0.64,0.53
2021-12-06T10:00:00,-2.61,-1.9,0.64,0.6
2021-12-06T11:00:00,-2.61,-1.91,0.64,0.51
2021-12-06T12:00:00,-2.61,-1.91,0.64,0.46
2021-12-06T13:00:00,-2.61,-1.91,0.64,0.52
2021-12-06T14:00:00,-2.61,-1.91,0.64,0.42
2021-12-06T15:00:00,-2.61,-1.91,0.64,0.36
2021-12-06T16:00:00,-2.61,-1.91,0.64,0.25
2021-12-06T17:00:00,-2.61,-1.95,0.64,0.31
2021-12-06T18:00:00,-2.61,-1.95,0.64,0.42
2021-12-06T19:00:00,-2.61,-2.01,0.64,0.38
2021-12-06T20:00:00,-2.65,-2.01,0.64,0.44
2021-12-06T21:00:00,-2.74,-2.01,0.64,0.45
2021-12-06T22:00:00,-2.74,-2.01,0.64,0.47
2021-12-06T23:00:00,-2.74,-2.01,0.64,0.43
2021-12-07T00:00:00,-2.8,-2.07,0.62,0.47
2021-12-07T01:00:00,-2.81,-2.07,0.62,0.56
2021-12-07T02:00:00,-2.86,-2.07,0.62,0.61
2021-12-07T03:00:00,-2.92,-2.07,0.62,0.65
2021-12-07T04:00:00,-2.92,-2.07,0.62,0.7
2021-12-07T05:00:00,-2.92,-2.07,0.62,0.73
2021-12-07T06:00:00,-2.92,-2.07,0.62,0.71
2021-12-07T07:00:00,-2.92,-2.07,0.62,0.72
2021-12-07T08:00:00,-2.97,-2.07,0.62,0.77
2021-12-07T09:00:00,-2.97,-2.07,0.62,0.82
2021-12-07T10:00:00,-2.97,-2.06,0.62,0.71
2021-12-07T11:00:00,-2.93,-2.06,0.62,0.57
2021-12-07T12:00:00,-2.92,-2.27,0.62,0.46
2021-12-07T13:00:00,-2.92,-2.26,0.62,0.57
2021-12-07T14:00:00,-2.92,-2.26,0.62,0.6
2021-12-07T15:00:00,-2.92,-2.28,0.62,0.52
2021-12-07T16:00:00,-2.92,-2.28,0.62,0.47
2021-12-07T17:00:00,-2.92,-2.29,0.62,0.56
2021-12-07T18:00:00,-2.92,-2.29,0.62,0.57
2021-12-07T19:00:00,-2.92,-2.29,0.62,0.65
2021-12-07T20:00:00,-2.92,-2.29,0.62,0.55
2021-12-07T21:00:00,-2.92,-2.34,0.62,0.6
2021-12-07T22:00:00,-2.98,-2.34,0.62,0.64
2021-12-07T23:00:00,-3.08,-2.44,0.62,0.64
2021-12-08T00:00:00,-3.08,-2.5,0.62,0.68
2021-12-08T01:00:00,-3.2,-2.5,0.62,0.66
2021-12-08T02:00:00,-3.23,-2.5,0.62,0.73
2021-12-08T03:00:00,-3.23,-2.5,0.62,0.71
2021-12-08T04:00:00,-3.23,-2.57,0.62,0.74
2021-12-08T05:00:00,-3.33,-2.57,0.62,0.74
2021-12-08T06:00:00,-3.38,-2.62,0.62,0.69
2021-12-08T07:00:00,-3.38,-2.62,0.62,0.59
2021-12-08T08:00:00,-3.54,-2.62,0.62,0.65
2021-12-08T09:00:00,-3.54,-2.62,0.62,0.68
2021-12-08T10:00:00,-3.64,-2.62,0.62,0.68
2021-12-08T11:00:00,-3.6,-2.62,0.62,0.82
2021-12-08T12:00:00,-3.58,-2.62,0.62,0.94
2021-12-08T13:00:00,-3.45,-2.62,0.62,1.17
2021-12-08T14:00:00,-3.68,-2.59,0.62,1.04
2021-12-08T15:00:00,-3.62,-2.53,0.84,1.2
2021-12-08T16:00:00,-3.69,-2.66,0.84,1.23
2021-12-08T17:00:00,-3.69,-2.73,0.84,1.2
2021-12-08T18:00:00,-3.69,-2.8,0.84,1.23
2021-12-08T19:00:00,-3.69,-2.83,0.84,1.3
2021-12-08T20:00:00,-3.69,-2.92,0.84,1.29
2021-12-08T21:00:00,-3.69,-2.92,0.84,1.25
2021-12-08T22:00:00,-3.36,-2.59,1.6,1.68
2021-12-08T23:00:00,-3.53,-2.62,1.6,1.61
2021-12-09T00:00:00,-3.61,-2.62,1.6,1.63
2021-12-09T01:00:00,-3.61,-2.62,1.7,1.53
2021-12-09T02:00:00,-3.72,-2.71,1.7,1.54
2021-12-09T03:00:00,-3.81,-2.71,1.7,1.53
2021-12-09T04:00:00,-3.81,-2.71,1.7,1.52
2021-12-09T05:00:00,-3.87,-2.71,1.7,1.48
2021-12-09T06:00:00,-4.0,-2.71,1.7,1.51
2021-12-09T07:00:00,-4.0,-2.71,1.7,1.36
2021-12-09T08:00:00,-4.0,-2.71,1.7,1.34
2021-12-09T09:00:00,-4.09,-2.71,1.7,1.33
2021-12-09T10:00:00,-4.11,-2.71,1.7,1.25
2021-12-09T11:00:00,-4.16,-2.71,1.7,1.2
2021-12-09T12:00:00,-4.03,-2.58,2.06,0.97
2021-12-09T13:00:00,-4.09,-2.72,2.06,0.93
2021-12-09T14:00:00,-4.18,-2.72,2.06,0.92
2021-12-09T15:00:00,-4.17,-2.72,2.06,0.81
2021-12-09T16:00:00,-4.17,-2.72,2.06,0.84
2021-12-09T17:00:00,-4.17,-2.7,2.06,0.96
2021-12-09T18:00:00,-4.25,-2.7,2.06,0.98
2021-12-09T19:00:00,-4.39,-2.76,2.06,0.94
2021-12-09T20:00:00,-4.39,-2.76,2.06,1.02
2021-12-09T21:00:00,-4.39,-2.85,2.06,1.01
2021-12-09T22:00:00,-4.39,-2.86,2.06,0.92
2021-12-09T23:00:00,-4.51,-2.86,2.06,0.94
2021-12-10T00:00:00,-4.58,-2.86,2.06,0.91
2021-12-10T01:00:00,-4.65,-2.86,2.06,0.94
2021-12-10T02:00:00,-4.65,-2.86,2.06,1.0
2021-12-10T03:00:00,-4.65,-2.97,2.06,1.01
2021-12-10T04:00:00,-4.65,-2.97,2.06,0.98
2021-12-10T05:00:00,-4.68,-3.0,2.1,0.91
2021-12-10T06:00:00,-4.82,-3.0,2.1,0.95
2021-12-10T07:00:00,-4.88,-3.0,2.1,0.99
2021-12-10T08:00:00,-4.83,-2.95,2.3,1.14
2021-12-10T09:00:00,-4.93,-3.05,2.3,1.14
2021-12-10T10:00:00,-5.06,-3.05,2.3,1.11
2021-12-10T11:00:00,-5.06,-3.05,2.3,1.11
2021-12-10T12:00:00,-5.06,-3.05,2.3,1.13
2021-12-10T13:00:00,-5.1,-3.09,2.32,1.07
