date,trend,signal,trend+signal,return
2018-07-23T21:00:00,0.0,0.0,0.0,-0.59
2018-07-24T21:00:00,0.01,0.0,0.0,-0.7
2018-07-25T21:00:00,0.01,0.0,0.0,-0.4
2018-07-26T21:00:00,0.01,0.0,0.0,-0.58
2018-07-29T21:00:00,0.01,0.23,0.0,-0.25
2018-07-30T21:00:00,0.01,0.56,0.0,-0.68
2018-07-31T21:00:00,-0.13,0.56,0.0,-0.64
2018-08-01T21:00:00,-0.17,0.56,0.0,-0.7
2018-08-02T21:00:00,0.44,0.56,0.0,-1.41
2018-08-05T21:00:00,0.33,0.47,0.0,-1.4
2018-08-06T21:00:00,0.3,0.47,0.0,-1.47
2018-08-07T21:00:00,0.3,0.47,0.0,-1.5
2018-08-08T21:00:00,0.3,0.47,0.0,-1.54
2018-08-09T21:00:00,0.3,0.47,0.0,-1.52
2018-08-12T21:00:00,0.3,0.47,0.0,-1.14
2018-08-13T21:00:00,0.3,0.47,0.0,-1.26
2018-08-14T21:00:00,0.3,0.47,0.0,-1.23
2018-08-15T21:00:00,0.25,0.47,0.0,-1.28
2018-08-16T21:00:00,0.25,0.56,0.0,-1.47
2018-08-19T21:00:00,0.25,0.56,0.0,-1.39
2018-08-20T21:00:00,0.25,0.88,0.0,-0.97
2018-08-21T21:00:00,0.53,0.88,0.0,-0.59
2018-08-22T21:00:00,1.36,0.88,0.0,0.34
2018-08-23T21:00:00,0.91,0.88,0.0,-0.01
2018-08-26T21:00:00,1.06,1.03,0.4,0.24
2018-08-27T21:00:00,1.26,1.03,0.4,0.54
2018-08-28T21:00:00,1.62,1.03,0.4,1.0
2018-08-29T21:00:00,1.62,1.03,0.4,1.31
2018-08-30T21:00:00,1.62,1.03,0.4,1.76
2018-09-02T21:00:00,1.62,1.03,0.4,1.67
2018-09-03T21:00:00,1.71,1.03,0.4,1.86
2018-09-04T21:00:00,1.81,1.13,0.7,2.06
2018-09-05T21:00:00,1.58,1.13,0.7,1.93
2018-09-06T21:00:00,1.58,1.75,0.7,2.65
2018-09-09T21:00:00,1.58,1.75,0.7,2.9
2018-09-10T21:00:00,1.53,1.6,0.7,2.95
2018-09-11T21:00:00,0.93,2.0,0.7,2.45
2018-09-12T21:00:00,0.93,2.14,0.7,2.69
2018-09-13T21:00:00,0.93,2.14,0.7,2.68
2018-09-16T21:00:00,0.93,2.14,0.7,2.86
2018-09-17T21:00:00,1.53,2.74,2.0,2.16
2018-09-18T21:00:00,2.04,2.74,2.0,1.55
2018-09-19T21:00:00,2.04,3.13,2.0,2.04
2018-09-20T21:00:00,2.04,3.22,2.0,1.85
2018-09-23T21:00:00,2.04,3.32,2.0,2.05
2018-09-24T21:00:00,2.04,3.32,2.0,2.25
2018-09-25T21:00:00,2.04,3.54,2.0,1.93
2018-09-26T21:00:00,2.08,3.54,2.0,1.79
2018-09-27T21:00:00,2.48,3.54,2.0,1.29
2018-09-30T21:00:00,2.48,3.15,2.0,1.0
2018-10-01T21:00:00,2.48,3.28,2.0,1.23
2018-10-02T21:00:00,2.48,3.75,2.0,1.8
2018-10-03T21:00:00,3.08,3.75,2.0,2.5
2018-10-04T21:00:00,3.4,3.23,2.0,2.92
2018-10-07T21:00:00,2.73,3.7,2.0,2.35
2018-10-08T21:00:00,2.73,3.28,2.0,2.03
2018-10-09T21:00:00,2.73,4.1,2.0,2.95
2018-10-10T21:00:00,2.73,4.4,2.0,2.55
2018-10-11T21:00:00,2.73,4.4,2.0,2.42
2018-10-14T21:00:00,2.73,4.38,2.0,2.5
2018-10-15T21:00:00,2.83,4.48,2.3,2.3
2018-10-16T21:00:00,2.92,4.48,2.3,2.11
2018-10-17T21:00:00,3.1,4.48,2.3,1.83
2018-10-18T21:00:00,2.77,4.48,2.3,2.06
2018-10-21T21:00:00,2.77,4.48,2.3,2.09
2018-10-22T21:00:00,2.77,4.39,2.3,2.08
2018-10-23T21:00:00,2.77,4.63,2.3,1.74
2018-10-24T21:00:00,3.08,4.63,2.3,1.33
2018-10-25T21:00:00,2.87,4.64,2.3,1.44
2018-10-28T21:00:00,2.38,4.64,2.3,1.83
2018-10-29T21:00:00,3.23,5.49,4.1,0.88
2018-10-30T21:00:00,2.96,5.49,4.1,1.05
2018-10-31T21:00:00,3.85,5.49,4.1,0.06
2018-11-01T21:00:00,3.74,5.4,4.1,0.07
2018-11-04T22:00:00,3.71,5.4,4.1,0.0
2018-11-05T22:00:00,3.93,5.62,4.64,-0.32
2018-11-06T22:00:00,4.26,5.95,5.4,-0.75
2018-11-07T22:00:00,4.45,5.95,5.4,-1.04
2018-11-08T22:00:00,4.2,6.0,5.4,-0.89
2018-11-11T22:00:00,4.2,6.0,5.4,-1.24
2018-11-12T22:00:00,4.2,6.0,5.4,-1.23
2018-11-13T22:00:00,4.13,5.93,5.36,-1.26
2018-11-14T22:00:00,4.13,5.93,5.36,-1.66
2018-11-15T22:00:00,4.13,5.89,5.36,-1.6
2018-11-18T22:00:00,4.13,5.89,5.36,-1.05
2018-11-19T22:00:00,4.38,5.89,5.36,-0.7
2018-11-20T22:00:00,3.73,5.89,5.36,-1.25
2018-11-21T22:00:00,3.73,6.08,5.36,-0.96
2018-11-22T22:00:00,3.73,6.08,5.36,-1.27
2018-11-25T22:00:00,3.61,6.0,5.36,-1.25
2018-11-26T22:00:00,3.89,6.28,6.02,-1.63
2018-11-27T22:00:00,4.23,6.28,6.02,-2.07
2018-11-28T22:00:00,4.08,6.28,6.02,-2.02
2018-11-29T22:00:00,4.45,6.28,6.02,-2.49
2018-12-02T22:00:00,4.04,6.49,6.02,-2.18
2018-12-03T22:00:00,4.04,6.59,6.02,-1.98
2018-12-04T22:00:00,4.9,7.45,7.84,-1.02
2018-12-05T22:00:00,5.57,7.45,7.84,-0.25
2018-12-06T22:00:00,5.92,6.9,7.84,0.2
2018-12-09T22:00:00,5.46,7.16,7.84,-0.16
2018-12-10T22:00:00,5.46,7.16,7.84,-0.66
2018-12-11T22:00:00,5.12,7.3,7.84,-0.42
2018-12-12T22:00:00,5.19,7.3,7.84,-0.59
2018-12-13T22:00:00,4.88,7.3,7.84,-0.38
2018-12-16T22:00:00,5.15,7.3,7.84,-0.01
2018-12-17T22:00:00,5.13,7.12,7.84,0.07
2018-12-18T22:00:00,6.11,8.1,9.9,1.15
2018-12-19T22:00:00,6.6,7.41,9.9,1.74
2018-12-20T22:00:00,6.87,7.41,9.9,2.11
2018-12-23T22:00:00,6.96,7.41,9.9,2.3
2018-12-25T22:00:00,6.11,7.41,9.9,1.55
2018-12-26T22:00:00,7.16,8.46,12.1,2.7
2018-12-27T22:00:00,7.04,8.38,12.1,2.68
2018-12-30T22:00:00,7.06,8.38,12.1,2.8
2019-01-01T22:00:00,7.06,8.38,12.1,2.67
2019-01-02T22:00:00,7.06,8.38,12.1,2.83
2019-01-03T22:00:00,8.51,8.38,12.1,1.28
2019-01-06T22:00:00,8.17,8.52,12.1,1.52
2019-01-07T22:00:00,8.17,8.52,12.1,1.32
2019-01-08T22:00:00,8.17,8.87,12.1,1.77
2019-01-09T22:00:00,8.17,9.36,12.1,1.18
2019-01-10T22:00:00,8.72,9.36,12.1,0.53
2019-01-13T22:00:00,8.3,9.58,12.1,0.85
2019-01-14T22:00:00,8.76,10.04,13.12,0.29
2019-01-15T22:00:00,8.35,10.25,13.12,0.6
2019-01-16T22:00:00,8.63,10.25,13.12,0.22
2019-01-17T22:00:00,8.63,10.32,13.12,0.39
2019-01-20T22:00:00,8.68,10.37,13.32,0.54
2019-01-21T22:00:00,9.01,10.37,13.32,0.97
2019-01-22T22:00:00,9.01,10.34,13.32,0.9
2019-01-23T22:00:00,9.01,10.34,13.32,0.95
2019-01-24T22:00:00,9.01,10.34,13.32,0.63
2019-01-27T22:00:00,9.01,10.61,13.32,1.0
2019-01-28T22:00:00,9.01,10.31,13.32,1.2
2019-01-29T22:00:00,9.01,11.06,13.32,0.35
2019-01-30T22:00:00,9.01,11.06,13.32,-0.3
2019-01-31T22:00:00,8.47,11.4,13.32,0.14
2019-02-03T22:00:00,8.2,11.13,12.88,0.31
2019-02-04T22:00:00,8.2,11.44,12.88,-0.1
2019-02-05T22:00:00,8.2,12.77,12.88,1.33
2019-02-06T22:00:00,8.2,12.82,12.88,1.18
2019-02-07T22:00:00,8.2,12.69,12.88,1.21
2019-02-10T22:00:00,8.2,12.69,12.88,1.2
2019-02-11T22:00:00,8.2,12.69,12.88,1.2
2019-02-12T22:00:00,8.61,12.69,12.88,0.69
2019-02-13T22:00:00,8.42,12.68,12.88,0.78
2019-02-14T22:00:00,8.82,13.08,13.78,0.28
2019-02-17T22:00:00,8.49,13.21,13.78,0.51
2019-02-18T22:00:00,8.6,13.32,14.1,0.3
2019-02-19T22:00:00,8.47,13.19,13.94,0.27
2019-02-20T22:00:00,9.37,14.09,15.84,1.27
2019-02-21T22:00:00,8.72,14.54,15.84,0.72
2019-02-24T22:00:00,8.37,14.54,15.84,0.47
2019-02-25T22:00:00,8.37,14.54,15.84,0.45
2019-02-26T22:00:00,8.73,14.9,16.66,0.91
2019-02-27T22:00:00,9.25,14.9,16.66,1.53
2019-02-28T22:00:00,9.3,14.65,16.66,1.68
2019-03-03T22:00:00,9.08,14.65,16.66,1.56
2019-03-04T22:00:00,9.08,14.35,16.66,1.36
2019-03-05T22:00:00,9.08,14.98,16.66,2.09
2019-03-06T22:00:00,9.08,15.64,16.66,1.33
2019-03-07T22:00:00,9.08,15.64,16.66,1.27
2019-03-10T21:00:00,9.42,15.98,17.44,0.83
2019-03-11T21:00:00,9.1,16.1,17.44,1.05
2019-03-12T21:00:00,9.1,16.1,17.44,1.23
2019-03-13T21:00:00,9.2,15.8,17.44,1.43
2019-03-14T21:00:00,8.99,15.81,17.44,1.32
2019-03-17T21:00:00,8.81,15.81,17.44,1.24
2019-03-18T21:00:00,8.81,16.06,17.44,1.59
2019-03-19T21:00:00,8.81,16.06,17.44,1.71
2019-03-20T21:00:00,8.81,16.06,17.44,1.44
2019-03-21T21:00:00,8.92,16.06,17.44,1.23
2019-03-24T21:00:00,9.1,16.06,17.44,0.95
2019-03-25T21:00:00,9.72,16.68,18.78,0.23
2019-03-26T21:00:00,9.1,17.1,18.78,0.75
2019-03-27T21:00:00,9.07,17.07,18.82,0.68
2019-03-28T21:00:00,9.29,17.29,19.36,0.36
2019-03-31T21:00:00,9.29,17.29,19.36,0.33
2019-04-01T21:00:00,9.29,17.66,19.36,0.8
2019-04-02T21:00:00,8.85,17.66,19.36,0.46
2019-04-03T21:00:00,8.85,17.66,19.36,0.35
2019-04-04T21:00:00,8.85,17.66,19.36,0.43
2019-04-07T21:00:00,8.85,17.66,19.36,0.52
2019-04-08T21:00:00,8.85,17.66,19.36,0.53
2019-04-09T21:00:00,8.85,18.12,19.36,-0.03
2019-04-10T21:00:00,8.85,18.49,19.36,0.44
2019-04-11T21:00:00,8.85,18.49,19.36,0.16
2019-04-14T21:00:00,8.85,18.49,19.36,0.24
2019-04-15T21:00:00,8.85,18.62,19.36,0.01
2019-04-16T21:00:00,8.85,18.62,19.36,0.08
2019-04-17T21:00:00,8.96,18.62,19.36,-0.13
2019-04-18T21:00:00,8.96,18.62,19.36,-0.03
2019-04-21T21:00:00,9.22,18.88,19.98,0.33
2019-04-22T21:00:00,9.22,18.88,19.98,0.5
2019-04-23T21:00:00,9.22,18.88,19.98,1.05
2019-04-24T21:00:00,9.22,19.02,19.98,0.81
2019-04-25T21:00:00,9.22,19.02,19.98,0.56
2019-04-28T21:00:00,9.22,19.02,19.98,0.66
2019-04-29T21:00:00,9.46,19.02,19.98,1.0
2019-04-30T21:00:00,9.66,19.02,19.98,1.3
2019-05-01T21:00:00,9.56,18.92,19.98,1.3
2019-05-02T21:00:00,9.56,18.92,19.98,1.22
2019-05-05T21:00:00,9.56,18.92,19.98,1.11
2019-05-06T21:00:00,9.56,18.92,19.98,0.74
2019-05-07T21:00:00,9.56,19.17,19.98,1.09
2019-05-08T21:00:00,9.56,18.88,19.98,1.28
2019-05-09T21:00:00,9.45,18.79,19.98,1.27
2019-05-12T21:00:00,9.97,18.79,19.98,1.89
2019-05-13T21:00:00,9.7,18.86,19.98,1.72
2019-05-14T21:00:00,9.79,18.95,20.26,1.91
2019-05-15T21:00:00,9.79,18.95,20.26,2.18
2019-05-16T21:00:00,9.87,18.95,20.26,2.36
2019-05-19T21:00:00,9.86,18.95,20.26,2.45
2019-05-20T21:00:00,10.05,19.14,20.74,2.74
2019-05-21T21:00:00,9.9,19.09,20.74,2.69
2019-05-22T21:00:00,9.81,19.09,20.74,2.7
2019-05-23T21:00:00,9.81,19.09,20.74,2.5
2019-05-26T21:00:00,9.65,19.05,20.74,2.56
2019-05-27T21:00:00,9.93,19.33,21.4,2.18
2019-05-28T21:00:00,9.98,19.08,21.4,2.03
2019-05-29T21:00:00,9.83,19.03,21.4,2.08
2019-05-30T21:00:00,9.71,19.03,21.4,2.1
2019-06-02T21:00:00,9.71,19.03,21.4,2.11
2019-06-03T21:00:00,9.71,19.03,21.4,2.0
2019-06-04T21:00:00,9.71,19.03,21.4,2.06
2019-06-05T21:00:00,9.96,19.03,21.4,2.41
2019-06-06T21:00:00,10.0,18.79,21.4,2.55
2019-06-09T21:00:00,10.47,18.79,21.4,3.12
2019-06-10T21:00:00,10.48,18.58,21.4,3.23
2019-06-11T21:00:00,10.51,18.58,21.4,3.36
2019-06-12T21:00:00,10.51,18.58,21.4,3.46
2019-06-13T21:00:00,10.51,18.51,21.4,3.49
2019-06-16T21:00:00,10.51,18.51,21.4,3.87
2019-06-17T21:00:00,10.51,18.97,21.4,3.31
2019-06-18T21:00:00,10.51,19.08,21.4,3.52
2019-06-19T21:00:00,10.51,19.08,21.4,3.49
2019-06-20T21:00:00,11.03,19.6,22.54,4.11
2019-06-23T21:00:00,11.03,19.73,22.54,3.88
2019-06-24T21:00:00,11.03,19.73,22.54,3.64
2019-06-25T21:00:00,11.25,19.73,22.54,3.32
2019-06-26T21:00:00,11.49,19.29,22.54,2.98
2019-06-27T21:00:00,11.55,19.03,22.54,2.82
2019-06-30T21:00:00,11.17,19.03,22.54,3.1
2019-07-01T21:00:00,11.47,19.03,22.54,2.7
2019-07-02T21:00:00,11.97,19.53,23.64,2.1
2019-07-03T21:00:00,11.73,19.57,23.64,2.24
2019-07-04T21:00:00,11.54,19.57,23.64,2.33
2019-07-07T21:00:00,11.54,19.57,23.64,2.31
2019-07-08T21:00:00,12.01,20.04,24.68,2.88
2019-07-09T21:00:00,11.84,20.01,24.68,2.81
2019-07-10T21:00:00,11.84,20.12,24.68,2.6
2019-07-11T21:00:00,12.24,20.52,25.58,2.1
2019-07-14T21:00:00,12.59,19.97,25.58,1.65
2019-07-15T21:00:00,12.53,19.83,25.58,1.61
2019-07-16T21:00:00,12.26,19.83,25.58,1.78
2019-07-17T21:00:00,12.63,20.2,26.42,1.31
2019-07-18T21:00:00,12.57,20.2,26.42,1.27
2019-07-21T21:00:00,12.57,20.2,26.42,1.28
2019-07-22T21:00:00,12.57,20.2,26.42,1.19
2019-07-23T21:00:00,12.57,20.38,26.42,1.47
2019-07-24T21:00:00,12.91,20.38,26.42,1.91
2019-07-25T21:00:00,13.24,20.38,26.42,2.34
2019-07-28T21:00:00,13.4,20.38,26.42,2.6
2019-07-29T21:00:00,13.82,20.38,26.42,3.12
2019-07-30T21:00:00,13.42,20.58,26.42,2.82
2019-07-31T21:00:00,13.42,21.18,26.42,3.52
2019-08-01T21:00:00,13.55,21.18,26.42,3.75
2019-08-04T21:00:00,14.91,22.54,29.24,5.21
2019-08-05T21:00:00,14.72,22.53,29.24,5.12
2019-08-06T21:00:00,14.61,22.44,29.24,5.11
2019-08-07T21:00:00,14.61,23.18,29.24,4.27
2019-08-08T21:00:00,14.61,23.48,29.24,4.67
2019-08-11T21:00:00,14.61,24.03,29.24,5.32
2019-08-12T21:00:00,15.54,24.96,31.2,4.29
2019-08-13T21:00:00,14.96,24.96,31.2,4.77
2019-08-14T21:00:00,15.56,25.56,32.5,4.07
2019-08-15T21:00:00,15.63,25.29,32.5,3.9
2019-08-18T21:00:00,15.44,25.28,32.5,3.99
2019-08-19T21:00:00,15.33,25.17,32.38,4.0
2019-08-20T21:00:00,15.05,25.25,32.38,3.82
2019-08-21T21:00:00,15.26,25.46,32.9,4.13
2019-08-22T21:00:00,15.78,25.46,32.9,4.75
2019-08-25T21:00:00,14.69,26.35,32.9,3.76
2019-08-26T21:00:00,14.36,26.48,32.9,3.99
2019-08-27T21:00:00,14.1,26.54,32.9,4.15
2019-08-28T21:00:00,14.13,26.57,33.06,4.02
2019-08-29T21:00:00,14.77,27.21,34.44,3.28
2019-09-01T21:00:00,14.67,27.11,34.44,3.28
2019-09-02T21:00:00,15.2,27.11,34.44,2.65
2019-09-03T21:00:00,15.08,27.03,34.44,2.67
2019-09-04T21:00:00,15.24,27.19,34.86,2.41
2019-09-05T21:00:00,15.69,27.64,35.86,1.86
2019-09-08T21:00:00,15.71,27.42,35.86,1.74
2019-09-09T21:00:00,15.64,27.42,35.86,1.71
2019-09-10T21:00:00,15.64,27.65,35.86,1.38
2019-09-11T21:00:00,15.64,28.0,35.86,1.83
2019-09-12T21:00:00,15.64,28.03,35.86,1.7
2019-09-15T21:00:00,15.64,28.62,35.86,1.01
2019-09-16T21:00:00,15.64,29.18,35.86,1.67
2019-09-17T21:00:00,15.71,29.18,35.86,1.84
2019-09-18T21:00:00,16.24,29.71,37.02,2.47
2019-09-19T21:00:00,16.24,29.4,37.02,2.68
2019-09-22T21:00:00,16.24,29.54,37.02,2.44
2019-09-23T21:00:00,16.24,29.54,37.02,2.29
2019-09-24T21:00:00,16.24,29.54,37.02,2.35
2019-09-25T21:00:00,16.31,29.54,37.02,2.18
2019-09-26T21:00:00,16.27,29.54,37.02,2.12
2019-09-29T21:00:00,16.27,29.54,37.02,1.9
2019-09-30T21:00:00,17.15,30.42,38.88,2.88
2019-10-01T21:00:00,17.24,30.13,38.88,3.07
2019-10-02T21:00:00,16.63,30.54,38.88,2.56
2019-10-03T21:00:00,16.63,30.15,38.88,2.27
2019-10-06T21:00:00,16.63,30.3,38.88,2.52
2019-10-07T21:00:00,16.6,30.27,38.92,2.45
2019-10-08T21:00:00,16.6,30.27,38.92,2.65
2019-10-09T21:00:00,16.6,30.4,38.92,2.42
2019-10-10T21:00:00,16.6,30.4,38.92,2.24
2019-10-13T21:00:00,16.6,30.42,38.92,2.36
2019-10-14T21:00:00,16.84,30.66,39.5,2.7
2019-10-15T21:00:00,17.03,30.66,39.5,2.99
2019-10-16T21:00:00,17.03,31.07,39.5,2.48
2019-10-17T21:00:00,17.03,30.94,39.5,2.45
2019-10-20T21:00:00,17.03,30.94,39.5,2.09
2019-10-21T21:00:00,16.98,30.79,39.5,2.04
2019-10-22T21:00:00,16.8,30.77,39.5,2.12
2019-10-23T21:00:00,16.8,30.77,39.5,2.4
2019-10-24T21:00:00,16.8,30.95,39.5,2.12
2019-10-27T21:00:00,16.78,30.95,39.5,2.04
2019-10-28T21:00:00,16.78,30.95,39.5,1.76
2019-10-29T21:00:00,16.78,30.64,39.5,1.55
