date,trend,signal,trend+signal,return
2018-08-01T21:00:00,0.0,0.0,0.0,-0.31
2018-08-02T21:00:00,0.17,-0.37,0.0,-0.58
2018-08-05T21:00:00,0.17,-0.4,0.0,-0.51
2018-08-06T21:00:00,0.17,-0.4,0.0,-0.23
2018-08-07T21:00:00,0.17,-0.4,0.0,-0.33
2018-08-08T21:00:00,0.77,0.2,1.3,-1.03
2018-08-09T21:00:00,1.54,0.2,1.3,-1.9
2018-08-12T21:00:00,1.26,0.28,1.3,-1.72
2018-08-13T21:00:00,1.6,0.62,2.08,-2.16
2018-08-14T21:00:00,1.62,0.4,2.08,-2.28
2018-08-15T21:00:00,1.62,0.88,2.08,-1.7
2018-08-16T21:00:00,1.94,0.36,2.08,-1.28
2018-08-19T21:00:00,1.84,0.26,2.08,-1.28
2018-08-20T21:00:00,1.84,0.26,2.08,-1.17
2018-08-21T21:00:00,1.84,0.26,2.08,-1.12
2018-08-22T21:00:00,1.84,0.26,2.08,-1.32
2018-08-23T21:00:00,1.84,0.58,2.08,-0.9
2018-08-26T21:00:00,1.84,0.58,2.08,-0.77
2018-08-27T21:00:00,1.84,0.68,2.08,-0.97
2018-08-28T21:00:00,1.84,1.05,2.08,-1.44
2018-08-29T21:00:00,2.21,1.05,2.08,-1.91
2018-08-30T21:00:00,2.69,0.37,2.08,-2.49
2018-09-02T21:00:00,2.49,0.37,2.08,-2.39
2018-09-03T21:00:00,2.49,0.37,2.08,-2.19
2018-09-04T21:00:00,2.49,0.37,2.08,-2.01
2018-09-05T21:00:00,2.49,0.98,2.08,-2.72
2018-09-06T21:00:00,2.56,0.71,2.08,-2.89
2018-09-09T21:00:00,2.56,1.57,2.08,-1.93
2018-09-10T21:00:00,2.28,1.65,2.08,-2.11
2018-09-11T21:00:00,2.16,1.57,2.08,-2.13
2018-09-12T21:00:00,2.16,1.57,2.08,-2.2
2018-09-13T21:00:00,2.16,1.57,2.08,-2.57
2018-09-16T21:00:00,2.16,1.43,2.08,-2.61
2018-09-17T21:00:00,1.99,1.43,2.08,-2.54
2018-09-18T21:00:00,1.99,1.65,2.08,-2.22
2018-09-19T21:00:00,1.91,1.65,2.08,-2.2
2018-09-20T21:00:00,1.91,1.65,2.08,-2.46
2018-09-23T21:00:00,2.43,2.17,3.22,-1.84
2018-09-24T21:00:00,2.51,2.17,3.22,-1.66
2018-09-25T21:00:00,2.51,2.19,3.22,-1.78
2018-09-26T21:00:00,2.51,2.19,3.22,-1.44
2018-09-27T21:00:00,2.51,2.19,3.22,-1.3
2018-09-30T21:00:00,2.51,2.19,3.22,-1.27
2018-10-01T21:00:00,2.51,2.19,3.22,-1.51
2018-10-02T21:00:00,2.51,2.31,3.22,-1.29
2018-10-03T21:00:00,2.7,2.31,3.22,-1.0
2018-10-04T21:00:00,2.71,2.31,3.22,-0.89
2018-10-07T21:00:00,2.38,2.31,3.22,-1.12
2018-10-08T21:00:00,2.38,2.31,3.22,-1.19
2018-10-09T21:00:00,2.33,2.31,3.22,-1.14
2018-10-10T21:00:00,2.79,2.31,3.22,-0.58
2018-10-11T21:00:00,2.62,2.28,3.22,-0.65
2018-10-14T21:00:00,2.41,2.28,3.22,-0.76
2018-10-15T21:00:00,2.41,2.28,3.22,-0.49
2018-10-16T21:00:00,2.41,2.35,3.22,-0.66
2018-10-17T21:00:00,2.41,2.35,3.22,-1.04
2018-10-18T21:00:00,2.41,2.83,3.22,-0.46
2018-10-21T21:00:00,2.68,3.1,3.86,-0.83
2018-10-22T21:00:00,2.64,3.1,3.86,-0.89
2018-10-23T21:00:00,2.97,3.1,3.86,-1.32
2018-10-24T21:00:00,2.79,3.1,3.86,-1.24
2018-10-25T21:00:00,2.79,3.1,3.86,-1.23
2018-10-28T21:00:00,2.79,3.1,3.86,-0.99
2018-10-29T21:00:00,2.79,3.1,3.86,-0.94
2018-10-30T21:00:00,2.79,2.97,3.86,-0.91
2018-10-31T21:00:00,2.79,2.97,3.86,-0.7
2018-11-01T21:00:00,2.79,2.97,3.86,-0.74
2018-11-04T22:00:00,2.79,3.2,3.86,-0.41
2018-11-05T22:00:00,2.79,3.12,3.86,-0.43
2018-11-06T22:00:00,2.79,3.12,3.86,-0.42
2018-11-07T22:00:00,2.79,3.2,3.86,-0.6
2018-11-08T22:00:00,2.79,3.2,3.86,-0.9
2018-11-11T22:00:00,3.14,3.2,3.86,-1.35
2018-11-12T22:00:00,3.14,3.35,3.86,-1.1
2018-11-13T22:00:00,3.14,3.35,3.86,-1.05
2018-11-14T22:00:00,3.14,3.48,3.86,-0.82
2018-11-15T22:00:00,3.14,3.48,3.86,-0.73
2018-11-18T22:00:00,3.14,3.69,3.86,-1.04
2018-11-19T22:00:00,3.14,3.69,3.86,-1.61
2018-11-20T22:00:00,3.14,3.67,3.86,-1.53
2018-11-21T22:00:00,2.83,3.78,3.86,-1.32
2018-11-22T22:00:00,2.83,4.0,3.86,-1.64
2018-11-25T22:00:00,2.83,4.0,3.86,-1.59
2018-11-26T22:00:00,2.83,4.19,3.86,-1.88
2018-11-27T22:00:00,2.83,4.23,3.86,-1.74
2018-11-28T22:00:00,2.83,4.23,3.86,-1.34
2018-11-29T22:00:00,2.83,4.23,3.86,-1.64
2018-12-02T22:00:00,2.83,4.23,3.86,-1.69
2018-12-03T22:00:00,2.83,3.98,3.86,-1.84
2018-12-04T22:00:00,2.83,3.98,3.86,-1.84
2018-12-05T22:00:00,2.83,3.98,3.86,-2.01
2018-12-06T22:00:00,2.83,3.98,3.86,-2.16
2018-12-09T22:00:00,2.83,3.98,3.86,-2.6
2018-12-10T22:00:00,2.83,3.98,3.86,-2.62
2018-12-11T22:00:00,2.83,4.35,3.86,-2.15
2018-12-12T22:00:00,2.83,4.31,3.86,-2.21
2018-12-13T22:00:00,2.83,4.28,3.86,-2.28
2018-12-16T22:00:00,2.65,4.28,3.86,-2.36
2018-12-17T22:00:00,2.65,4.28,3.86,-2.23
2018-12-18T22:00:00,2.65,4.28,3.86,-1.9
2018-12-19T22:00:00,2.65,4.26,3.86,-1.98
2018-12-20T22:00:00,2.65,4.26,3.86,-1.95
2018-12-23T22:00:00,2.65,4.26,3.86,-2.45
2018-12-25T22:00:00,2.65,4.6,3.86,-2.01
2018-12-26T22:00:00,2.65,4.6,3.86,-2.04
2018-12-27T22:00:00,2.65,4.6,3.86,-2.31
2018-12-30T22:00:00,2.65,4.6,3.86,-2.36
2019-01-01T22:00:00,2.65,4.6,3.86,-2.59
2019-01-02T22:00:00,2.65,4.6,3.86,-2.47
