date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.76
2018-08-21T21:00:00,0.0,-0.32,0.0,0.98
2018-08-22T21:00:00,0.0,0.03,0.0,0.53
2018-08-23T21:00:00,0.0,0.66,0.0,1.26
2018-08-26T21:00:00,0.44,1.1,0.98,1.8
2018-08-27T21:00:00,0.48,0.86,0.98,1.94
2018-08-28T21:00:00,0.47,0.67,0.98,2.03
2018-08-29T21:00:00,0.47,0.89,0.98,1.71
2018-08-30T21:00:00,0.92,0.89,0.98,1.16
2018-09-02T21:00:00,0.61,1.0,0.98,1.37
2018-09-03T21:00:00,0.61,1.22,0.98,1.05
2018-09-04T21:00:00,0.61,1.55,0.98,1.48
2018-09-05T21:00:00,0.61,1.51,0.98,1.42
2018-09-06T21:00:00,1.1,1.51,0.98,0.83
2018-09-09T21:00:00,0.62,1.79,0.98,1.21
2018-09-10T21:00:00,0.59,1.79,0.98,1.28
2018-09-11T21:00:00,0.66,1.79,0.98,1.45
2018-09-12T21:00:00,1.1,1.79,0.98,1.99
2018-09-13T21:00:00,0.42,2.27,0.98,1.41
2018-09-16T21:00:00,0.79,2.64,1.82,1.88
2018-09-17T21:00:00,0.79,2.71,1.82,1.71
2018-09-18T21:00:00,0.79,2.69,1.82,1.79
2018-09-19T21:00:00,1.54,3.44,3.42,2.64
2018-09-20T21:00:00,0.77,4.01,3.42,1.97
2018-09-23T21:00:00,0.77,3.93,3.42,1.99
2018-09-24T21:00:00,0.77,3.95,3.42,2.11
2018-09-25T21:00:00,0.85,4.03,3.68,1.93
2018-09-26T21:00:00,1.55,4.73,5.18,1.13
2018-09-27T21:00:00,1.62,4.46,5.18,0.96
2018-09-30T21:00:00,1.85,4.46,5.18,0.63
2018-10-01T21:00:00,1.93,4.46,5.18,0.45
2018-10-02T21:00:00,2.38,4.46,5.18,-0.1
2018-10-03T21:00:00,2.38,4.67,5.18,0.21
2018-10-04T21:00:00,2.38,4.67,5.18,0.26
2018-10-07T21:00:00,2.38,4.94,5.18,-0.11
2018-10-08T21:00:00,2.38,4.93,5.18,-0.02
2018-10-09T21:00:00,2.6,4.93,5.18,0.3
2018-10-10T21:00:00,3.08,4.93,5.18,0.88
2018-10-11T21:00:00,2.76,5.05,5.18,0.66
