date,trend,signal,trend+signal,return
2021-11-29T06:00:00,0.0,0.0,0.0,-0.03
2021-11-29T07:00:00,0.0,0.15,0.0,0.13
2021-11-29T08:00:00,-0.13,0.15,0.0,0.01
2021-11-29T09:00:00,-0.03,0.15,0.0,0.12
2021-11-29T10:00:00,0.04,0.15,0.0,0.2
2021-11-29T11:00:00,0.09,0.08,0.0,0.26
2021-11-29T12:00:00,0.12,0.08,0.0,0.3
2021-11-29T13:00:00,0.12,0.08,0.0,0.3
2021-11-29T14:00:00,0.12,0.08,0.0,0.42
2021-11-29T15:00:00,0.12,0.08,0.0,0.19
2021-11-29T16:00:00,0.12,0.08,0.0,0.27
2021-11-29T17:00:00,0.12,0.08,0.0,0.34
2021-11-29T18:00:00,0.11,0.08,0.0,0.34
2021-11-29T19:00:00,0.1,0.08,0.0,0.34
2021-11-29T20:00:00,0.09,0.08,0.0,0.34
2021-11-29T21:00:00,0.09,0.08,0.0,0.35
2021-11-29T22:00:00,0.16,0.08,0.0,0.43
2021-11-29T23:00:00,0.32,0.08,0.0,0.6
2021-11-30T00:00:00,0.26,0.12,0.0,0.55
2021-11-30T01:00:00,0.24,0.12,0.0,0.54
2021-11-30T02:00:00,0.33,0.21,0.18,0.64
2021-11-30T03:00:00,0.33,0.31,0.18,0.53
2021-11-30T04:00:00,0.33,0.31,0.18,0.44
2021-11-30T05:00:00,0.33,0.31,0.18,0.14
2021-11-30T06:00:00,0.33,0.31,0.18,0.34
2021-11-30T07:00:00,0.33,0.26,0.18,0.38
2021-11-30T08:00:00,0.33,0.26,0.18,0.3
2021-11-30T09:00:00,0.33,0.26,0.18,0.39
2021-11-30T10:00:00,0.3,0.26,0.18,0.37
2021-11-30T11:00:00,0.36,0.26,0.18,0.44
2021-11-30T12:00:00,0.36,0.26,0.18,0.39
2021-11-30T13:00:00,0.36,0.26,0.18,0.36
2021-11-30T14:00:00,0.41,0.26,0.18,0.3
2021-11-30T15:00:00,0.65,0.26,0.18,0.05
2021-11-30T16:00:00,0.68,0.26,0.18,0.01
2021-11-30T17:00:00,0.54,0.38,0.18,0.14
2021-11-30T18:00:00,0.52,0.38,0.18,0.13
2021-11-30T19:00:00,0.63,0.49,0.4,0.25
2021-11-30T20:00:00,0.7,0.49,0.4,0.33
2021-11-30T21:00:00,0.77,0.49,0.4,0.41
2021-11-30T22:00:00,0.77,0.47,0.4,0.42
2021-11-30T23:00:00,0.77,0.47,0.4,0.46
2021-12-01T00:00:00,0.77,0.47,0.4,0.43
2021-12-01T01:00:00,0.77,0.47,0.4,0.55
2021-12-01T02:00:00,0.77,0.47,0.4,0.55
2021-12-01T03:00:00,0.77,0.47,0.4,0.57
2021-12-01T04:00:00,0.77,0.55,0.4,0.66
2021-12-01T05:00:00,0.76,0.55,0.4,0.66
2021-12-01T06:00:00,0.81,0.55,0.4,0.72
