date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.16,0.0,0.0,-0.17
2021-11-28T22:00:00,0.16,0.0,0.0,0.06
2021-11-28T23:00:00,0.16,0.15,0.0,-0.1
2021-11-29T00:00:00,0.17,0.15,0.0,-0.12
2021-11-29T01:00:00,0.34,0.32,0.34,-0.3
2021-11-29T02:00:00,0.31,0.33,0.34,-0.28
2021-11-29T03:00:00,0.36,0.33,0.34,-0.34
2021-11-29T04:00:00,0.33,0.33,0.34,-0.32
2021-11-29T05:00:00,0.33,0.33,0.34,-0.33
2021-11-29T06:00:00,0.33,0.33,0.34,-0.34
2021-11-29T07:00:00,0.33,0.33,0.34,-0.46
2021-11-29T08:00:00,0.49,0.49,0.66,-0.29
2021-11-29T09:00:00,0.53,0.43,0.66,-0.24
2021-11-29T10:00:00,0.56,0.43,0.66,-0.2
2021-11-29T11:00:00,0.69,0.43,0.66,-0.06
2021-11-29T12:00:00,0.67,0.43,0.66,-0.07
2021-11-29T13:00:00,0.67,0.51,0.66,-0.16
2021-11-29T14:00:00,0.67,0.63,0.66,-0.03
2021-11-29T15:00:00,0.85,0.81,1.02,0.16
2021-11-29T16:00:00,0.86,0.78,1.02,0.18
2021-11-29T17:00:00,0.71,0.91,1.02,0.04
2021-11-29T18:00:00,0.71,0.89,1.02,0.03
2021-11-29T19:00:00,0.71,0.89,1.02,0.04
2021-11-29T20:00:00,0.71,0.89,1.02,0.06
2021-11-29T21:00:00,0.71,0.89,1.02,-0.04
2021-11-29T22:00:00,0.71,0.89,1.02,0.0
2021-11-29T23:00:00,0.71,0.97,1.02,-0.09
2021-11-30T00:00:00,0.71,0.97,1.02,0.09
2021-11-30T01:00:00,0.71,1.14,1.02,-0.09
2021-11-30T02:00:00,0.71,1.22,1.02,0.0
2021-11-30T03:00:00,0.69,1.22,1.02,-0.01
2021-11-30T04:00:00,0.68,1.21,1.0,-0.01
2021-11-30T05:00:00,1.28,1.81,2.2,0.6
2021-11-30T06:00:00,1.32,1.75,2.2,0.65
2021-11-30T07:00:00,1.22,1.83,2.2,0.56
2021-11-30T08:00:00,1.32,1.93,2.4,0.67
2021-11-30T09:00:00,1.32,1.93,2.4,0.64
2021-11-30T10:00:00,1.32,1.93,2.4,0.74
2021-11-30T11:00:00,1.32,2.07,2.4,0.59
2021-11-30T12:00:00,1.35,2.07,2.4,0.55
2021-11-30T13:00:00,1.3,2.1,2.4,0.59
2021-11-30T14:00:00,1.29,2.1,2.4,0.59
2021-11-30T15:00:00,1.29,2.1,2.4,0.26
2021-11-30T16:00:00,1.29,2.1,2.4,0.38
2021-11-30T17:00:00,1.3,2.1,2.4,0.36
2021-11-30T18:00:00,1.3,2.1,2.4,0.28
2021-11-30T19:00:00,1.3,2.14,2.4,0.33
2021-11-30T20:00:00,1.3,2.26,2.4,0.46
2021-11-30T21:00:00,1.27,2.27,2.4,0.44
2021-11-30T22:00:00,1.27,2.3,2.4,0.4
2021-11-30T23:00:00,1.41,2.44,2.68,0.25
2021-12-01T00:00:00,1.38,2.45,2.68,0.27
2021-12-01T01:00:00,1.57,2.64,3.06,0.07
2021-12-01T02:00:00,1.77,2.64,3.06,-0.14
2021-12-01T03:00:00,1.79,2.6,3.06,-0.17
2021-12-01T04:00:00,1.81,2.56,3.06,-0.2
2021-12-01T05:00:00,1.81,2.59,3.06,-0.16
2021-12-01T06:00:00,1.79,2.59,3.06,-0.17
2021-12-01T07:00:00,1.96,2.76,3.4,0.01
2021-12-01T08:00:00,1.96,2.89,3.4,-0.13
2021-12-01T09:00:00,1.96,2.89,3.4,-0.16
2021-12-01T10:00:00,1.96,2.89,3.4,-0.14
2021-12-01T11:00:00,1.96,2.89,3.4,-0.13
2021-12-01T12:00:00,1.96,2.89,3.4,-0.12
2021-12-01T13:00:00,1.96,2.89,3.4,-0.11
2021-12-01T14:00:00,2.06,2.89,3.4,-0.0
2021-12-01T15:00:00,1.96,2.97,3.4,-0.09
2021-12-01T16:00:00,1.99,2.97,3.4,-0.05
2021-12-01T17:00:00,2.13,3.11,3.68,0.1
2021-12-01T18:00:00,2.15,3.11,3.68,0.13
2021-12-01T19:00:00,2.25,3.11,3.68,0.24
2021-12-01T20:00:00,2.32,3.11,3.68,0.32
2021-12-01T21:00:00,2.33,3.11,3.68,0.34
2021-12-01T22:00:00,2.29,3.13,3.68,0.31
2021-12-01T23:00:00,2.29,3.13,3.68,0.27
2021-12-02T00:00:00,2.29,3.15,3.68,0.3
2021-12-02T01:00:00,2.29,3.15,3.68,0.19
