date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,0.64
2016-09-09T21:00:00,-0.16,0.14,0.0,0.49
2016-09-16T21:00:00,-0.2,0.14,0.0,0.46
2016-09-23T21:00:00,0.21,0.55,0.82,0.88
2016-09-30T21:00:00,0.67,0.55,0.82,1.35
2016-10-07T21:00:00,0.67,0.55,0.82,0.64
2016-10-14T21:00:00,0.67,0.55,0.82,0.12
2016-10-21T21:00:00,0.67,0.55,0.82,0.89
2016-10-28T21:00:00,0.67,0.55,0.82,1.6
2016-11-04T21:00:00,0.67,0.55,0.82,1.67
2016-11-11T22:00:00,0.67,1.86,0.82,0.35
2016-11-18T22:00:00,0.67,1.96,0.82,0.46
2016-11-25T22:00:00,0.67,1.96,0.82,0.39
2016-12-02T22:00:00,0.67,1.96,0.82,0.38
2016-12-09T22:00:00,0.47,1.96,0.82,0.57
2016-12-16T22:00:00,0.47,1.96,0.82,0.85
2016-12-23T22:00:00,0.47,1.96,0.82,1.44
2016-12-30T22:00:00,0.47,2.11,0.82,1.28
2017-01-06T22:00:00,0.77,2.41,1.42,1.59
2017-01-13T22:00:00,1.46,3.1,2.8,2.29
2017-01-20T22:00:00,1.81,3.1,2.8,2.65
2017-01-27T22:00:00,1.81,3.91,2.8,1.83
2017-02-03T22:00:00,1.81,3.91,2.8,1.23
2017-02-10T22:00:00,2.07,3.91,2.8,0.96
2017-02-17T22:00:00,3.46,3.91,2.8,-0.44
2017-02-24T22:00:00,3.46,4.85,2.8,0.51
2017-03-03T22:00:00,3.46,4.85,2.8,1.28
2017-03-10T22:00:00,3.46,4.85,2.8,1.13
2017-03-17T21:00:00,3.46,4.85,2.8,1.54
2017-03-24T21:00:00,5.19,6.58,6.26,-0.2
2017-03-31T21:00:00,5.36,6.39,6.26,-0.38
2017-04-07T21:00:00,5.64,6.09,6.26,-0.67
2017-04-14T21:00:00,5.64,7.06,6.26,0.31
2017-04-21T21:00:00,5.96,6.72,6.26,0.64
2017-04-28T21:00:00,7.29,6.72,6.26,1.98
2017-05-05T21:00:00,7.29,7.57,6.26,1.12
2017-05-12T21:00:00,7.29,8.72,6.26,2.28
2017-05-19T21:00:00,7.29,8.72,6.26,1.84
2017-05-26T21:00:00,7.29,9.61,6.26,2.74
2017-06-02T21:00:00,7.29,10.13,6.26,2.21
2017-06-09T21:00:00,7.29,10.13,6.26,1.99
2017-06-16T21:00:00,7.29,10.13,6.26,2.19
2017-06-23T21:00:00,8.55,10.13,6.26,3.46
2017-06-30T21:00:00,8.79,9.87,6.26,3.71
2017-07-07T21:00:00,8.63,9.87,6.26,3.56
2017-07-14T21:00:00,9.64,9.87,6.26,4.58
2017-07-21T21:00:00,9.85,9.64,6.26,4.8
2017-07-28T21:00:00,9.85,10.1,6.26,5.27
2017-08-04T21:00:00,9.85,10.1,6.26,5.69
2017-08-11T21:00:00,9.85,10.39,6.26,5.39
2017-08-18T21:00:00,9.85,10.39,6.26,6.19
2017-08-25T21:00:00,9.85,10.39,6.26,5.58
2017-09-01T21:00:00,9.85,10.42,6.26,5.62
2017-09-08T21:00:00,10.12,10.42,6.26,5.34
2017-09-15T21:00:00,9.82,10.42,6.26,5.63
2017-09-22T21:00:00,9.82,10.42,6.26,5.63
