date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,-0.68,-0.68,-1.36,0.67
2016-09-09T21:00:00,-1.39,0.01,-1.36,-0.03
2016-09-16T21:00:00,-0.75,0.65,-0.08,0.62
2016-09-23T21:00:00,-0.75,0.65,-0.08,0.73
2016-09-30T21:00:00,-0.75,0.65,-0.08,0.47
2016-10-07T21:00:00,1.1,0.65,-0.08,-1.39
2016-10-14T21:00:00,1.86,-0.13,-0.08,-2.16
2016-10-21T21:00:00,0.89,0.82,-0.08,-1.2
2016-10-28T21:00:00,-0.47,0.82,-0.08,0.15
2016-11-04T21:00:00,1.37,2.66,3.6,-1.7
2016-11-11T22:00:00,3.61,4.9,8.08,-3.95
2016-11-18T22:00:00,3.61,4.88,8.08,-3.96
2016-11-25T22:00:00,3.08,4.88,8.08,-3.44
2016-12-02T22:00:00,3.72,5.52,9.36,-4.09
2016-12-09T22:00:00,4.48,5.52,9.36,-4.86
2016-12-16T22:00:00,4.48,5.65,9.36,-4.72
2016-12-23T22:00:00,4.48,5.65,9.36,-4.09
2016-12-30T22:00:00,5.08,5.65,9.36,-3.48
2017-01-06T22:00:00,6.14,6.71,11.48,-2.41
2017-01-13T22:00:00,7.04,6.71,11.48,-1.5
2017-01-20T22:00:00,7.0,6.73,11.48,-1.53
2017-01-27T22:00:00,7.0,6.73,11.48,-0.95
2017-02-03T22:00:00,7.0,8.1,11.48,-2.33
2017-02-10T22:00:00,7.11,7.97,11.48,-2.45
2017-02-17T22:00:00,7.54,7.52,11.48,-2.89
2017-02-24T22:00:00,7.54,7.52,11.48,-2.34
2017-03-03T22:00:00,7.54,7.52,11.48,-1.73
2017-03-10T22:00:00,7.54,7.52,11.48,-1.17
2017-03-17T21:00:00,8.13,7.52,11.48,-0.57
2017-03-24T21:00:00,8.13,9.21,11.48,-2.27
2017-03-31T21:00:00,8.13,9.21,11.48,-2.95
2017-04-07T21:00:00,7.88,9.44,11.48,-2.71
2017-04-14T21:00:00,6.84,9.44,11.48,-1.68
2017-04-21T21:00:00,6.84,9.4,11.48,-1.65
2017-04-28T21:00:00,6.84,9.4,11.48,-0.86
2017-05-05T21:00:00,6.84,10.19,11.48,-1.66
2017-05-12T21:00:00,9.36,12.71,16.52,0.87
2017-05-19T21:00:00,9.22,12.83,16.52,0.74
2017-05-26T21:00:00,10.18,12.83,16.52,1.71
2017-06-02T21:00:00,10.18,13.51,16.52,1.02
2017-06-09T21:00:00,10.18,13.39,16.52,0.91
2017-06-16T21:00:00,10.18,13.39,16.52,0.79
2017-06-23T21:00:00,12.18,15.39,20.52,2.8
2017-06-30T21:00:00,12.01,15.54,20.52,2.64
2017-07-07T21:00:00,12.62,15.54,20.52,3.26
2017-07-14T21:00:00,14.27,17.19,23.82,4.92
2017-07-21T21:00:00,15.0,16.44,23.82,5.66
2017-07-28T21:00:00,15.2,16.44,23.82,5.87
2017-08-04T21:00:00,15.6,16.44,23.82,6.28
2017-08-11T21:00:00,15.6,16.44,23.82,5.76
2017-08-18T21:00:00,17.02,17.86,26.66,7.19
2017-08-25T21:00:00,16.29,18.57,26.66,6.47
2017-09-01T21:00:00,17.55,19.83,29.18,7.74
2017-09-08T21:00:00,17.55,20.4,29.18,7.16
2017-09-15T21:00:00,17.55,20.4,29.18,7.39
2017-09-22T21:00:00,17.55,21.09,29.18,6.69
2017-09-29T21:00:00,17.55,20.58,29.18,6.19
2017-10-06T21:00:00,17.55,20.58,29.18,6.97
2017-10-13T21:00:00,17.55,20.58,29.18,6.68
2017-10-20T21:00:00,17.55,22.03,29.18,5.22
2017-10-27T21:00:00,17.55,22.02,29.18,5.22
2017-11-03T21:00:00,17.55,22.42,29.18,5.63
2017-11-10T22:00:00,18.68,22.42,29.18,6.77
2017-11-17T22:00:00,19.87,22.42,29.18,7.97
2017-11-24T22:00:00,19.64,22.63,29.18,7.75
2017-12-01T22:00:00,18.85,23.4,29.18,6.97
2017-12-08T22:00:00,18.85,23.4,29.18,6.85
