date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.12,0.12,0.24,0.13
2016-09-09T21:00:00,0.12,1.49,0.24,-1.25
2016-09-16T21:00:00,2.23,1.49,0.24,-3.37
2016-09-23T21:00:00,2.68,1.02,0.24,-3.83
2016-09-30T21:00:00,5.47,1.02,0.24,-6.63
2016-10-07T21:00:00,7.2,1.02,0.24,-8.37
2016-10-14T21:00:00,6.38,1.82,0.24,-7.56
2016-10-21T21:00:00,6.47,1.82,0.24,-7.66
2016-10-28T21:00:00,8.1,1.82,0.24,-6.02
2016-11-04T21:00:00,11.07,4.79,6.18,-3.04
2016-11-11T22:00:00,12.09,4.79,6.18,-2.01
2016-11-18T22:00:00,11.68,4.79,6.18,-2.41
2016-11-25T22:00:00,11.68,6.78,6.18,-0.41
2016-12-02T22:00:00,11.68,6.78,6.18,-1.21
2016-12-09T22:00:00,12.93,8.03,8.68,0.05
2016-12-16T22:00:00,12.93,8.03,8.68,-0.06
2016-12-23T22:00:00,12.93,8.03,8.68,0.29
2016-12-30T22:00:00,14.26,9.36,11.34,-1.05
2017-01-06T22:00:00,17.5,12.6,17.82,-4.3
2017-01-13T22:00:00,17.5,14.69,17.82,-2.2
2017-01-20T22:00:00,17.5,14.69,17.82,-0.68
2017-01-27T22:00:00,17.5,17.08,17.82,-3.08
2017-02-03T22:00:00,17.5,17.08,17.82,-3.1
2017-02-10T22:00:00,17.78,17.08,17.82,-3.39
2017-02-17T22:00:00,17.3,17.54,17.82,-2.92
2017-02-24T22:00:00,17.3,17.84,17.82,-3.23
2017-03-03T22:00:00,17.3,17.84,17.82,-3.6
2017-03-10T22:00:00,17.3,17.84,17.82,-3.77
2017-03-17T21:00:00,18.88,17.84,17.82,-2.18
2017-03-24T21:00:00,19.44,17.26,17.82,-1.61
2017-03-31T21:00:00,19.77,17.26,17.82,-1.27
2017-04-07T21:00:00,19.77,17.26,17.82,-1.26
2017-04-14T21:00:00,22.42,19.91,23.12,1.4
2017-04-21T21:00:00,24.61,19.91,23.12,3.6
2017-04-28T21:00:00,25.69,18.81,23.12,4.69
2017-05-05T21:00:00,25.29,19.19,23.12,4.3
2017-05-12T21:00:00,25.64,19.54,23.82,4.66
2017-05-19T21:00:00,25.64,19.54,23.82,3.29
2017-05-26T21:00:00,25.64,19.54,23.82,3.95
2017-06-02T21:00:00,27.92,21.82,28.38,1.66
2017-06-09T21:00:00,28.52,21.2,28.38,1.05
2017-06-16T21:00:00,28.19,21.51,28.38,1.37
2017-06-23T21:00:00,28.19,21.51,28.38,1.96
2017-06-30T21:00:00,28.19,21.51,28.38,2.1
2017-07-07T21:00:00,28.19,21.51,28.38,0.82
2017-07-14T21:00:00,30.06,21.51,28.38,-1.06
2017-07-21T21:00:00,29.98,21.57,28.38,-0.99
2017-07-28T21:00:00,29.96,21.57,28.38,-0.98
2017-08-04T21:00:00,29.83,21.57,28.38,-0.86
2017-08-11T21:00:00,31.2,22.94,31.12,-2.24
2017-08-18T21:00:00,31.06,23.06,31.12,-2.11
2017-08-25T21:00:00,31.41,23.06,31.12,-2.47
2017-09-01T21:00:00,31.41,23.5,31.12,-2.02
2017-09-08T21:00:00,31.41,27.26,31.12,1.75
2017-09-15T21:00:00,31.41,27.26,31.12,1.76
2017-09-22T21:00:00,32.19,27.26,31.12,2.55
2017-09-29T21:00:00,30.67,28.76,31.12,1.04
2017-10-06T21:00:00,30.67,28.76,31.12,1.17
2017-10-13T21:00:00,30.61,28.76,31.12,1.22
2017-10-20T21:00:00,31.95,28.76,31.12,2.57
2017-10-27T21:00:00,31.91,28.78,31.12,2.54
2017-11-03T21:00:00,32.67,28.78,31.12,3.31
2017-11-10T22:00:00,34.63,30.74,35.04,5.28
2017-11-17T22:00:00,34.77,30.74,35.04,5.43
