date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.18,0.18,0.36,0.19
2016-09-09T21:00:00,0.18,0.97,0.36,-0.61
2016-09-16T21:00:00,0.18,0.97,0.36,-1.3
2016-09-23T21:00:00,0.18,0.97,0.36,-1.47
2016-09-30T21:00:00,2.63,3.42,5.26,-3.93
2016-10-07T21:00:00,5.04,3.42,5.26,-6.35
2016-10-14T21:00:00,5.04,5.6,5.26,-4.16
2016-10-21T21:00:00,5.04,5.34,5.26,-3.91
2016-10-28T21:00:00,7.64,7.94,10.46,-1.3
2016-11-04T21:00:00,10.3,7.94,10.46,1.37
2016-11-11T22:00:00,8.52,9.7,10.46,-0.4
2016-11-18T22:00:00,8.52,11.02,10.46,0.93
2016-11-25T22:00:00,8.52,11.02,10.46,1.52
2016-12-02T22:00:00,8.52,12.69,10.46,-0.16
2016-12-09T22:00:00,8.52,13.46,10.46,0.62
2016-12-16T22:00:00,8.62,13.46,10.46,0.51
2016-12-23T22:00:00,8.62,13.46,10.46,0.43
2016-12-30T22:00:00,8.62,14.96,10.46,-1.08
2017-01-06T22:00:00,8.62,14.96,10.46,-2.62
2017-01-13T22:00:00,13.17,19.51,19.56,1.94
2017-01-20T22:00:00,13.29,19.37,19.56,2.07
2017-01-27T22:00:00,11.61,21.03,19.56,0.4
2017-02-03T22:00:00,11.61,21.44,19.56,0.82
2017-02-10T22:00:00,12.09,21.44,19.56,0.33
2017-02-17T22:00:00,12.09,21.81,19.56,0.71
2017-02-24T22:00:00,12.09,21.81,19.56,1.38
2017-03-03T22:00:00,12.09,21.81,19.56,1.07
2017-03-10T22:00:00,12.09,21.81,19.56,2.16
2017-03-17T21:00:00,13.01,20.87,19.56,3.09
2017-03-24T21:00:00,13.15,20.71,19.56,3.24
2017-03-31T21:00:00,13.15,20.71,19.56,2.53
2017-04-07T21:00:00,13.7,21.26,20.66,3.09
2017-04-14T21:00:00,17.28,24.84,27.82,6.68
2017-04-21T21:00:00,19.54,22.56,27.82,8.95
2017-04-28T21:00:00,19.83,22.25,27.82,9.25
2017-05-05T21:00:00,19.49,22.57,27.82,8.92
2017-05-12T21:00:00,19.29,22.37,27.42,8.73
2017-05-19T21:00:00,21.26,22.37,27.42,6.75
2017-05-26T21:00:00,20.34,23.27,27.42,7.66
2017-06-02T21:00:00,21.44,24.37,29.62,6.55
2017-06-09T21:00:00,22.76,24.37,29.62,5.22
2017-06-16T21:00:00,22.72,24.39,29.62,5.25
2017-06-23T21:00:00,22.72,24.39,29.62,5.19
2017-06-30T21:00:00,22.72,26.01,29.62,3.56
2017-07-07T21:00:00,22.72,25.81,29.62,3.37
2017-07-14T21:00:00,24.34,25.81,29.62,1.74
2017-07-21T21:00:00,24.11,25.81,29.62,1.96
2017-07-28T21:00:00,24.11,25.81,29.62,2.94
2017-08-04T21:00:00,24.11,25.84,29.62,2.9
2017-08-11T21:00:00,24.11,27.48,29.62,1.25
2017-08-18T21:00:00,24.66,27.48,29.62,0.69
2017-08-25T21:00:00,25.13,27.48,29.62,0.21
2017-09-01T21:00:00,25.13,27.09,29.62,-0.17
2017-09-08T21:00:00,25.13,30.49,29.62,3.24
2017-09-15T21:00:00,25.13,30.49,29.62,3.96
2017-09-22T21:00:00,25.5,30.1,29.62,4.34
2017-09-29T21:00:00,23.56,32.02,29.62,2.41
2017-10-06T21:00:00,23.56,33.14,29.62,3.54
2017-10-13T21:00:00,23.56,33.14,29.62,3.9
2017-10-20T21:00:00,24.53,33.14,29.62,4.88
2017-10-27T21:00:00,23.7,33.95,29.62,4.06
2017-11-03T21:00:00,23.97,34.22,30.16,4.34
2017-11-10T22:00:00,24.99,35.24,32.2,5.37
2017-11-17T22:00:00,25.45,35.24,32.2,5.84
2017-11-24T22:00:00,26.48,35.24,32.2,6.88
2017-12-01T22:00:00,27.22,35.24,32.2,7.63
2017-12-08T22:00:00,26.88,35.56,32.2,7.3
2017-12-15T22:00:00,26.88,35.56,32.2,6.54
2017-12-22T22:00:00,27.01,35.41,32.2,6.4
2017-12-29T22:00:00,27.01,35.41,32.2,5.83
2018-01-05T22:00:00,27.01,37.02,32.2,7.45
2018-01-12T22:00:00,28.1,37.02,32.2,8.55
2018-01-19T22:00:00,28.71,37.02,32.2,9.17
2018-01-26T22:00:00,29.52,37.02,32.2,9.99
2018-02-02T22:00:00,28.73,37.02,32.2,9.21
2018-02-09T22:00:00,28.73,38.33,32.2,10.53
2018-02-16T22:00:00,28.73,38.07,32.2,10.78
2018-02-23T22:00:00,28.73,38.07,32.2,11.33
2018-03-02T22:00:00,28.57,38.07,32.2,11.18
2018-03-09T22:00:00,31.46,40.96,37.98,14.08
2018-03-16T21:00:00,31.33,41.07,37.98,13.96
2018-03-23T21:00:00,31.33,41.07,37.98,13.09
2018-03-30T21:00:00,31.33,41.07,37.98,12.65
2018-04-06T21:00:00,31.33,40.86,37.98,12.45
2018-04-13T21:00:00,31.73,40.86,37.98,12.04
2018-04-20T21:00:00,32.7,41.83,39.92,11.06
2018-04-27T21:00:00,34.38,41.83,39.92,9.37
2018-05-04T21:00:00,34.75,41.44,39.92,8.99
2018-05-11T21:00:00,34.5,41.44,39.92,9.23
2018-05-18T21:00:00,34.5,41.44,39.92,8.74
2018-05-25T21:00:00,34.5,41.44,39.92,8.91
2018-06-01T21:00:00,34.5,41.44,39.92,9.15
2018-06-08T21:00:00,34.5,41.44,39.92,9.5
2018-06-15T21:00:00,35.09,41.44,39.92,10.1
2018-06-22T21:00:00,35.09,41.44,39.92,8.71
2018-06-29T21:00:00,35.09,41.62,39.92,8.9
2018-07-06T21:00:00,35.09,41.62,39.92,8.76
2018-07-13T21:00:00,35.93,41.62,39.92,7.91
2018-07-20T21:00:00,36.65,41.62,39.92,7.18
2018-07-27T21:00:00,37.97,42.94,42.56,5.85
2018-08-03T21:00:00,38.76,42.94,42.56,5.05
2018-08-10T21:00:00,39.55,42.94,42.56,4.25
2018-08-17T21:00:00,39.03,43.44,42.56,4.76
2018-08-24T21:00:00,40.1,44.51,44.7,5.84
2018-08-31T21:00:00,40.78,43.81,44.7,6.53
2018-09-07T21:00:00,40.78,43.68,44.7,6.65
2018-09-14T21:00:00,40.78,43.68,44.7,5.76
2018-09-21T21:00:00,40.78,43.68,44.7,5.26
2018-09-28T21:00:00,40.78,44.94,44.7,6.53
2018-10-05T21:00:00,40.78,44.94,44.7,7.34
2018-10-12T21:00:00,41.27,44.43,44.7,7.84
2018-10-19T21:00:00,41.27,46.22,44.7,6.04
2018-10-26T21:00:00,41.27,47.45,44.7,7.28
2018-11-02T21:00:00,41.27,47.45,44.7,7.8
2018-11-09T22:00:00,41.27,48.49,44.7,6.75
2018-11-16T22:00:00,41.27,48.49,44.7,7.1
2018-11-23T22:00:00,41.27,48.49,44.7,7.01
2018-11-30T22:00:00,41.27,48.49,44.7,7.33
2018-12-07T22:00:00,41.27,49.08,44.7,6.73
2018-12-14T22:00:00,41.27,50.98,44.7,8.64
2018-12-21T22:00:00,41.95,50.28,44.7,9.33
2018-12-28T22:00:00,40.2,52.01,44.7,7.59
2019-01-04T22:00:00,40.2,52.07,44.7,7.66
2019-01-11T22:00:00,40.2,52.21,44.7,7.81
2019-01-18T22:00:00,40.2,54.31,44.7,9.92
2019-01-25T22:00:00,40.2,56.02,44.7,8.2
2019-02-01T22:00:00,40.2,56.39,44.7,8.58
2019-02-08T22:00:00,40.68,56.39,44.7,8.09
2019-02-15T22:00:00,40.68,56.39,44.7,8.32
2019-02-22T22:00:00,42.9,58.61,49.14,10.55
2019-03-01T22:00:00,42.16,59.33,49.14,9.82
2019-03-08T22:00:00,43.99,59.33,49.14,11.66
2019-03-15T21:00:00,44.04,59.33,49.14,11.72
2019-03-22T21:00:00,44.04,61.26,49.14,9.78
2019-03-29T21:00:00,43.79,61.49,49.14,10.02
2019-04-05T21:00:00,43.99,61.49,49.14,9.81
2019-04-12T21:00:00,44.23,61.49,49.14,9.56
2019-04-19T21:00:00,44.23,61.38,49.14,9.46
2019-04-26T21:00:00,44.23,61.38,49.14,11.12
2019-05-03T21:00:00,44.23,62.85,49.14,9.64
2019-05-10T21:00:00,46.13,64.75,52.94,7.73
2019-05-17T21:00:00,46.32,64.54,52.94,7.53
2019-05-24T21:00:00,46.49,64.35,52.94,7.35
2019-05-31T21:00:00,47.52,64.35,52.94,6.31
2019-06-07T21:00:00,47.58,64.27,52.94,6.24
2019-06-14T21:00:00,47.72,64.27,52.94,6.09
2019-06-21T21:00:00,48.92,65.47,55.34,4.88
2019-06-28T21:00:00,50.28,66.83,58.06,3.51
2019-07-05T21:00:00,50.27,66.82,58.06,3.51
2019-07-12T21:00:00,50.53,66.82,58.06,3.24
2019-07-19T21:00:00,50.68,66.97,58.36,3.08
2019-07-26T21:00:00,50.68,68.41,58.36,1.63
2019-08-02T21:00:00,50.68,67.45,58.36,0.68
2019-08-09T21:00:00,50.68,68.73,58.36,1.97
2019-08-16T21:00:00,51.96,67.43,58.36,3.26
2019-08-23T21:00:00,51.96,68.16,58.36,2.52
2019-08-30T21:00:00,51.96,68.11,58.36,2.48
2019-09-06T21:00:00,51.96,70.8,58.36,5.18
2019-09-13T21:00:00,52.15,70.59,58.36,5.38
2019-09-20T21:00:00,50.64,72.08,58.36,3.88
2019-09-27T21:00:00,51.46,72.9,60.0,4.71
2019-10-04T21:00:00,51.46,72.9,60.0,6.5
2019-10-11T21:00:00,51.46,72.9,60.0,8.71
2019-10-18T21:00:00,51.46,74.61,60.0,6.99
2019-10-25T21:00:00,53.04,76.19,63.16,8.58
2019-11-01T21:00:00,52.51,76.7,63.16,8.06
2019-11-08T22:00:00,52.51,77.5,63.16,8.87
2019-11-15T22:00:00,52.39,77.6,63.16,8.76
2019-11-22T22:00:00,52.88,77.6,63.16,9.26
2019-11-29T22:00:00,54.48,79.2,66.36,10.87
2019-12-06T22:00:00,55.27,78.39,66.36,11.67
2019-12-13T22:00:00,55.27,81.16,66.36,8.89
2019-12-20T22:00:00,55.14,81.27,66.36,9.01
2019-12-27T22:00:00,55.75,81.27,66.36,8.39
2020-01-03T22:00:00,55.45,81.55,66.36,8.68
2020-01-10T22:00:00,55.63,81.55,66.36,8.49
2020-01-17T22:00:00,56.88,82.8,68.86,9.75
2020-01-24T22:00:00,58.46,82.8,68.86,11.34
2020-01-31T22:00:00,56.74,84.5,68.86,9.63
2020-02-07T22:00:00,56.74,84.5,68.86,10.42
2020-02-14T22:00:00,56.74,84.5,68.86,9.6
2020-02-21T22:00:00,56.74,84.5,68.86,9.67
2020-02-28T22:00:00,56.74,86.48,68.86,11.66
2020-03-06T22:00:00,56.74,90.81,68.86,7.32
2020-03-13T21:00:00,56.74,88.96,68.86,5.48
2020-03-20T21:00:00,56.74,92.8,68.86,9.33
2020-03-27T21:00:00,56.75,92.77,68.86,9.35
2020-04-03T21:00:00,56.6,92.9,68.86,9.21
2020-04-10T21:00:00,57.5,92.9,68.86,10.12
2020-04-17T21:00:00,57.02,92.9,68.86,9.65
2020-04-24T21:00:00,57.02,92.9,68.86,10.63
2020-05-01T21:00:00,57.02,94.67,68.86,8.85
2020-05-08T21:00:00,58.29,94.67,68.86,7.57
2020-05-15T21:00:00,58.3,94.67,68.86,7.55
2020-05-22T21:00:00,58.48,94.67,68.86,7.36
2020-05-29T21:00:00,58.48,94.67,68.86,7.35
2020-06-05T21:00:00,58.48,94.67,68.86,7.51
2020-06-12T21:00:00,58.48,96.0,68.86,6.17
2020-06-19T21:00:00,58.48,96.48,68.86,6.66
2020-06-26T21:00:00,58.48,96.48,68.86,6.85
2020-07-03T21:00:00,59.89,96.48,68.86,8.27
2020-07-10T21:00:00,59.36,96.99,68.86,7.75
2020-07-17T21:00:00,60.05,97.68,70.24,8.45
2020-07-24T21:00:00,62.19,99.82,74.52,10.6
2020-07-31T21:00:00,62.19,100.28,74.52,10.13
2020-08-07T21:00:00,62.19,100.28,74.52,9.4
2020-08-14T21:00:00,62.19,99.62,74.52,8.75
2020-08-21T21:00:00,62.19,101.03,74.52,10.17
2020-08-28T21:00:00,62.94,101.78,76.02,9.41
2020-09-04T21:00:00,62.94,101.78,76.02,6.94
2020-09-11T21:00:00,62.94,102.99,76.02,8.16
2020-09-18T21:00:00,62.94,102.99,76.02,8.11
2020-09-25T21:00:00,62.94,102.99,76.02,8.82
2020-10-02T21:00:00,62.94,103.46,76.02,8.34
2020-10-09T21:00:00,62.94,103.46,76.02,7.92
2020-10-16T21:00:00,62.94,104.03,76.02,8.5
2020-10-23T21:00:00,63.53,104.03,76.02,9.1
2020-10-30T21:00:00,63.33,104.03,76.02,8.91
2020-11-06T22:00:00,64.27,104.97,77.9,9.86
2020-11-13T22:00:00,64.71,104.51,77.9,10.31
2020-11-20T22:00:00,64.71,105.1,77.9,9.71
2020-11-27T22:00:00,65.59,105.98,79.66,8.82
2020-12-04T22:00:00,67.04,105.98,79.66,7.36
2020-12-11T22:00:00,65.6,107.4,79.66,8.79
2020-12-18T22:00:00,67.28,107.4,79.66,10.48
2020-12-25T22:00:00,67.16,107.5,79.66,10.37
2021-01-01T22:00:00,67.16,108.31,79.66,9.55
2021-01-08T22:00:00,67.16,108.69,79.66,9.94
2021-01-15T22:00:00,67.16,109.24,79.66,10.5
2021-01-22T22:00:00,67.16,109.24,79.66,11.15
2021-01-29T22:00:00,67.21,109.17,79.66,11.21
2021-02-05T22:00:00,67.21,109.49,79.66,11.54
2021-02-12T22:00:00,67.21,110.06,79.66,12.12
2021-02-19T22:00:00,67.21,110.06,79.66,12.47
2021-02-26T22:00:00,67.21,111.35,79.66,11.17
2021-03-05T22:00:00,67.21,110.54,79.66,10.37
2021-03-12T22:00:00,67.21,110.54,79.66,10.2
2021-03-19T21:00:00,67.21,110.54,79.66,10.25
2021-03-26T21:00:00,67.21,110.26,79.66,10.52
2021-04-02T21:00:00,67.21,110.26,79.66,9.21
2021-04-09T21:00:00,67.21,110.92,79.66,9.88
