date,trend,signal,trend+signal,return
2018-08-01T21:00:00,0.0,0.0,0.0,-0.46
2018-08-02T21:00:00,0.12,-0.32,0.0,-0.68
2018-08-05T21:00:00,0.12,-0.32,0.0,-0.91
2018-08-06T21:00:00,0.12,-0.32,0.0,-1.05
2018-08-07T21:00:00,0.68,0.24,1.22,-1.71
2018-08-08T21:00:00,0.98,0.24,1.22,-2.11
2018-08-09T21:00:00,1.14,-0.12,1.22,-2.37
2018-08-12T21:00:00,1.01,-0.19,1.22,-2.34
2018-08-13T21:00:00,1.21,0.01,1.72,-2.64
2018-08-14T21:00:00,1.36,0.01,1.72,-2.89
2018-08-15T21:00:00,1.36,0.33,1.72,-2.47
2018-08-16T21:00:00,1.36,0.08,1.72,-2.32
2018-08-19T21:00:00,1.23,0.08,1.72,-2.35
2018-08-20T21:00:00,1.23,0.08,1.72,-2.18
2018-08-21T21:00:00,1.23,0.08,1.72,-2.31
2018-08-22T21:00:00,1.23,0.08,1.72,-2.74
2018-08-23T21:00:00,1.14,0.08,1.72,-2.75
2018-08-26T21:00:00,1.08,0.08,1.72,-2.79
2018-08-27T21:00:00,1.08,0.08,1.72,-3.3
2018-08-28T21:00:00,1.08,0.08,1.72,-2.65
2018-08-29T21:00:00,1.08,0.08,1.72,-2.89
2018-08-30T21:00:00,1.08,0.08,1.72,-3.3
2018-09-02T21:00:00,1.08,0.08,1.72,-3.72
2018-09-03T21:00:00,0.58,0.38,1.72,-3.32
2018-09-04T21:00:00,0.58,0.38,1.72,-3.21
2018-09-05T21:00:00,0.58,0.78,1.72,-3.71
2018-09-06T21:00:00,0.58,1.04,1.72,-3.35
2018-09-09T21:00:00,1.88,2.34,4.42,-1.95
2018-09-10T21:00:00,1.54,2.48,4.42,-2.19
2018-09-11T21:00:00,1.42,2.4,4.42,-2.21
2018-09-12T21:00:00,1.42,2.4,4.42,-2.26
2018-09-13T21:00:00,1.42,2.4,4.42,-2.35
2018-09-16T21:00:00,1.42,2.42,4.42,-2.23
2018-09-17T21:00:00,1.42,2.42,4.42,-2.11
2018-09-18T21:00:00,1.54,2.42,4.42,-1.89
2018-09-19T21:00:00,1.54,2.42,4.42,-1.76
2018-09-20T21:00:00,2.91,2.42,4.42,-3.23
2018-09-23T21:00:00,2.91,3.22,4.42,-2.33
2018-09-24T21:00:00,2.91,3.22,4.42,-1.79
2018-09-25T21:00:00,2.78,3.15,4.42,-1.82
2018-09-26T21:00:00,3.16,3.15,4.42,-1.34
2018-09-27T21:00:00,3.16,2.96,4.42,-1.25
2018-09-30T21:00:00,3.16,2.96,4.42,-0.96
2018-10-01T21:00:00,3.16,3.35,4.42,-1.45
2018-10-02T21:00:00,3.62,3.81,5.44,-0.89
2018-10-03T21:00:00,4.09,3.81,5.44,-0.32
2018-10-04T21:00:00,4.76,3.81,5.44,0.45
2018-10-07T21:00:00,4.4,3.81,5.44,0.19
2018-10-08T21:00:00,4.65,3.81,5.44,0.54
2018-10-09T21:00:00,4.72,3.81,5.44,0.71
2018-10-10T21:00:00,4.87,3.81,5.44,0.96
2018-10-11T21:00:00,4.51,3.97,5.44,0.7
2018-10-14T21:00:00,4.51,3.97,5.44,0.77
2018-10-15T21:00:00,4.51,4.41,5.44,1.31
2018-10-16T21:00:00,4.51,4.36,5.44,1.26
2018-10-17T21:00:00,4.51,4.92,5.44,0.6
2018-10-18T21:00:00,4.51,5.25,5.44,1.03
2018-10-21T21:00:00,5.19,5.93,6.9,0.25
2018-10-22T21:00:00,5.06,5.86,6.9,0.28
2018-10-23T21:00:00,5.47,5.86,6.9,-0.23
2018-10-24T21:00:00,5.68,5.86,6.9,-0.54
2018-10-25T21:00:00,5.68,5.86,6.9,-0.72
2018-10-28T21:00:00,5.68,5.86,6.9,-0.52
2018-10-29T21:00:00,5.68,5.86,6.9,-0.87
2018-10-30T21:00:00,6.39,5.86,6.9,-0.06
2018-10-31T21:00:00,7.47,5.86,6.9,1.12
2018-11-01T21:00:00,7.25,5.88,6.9,1.0
2018-11-04T22:00:00,7.42,6.05,7.34,1.27
2018-11-05T22:00:00,7.6,6.05,7.34,1.55
2018-11-06T22:00:00,7.69,6.05,7.34,1.74
2018-11-07T22:00:00,7.69,6.08,7.34,1.61
2018-11-08T22:00:00,7.69,6.71,7.34,0.88
2018-11-11T22:00:00,7.57,6.63,7.34,0.9
2018-11-12T22:00:00,7.57,7.09,7.34,1.46
2018-11-13T22:00:00,7.57,7.09,7.34,1.5
2018-11-14T22:00:00,9.11,7.09,7.34,-0.14
2018-11-15T22:00:00,9.21,7.09,7.34,-0.34
2018-11-18T22:00:00,9.8,7.09,7.34,-1.03
2018-11-19T22:00:00,10.04,7.09,7.34,-1.37
2018-11-20T22:00:00,10.06,7.09,7.34,-1.49
2018-11-21T22:00:00,10.06,7.8,7.34,-0.68
2018-11-22T22:00:00,9.73,7.93,7.34,-0.91
2018-11-25T22:00:00,9.64,7.82,7.34,-0.9
2018-11-26T22:00:00,9.64,8.18,7.34,-1.36
2018-11-27T22:00:00,9.64,8.22,7.34,-1.22
2018-11-28T22:00:00,9.64,8.22,7.34,-1.33
2018-11-29T22:00:00,9.64,8.22,7.34,-1.31
2018-12-02T22:00:00,9.64,8.61,7.34,-1.8
2018-12-03T22:00:00,9.64,8.43,7.34,-1.88
