date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.83
2018-08-21T21:00:00,0.0,-0.21,0.0,0.94
2018-08-22T21:00:00,0.0,0.42,0.0,0.21
2018-08-23T21:00:00,-0.35,0.42,0.0,0.46
2018-08-26T21:00:00,-0.35,0.72,0.0,0.86
2018-08-27T21:00:00,-0.63,0.72,0.0,0.68
2018-08-28T21:00:00,0.47,0.72,0.0,1.88
2018-08-29T21:00:00,0.25,0.74,0.0,1.76
2018-08-30T21:00:00,0.25,1.0,0.0,1.4
2018-09-02T21:00:00,0.25,1.0,0.0,1.02
2018-09-03T21:00:00,0.29,1.0,0.0,0.88
2018-09-04T21:00:00,0.29,1.28,0.0,1.26
2018-09-05T21:00:00,0.29,0.97,0.0,1.47
2018-09-06T21:00:00,0.29,0.97,0.0,1.43
2018-09-09T21:00:00,0.29,1.63,0.0,2.19
2018-09-10T21:00:00,0.23,1.63,0.0,2.23
2018-09-11T21:00:00,0.26,1.63,0.0,2.36
2018-09-12T21:00:00,0.65,1.63,0.0,2.85
2018-09-13T21:00:00,0.22,1.86,0.0,2.52
2018-09-16T21:00:00,0.76,2.4,1.18,3.16
2018-09-17T21:00:00,0.59,2.37,1.18,3.09
2018-09-18T21:00:00,0.48,2.37,1.18,3.08
2018-09-19T21:00:00,0.48,3.24,1.18,4.05
2018-09-20T21:00:00,0.48,4.98,1.18,2.21
2018-09-23T21:00:00,0.12,5.14,1.18,2.47
2018-09-24T21:00:00,-0.41,5.47,1.18,2.9
2018-09-25T21:00:00,-0.41,5.43,1.18,2.84
2018-09-26T21:00:00,-0.41,5.95,1.18,2.22
2018-09-27T21:00:00,-0.3,5.95,1.18,2.01
2018-09-30T21:00:00,-0.37,5.95,1.18,1.98
2018-10-01T21:00:00,-0.03,6.29,1.96,1.54
2018-10-02T21:00:00,-0.03,6.29,1.96,1.25
2018-10-03T21:00:00,-0.03,6.78,1.96,1.84
2018-10-04T21:00:00,-0.03,6.78,1.96,2.56
2018-10-07T21:00:00,-0.03,7.02,1.96,2.22
2018-10-08T21:00:00,0.37,7.42,2.86,2.72
2018-10-09T21:00:00,0.7,7.42,2.86,3.15
2018-10-10T21:00:00,0.85,7.42,2.86,3.4
2018-10-11T21:00:00,0.18,7.89,2.86,2.83
2018-10-14T21:00:00,0.18,8.3,2.86,3.34
2018-10-15T21:00:00,0.18,8.3,2.86,3.59
2018-10-16T21:00:00,0.59,8.71,3.78,3.08
2018-10-17T21:00:00,1.23,8.71,3.78,2.34
2018-10-18T21:00:00,0.69,9.05,3.78,2.78
2018-10-21T21:00:00,1.41,9.77,5.32,1.96
2018-10-22T21:00:00,1.18,9.8,5.32,2.09
2018-10-23T21:00:00,1.88,10.5,6.82,1.29
2018-10-24T21:00:00,2.27,9.91,6.82,0.8
2018-10-25T21:00:00,2.09,9.89,6.82,0.88
2018-10-28T21:00:00,2.18,9.98,7.1,0.69
2018-10-29T21:00:00,2.8,9.98,7.1,-0.03
2018-10-30T21:00:00,2.8,10.36,7.1,0.45
2018-10-31T21:00:00,4.44,12.0,10.48,2.19
2018-11-01T21:00:00,3.84,12.4,10.48,1.69
2018-11-04T22:00:00,3.99,12.55,10.88,1.94
2018-11-05T22:00:00,4.36,12.92,11.72,2.41
2018-11-06T22:00:00,4.47,12.61,11.72,2.62
2018-11-07T22:00:00,4.9,13.04,12.68,2.09
2018-11-08T22:00:00,5.42,13.04,12.68,1.47
2018-11-11T22:00:00,5.79,13.04,12.68,1.0
2018-11-12T22:00:00,4.75,13.88,12.68,1.94
2018-11-13T22:00:00,4.75,13.68,12.68,2.04
2018-11-14T22:00:00,4.75,15.25,12.68,0.37
2018-11-15T22:00:00,4.75,15.62,12.68,0.84
2018-11-18T22:00:00,4.75,15.62,12.68,0.94
2018-11-19T22:00:00,4.75,16.06,12.68,0.4
2018-11-20T22:00:00,4.66,16.06,12.68,0.39
2018-11-21T22:00:00,4.66,16.06,12.68,1.15
2018-11-22T22:00:00,4.66,16.49,12.68,0.62
2018-11-25T22:00:00,4.66,16.49,12.68,0.45
2018-11-26T22:00:00,5.07,16.49,12.68,-0.06
2018-11-27T22:00:00,5.07,17.03,12.68,0.58
2018-11-28T22:00:00,5.07,17.26,12.68,0.25
2018-11-29T22:00:00,5.07,17.46,12.68,-0.05
2018-12-02T22:00:00,5.36,17.75,13.36,-0.44
2018-12-03T22:00:00,5.5,17.75,13.36,-0.68
